leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
4,-3,-7,0,5,-5,-2,3,-8,-13,-4,0
9,-9,-18,0,14,-14,-4,9,-19,-33,-10,-2
11,-13,-25,0,18,-19,-2,15,-23,-42,-13,-5
11,-17,-28,2,20,-23,1,21,-23,-46,-16,-10
9,-19,-29,4,20,-25,5,26,-20,-46,-17,-15
6,-21,-28,6,18,-26,9,29,-17,-44,-18,-20
3,-22,-26,9,15,-26,13,31,-13,-41,-18,-23
0,-24,-23,11,12,-25,16,32,-9,-38,-18,-26
-4,-24,-20,13,9,-24,20,34,-5,-35,-18,-27
-7,-24,-17,15,6,-22,24,36,-1,-31,-18,-28
-9,-23,-14,15,3,-19,27,39,1,-27,-17,-29
-11,-21,-9,15,0,-16,30,42,4,-23,-17,-29
-13,-18,-4,15,-3,-12,33,44,6,-20,-16,-28
-14,-14,0,14,-6,-7,34,45,9,-16,-14,-27
-16,-10,5,12,-10,-3,35,45,12,-13,-11,-25
-17,-6,11,11,-13,1,36,44,14,-9,-9,-23
-18,-3,16,10,-16,5,38,45,18,-4,-6,-20
-19,0,20,9,-19,8,40,47,21,0,-3,-18
-21,2,23,8,-21,11,43,49,25,5,0,-15
-22,4,26,8,-23,13,45,52,28,10,2,-13
-22,5,28,8,-24,15,47,55,30,13,4,-12
-23,6,29,8,-25,17,48,56,32,15,6,-11
-23,7,30,8,-26,18,49,56,33,15,7,-10
-24,7,31,8,-27,18,49,56,33,12,7,-10
-24,8,32,8,-27,18,50,56,34,8,7,-10
-25,8,32,8,-28,18,50,56,34,5,7,-9
-25,8,33,8,-28,19,51,56,34,3,7,-9
-25,8,33,8,-29,19,52,56,35,1,6,-9
-25,8,34,8,-29,20,53,57,35,-1,6,-9
-25,8,34,8,-29,20,53,57,35,-2,5,-9
-25,8,34,8,-29,20,53,57,35,-4,5,-9
-26,8,34,8,-29,20,53,56,35,-6,4,-9
-26,8,34,8,-30,20,53,56,34,-7,3,-9
-26,8,34,8,-30,20,53,55,34,-8,2,-9
-27,8,35,8,-30,20,53,55,34,-9,2,-9
-27,8,35,8,-31,20,53,55,34,-9,1,-9
-27,8,35,8,-31,20,53,55,34,-10,0,-10
-27,8,35,9,-30,20,53,54,34,-11,0,-10
-27,8,35,9,-30,20,53,54,33,-12,-1,-11
-27,8,35,9,-31,21,53,53,32,-13,-2,-11
-27,8,35,9,-31,21,52,52,32,-14,-4,-12
-27,8,35,9,-31,21,52,51,32,-15,-5,-12
-27,8,36,9,-31,21,52,50,32,-15,-5,-12
-27,8,36,9,-31,21,52,49,32,-15,-6,-12
-27,8,36,9,-31,21,52,49,32,-15,-6,-12
-27,8,36,9,-31,20,52,49,33,-15,-6,-12
-28,7,35,10,-31,20,51,49,33,-15,-7,-13
-28,7,35,10,-32,20,51,49,33,-15,-8,-13
-29,6,36,10,-32,20,51,48,33,-16,-9,-13
-29,6,36,10,-32,20,51,48,33,-16,-10,-13
-29,6,36,10,-32,20,51,48,33,-16,-11,-13
-29,6,36,10,-32,20,51,47,33,-16,-12,-14
-29,6,36,11,-32,20,51,47,32,-16,-13,-15
-29,6,36,11,-32,20,51,47,31,-16,-14,-16
-29,6,36,11,-32,20,51,47,30,-16,-14,-17
-30,6,36,11,-32,19,51,47,28,-16,-15,-18
-30,6,36,12,-32,19,52,47,27,-16,-16,-19
-30,6,36,12,-32,19,52,47,25,-16,-16,-19
-30,6,36,11,-32,19,52,47,24,-15,-16,-19
-30,6,36,11,-33,19,52,47,22,-15,-16,-19
-31,5,36,11,-33,19,52,47,21,-15,-17,-20
-31,5,37,11,-33,19,52,47,20,-15,-17,-21
-31,6,37,11,-33,20,52,47,20,-14,-18,-21
-31,6,37,11,-33,20,52,47,20,-14,-18,-21
-31,6,37,11,-33,20,52,47,20,-13,-18,-21
-31,6,37,12,-33,20,52,47,20,-12,-18,-20
-31,6,37,12,-34,20,52,47,20,-11,-18,-20
-31,6,37,12,-34,20,52,47,21,-10,-18,-20
-31,6,37,12,-34,20,52,47,21,-10,-18,-20
-31,6,37,12,-34,20,53,47,22,-9,-18,-20
-31,6,37,11,-34,20,53,47,22,-8,-18,-21
-31,6,37,11,-34,20,53,46,22,-7,-18,-22
-31,6,37,11,-34,20,53,46,22,-6,-18,-22
-31,6,37,11,-34,20,53,45,22,-5,-19,-21
-31,6,38,12,-34,20,53,45,23,-4,-19,-21
-32,6,38,12,-34,21,53,45,23,-3,-19,-20
-32,6,38,12,-34,21,53,45,23,-2,-19,-20
-32,6,38,12,-34,21,53,44,23,-1,-18,-19
-32,6,38,12,-34,21,52,44,23,0,-18,-19
-32,6,38,11,-35,21,52,43,24,0,-18,-18
-32,6,39,11,-35,22,52,43,24,1,-18,-18
-32,7,39,11,-35,22,52,43,25,3,-18,-18
-32,7,39,11,-35,22,52,43,25,4,-18,-18
-31,7,39,11,-35,22,52,43,26,5,-18,-18
-31,7,39,12,-34,21,52,43,27,6,-18,-18
-31,7,39,12,-34,21,51,42,27,7,-18,-18
-31,7,39,12,-34,21,51,42,28,7,-18,-18
-31,7,39,12,-34,21,51,42,28,7,-18,-18
-31,7,39,12,-34,21,50,41,28,8,-18,-17
-31,7,39,11,-34,22,49,41,29,9,-18,-17
-31,8,39,11,-34,22,49,40,29,10,-17,-16
-31,8,40,11,-35,22,48,39,30,11,-17,-16
-30,9,40,11,-35,23,47,38,31,11,-16,-16
-30,9,41,10,-35,23,46,38,31,11,-16,-16
