leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,-3,-1,3,-1,-2,-1,-2,-2,-75,8,-1
-5,-8,-3,7,-2,-6,-2,-6,-5,-174,-24,-2
-7,-10,-4,8,-2,-7,-3,-8,-6,-195,-85,-3
-7,-11,-4,9,-3,-8,-3,-8,-7,-174,-167,-3
-8,-12,-5,10,-3,-9,-3,-9,-7,-133,-347,-4
-8,-13,-5,10,-3,-10,-3,-9,-7,-84,-455,-4
-8,-13,-5,10,-2,-10,-3,-8,-6,-33,-348,-4
-7,-13,-5,10,-2,-10,-3,-8,-6,16,-214,-4
-7,-12,-5,10,-2,-9,-3,-7,-5,62,-161,-4
-8,-12,-5,10,-3,-9,-3,-7,-5,104,-132,-4
-8,-12,-4,10,-3,-9,-3,-6,-5,141,-106,-3
-7,-11,-4,9,-2,-9,-2,-5,-4,175,-90,-3
-5,-10,-5,8,-1,-8,-2,-4,-3,204,-79,-2
-5,-10,-5,7,-1,-8,-1,-3,-3,230,-66,-2
-5,-10,-5,8,-1,-8,-1,-3,-2,251,-56,-2
-5,-10,-5,8,-2,-8,-1,-2,-2,270,-51,-2
-5,-10,-5,7,-2,-7,0,-2,-1,287,-50,-2
-5,-9,-5,7,-2,-7,0,-1,0,302,-49,-1
-5,-9,-4,7,-2,-6,0,0,0,315,-46,-1
-5,-8,-4,7,-2,-6,0,1,1,326,-43,0
-5,-8,-3,7,-2,-6,0,2,2,336,-40,0
-5,-7,-3,6,-2,-6,0,3,3,344,-38,0
-4,-7,-3,6,-2,-5,0,4,4,350,-38,0
-4,-7,-3,6,-2,-5,1,5,5,356,-37,1
-4,-6,-3,5,-2,-5,1,6,6,360,-36,1
-4,-6,-3,5,-2,-4,2,7,7,364,-33,1
-3,-5,-3,4,-2,-4,2,8,8,368,-31,1
-3,-5,-2,4,-2,-4,2,9,9,371,-29,1
-3,-5,-2,4,-2,-4,2,11,10,374,-28,2
-3,-5,-1,4,-2,-3,3,12,11,376,-27,2
-3,-4,-1,3,-2,-3,3,13,12,377,-26,3
-2,-3,0,3,-2,-2,4,15,13,379,-25,4
-2,-3,0,3,-2,-2,4,16,14,380,-24,4
-3,-2,0,3,-2,-1,4,18,16,381,-23,5
-2,-1,0,2,-2,-1,5,19,17,382,-19,5
-1,0,0,1,-2,0,5,21,19,382,-14,6
-1,0,0,0,-2,0,5,22,20,383,-11,6
-1,0,1,0,-2,0,6,24,22,383,-6,7
