leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,-1,0,0,0,0
-1,-1,0,1,0,0,0,-4,0,0,-1,1
0,0,0,1,0,0,0,-5,1,0,-2,1
0,0,0,0,0,0,1,-6,1,0,-2,2
0,0,0,0,0,0,1,-6,1,0,-2,2
0,-1,0,2,0,-1,1,-6,1,0,-2,2
-1,-2,-1,2,0,-2,1,-5,0,0,-2,2
0,-2,-1,2,1,-2,0,-5,0,0,-2,2
0,-2,-2,1,1,-2,-1,-5,0,-1,-2,2
0,-2,-2,1,2,-2,-3,-5,0,-1,-2,1
0,-3,-2,1,2,-3,-4,-6,-1,-2,-3,1
0,-3,-2,2,2,-3,-5,-7,-1,-2,-3,1
0,-3,-2,2,1,-3,-5,-8,-1,-2,-3,1
-1,-4,-3,3,1,-4,-6,-8,-2,-2,-3,1
0,-5,-3,3,2,-4,-6,-9,-2,-2,-4,1
0,-4,-4,2,2,-4,-6,-10,-2,-2,-4,1
0,-4,-4,2,3,-4,-6,-10,-2,-2,-3,1
0,-4,-4,2,3,-4,-6,-11,-2,-3,-3,1
0,-4,-5,2,3,-5,-7,-11,-3,-3,-3,1
-1,-4,-3,3,1,-5,-7,-12,-4,-4,-6,-1
-3,-3,0,4,-1,-3,-7,-13,-5,-7,-10,-6
-1,-3,-2,3,0,-4,-6,-12,-4,-6,-7,-3
2,-4,-7,1,5,-6,-6,-10,-1,-2,-1,2
3,-4,-7,1,5,-7,-6,-9,0,-1,0,4
2,-4,-6,1,4,-6,-6,-9,-1,-2,0,3
2,-4,-6,2,4,-6,-5,-9,-2,-2,-1,2
1,-5,-5,2,4,-6,-5,-10,-2,-3,-1,1
0,-5,-5,3,3,-6,-5,-10,-2,-3,-1,1
0,-5,-5,2,3,-5,-4,-10,-2,-2,-1,0
0,-4,-4,2,2,-5,-3,-11,-1,-2,-1,0
-1,-5,-3,3,1,-5,-3,-11,-1,-2,-2,0
-4,-6,-2,5,0,-5,-2,-12,-1,-2,-2,-1
-6,-7,-1,7,-2,-5,-2,-12,-1,-2,-3,-1
-7,-8,0,8,-2,-5,-1,-13,-1,-2,-3,-1
-7,-8,0,8,-2,-5,0,-12,0,-1,-3,-1
-8,-7,3,8,-5,-3,0,-14,-1,-2,-3,-2
-10,-5,7,8,-8,0,0,-16,-2,-2,-3,-3
-8,-4,5,6,-6,0,2,-10,1,0,-2,-3
-6,-4,3,5,-3,-1,5,-1,5,2,0,-2
-7,-3,4,6,-4,-1,6,3,7,4,0,-2
-9,-3,6,6,-6,0,7,4,8,4,1,-3
-9,-1,8,6,-8,2,8,5,9,5,1,-3
-9,0,9,5,-9,4,9,6,10,6,1,-3
-9,0,11,4,-10,5,11,7,11,6,1,-3
-10,1,12,4,-11,6,12,9,13,7,0,-4
-10,2,14,4,-11,7,14,10,14,7,0,-6
-10,4,15,4,-12,8,16,13,16,8,0,-7
-11,5,17,4,-13,10,18,16,18,10,-1,-8
-12,5,18,4,-14,11,21,19,21,11,-1,-10
-13,5,19,5,-16,11,24,23,23,11,-2,-12
-15,3,19,6,-17,11,27,26,26,12,-4,-15
-16,2,20,7,-17,10,30,29,28,13,-5,-17
-16,2,20,7,-17,10,33,32,30,13,-7,-20
-17,1,20,7,-18,10,35,34,32,14,-8,-22
-18,1,20,8,-19,10,37,35,33,15,-8,-24
-20,0,21,9,-20,10,38,36,35,17,-9,-26
-19,1,21,9,-20,10,40,37,38,19,-9,-27
-18,2,21,8,-19,11,42,39,41,21,-9,-27
-17,3,21,7,-19,11,45,41,45,25,-8,-27
-16,3,21,6,-18,11,49,44,50,29,-6,-27
-16,3,21,7,-18,11,52,47,56,32,-5,-27
-17,2,20,7,-18,10,57,52,61,36,-3,-27
-16,1,19,7,-17,9,64,58,68,40,-1,-26
-15,1,17,7,-16,9,72,67,76,45,1,-24
-15,1,17,7,-15,8,80,76,85,50,3,-23
-16,0,17,7,-16,8,85,82,93,56,6,-21
-16,0,17,7,-16,8,89,87,101,62,10,-19
-15,0,16,7,-15,8,93,91,109,68,14,-16
-14,1,16,6,-14,8,98,95,115,74,18,-12
-12,2,15,5,-13,8,101,96,119,79,23,-8
-11,4,15,3,-13,9,100,94,121,85,30,-2
-8,6,16,1,-12,10,95,89,121,90,37,4
-6,10,17,-1,-11,12,87,82,119,95,43,11
-5,14,19,-4,-12,16,79,73,115,97,48,17
-6,16,23,-5,-14,18,69,63,110,98,52,21
-7,17,24,-5,-15,19,57,52,103,98,55,24
-6,17,24,-5,-14,20,46,44,98,100,59,29
-5,17,24,-6,-13,20,37,38,93,101,62,32
-5,18,24,-6,-13,21,30,34,87,99,63,33
-4,18,23,-6,-13,20,25,31,80,93,60,32
-4,16,20,-5,-11,17,20,27,71,85,55,30
-4,11,16,-3,-10,13,16,23,60,74,48,26
-5,6,12,0,-8,8,13,18,49,62,40,21
-5,2,7,1,-6,4,9,13,39,51,33,17
-5,-1,4,3,-4,0,6,8,31,43,28,14
-4,-4,1,4,-2,-2,3,4,23,36,25,13
-3,-5,-1,5,0,-4,0,2,18,32,23,13
-2,-6,-3,4,1,-5,-2,0,14,29,23,13
-1,-5,-3,4,1,-5,-5,-2,11,25,21,12
0,-4,-3,3,2,-4,-7,-4,8,22,19,12
0,-2,-2,1,2,-2,-8,-7,6,20,18,13
1,0,-1,-1,2,-1,-9,-9,4,17,16,13
2,1,-1,-2,2,0,-9,-11,1,14,13,12
3,2,0,-3,2,0,-10,-13,-1,11,11,10
3,2,0,-3,2,1,-11,-14,-5,7,8,9
3,2,0,-2,2,1,-11,-15,-8,3,6,8
3,2,0,-2,2,0,-10,-16,-11,0,4,7
3,2,-1,-2,3,0,-10,-16,-12,-2,3,6
3,0,-2,-1,3,-1,-10,-16,-14,-4,1,5
2,0,-3,-1,3,-2,-9,-16,-15,-5,0,5
2,-1,-3,0,3,-3,-9,-17,-15,-6,0,4
2,-2,-4,0,3,-4,-9,-18,-16,-7,-1,3
1,-2,-4,0,3,-4,-9,-19,-16,-7,-2,2
1,-3,-4,1,3,-4,-9,-19,-17,-8,-2,1
1,-3,-4,1,3,-4,-8,-19,-17,-8,-3,1
1,-4,-4,1,3,-4,-8,-19,-17,-8,-3,1
1,-4,-5,1,3,-5,-7,-19,-17,-8,-3,1
1,-5,-5,2,3,-6,-6,-19,-17,-8,-3,1
0,-5,-5,2,3,-6,-6,-19,-17,-8,-3,1
0,-5,-5,2,3,-6,-5,-19,-17,-8,-3,1
0,-5,-4,3,3,-6,-5,-19,-17,-9,-4,1
0,-5,-5,2,3,-6,-4,-19,-17,-9,-4,1
1,-5,-5,2,4,-6,-4,-19,-17,-10,-4,1
0,-6,-5,2,4,-6,-4,-19,-17,-10,-4,1
0,-6,-6,3,3,-7,-4,-19,-17,-10,-4,1
0,-7,-6,3,3,-7,-4,-19,-17,-10,-4,1
-1,-7,-6,4,3,-7,-4,-20,-17,-10,-4,1
-1,-8,-6,4,3,-8,-4,-20,-17,-10,-4,1
0,-8,-7,4,4,-8,-4,-21,-18,-10,-4,1
0,-8,-7,4,4,-8,-4,-22,-18,-11,-4,1
0,-8,-7,4,4,-8,-3,-22,-18,-11,-4,2
0,-7,-7,3,4,-8,-3,-22,-18,-11,-3,2
0,-7,-7,3,4,-8,-3,-22,-18,-10,-3,2
0,-7,-7,2,4,-8,-4,-22,-18,-10,-3,2
1,-7,-8,2,4,-8,-5,-23,-19,-10,-3,2
1,-7,-8,2,5,-8,-6,-23,-19,-10,-3,2
1,-7,-8,2,5,-8,-6,-23,-19,-10,-3,2
2,-6,-8,1,5,-8,-7,-23,-19,-10,-3,3
3,-4,-7,0,5,-7,-7,-23,-18,-10,-2,3
3,-4,-7,0,5,-7,-7,-23,-18,-10,-2,3
3,-3,-7,0,4,-6,-7,-23,-18,-10,-2,3
3,-3,-7,0,4,-6,-7,-23,-19,-10,-2,3
3,-3,-6,0,4,-5,-6,-23,-19,-10,-2,3
3,-3,-6,0,4,-5,-5,-23,-19,-10,-2,3
3,-3,-5,0,4,-5,-5,-24,-19,-10,-2,4
3,-3,-5,0,4,-5,-4,-24,-19,-10,-2,4
3,-3,-5,0,4,-4,-4,-24,-19,-10,-2,4
2,-3,-5,0,3,-4,-4,-24,-19,-10,-2,4
1,-3,-5,0,3,-4,-4,-24,-19,-10,-2,5
1,-3,-5,0,3,-4,-4,-24,-19,-10,-2,5
2,-2,-5,0,3,-4,-5,-24,-19,-10,-1,6
2,-2,-5,0,3,-4,-7,-24,-19,-10,-1,6
3,-1,-5,-1,4,-4,-8,-24,-19,-10,-1,6
3,0,-4,-2,4,-4,-9,-24,-19,-10,-1,7
3,0,-3,-2,4,-3,-10,-24,-19,-10,-1,7
3,0,-3,-2,4,-3,-11,-24,-20,-10,-1,7
4,0,-4,-2,4,-3,-12,-25,-20,-11,-1,7
3,-1,-4,-1,4,-3,-13,-25,-21,-11,-2,7
3,-1,-4,0,3,-4,-14,-26,-21,-12,-2,6
2,-2,-4,0,3,-4,-15,-27,-22,-13,-2,6
2,-2,-4,0,3,-4,-15,-27,-22,-13,-2,6
4,-1,-4,-1,4,-4,-15,-27,-22,-13,-2,7
6,0,-5,-3,5,-3,-14,-27,-22,-13,-2,7
7,1,-5,-4,6,-3,-14,-27,-22,-13,-2,7
7,2,-5,-4,6,-3,-14,-28,-23,-14,-2,7
7,2,-5,-4,6,-2,-15,-28,-23,-14,-2,7
7,2,-5,-5,6,-2,-15,-28,-24,-14,-2,8
8,2,-5,-5,6,-2,-16,-29,-24,-14,-2,8
8,2,-5,-5,6,-2,-16,-29,-24,-15,-2,8
7,1,-5,-5,6,-2,-17,-30,-25,-15,-3,8
6,1,-5,-4,6,-2,-17,-31,-26,-16,-3,7
6,0,-5,-3,5,-2,-17,-32,-27,-17,-4,7
5,0,-5,-3,5,-3,-18,-32,-28,-18,-4,6
5,0,-5,-3,5,-3,-18,-33,-28,-18,-4,6
5,0,-5,-3,5,-3,-19,-33,-29,-18,-4,6
6,1,-5,-3,5,-3,-19,-34,-29,-19,-5,6
6,1,-5,-4,5,-3,-20,-34,-29,-19,-5,6
6,1,-5,-4,5,-3,-20,-35,-30,-20,-5,6
6,1,-5,-4,5,-3,-21,-36,-31,-20,-5,6
6,1,-5,-4,5,-3,-22,-37,-32,-21,-5,6
6,1,-5,-4,5,-2,-22,-38,-33,-21,-5,6
6,1,-5,-4,5,-2,-23,-38,-34,-22,-5,6
5,0,-5,-3,5,-2,-23,-39,-34,-22,-5,6
5,0,-5,-2,4,-3,-24,-40,-35,-23,-5,6
4,0,-5,-2,4,-3,-25,-41,-36,-24,-6,5
5,0,-5,-2,4,-2,-26,-42,-37,-25,-6,5
6,1,-4,-3,5,-2,-26,-43,-38,-25,-6,5
6,1,-4,-3,5,-2,-27,-44,-39,-26,-6,5
6,1,-4,-3,5,-2,-27,-45,-40,-26,-6,5
6,2,-4,-4,5,-2,-28,-46,-40,-27,-6,5
7,2,-4,-5,5,-1,-28,-46,-40,-27,-6,5
7,3,-3,-5,5,-1,-29,-47,-41,-27,-6,5
7,3,-3,-5,5,0,-29,-48,-41,-27,-7,5
7,3,-2,-5,5,0,-29,-49,-42,-28,-7,5
7,3,-2,-5,5,0,-30,-50,-42,-28,-7,5
7,3,-2,-5,5,0,-31,-51,-43,-28,-7,5
7,3,-2,-5,5,0,-31,-52,-44,-29,-7,5
7,3,-2,-5,5,0,-32,-53,-45,-29,-7,4
7,3,-2,-5,5,0,-33,-54,-46,-30,-8,4
7,4,-2,-5,5,0,-34,-54,-47,-31,-8,4
7,4,-2,-5,5,0,-34,-55,-47,-31,-8,3
