leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,5,4,-3,-1,5,-1,-1,-2,-2,-2,-2
2,13,10,-8,-4,12,-2,-3,-4,-4,-6,-4
3,17,12,-10,-4,14,-2,-2,-3,-4,-7,-5
4,17,13,-11,-4,15,-1,-1,-2,-3,-6,-4
3,18,14,-11,-5,16,-1,-1,-2,-2,-6,-4
3,20,17,-12,-7,19,-1,-1,-2,-3,-7,-5
3,23,20,-13,-8,22,-2,-2,-3,-5,-9,-7
3,26,23,-15,-9,25,-3,-3,-5,-6,-11,-9
4,28,24,-16,-10,26,-4,-4,-5,-7,-12,-10
3,28,24,-15,-10,26,-4,-4,-5,-7,-12,-9
3,26,22,-14,-10,24,-3,-3,-5,-7,-12,-9
4,24,18,-14,-7,21,-2,-2,-4,-7,-12,-8
5,22,16,-14,-5,19,-2,-1,-3,-5,-11,-8
5,23,17,-14,-6,20,-2,-1,-2,-4,-9,-8
3,25,21,-14,-8,22,-3,-2,-3,-3,-8,-8
2,27,24,-15,-11,26,-4,-3,-3,-3,-8,-8
4,30,26,-17,-11,28,-5,-3,-4,-3,-8,-8
5,31,25,-18,-10,29,-6,-4,-4,-4,-8,-8
6,30,23,-18,-9,27,-6,-4,-4,-4,-8,-9
6,27,21,-17,-7,24,-6,-4,-4,-5,-8,-9
7,25,18,-16,-5,21,-7,-5,-4,-5,-9,-9
8,24,16,-17,-4,20,-10,-7,-4,-4,-9,-8
8,25,16,-17,-4,21,-12,-8,-5,-4,-10,-8
7,26,19,-17,-6,22,-12,-10,-6,-5,-10,-7
6,27,21,-16,-8,24,-13,-11,-8,-6,-11,-6
6,27,22,-16,-8,25,-13,-12,-10,-8,-12,-6
6,26,20,-16,-7,24,-13,-13,-11,-9,-12,-6
5,24,18,-15,-6,21,-12,-13,-12,-10,-12,-6
5,22,17,-13,-6,20,-11,-13,-12,-10,-11,-6
4,22,17,-13,-7,19,-11,-14,-12,-9,-10,-5
4,23,18,-13,-7,21,-12,-14,-13,-10,-9,-6
5,26,20,-15,-7,23,-13,-15,-14,-11,-11,-8
6,28,22,-16,-7,25,-13,-16,-15,-13,-12,-9
6,29,23,-17,-8,26,-13,-16,-15,-13,-13,-10
6,28,21,-17,-7,25,-13,-15,-15,-13,-13,-10
7,25,17,-16,-5,21,-12,-15,-14,-13,-14,-11
7,22,14,-14,-4,18,-12,-14,-14,-13,-14,-11
4,19,13,-12,-5,16,-10,-13,-13,-12,-14,-11
2,18,15,-10,-7,16,-9,-12,-13,-12,-13,-10
1,19,17,-10,-8,18,-8,-12,-14,-13,-14,-11
1,20,18,-11,-8,19,-8,-13,-15,-14,-16,-11
2,20,19,-11,-8,19,-8,-13,-15,-15,-16,-11
2,20,18,-11,-7,20,-8,-13,-15,-14,-15,-10
1,19,17,-11,-7,19,-8,-13,-14,-11,-13,-8
0,17,17,-9,-8,18,-7,-12,-12,-8,-10,-5
-2,16,17,-7,-10,17,-6,-12,-11,-7,-8,-2
-3,16,18,-7,-11,18,-6,-11,-12,-8,-8,-1
-3,17,20,-7,-11,19,-7,-12,-14,-11,-11,-4
-1,19,20,-9,-10,19,-8,-14,-16,-15,-15,-8
0,20,19,-10,-9,19,-9,-14,-17,-17,-18,-10
0,20,19,-9,-9,20,-9,-14,-17,-17,-18,-10
-1,18,19,-8,-10,19,-8,-13,-16,-15,-16,-9
-2,17,18,-7,-10,18,-8,-13,-16,-13,-14,-8
-2,17,18,-7,-10,18,-8,-13,-15,-12,-13,-8
-2,16,18,-7,-10,18,-8,-13,-15,-12,-12,-7
-2,17,19,-8,-11,18,-8,-13,-15,-13,-13,-8
-1,18,19,-9,-11,19,-8,-13,-16,-15,-15,-9
-1,19,20,-9,-11,19,-8,-13,-17,-16,-17,-11
0,19,20,-9,-10,19,-8,-13,-17,-16,-17,-11
0,19,18,-9,-9,18,-8,-13,-16,-15,-17,-11
0,17,17,-8,-9,17,-7,-13,-16,-15,-16,-11
-2,15,16,-6,-9,16,-7,-12,-16,-15,-16,-11
-3,13,16,-5,-10,15,-7,-12,-16,-15,-17,-11
-2,14,16,-6,-9,15,-7,-12,-16,-15,-17,-12
-1,15,16,-7,-9,16,-6,-12,-16,-15,-16,-11
-1,16,17,-8,-9,17,-6,-11,-15,-13,-14,-10
-1,17,19,-8,-10,17,-5,-11,-14,-13,-13,-10
-2,18,20,-8,-11,18,-6,-11,-15,-14,-13,-10
-2,18,20,-8,-11,18,-7,-12,-16,-15,-15,-11
-1,17,19,-8,-10,18,-7,-12,-17,-16,-16,-12
-1,17,18,-7,-9,18,-6,-12,-16,-14,-15,-11
-1,17,18,-7,-9,18,-5,-11,-15,-13,-14,-10
-1,18,18,-8,-10,19,-5,-11,-15,-14,-15,-10
-1,18,19,-8,-10,19,-5,-11,-16,-16,-16,-11
-1,18,19,-8,-10,18,-5,-10,-16,-17,-16,-11
-1,18,20,-8,-11,19,-4,-10,-15,-16,-16,-11
-2,18,20,-8,-11,19,-4,-10,-15,-16,-16,-11
-2,17,18,-7,-10,18,-5,-10,-15,-15,-16,-11
-1,16,16,-7,-8,17,-5,-10,-15,-15,-16,-12
0,17,15,-8,-7,16,-5,-9,-14,-15,-16,-13
0,17,15,-8,-7,16,-4,-6,-13,-15,-17,-15
0,17,15,-8,-7,16,-2,-2,-9,-14,-17,-17
1,17,15,-8,-7,16,0,3,-4,-11,-16,-18
1,17,15,-9,-7,17,0,7,0,-7,-13,-18
1,18,15,-9,-7,17,0,9,4,-3,-10,-16
5,19,13,-12,-5,17,-1,10,9,0,-7,-13
9,20,10,-15,0,15,-1,13,14,4,-3,-10
14,20,5,-17,5,13,-1,19,21,9,0,-7
20,21,0,-21,10,12,0,28,32,16,5,-4
27,24,-4,-25,16,11,1,38,46,24,13,0
37,29,-8,-33,22,11,0,47,61,35,22,6
47,35,-12,-41,29,12,-3,52,74,48,34,16
55,43,-12,-49,33,15,-7,50,85,62,48,30
63,51,-11,-57,36,19,-12,42,90,75,62,44
69,61,-8,-65,38,26,-19,29,89,85,74,57
70,69,-1,-69,36,34,-25,11,80,88,81,66
66,74,8,-70,29,42,-31,-10,63,83,80,69
57,77,19,-67,19,49,-34,-32,40,71,73,67
47,78,31,-62,8,55,-36,-52,15,57,63,64
35,79,44,-57,-4,62,-36,-69,-9,42,52,58
20,79,58,-50,-19,69,-34,-82,-33,27,41,52
5,78,73,-42,-34,75,-28,-89,-55,11,29,44
-8,76,84,-34,-46,80,-21,-91,-73,-5,17,35
-18,74,91,-28,-54,83,-16,-92,-89,-22,4,24
-25,70,94,-22,-59,83,-14,-93,-103,-40,-10,13
-29,64,93,-18,-60,80,-16,-96,-116,-56,-24,0
-30,58,88,-14,-59,74,-20,-98,-126,-70,-37,-11
-32,50,82,-9,-57,67,-23,-99,-131,-80,-47,-20
-34,43,77,-5,-55,60,-26,-97,-131,-85,-52,-25
-33,37,71,-2,-52,54,-28,-93,-126,-85,-54,-28
-30,33,63,-2,-47,48,-28,-87,-118,-82,-53,-29
-27,29,56,-1,-41,42,-28,-79,-108,-78,-52,-29
-24,26,50,-1,-36,38,-26,-70,-97,-72,-50,-28
-20,25,45,-2,-32,36,-24,-61,-85,-65,-46,-27
-16,24,40,-4,-28,34,-22,-52,-74,-58,-42,-25
-14,23,37,-4,-26,31,-19,-42,-63,-50,-37,-24
-13,22,35,-4,-24,29,-16,-34,-53,-43,-33,-22
-10,22,33,-6,-22,28,-13,-27,-46,-38,-30,-21
-8,23,31,-7,-19,26,-11,-22,-39,-33,-26,-20
-7,22,29,-7,-18,25,-9,-18,-32,-28,-23,-18
-6,21,26,-7,-16,24,-7,-15,-28,-24,-20,-16
-4,21,24,-8,-14,23,-7,-13,-25,-22,-19,-16
-4,21,24,-8,-13,23,-6,-11,-22,-20,-17,-15
-6,20,26,-7,-16,24,-5,-9,-19,-17,-14,-14
-7,20,27,-7,-18,24,-5,-8,-17,-15,-12,-13
-6,21,27,-8,-17,24,-6,-7,-16,-14,-11,-12
-4,22,26,-8,-16,24,-6,-6,-15,-14,-10,-12
-3,22,25,-8,-14,23,-5,-5,-14,-13,-9,-11
-3,22,24,-9,-14,23,-5,-5,-14,-12,-10,-10
-2,22,23,-9,-13,23,-5,-5,-14,-13,-10,-10
-1,22,22,-10,-12,22,-5,-5,-14,-13,-10,-11
0,22,22,-11,-11,22,-5,-4,-13,-13,-10,-11
-1,21,22,-10,-12,22,-5,-2,-13,-13,-10,-10
-1,21,22,-10,-12,22,-5,-2,-12,-13,-11,-11
-1,21,22,-10,-12,22,-5,-2,-12,-13,-11,-12
-1,21,21,-10,-11,21,-5,-2,-11,-13,-12,-13
-2,20,22,-9,-12,21,-4,-2,-10,-12,-12,-13
-3,20,23,-8,-13,21,-4,-2,-9,-11,-11,-12
-3,20,23,-8,-13,22,-4,-2,-8,-9,-10,-10
-1,21,22,-10,-12,22,-4,-2,-8,-8,-9,-9
-1,21,22,-10,-12,22,-4,-1,-8,-8,-9,-8
-1,21,23,-10,-12,22,-4,0,-8,-9,-9,-8
0,21,22,-10,-12,22,-4,0,-8,-8,-8,-8
0,22,22,-11,-11,22,-3,0,-7,-7,-6,-8
0,22,22,-11,-11,22,-4,-1,-8,-8,-7,-10
0,22,21,-11,-10,22,-5,-2,-8,-10,-8,-12
0,22,21,-11,-10,21,-5,-1,-8,-10,-9,-14
-1,21,21,-10,-11,21,-4,-1,-8,-10,-8,-14
-1,21,22,-9,-11,21,-4,0,-7,-9,-8,-14
-1,21,22,-9,-11,22,-4,0,-7,-10,-8,-14
-1,21,22,-10,-11,22,-4,0,-8,-10,-9,-14
-1,21,22,-9,-11,22,-4,0,-7,-10,-9,-12
-1,21,22,-9,-11,22,-4,0,-7,-9,-9,-10
-1,21,22,-9,-11,22,-4,0,-7,-9,-9,-9
0,21,22,-9,-11,22,-5,0,-7,-9,-8,-9
0,21,21,-10,-11,22,-5,-1,-7,-9,-7,-8
1,21,20,-11,-9,21,-4,0,-6,-9,-6,-8
2,21,19,-11,-9,21,-4,0,-5,-8,-5,-8
0,20,20,-10,-10,20,-4,1,-4,-6,-3,-7
-1,20,21,-9,-11,20,-3,2,-3,-5,-2,-5
-1,19,21,-9,-11,20,-3,2,-3,-6,-3,-5
-1,19,20,-8,-10,19,-3,2,-3,-6,-4,-5
-1,19,19,-8,-10,19,-3,2,-3,-7,-4,-6
0,19,19,-8,-9,19,-3,2,-2,-7,-4,-6
0,18,18,-8,-9,18,-3,2,-2,-6,-3,-6
0,18,17,-8,-8,18,-3,2,-2,-5,-2,-6
0,17,17,-8,-8,18,-3,2,-2,-5,-3,-6
0,17,17,-9,-8,17,-3,2,-1,-5,-3,-6
1,18,17,-9,-8,17,-3,2,-1,-5,-3,-6
1,18,17,-9,-8,17,-3,2,-1,-5,-3,-6
0,18,17,-8,-9,17,-4,2,-1,-6,-3,-7
0,18,18,-8,-9,18,-4,2,0,-6,-4,-8
1,19,18,-9,-8,18,-4,2,-1,-6,-5,-10
2,19,17,-10,-8,18,-4,2,-1,-6,-5,-11
2,20,17,-10,-7,18,-3,2,0,-5,-4,-11
2,20,17,-10,-7,18,-4,3,1,-4,-3,-10
1,19,18,-10,-8,18,-4,3,1,-2,-1,-9
0,19,19,-9,-9,19,-4,3,1,-2,-1,-8
0,20,19,-10,-9,19,-4,3,1,-2,-1,-7
1,20,18,-10,-8,19,-4,3,2,-2,-1,-6
1,19,18,-10,-8,19,-4,4,3,-2,-2,-4
1,19,18,-9,-8,19,-4,4,3,-2,-2,-4
2,19,17,-10,-7,18,-4,4,2,-2,-3,-4
3,19,16,-10,-6,18,-4,4,3,-2,-3,-3
2,18,16,-10,-6,17,-4,5,4,-1,-2,-2
1,18,16,-9,-7,17,-3,6,4,0,-1,-2
1,17,15,-9,-6,16,-3,5,4,-1,0,-2
2,17,14,-9,-5,15,-3,5,4,-1,0,-3
3,17,13,-9,-5,15,-3,6,5,0,0,-3
3,17,14,-9,-5,15,-3,6,6,0,1,-3
3,17,14,-10,-5,15,-4,6,6,0,1,-4
5,18,13,-11,-4,15,-5,6,6,0,0,-5
5,17,12,-11,-4,14,-5,7,6,0,0,-5
4,16,12,-10,-4,14,-5,8,7,0,0,-5
4,16,11,-10,-4,14,-5,9,7,2,1,-5
5,16,11,-11,-3,14,-5,8,7,2,2,-5
5,16,11,-11,-3,14,-6,8,8,2,2,-4
4,16,11,-10,-3,14,-6,8,9,3,3,-3
5,17,11,-11,-3,14,-6,8,9,3,4,-2
7,17,9,-12,-1,13,-6,8,9,3,4,-2
7,16,9,-11,-1,12,-5,8,9,2,4,-1
6,16,10,-11,-1,13,-5,9,10,3,4,-1
5,16,10,-11,-1,13,-6,8,10,3,4,-1
5,16,10,-11,-1,13,-6,7,9,2,3,-2
6,15,9,-10,-1,12,-6,7,9,2,2,-2
6,15,8,-10,0,12,-6,8,10,3,3,0
7,15,7,-11,0,12,-7,8,11,5,4,1
9,16,7,-12,1,12,-7,8,11,5,4,1
9,16,7,-12,1,11,-8,8,10,4,4,1
9,16,7,-12,1,11,-8,8,10,4,4,0
8,16,7,-11,0,12,-7,8,11,5,5,0
8,17,8,-12,0,12,-7,8,12,6,5,0
10,19,7,-14,2,13,-8,7,10,5,4,-1
12,19,6,-15,3,13,-10,6,8,3,2,-3
11,18,6,-15,2,13,-11,5,8,2,2,-4
8,17,8,-13,0,13,-10,5,8,3,2,-3
5,17,11,-11,-2,14,-9,6,9,3,3,-2
5,17,11,-11,-3,14,-9,5,9,4,3,-2
7,17,10,-12,-1,14,-9,5,9,4,3,-1
8,17,9,-13,0,14,-10,4,8,3,2,-1
8,16,8,-12,0,13,-10,4,8,3,3,-1
8,15,8,-12,0,13,-10,4,8,4,5,1
7,15,7,-11,0,12,-10,4,8,6,7,3
8,15,7,-12,1,12,-11,3,8,7,9,4
9,16,6,-12,1,12,-11,3,8,7,9,4
10,16,6,-13,2,12,-10,4,9,7,8,4
10,16,5,-13,2,11,-10,4,9,6,7,2
10,15,5,-12,3,11,-10,4,8,6,6,1
10,15,4,-12,3,10,-9,3,8,6,5,1
9,14,4,-11,2,10,-9,3,8,6,5,1
8,13,5,-10,1,9,-8,3,8,6,6,2
7,13,5,-10,1,9,-8,3,8,6,6,2
6,12,5,-9,0,9,-8,2,7,6,6,3
6,12,6,-8,0,9,-7,2,7,7,7,3
6,11,5,-8,0,8,-7,2,7,7,7,3
6,11,4,-8,1,7,-7,2,7,7,6,3
6,10,4,-7,1,7,-7,1,6,7,5,3
4,9,5,-6,0,7,-7,1,6,6,4,2
3,9,6,-6,-1,7,-6,0,5,6,3,2
2,9,6,-5,-2,7,-6,0,4,5,3,1
2,9,7,-5,-3,7,-5,0,4,5,4,1
1,9,7,-5,-3,8,-5,0,3,5,5,2
1,9,8,-5,-3,8,-5,0,3,5,7,2
1,9,8,-4,-4,8,-4,0,3,5,8,1
0,9,9,-4,-5,9,-4,-1,2,5,8,0
0,9,10,-4,-5,10,-4,-2,0,3,6,-1
1,10,9,-5,-4,10,-5,-3,-1,2,4,-4
1,9,9,-5,-4,10,-5,-4,-1,1,2,-5
-1,8,10,-4,-5,10,-4,-3,-1,1,1,-5
-2,8,10,-3,-6,10,-4,-3,-2,1,1,-5
-2,8,10,-3,-6,10,-4,-3,-2,1,1,-5
-2,8,11,-2,-7,10,-3,-3,-2,1,1,-5
-2,8,11,-3,-7,10,-3,-4,-2,1,0,-5
-1,9,10,-4,-6,10,-3,-4,-3,0,-1,-6
-1,9,11,-4,-6,10,-3,-4,-3,0,-1,-6
-3,9,13,-3,-8,11,-2,-3,-2,1,0,-5
-5,10,15,-3,-10,12,-2,-3,-2,1,0,-5
-3,11,14,-3,-9,12,-3,-4,-3,-1,0,-7
-2,11,13,-4,-8,12,-3,-5,-4,-2,-1,-9
-2,10,13,-3,-7,12,-3,-5,-5,-3,-2,-9
-3,10,13,-2,-8,12,-3,-5,-6,-4,-2,-8
-4,9,14,-2,-9,12,-2,-5,-6,-4,-2,-6
-5,9,14,-2,-9,12,-2,-4,-5,-3,-2,-4
-5,9,14,-2,-10,12,-2,-4,-4,-2,-1,-3
-6,9,14,-2,-10,12,-2,-4,-4,-1,-1,-2
-4,9,13,-2,-9,12,-2,-5,-5,-2,-2,-3
-2,9,11,-3,-7,11,-3,-5,-6,-3,-3,-4
-2,9,11,-3,-6,10,-2,-5,-5,-3,-1,-4
-4,8,12,-1,-8,10,-1,-3,-4,-2,1,-5
-5,7,13,0,-9,10,0,-3,-3,-1,1,-6
-6,7,14,0,-10,10,0,-2,-3,-1,2,-6
-8,6,15,1,-11,10,1,-2,-3,-1,2,-5
-8,6,15,0,-11,10,0,-2,-4,-1,1,-5
-6,7,13,0,-9,10,0,-3,-5,-3,0,-5
-4,6,11,0,-8,9,0,-3,-5,-3,0,-4
-4,6,10,0,-7,8,0,-2,-5,-3,0,-3
-4,5,10,0,-6,8,0,-2,-5,-2,0,-3
-4,5,9,0,-6,7,0,-2,-4,-1,1,-2
-4,4,9,0,-6,7,0,-2,-4,0,2,-1
-4,4,9,1,-6,6,0,-2,-3,0,3,0
-5,4,9,1,-7,6,0,-2,-3,0,4,1
-4,4,8,1,-6,6,0,-2,-3,0,3,1
-4,3,7,1,-6,5,0,-2,-3,-1,2,0
-5,1,6,2,-6,4,0,-2,-2,-1,1,0
-5,0,6,3,-5,3,1,-1,-2,-1,1,0
-4,0,5,2,-5,3,1,-1,-2,-1,1,0
-4,0,4,2,-4,2,1,0,-1,0,2,0
-5,0,4,3,-4,2,1,0,-1,0,3,-1
-5,-1,4,3,-5,2,1,0,-1,0,3,-2
-6,-1,4,3,-5,2,1,0,-1,0,4,-2
-6,-1,4,3,-5,2,1,0,0,1,4,-2
-5,-1,3,3,-4,2,2,0,0,2,5,-2
-4,0,3,3,-4,2,2,0,1,2,5,-1
-3,0,3,3,-4,2,1,0,0,2,5,-1
-3,0,4,2,-4,2,1,0,0,1,3,-3
-4,0,4,2,-4,2,1,0,-1,0,1,-5
-5,0,5,2,-5,3,1,0,0,0,1,-5
-5,0,5,2,-5,3,1,0,0,0,2,-4
-5,0,5,2,-5,3,1,0,0,0,2,-4
-4,0,4,1,-4,2,0,0,0,0,2,-4
-4,0,4,2,-4,2,0,0,0,0,2,-3
-5,0,5,2,-5,3,1,0,0,0,3,-1
-5,0,5,3,-5,3,2,1,0,0,4,0
-4,0,5,2,-4,3,2,1,0,0,4,0
-4,0,4,2,-4,2,2,1,0,0,4,-1
-6,-2,5,4,-6,2,3,2,1,0,6,0
-7,-2,5,4,-6,2,4,3,2,1,6,0
-5,-1,4,3,-4,1,2,2,2,1,5,-2
-3,0,2,2,-3,1,1,1,1,0,4,-4
-4,-1,2,3,-3,1,2,2,2,0,3,-5
-5,-1,3,4,-4,1,2,2,2,0,3,-5
-5,-1,3,4,-4,1,1,1,1,0,2,-5
-4,-1,3,3,-4,1,0,0,0,0,2,-4
-4,-1,3,2,-3,1,0,0,0,0,2,-4
-4,-1,3,2,-3,1,0,0,0,0,2,-3
-4,0,3,2,-3,1,0,1,1,1,2,-3
-3,0,3,2,-3,1,0,1,1,1,2,-4
-3,0,3,2,-3,1,0,1,1,1,3,-5
-4,0,4,2,-4,2,0,1,1,2,4,-5
-5,0,4,2,-5,2,1,2,2,3,5,-4
-5,0,5,2,-5,3,1,2,2,2,5,-2
-4,0,5,2,-4,3,1,1,2,1,4,-2
-4,0,5,2,-4,3,1,1,2,0,4,-2
