leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
5,0,-5,-2,5,-3,4,0,0,-2,-11,1
14,-1,-15,-6,14,-8,11,-1,0,-9,-27,1
20,-2,-21,-9,20,-11,13,-2,0,-20,-32,-1
24,-2,-25,-11,24,-13,15,-3,-1,-32,-30,-3
26,-2,-27,-12,26,-14,16,-3,-1,-42,-25,-4
26,-2,-28,-12,27,-15,17,-3,-1,-50,-18,-3
26,-3,-29,-11,28,-16,18,-2,0,-55,-10,-1
26,-3,-30,-11,28,-16,19,-2,0,-58,-2,3
27,-4,-30,-11,29,-17,20,-1,1,-59,5,6
27,-4,-30,-11,29,-17,21,-1,2,-60,12,8
26,-4,-29,-11,28,-17,21,-1,3,-61,18,8
23,-4,-27,-9,25,-16,22,0,3,-62,23,7
21,-5,-25,-8,23,-15,22,0,4,-62,27,6
21,-5,-25,-8,23,-15,23,0,4,-61,31,6
22,-4,-26,-9,24,-15,24,1,5,-57,34,7
23,-4,-27,-9,25,-15,25,2,6,-54,37,7
24,-3,-28,-10,26,-15,26,3,7,-50,40,7
25,-3,-28,-10,26,-15,27,3,8,-47,43,6
24,-3,-28,-10,26,-15,26,3,7,-45,44,4
24,-4,-28,-9,26,-15,26,3,7,-44,44,3
24,-4,-28,-10,26,-16,26,3,7,-41,43,3
25,-3,-29,-11,27,-16,27,3,8,-36,45,3
26,-3,-29,-11,28,-16,27,3,8,-31,47,4
26,-4,-30,-10,28,-16,27,3,9,-26,49,5
25,-4,-30,-10,27,-16,27,3,9,-21,49,6
25,-5,-30,-9,27,-17,28,3,9,-17,47,6
25,-4,-30,-10,28,-17,28,4,10,-14,44,7
26,-3,-30,-11,28,-17,28,4,10,-10,42,8
27,-3,-30,-12,28,-16,29,4,11,-6,41,9
27,-2,-30,-13,29,-15,29,4,11,-2,43,11
29,-1,-30,-13,29,-15,29,4,11,3,48,13
29,-1,-30,-14,30,-15,29,3,12,8,53,15
28,-1,-30,-13,29,-15,29,3,12,14,55,17
28,-1,-29,-12,29,-15,29,3,13,19,57,20
29,-1,-30,-13,30,-15,30,4,14,23,58,21
29,-1,-30,-14,30,-15,30,4,14,26,58,23
28,-1,-30,-13,29,-15,30,4,14,30,58,24
28,-2,-29,-13,28,-15,30,4,14,34,57,25
27,-2,-30,-12,28,-15,30,4,14,40,56,27
27,-2,-29,-12,28,-15,30,3,14,45,55,28
27,-2,-29,-12,28,-15,30,3,14,51,54,29
27,-2,-29,-12,28,-15,30,2,14,55,54,30
28,-2,-29,-12,28,-15,29,1,13,59,53,29
28,-1,-30,-13,29,-15,29,0,13,61,53,28
29,-1,-30,-13,29,-15,29,0,13,64,52,28
29,-1,-30,-14,30,-15,28,0,13,67,51,27
29,0,-30,-14,30,-14,28,-1,12,71,49,26
29,0,-29,-14,29,-14,27,-1,12,75,45,25
29,0,-28,-14,29,-13,27,-2,12,79,39,25
28,1,-27,-14,28,-13,27,-2,11,82,35,25
28,1,-27,-14,27,-12,27,-3,11,84,34,25
27,1,-26,-14,27,-12,26,-3,11,83,34,25
26,1,-26,-13,26,-12,26,-3,11,82,34,24
27,2,-26,-14,26,-11,26,-3,11,81,35,24
27,3,-24,-14,25,-10,26,-3,11,81,36,23
27,4,-23,-15,25,-9,26,-3,10,81,37,21
26,3,-22,-15,24,-9,26,-3,9,80,37,19
27,3,-23,-15,25,-9,25,-4,8,79,38,17
27,4,-23,-15,25,-9,24,-5,7,78,38,14
27,5,-22,-15,24,-8,24,-6,6,76,38,10
27,5,-21,-15,24,-8,23,-6,6,73,39,6
26,5,-21,-15,23,-7,23,-7,5,69,39,2
26,5,-20,-15,23,-7,22,-7,4,66,39,-1
26,6,-20,-16,23,-6,21,-7,3,62,39,-5
26,6,-19,-16,23,-6,21,-7,3,59,40,-9
24,7,-17,-16,21,-5,20,-7,2,55,40,-14
22,7,-15,-15,18,-4,20,-7,2,49,41,-20
21,7,-13,-14,17,-3,19,-7,1,42,41,-26
20,8,-12,-14,16,-2,18,-7,0,34,41,-31
20,9,-11,-14,15,-1,17,-7,-1,27,41,-35
19,9,-11,-13,15,0,16,-7,-2,20,41,-38
18,8,-9,-13,14,0,15,-7,-3,13,41,-41
17,8,-8,-12,12,0,14,-6,-3,7,41,-44
16,9,-7,-12,11,1,14,-6,-4,0,41,-46
15,9,-6,-12,10,1,13,-6,-5,-7,41,-50
14,9,-4,-11,9,2,13,-6,-5,-14,42,-53
12,9,-2,-10,7,3,12,-5,-6,-23,42,-57
10,9,0,-9,5,4,11,-5,-6,-32,42,-61
10,10,1,-9,3,5,10,-4,-7,-41,43,-64
8,10,2,-8,2,6,9,-4,-8,-50,43,-68
6,9,4,-7,0,6,8,-3,-9,-59,43,-72
5,9,5,-7,0,7,7,-3,-11,-68,43,-76
3,10,6,-6,-1,8,6,-3,-12,-77,43,-80
2,10,7,-6,-3,8,5,-3,-13,-85,44,-83
0,10,9,-5,-4,9,4,-3,-14,-93,44,-85
0,10,10,-4,-5,10,3,-2,-15,-101,44,-87
-2,9,11,-3,-7,11,2,-2,-16,-107,45,-87
-5,9,14,-1,-10,12,1,-1,-17,-112,45,-85
-9,8,16,0,-13,12,1,0,-17,-115,45,-82
-11,7,18,1,-15,13,0,0,-17,-118,45,-79
-12,7,19,2,-16,13,0,0,-17,-121,45,-76
-14,7,21,3,-17,14,0,1,-17,-124,45,-73
-16,6,22,5,-19,14,0,2,-17,-128,46,-71
-18,5,23,6,-20,14,-1,2,-18,-133,45,-69
-19,5,23,7,-21,14,-2,2,-19,-139,45,-67
-21,5,25,8,-23,15,-3,2,-19,-143,44,-65
-23,5,27,9,-25,16,-3,3,-19,-148,44,-62
-24,5,29,9,-27,17,-3,3,-19,-152,43,-60
-26,5,31,10,-28,18,-4,3,-20,-156,42,-59
-28,5,33,12,-30,19,-4,3,-21,-160,42,-58
-30,4,34,13,-32,19,-5,3,-22,-165,41,-57
-31,4,35,14,-33,19,-6,3,-23,-171,41,-57
-32,4,36,14,-34,20,-7,3,-23,-177,40,-56
-33,5,37,14,-35,21,-7,4,-24,-182,40,-55
-33,5,37,14,-35,21,-8,4,-25,-187,39,-54
-33,4,38,15,-36,21,-9,3,-26,-190,38,-53
-35,3,38,16,-36,21,-10,3,-27,-191,38,-52
-36,2,38,17,-37,20,-11,3,-27,-192,38,-49
-36,3,39,17,-38,21,-12,3,-27,-192,38,-46
-37,3,40,17,-38,22,-12,4,-27,-190,38,-42
-37,3,41,17,-39,22,-11,5,-26,-187,39,-37
-38,3,41,17,-39,22,-11,6,-26,-182,39,-32
-38,2,40,18,-39,21,-12,6,-25,-177,38,-28
-39,1,40,19,-40,20,-12,5,-25,-171,37,-24
-39,1,40,19,-40,20,-12,6,-25,-164,36,-21
-38,1,39,19,-39,20,-12,7,-24,-157,36,-17
-37,1,38,18,-38,20,-12,7,-24,-151,36,-14
-37,1,38,18,-38,19,-13,7,-23,-146,35,-11
-36,1,37,17,-37,19,-13,8,-23,-142,35,-9
