leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,5,5,-3,-2,5,-4,-5,0,2,4,-10
0,12,12,-6,-6,12,-9,-17,-6,1,7,-31
-6,10,17,-2,-11,14,-10,-31,-19,-9,1,-50
-13,4,18,4,-15,11,-9,-43,-34,-22,-9,-67
-21,-6,15,14,-18,4,-6,-52,-48,-35,-21,-82
-28,-19,9,23,-18,-4,-2,-56,-56,-45,-32,-94
-31,-30,2,30,-17,-14,2,-54,-59,-51,-39,-103
-32,-38,-5,35,-14,-21,7,-46,-57,-52,-43,-109
-31,-42,-11,36,-11,-26,11,-36,-52,-51,-43,-112
-28,-43,-15,35,-7,-28,15,-25,-47,-49,-41,-114
-24,-41,-17,33,-4,-29,18,-15,-40,-45,-38,-114
-21,-40,-19,30,-1,-29,21,-7,-33,-40,-35,-113
-19,-40,-20,29,0,-30,25,-1,-27,-36,-34,-112
-19,-42,-22,30,1,-32,29,1,-21,-33,-33,-112
-20,-45,-23,32,1,-34,32,3,-17,-31,-34,-112
-21,-46,-24,33,1,-35,35,6,-15,-29,-33,-111
-20,-45,-25,32,2,-35,38,10,-13,-28,-32,-111
-18,-43,-25,30,3,-33,39,14,-11,-27,-30,-110
-16,-40,-25,28,4,-32,40,18,-9,-25,-28,-110
-14,-39,-25,26,5,-31,41,21,-7,-24,-27,-109
-13,-39,-25,26,6,-32,41,21,-5,-23,-27,-109
-13,-40,-26,26,6,-33,41,20,-4,-22,-28,-109
-14,-42,-27,28,6,-35,42,19,-3,-22,-28,-109
-15,-43,-28,29,6,-35,42,19,-2,-21,-28,-108
-14,-43,-28,28,6,-35,43,20,-2,-21,-28,-108
-13,-41,-27,27,7,-33,43,22,-1,-21,-27,-108
-12,-39,-27,25,7,-32,42,24,-1,-21,-26,-108
-11,-37,-27,24,8,-32,42,25,-1,-20,-26,-108
-10,-37,-27,23,8,-32,41,26,-1,-20,-26,-108
-11,-38,-27,24,8,-33,41,25,0,-19,-26,-108
-12,-40,-27,26,8,-34,41,24,0,-19,-27,-108
-13,-42,-27,27,7,-35,41,23,0,-19,-27,-108
-14,-43,-27,28,7,-35,41,23,0,-19,-27,-108
-14,-42,-27,28,6,-34,41,25,0,-19,-27,-108
-13,-41,-27,27,6,-33,40,26,0,-19,-26,-108
-12,-39,-27,25,6,-32,39,28,0,-19,-26,-108
-11,-37,-27,24,7,-32,39,29,0,-18,-25,-107
-11,-37,-27,24,7,-32,39,28,0,-18,-25,-107
-11,-38,-27,25,7,-32,39,27,0,-18,-25,-107
-12,-39,-27,26,8,-32,39,26,0,-17,-25,-107
-12,-40,-27,26,8,-33,39,26,0,-17,-25,-107
-12,-40,-27,26,8,-33,38,26,1,-17,-25,-107
-11,-38,-27,24,8,-32,38,28,1,-17,-25,-107
-10,-36,-27,22,8,-31,37,29,2,-16,-24,-107
-9,-35,-27,21,8,-30,37,29,2,-16,-24,-107
-9,-35,-27,22,8,-30,37,29,3,-15,-24,-107
-10,-36,-27,23,8,-31,37,28,3,-15,-23,-107
-11,-38,-27,24,8,-31,37,27,3,-14,-23,-107
-12,-39,-26,25,8,-32,36,26,3,-14,-23,-108
-12,-39,-26,26,7,-32,36,26,3,-14,-23,-108
-11,-38,-26,25,7,-31,35,26,4,-14,-23,-108
-10,-36,-25,23,7,-30,35,26,4,-14,-23,-108
-10,-34,-25,22,7,-30,35,27,5,-14,-23,-108
-9,-33,-25,21,7,-30,35,27,5,-13,-22,-109
-8,-33,-25,20,8,-29,35,27,6,-12,-22,-109
-8,-33,-25,20,8,-29,36,27,7,-11,-21,-109
-7,-33,-24,20,9,-28,36,27,8,-11,-20,-109
-7,-32,-24,19,9,-28,36,27,8,-10,-20,-109
-7,-32,-24,19,9,-27,36,28,9,-10,-19,-110
-7,-31,-24,18,9,-27,36,30,9,-9,-19,-110
-7,-30,-24,18,8,-27,35,31,10,-9,-19,-111
-7,-30,-23,18,8,-27,35,31,10,-9,-19,-111
-7,-30,-23,18,8,-27,35,32,10,-8,-19,-111
-7,-30,-23,18,8,-27,35,32,11,-8,-18,-112
-7,-31,-23,19,8,-27,35,33,11,-8,-18,-112
-7,-31,-23,19,8,-27,36,34,12,-7,-18,-112
-7,-31,-23,18,8,-27,36,36,13,-7,-17,-112
-6,-30,-23,17,8,-26,36,38,13,-6,-17,-112
-5,-28,-23,16,9,-25,36,39,14,-5,-16,-112
-5,-27,-22,15,9,-25,36,41,15,-5,-16,-112
-4,-26,-22,14,9,-24,36,42,16,-4,-15,-112
-3,-25,-22,14,9,-24,36,43,17,-3,-14,-112
-3,-25,-22,14,10,-23,36,44,18,-2,-13,-112
-3,-25,-22,14,10,-23,36,45,18,-1,-13,-112
-2,-25,-22,13,10,-23,36,46,19,0,-12,-112
-2,-25,-22,13,10,-23,36,47,20,0,-12,-112
-1,-24,-22,12,11,-23,36,49,21,1,-11,-112
-1,-23,-22,11,11,-23,36,51,22,2,-10,-112
0,-22,-22,10,11,-22,36,52,23,3,-9,-112
0,-21,-22,10,11,-22,36,52,24,4,-8,-112
1,-21,-22,9,12,-21,35,53,24,4,-7,-112
1,-20,-21,9,12,-21,34,53,25,5,-7,-112
1,-20,-21,8,12,-20,33,54,25,6,-6,-112
1,-20,-21,8,12,-20,33,55,26,6,-6,-112
2,-19,-21,8,12,-19,32,56,27,7,-5,-112
2,-18,-21,7,12,-19,32,57,27,8,-4,-112
3,-17,-20,6,12,-19,31,57,28,9,-4,-111
3,-17,-20,6,12,-19,31,57,29,9,-3,-111
4,-16,-20,6,12,-18,30,57,30,10,-2,-110
4,-16,-20,6,12,-18,30,57,30,10,-2,-110
4,-16,-19,5,12,-17,29,56,30,11,-1,-109
3,-16,-19,5,12,-17,28,56,30,11,-1,-109
3,-15,-19,5,11,-16,28,55,30,11,-1,-109
3,-15,-18,5,11,-16,28,55,29,11,-1,-109
3,-14,-18,5,11,-16,27,55,29,11,-1,-109
3,-14,-17,5,11,-15,27,55,29,11,-1,-108
3,-14,-17,5,11,-15,26,54,29,11,-1,-107
4,-13,-17,4,11,-15,26,54,28,11,-1,-107
5,-12,-17,3,11,-14,26,53,28,11,-1,-106
6,-11,-17,2,11,-13,26,53,28,11,0,-105
7,-10,-16,1,11,-13,26,52,28,11,0,-104
7,-9,-16,1,11,-13,25,52,28,11,0,-103
7,-9,-16,1,11,-12,25,51,27,11,0,-103
7,-9,-16,1,11,-12,24,50,27,11,0,-102
6,-9,-16,1,11,-12,24,49,26,10,0,-102
6,-10,-16,2,11,-12,23,47,25,9,-1,-102
5,-11,-16,3,10,-12,23,46,24,8,-1,-103
4,-11,-16,3,10,-13,22,44,22,7,-2,-103
3,-11,-15,3,10,-12,22,43,21,6,-2,-103
3,-11,-15,3,9,-12,21,41,20,5,-3,-103
3,-11,-14,3,9,-12,21,40,19,4,-3,-104
3,-12,-14,3,8,-12,20,38,18,4,-4,-104
2,-12,-14,4,8,-13,20,37,17,3,-4,-105
2,-12,-14,4,8,-13,19,35,15,2,-5,-106
1,-13,-14,5,8,-13,19,34,14,1,-6,-107
1,-13,-14,5,8,-13,19,32,12,0,-7,-108
0,-13,-14,6,8,-14,19,31,11,-1,-8,-109
0,-14,-14,6,7,-14,19,29,10,-2,-9,-110
0,-15,-14,6,7,-14,19,28,9,-3,-10,-111
-1,-16,-14,7,7,-14,19,26,8,-4,-11,-113
-2,-17,-14,9,7,-15,19,25,7,-5,-12,-114
-3,-18,-15,10,7,-16,19,23,6,-6,-13,-116
-3,-19,-15,11,7,-17,19,22,5,-7,-13,-117
-4,-19,-15,11,6,-17,19,21,4,-8,-14,-118
-4,-20,-15,11,6,-18,19,20,3,-9,-14,-120
-4,-20,-16,11,6,-18,19,19,2,-9,-15,-121
-4,-20,-16,12,6,-18,19,18,1,-10,-15,-122
-5,-21,-16,13,5,-18,19,17,0,-11,-16,-124
-6,-23,-16,14,5,-19,19,16,0,-12,-17,-125
-7,-24,-17,15,5,-20,19,15,-1,-12,-17,-126
-7,-24,-17,15,5,-20,19,15,-1,-13,-18,-127
-7,-24,-17,15,5,-20,19,14,-2,-13,-18,-128
-7,-24,-17,15,5,-20,19,14,-2,-13,-18,-129
-7,-25,-17,15,5,-20,18,14,-2,-13,-18,-130
-7,-25,-17,15,5,-20,18,14,-2,-13,-18,-131
-8,-25,-16,15,4,-20,18,14,-2,-14,-18,-131
-8,-25,-16,15,4,-20,18,14,-3,-14,-18,-132
-8,-25,-16,15,4,-20,18,14,-3,-15,-18,-133
-8,-25,-16,16,4,-20,18,14,-4,-15,-18,-134
-8,-25,-16,16,4,-20,18,14,-4,-16,-18,-135
-8,-25,-16,16,4,-20,18,14,-4,-16,-18,-135
-8,-25,-16,16,4,-20,17,14,-4,-16,-19,-136
-8,-25,-16,16,3,-20,17,15,-4,-16,-19,-136
-8,-25,-16,16,3,-20,16,15,-4,-16,-19,-137
-8,-25,-16,16,3,-20,16,16,-4,-16,-19,-137
-8,-25,-16,16,4,-20,16,16,-4,-16,-19,-137
-8,-24,-16,16,4,-20,16,16,-4,-15,-19,-137
-8,-24,-16,16,4,-20,16,16,-4,-15,-19,-138
-8,-25,-16,16,4,-20,16,16,-4,-15,-19,-138
-9,-25,-16,17,4,-20,15,16,-4,-15,-19,-139
-9,-25,-15,17,4,-20,14,16,-4,-15,-19,-139
-10,-25,-15,17,3,-20,14,16,-4,-15,-19,-140
-10,-25,-15,17,3,-20,14,15,-4,-15,-19,-140
-9,-25,-15,16,3,-20,14,15,-5,-15,-19,-140
-9,-24,-15,16,4,-20,14,15,-5,-15,-19,-140
-8,-24,-15,16,4,-20,14,15,-5,-15,-19,-140
-8,-24,-15,16,4,-20,13,14,-5,-15,-18,-141
-8,-24,-15,16,4,-20,13,14,-5,-14,-18,-141
-9,-24,-15,16,3,-20,12,14,-5,-14,-18,-142
-9,-24,-15,16,3,-20,12,14,-5,-14,-18,-142
-9,-24,-15,16,3,-20,12,14,-4,-14,-17,-142
-9,-24,-15,16,3,-20,12,14,-4,-14,-17,-142
-9,-24,-15,16,3,-20,12,13,-4,-14,-17,-142
-8,-24,-14,15,3,-20,12,13,-4,-14,-17,-142
-7,-23,-14,14,3,-19,12,13,-4,-13,-17,-142
-6,-21,-14,13,4,-18,12,13,-4,-13,-17,-141
