leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,-1,0,0,1,3
1,1,0,-1,1,0,1,-1,0,0,3,8
3,3,0,-2,1,1,2,-1,1,0,4,12
4,4,0,-3,2,2,3,-1,2,1,5,15
6,4,-1,-5,4,1,3,-1,2,1,6,16
10,6,-4,-7,7,1,3,-1,1,1,6,16
12,7,-5,-9,8,1,3,-1,1,1,6,17
11,6,-4,-8,7,1,3,-2,1,0,6,16
9,4,-5,-6,7,0,2,-3,0,0,5,15
13,3,-10,-8,11,-3,0,-5,-2,-2,4,13
17,3,-14,-10,16,-5,-1,-6,-3,-4,2,11
17,4,-13,-10,15,-5,0,-6,-3,-4,3,10
15,3,-11,-9,13,-4,0,-5,-3,-3,3,11
14,3,-11,-8,13,-4,0,-6,-3,-4,3,11
13,2,-10,-8,12,-4,0,-6,-3,-4,3,11
12,1,-10,-7,12,-4,0,-6,-3,-4,3,10
11,1,-9,-6,11,-4,0,-5,-3,-4,3,11
8,2,-5,-5,7,-2,1,-4,-1,-2,5,12
3,2,0,-3,1,1,3,-2,0,0,7,14
-2,2,5,0,-3,4,4,-1,2,1,8,15
-2,3,6,0,-4,5,4,0,2,2,8,15
1,4,3,-2,-1,3,3,-2,0,0,7,14
6,4,-2,-4,3,1,1,-4,-1,-1,5,13
8,4,-4,-5,6,0,0,-5,-2,-3,4,12
8,5,-3,-6,6,1,0,-5,-2,-3,4,12
8,5,-2,-6,5,2,0,-5,-2,-3,4,13
7,5,-1,-6,4,2,0,-5,-2,-3,4,13
8,5,-1,-6,4,2,0,-5,-3,-3,3,12
9,5,-2,-7,5,1,0,-5,-3,-4,2,12
8,5,-1,-6,5,2,0,-5,-3,-4,2,12
8,5,-1,-6,4,2,0,-4,-3,-4,2,12
10,5,-4,-8,7,1,-1,-5,-3,-5,1,11
14,6,-7,-10,11,0,-2,-6,-4,-6,0,10
15,6,-8,-11,12,0,-2,-6,-4,-6,0,9
14,6,-7,-10,10,0,-2,-5,-4,-6,0,9
14,6,-7,-10,10,0,-3,-5,-4,-6,0,8
15,6,-8,-11,11,-1,-3,-5,-4,-6,0,7
13,6,-7,-10,10,-1,-3,-4,-4,-5,0,7
11,6,-5,-8,8,0,-2,-3,-4,-5,0,8
12,6,-5,-8,8,1,-2,-3,-3,-4,0,8
9,6,-2,-7,6,2,-1,-2,-2,-3,1,9
1,6,5,-3,-2,6,1,0,0,-1,3,11
-6,5,12,0,-8,9,3,2,2,1,5,12
-6,5,12,0,-9,8,3,2,2,1,5,12
-1,6,7,-2,-4,6,2,1,0,0,3,10
7,6,-1,-6,4,1,0,0,-2,-2,1,7
13,6,-7,-9,10,-1,-2,-2,-3,-4,0,5
14,7,-7,-10,11,0,-1,-1,-3,-3,0,5
15,7,-7,-11,11,0,-2,0,-3,-4,0,5
16,6,-9,-11,13,-2,-3,-1,-5,-5,-1,3
17,6,-10,-12,14,-2,-4,0,-5,-6,-2,2
16,6,-9,-11,12,-2,-3,0,-5,-5,-2,2
15,6,-8,-11,11,-1,-3,1,-5,-5,-1,2
15,6,-8,-11,11,-2,-3,2,-5,-5,-2,2
14,6,-8,-10,11,-2,-3,2,-5,-5,-2,2
9,5,-3,-6,6,0,-1,4,-4,-4,-1,4
4,4,0,-4,2,1,0,5,-3,-3,-1,5
6,3,-1,-4,4,0,-1,5,-3,-4,-2,4
7,3,-2,-5,5,0,-1,5,-4,-4,-2,3
2,4,2,-3,0,2,0,6,-2,-3,-1,4
-3,4,8,0,-6,5,1,9,0,-1,1,5
-4,4,9,0,-7,6,1,9,0,0,1,6
1,4,3,-3,-1,3,0,8,-2,-2,-1,4
7,4,-4,-5,5,0,-1,6,-3,-4,-3,2
10,4,-6,-7,8,-1,-2,6,-3,-4,-3,1
13,5,-7,-8,10,-1,-2,5,-3,-4,-3,1
17,6,-11,-11,14,-3,-3,3,-5,-6,-4,0
21,6,-15,-13,18,-5,-5,1,-6,-7,-6,-1
24,6,-17,-14,20,-6,-6,0,-7,-8,-7,-2
24,5,-18,-14,20,-7,-7,0,-8,-8,-7,-3
21,4,-17,-12,18,-7,-7,1,-8,-8,-7,-4
18,3,-15,-10,16,-6,-6,1,-7,-8,-7,-5
