leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,-2,0,2,-1,-1,0,0,0,0,1,1
-6,-7,0,7,-3,-3,-1,1,0,1,2,2
-8,-10,-1,9,-4,-5,-3,1,0,1,2,2
-9,-12,-3,11,-3,-7,-5,0,-2,0,0,1
-10,-14,-4,12,-3,-9,-7,-3,-5,-3,-2,-1
-10,-15,-5,13,-3,-10,-9,-4,-7,-5,-3,-3
-11,-16,-4,14,-4,-10,-10,-5,-7,-5,-4,-4
-13,-16,-3,15,-5,-9,-9,-4,-6,-4,-3,-3
-14,-16,-2,15,-6,-9,-7,-2,-4,-2,-1,-1
-14,-15,-1,14,-6,-8,-6,-1,-3,-1,0,1
-14,-14,-1,14,-6,-7,-5,0,-1,0,1,2
-15,-14,0,14,-7,-7,-5,0,-2,0,1,1
-16,-15,0,16,-8,-8,-7,-2,-4,-2,0,0
-15,-17,-2,16,-7,-9,-9,-4,-6,-4,-3,-3
-13,-17,-4,16,-5,-10,-10,-5,-8,-6,-4,-4
-12,-16,-4,14,-5,-10,-9,-5,-7,-5,-4,-3
-11,-15,-3,14,-5,-9,-8,-3,-6,-4,-2,-2
-13,-15,-2,14,-5,-9,-7,-2,-4,-2,-1,0
-14,-16,-2,15,-6,-9,-6,-1,-3,-1,0,0
-14,-16,-3,16,-6,-9,-6,-1,-3,-1,0,0
-14,-16,-3,15,-6,-9,-7,-1,-4,-2,-1,0
-13,-16,-3,15,-6,-9,-8,-2,-5,-3,-1,-1
-13,-16,-3,15,-6,-9,-9,-3,-6,-4,-2,-2
-14,-17,-3,16,-7,-9,-9,-4,-7,-5,-2,-3
-14,-16,-2,15,-7,-8,-8,-3,-6,-3,-1,-1
-15,-15,0,15,-8,-7,-7,-2,-4,-1,1,0
-16,-15,1,16,-9,-6,-6,-1,-3,0,2,1
-17,-15,0,16,-9,-7,-6,-1,-3,0,1,1
-16,-15,0,16,-8,-7,-7,-2,-3,-1,0,0
-13,-15,-2,14,-6,-8,-8,-3,-5,-3,-1,-1
-10,-15,-4,13,-4,-9,-9,-5,-6,-4,-2,-2
-8,-15,-5,12,-2,-10,-9,-5,-6,-4,-2,-2
-8,-14,-5,11,-2,-10,-7,-4,-4,-3,-1,-1
-8,-14,-5,11,-2,-10,-4,-2,-2,-2,0,0
-8,-14,-5,11,-2,-9,-2,-1,0,0,1,0
-8,-13,-4,11,-2,-9,1,1,2,1,2,1
-8,-12,-4,10,-2,-9,3,2,3,2,3,2
-8,-12,-4,11,-2,-8,4,3,4,2,3,1
-10,-12,-2,11,-4,-7,6,3,4,3,3,1
-11,-12,-1,12,-5,-6,7,3,5,3,3,1
-11,-12,-1,12,-5,-7,7,3,4,2,3,1
-9,-12,-2,11,-4,-7,7,2,4,2,3,2
-8,-11,-2,10,-3,-6,5,0,4,3,4,3
-8,-10,-2,10,-3,-6,3,-2,3,2,4,3
-7,-10,-3,10,-3,-6,0,-3,1,1,3,3
-7,-11,-4,10,-2,-7,-5,-5,-1,0,2,2
-7,-11,-4,10,-1,-8,-9,-7,-4,-1,1,0
-7,-12,-4,10,-2,-8,-12,-9,-6,-2,0,0
-7,-12,-5,10,-1,-9,-14,-10,-8,-3,0,0
-5,-13,-7,9,1,-10,-14,-11,-9,-4,0,-1
-3,-13,-10,8,3,-12,-15,-11,-10,-5,-1,-1
-2,-14,-11,8,4,-12,-15,-11,-11,-6,-2,-1
-2,-14,-12,9,4,-13,-15,-11,-11,-6,-2,-1
-3,-14,-12,9,4,-13,-15,-11,-12,-7,-2,-2
-4,-15,-12,10,3,-14,-14,-11,-13,-7,-2,-2
-5,-15,-11,10,2,-13,-14,-10,-13,-7,-2,-2
-5,-15,-12,10,3,-13,-13,-10,-13,-7,-2,-3
-3,-15,-13,9,5,-14,-13,-9,-13,-7,-2,-3
-2,-15,-13,9,5,-14,-12,-9,-12,-7,-2,-2
-1,-15,-14,9,6,-14,-12,-8,-12,-7,-2,-2
-1,-15,-14,9,6,-14,-11,-8,-11,-7,-2,-2
-1,-15,-14,9,5,-14,-11,-8,-11,-7,-2,-2
-2,-15,-14,9,5,-15,-12,-9,-12,-8,-3,-3
-2,-16,-14,9,5,-15,-13,-10,-13,-9,-3,-3
-3,-16,-13,9,4,-14,-13,-11,-13,-9,-3,-3
-4,-15,-11,9,3,-13,-12,-10,-13,-8,-2,-2
-4,-15,-10,9,3,-13,-11,-10,-12,-7,-2,-2
-4,-14,-10,9,3,-12,-10,-10,-11,-6,-1,-1
-4,-14,-9,9,3,-11,-10,-9,-11,-5,-1,0
-4,-13,-9,9,3,-11,-10,-9,-10,-5,-1,0
-5,-13,-9,9,2,-11,-10,-9,-11,-5,-1,0
-7,-15,-8,11,1,-11,-10,-9,-11,-6,-2,-1
-8,-15,-7,12,-1,-11,-9,-8,-11,-6,-2,-1
-8,-15,-7,12,-1,-11,-9,-8,-11,-6,-2,-2
-7,-16,-9,12,0,-12,-9,-7,-11,-6,-3,-3
-6,-16,-10,12,1,-13,-8,-7,-11,-7,-4,-3
-6,-16,-9,12,1,-12,-8,-6,-11,-8,-4,-3
-7,-15,-9,12,0,-12,-7,-5,-11,-8,-4,-3
-8,-15,-8,13,0,-12,-6,-4,-11,-8,-4,-3
-9,-15,-7,13,-1,-12,-6,-4,-11,-8,-4,-3
-7,-15,-8,12,0,-12,-6,-4,-11,-8,-4,-4
-6,-14,-9,11,1,-11,-6,-4,-11,-8,-4,-3
-5,-14,-9,10,1,-11,-6,-4,-11,-8,-4,-3
-5,-15,-10,10,2,-12,-6,-5,-11,-8,-5,-4
-5,-16,-10,11,1,-12,-6,-5,-11,-9,-5,-5
-7,-17,-9,12,0,-12,-6,-4,-11,-8,-5,-5
-7,-16,-9,12,0,-12,-6,-4,-11,-8,-5,-4
-6,-16,-10,11,2,-13,-6,-5,-11,-8,-5,-4
-6,-16,-11,11,2,-13,-7,-5,-12,-8,-5,-4
-6,-17,-10,12,1,-13,-7,-5,-12,-8,-5,-4
-6,-17,-10,12,1,-13,-7,-5,-11,-8,-5,-4
-7,-17,-9,13,0,-13,-6,-5,-11,-8,-5,-4
-9,-18,-9,14,0,-13,-6,-5,-11,-8,-5,-5
-9,-18,-9,15,-1,-13,-6,-4,-11,-8,-5,-5
-9,-17,-8,14,-1,-13,-5,-4,-11,-7,-4,-4
-9,-16,-7,12,-1,-12,-4,-3,-9,-7,-4,-4
-8,-16,-8,12,-1,-12,-4,-2,-8,-6,-4,-5
-7,-16,-9,12,0,-12,-3,-1,-7,-6,-4,-6
-7,-16,-9,12,0,-12,-2,1,-5,-4,-4,-6
-7,-16,-8,12,0,-11,-1,2,-3,-2,-3,-5
-6,-15,-9,11,0,-11,-2,3,-3,-1,-1,-3
-5,-14,-9,10,2,-11,-3,2,-4,1,2,0
-2,-13,-11,9,4,-12,-5,2,-5,4,8,4
0,-13,-13,7,6,-13,-6,3,-3,12,17,10
4,-11,-15,4,9,-13,-7,4,0,24,30,18
8,-8,-16,0,12,-12,-9,4,2,37,46,30
13,-3,-17,-4,14,-10,-12,3,0,50,66,45
19,2,-17,-10,18,-8,-17,-2,-7,62,86,60
25,7,-18,-15,20,-5,-22,-9,-16,70,104,74
29,12,-18,-20,22,-3,-27,-17,-28,72,116,85
32,14,-19,-22,24,-2,-32,-25,-42,68,119,90
33,10,-23,-21,27,-6,-34,-29,-55,59,107,82
32,-1,-33,-15,32,-17,-32,-27,-66,44,78,59
28,-16,-45,-6,36,-31,-28,-21,-80,23,39,28
24,-30,-53,3,38,-42,-24,-17,-98,-4,3,0
19,-41,-60,11,39,-50,-22,-14,-116,-35,-27,-23
14,-52,-66,20,39,-59,-18,-9,-130,-67,-52,-42
9,-63,-71,28,40,-67,-13,-3,-141,-98,-73,-58
4,-70,-74,33,39,-72,-7,3,-146,-121,-88,-69
0,-73,-74,37,36,-73,-1,7,-145,-131,-95,-75
-4,-73,-69,39,32,-71,4,9,-139,-130,-95,-76
-8,-71,-63,40,26,-67,8,12,-127,-122,-90,-73
-10,-67,-56,39,22,-62,13,19,-111,-110,-82,-68
-10,-62,-51,37,19,-57,16,27,-93,-97,-74,-62
-10,-56,-46,34,17,-51,18,34,-76,-84,-65,-55
-10,-50,-40,31,14,-45,18,37,-61,-72,-56,-49
-10,-44,-34,28,11,-39,15,37,-48,-60,-47,-42
-10,-39,-28,26,8,-33,11,35,-36,-48,-39,-35
-9,-34,-24,22,7,-29,7,32,-25,-38,-32,-29
-6,-29,-22,18,7,-25,3,29,-16,-29,-26,-24
-3,-24,-20,14,7,-22,1,25,-10,-22,-20,-20
-1,-21,-19,11,8,-20,0,21,-5,-17,-16,-17
-1,-19,-18,10,8,-19,-1,17,-2,-13,-14,-14
-1,-18,-17,10,7,-18,-2,15,0,-11,-12,-13
-2,-17,-16,10,7,-17,-2,12,1,-9,-11,-12
-2,-17,-15,10,6,-16,-3,10,1,-8,-10,-11
-2,-16,-14,10,5,-15,-3,8,2,-7,-9,-11
-2,-15,-12,9,4,-13,-2,7,3,-5,-7,-9
-4,-13,-9,9,1,-11,-1,7,3,-4,-5,-7
-6,-13,-7,10,0,-10,-1,6,4,-3,-4,-6
-7,-13,-5,11,-1,-10,-1,5,4,-3,-3,-6
-7,-12,-5,11,-2,-9,-1,5,5,-2,-3,-6
-7,-12,-5,10,-1,-9,-1,5,5,-2,-3,-6
-6,-12,-7,10,0,-9,0,5,6,-2,-3,-6
-4,-11,-8,9,1,-9,-1,5,6,-2,-3,-6
-4,-11,-8,8,2,-9,-1,4,6,-2,-3,-6
-4,-11,-7,8,1,-8,-1,4,6,-1,-3,-6
-5,-11,-6,9,0,-8,-1,4,6,-1,-3,-5
