leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,0,0,0,0,1,0,0,-2,-1,-1
-1,-2,-1,1,0,-1,2,-1,1,-5,-2,-2
-2,-2,-1,2,-1,-1,3,-1,1,-6,-3,-3
-2,-3,-1,2,-1,-2,3,-1,2,-7,-3,-3
-2,-3,-2,3,0,-2,4,-1,2,-8,-3,-4
-2,-4,-2,3,0,-3,4,-1,2,-8,-3,-4
-3,-4,-2,3,0,-3,4,-1,2,-8,-3,-4
-3,-4,-2,4,0,-3,4,-1,3,-8,-3,-4
-3,-5,-3,4,0,-3,4,-1,3,-8,-3,-4
-2,-5,-4,4,1,-4,4,-1,2,-8,-3,-4
-2,-5,-4,4,1,-4,4,-1,2,-8,-3,-4
-3,-5,-3,4,0,-4,4,-2,2,-8,-3,-4
-3,-5,-3,4,0,-4,4,-2,2,-9,-3,-4
-3,-5,-3,4,0,-4,4,-2,2,-9,-3,-4
-3,-5,-2,4,0,-4,4,-2,2,-10,-3,-4
-3,-4,-2,4,0,-3,4,-2,2,-10,-3,-4
-3,-4,-2,3,0,-3,4,-2,2,-10,-3,-4
-3,-4,-3,3,0,-4,4,-2,2,-10,-3,-4
-3,-4,-3,4,0,-4,5,-2,2,-10,-3,-4
-3,-4,-3,4,0,-4,5,-2,2,-10,-3,-4
-3,-4,-2,4,0,-3,5,-2,2,-10,-3,-4
-3,-4,-2,4,0,-3,5,-2,2,-10,-3,-4
-3,-5,-2,4,0,-3,5,-2,2,-10,-3,-4
-3,-5,-2,4,0,-3,4,-3,1,-10,-4,-4
-3,-5,-2,4,0,-3,4,-3,1,-10,-4,-4
-3,-5,-2,4,0,-4,4,-3,1,-10,-4,-4
-3,-5,-3,4,0,-4,4,-3,1,-10,-4,-4
-3,-6,-3,4,0,-4,4,-3,1,-10,-4,-4
-4,-6,-3,5,-1,-4,4,-3,0,-10,-4,-4
-4,-6,-3,5,0,-4,5,-3,0,-10,-4,-4
-4,-6,-3,5,0,-4,5,-3,0,-10,-4,-4
-4,-6,-3,5,0,-3,5,-3,0,-10,-4,-4
-4,-5,-2,5,-1,-3,5,-4,1,-10,-4,-4
-3,-5,-2,5,-1,-3,5,-4,1,-10,-4,-4
-3,-5,-2,4,0,-3,5,-4,1,-10,-4,-5
-3,-5,-2,4,0,-3,5,-5,1,-10,-4,-5
-4,-5,-1,4,-1,-3,5,-5,1,-10,-4,-5
-4,-6,-2,5,-1,-3,5,-5,1,-9,-4,-4
-4,-6,-3,5,0,-4,5,-5,1,-9,-3,-4
-4,-7,-3,5,0,-4,5,-5,1,-9,-3,-4
-5,-7,-2,5,-1,-4,5,-5,1,-9,-3,-4
-5,-7,-2,6,-1,-4,5,-5,1,-9,-4,-4
-4,-7,-2,6,-1,-4,5,-5,1,-9,-4,-5
-4,-7,-2,6,-1,-4,5,-5,1,-9,-4,-5
-4,-7,-2,6,-1,-4,5,-5,1,-9,-4,-5
-4,-6,-2,5,-1,-4,5,-5,0,-9,-4,-5
-4,-5,-1,5,-1,-3,5,-5,0,-10,-5,-5
-4,-4,0,4,-1,-2,5,-6,0,-10,-5,-5
-3,-3,0,4,-1,-1,5,-5,0,-10,-5,-5
-2,-3,-1,3,0,-2,5,-5,0,-9,-4,-5
-2,-3,-2,3,0,-3,6,-4,1,-9,-4,-4
-2,-4,-3,3,1,-3,6,-3,1,-8,-3,-4
-2,-3,-2,3,0,-3,6,-3,1,-8,-3,-4
-1,-2,-1,2,0,-1,6,-3,1,-8,-3,-4
-1,-1,0,1,0,0,6,-3,1,-8,-3,-3
-1,-1,0,1,0,0,6,-3,2,-8,-2,-3
-1,-1,-1,1,0,-1,6,-3,2,-7,-2,-2
-1,-1,-1,1,0,-1,6,-3,3,-7,-1,-2
-1,-1,0,1,0,-1,6,-3,3,-7,-1,-2
-1,0,0,1,-1,0,6,-3,3,-7,-1,-2
-1,0,0,0,-1,0,6,-3,3,-7,-1,-2
0,0,0,0,0,0,6,-3,3,-7,-1,-2
0,0,0,0,1,0,6,-3,3,-6,-1,-2
1,0,-1,-1,2,0,6,-3,3,-6,-1,-1
1,0,-1,-1,2,0,6,-2,3,-6,-1,-1
2,0,-1,-1,2,0,5,-2,3,-6,-1,-1
2,1,0,-1,2,0,5,-2,3,-6,-1,-1
3,2,0,-2,2,1,4,-1,3,-6,0,-1
3,2,0,-2,2,1,3,-1,4,-5,0,-1
3,2,0,-2,2,1,2,-2,4,-5,0,0
3,3,0,-2,2,1,2,-2,4,-5,1,0
3,3,0,-2,2,1,1,-2,4,-5,1,0
2,2,0,-2,2,1,1,-2,3,-5,0,0
2,1,-1,-1,2,0,1,-2,3,-6,0,-1
2,0,-1,0,2,0,1,-2,2,-7,0,-1
2,0,-2,0,2,-1,1,-2,2,-7,-1,-1
1,-1,-2,0,2,-2,2,-2,2,-7,-1,-2
0,-2,-3,1,3,-3,2,-2,1,-8,-2,-2
0,-3,-4,1,3,-3,2,-2,1,-8,-2,-3
0,-3,-4,1,4,-4,2,-2,0,-9,-3,-3
0,-4,-5,2,4,-4,2,-2,0,-9,-3,-4
0,-5,-5,2,4,-5,2,-2,0,-10,-4,-4
0,-5,-5,2,3,-5,2,-2,-1,-10,-4,-4
0,-5,-4,2,3,-4,2,-2,-1,-10,-4,-4
0,-5,-4,3,3,-5,2,-3,-1,-10,-4,-4
-1,-5,-4,3,2,-5,2,-3,-1,-10,-4,-4
-2,-6,-4,4,2,-5,2,-3,-1,-10,-4,-4
-3,-6,-4,4,1,-5,3,-4,-1,-10,-4,-4
-3,-6,-4,5,1,-5,3,-4,-1,-10,-4,-4
-4,-6,-4,5,0,-5,4,-4,-1,-10,-4,-4
-4,-7,-3,5,0,-5,4,-4,-1,-11,-5,-5
-5,-7,-3,6,-1,-5,4,-5,-2,-11,-5,-5
-6,-8,-2,7,-1,-5,4,-5,-2,-12,-6,-6
-6,-8,-2,7,-1,-5,4,-6,-2,-12,-6,-6
-6,-8,-2,7,-1,-5,4,-6,-2,-11,-6,-6
-7,-8,-2,7,-2,-5,4,-6,-2,-11,-6,-6
-7,-8,-2,7,-2,-5,4,-6,-2,-11,-6,-6
-7,-7,-1,7,-2,-4,4,-6,-2,-11,-6,-6
-7,-7,-1,7,-2,-4,4,-5,-2,-11,-6,-6
-8,-8,-1,7,-3,-4,4,-5,-2,-11,-6,-6
-8,-8,-1,7,-3,-4,5,-5,-2,-11,-6,-6
-7,-8,-1,7,-3,-5,5,-5,-2,-11,-6,-6
-7,-9,-1,8,-3,-5,5,-5,-2,-11,-6,-6
-7,-9,-1,8,-3,-5,5,-5,-2,-11,-6,-6
-7,-9,-1,8,-3,-5,5,-5,-2,-11,-6,-6
-8,-9,-1,8,-3,-5,6,-5,-2,-11,-6,-6
-9,-9,-1,9,-4,-5,8,-4,-2,-12,-7,-7
-11,-11,-1,11,-4,-6,10,-3,-2,-12,-8,-8
-12,-13,-2,13,-5,-8,14,0,-2,-13,-9,-9
-13,-14,-2,14,-5,-8,18,3,-2,-13,-9,-11
-13,-15,-3,14,-5,-9,21,7,-2,-13,-10,-12
-12,-16,-3,14,-4,-9,24,11,-1,-13,-10,-12
-11,-15,-4,13,-3,-9,26,15,0,-12,-9,-12
-9,-13,-4,11,-2,-8,28,21,3,-10,-8,-11
-5,-10,-5,7,0,-7,30,27,6,-7,-5,-8
-1,-6,-6,3,2,-6,31,35,9,-3,-2,-5
4,0,-5,-2,4,-3,31,43,14,2,3,0
9,9,-1,-9,5,4,30,49,21,10,12,7
16,21,4,-18,6,13,26,55,30,20,22,17
24,35,11,-30,7,23,18,59,39,30,34,28
32,51,19,-42,7,35,7,59,48,41,46,41
39,67,27,-53,7,47,-6,56,56,52,58,53
46,83,36,-64,6,60,-19,51,64,63,70,65
52,97,44,-74,5,70,-33,48,72,73,80,76
56,106,49,-81,4,77,-45,45,78,80,88,83
58,110,51,-83,4,80,-53,41,80,84,91,86
57,108,50,-82,4,79,-60,35,79,84,92,86
56,104,49,-79,4,77,-66,29,77,82,90,84
52,97,46,-74,4,72,-70,25,73,78,86,79
47,85,39,-66,4,62,-69,24,65,69,76,70
40,71,31,-56,5,51,-66,22,54,57,63,58
33,58,25,-46,4,42,-62,16,44,46,51,47
25,46,20,-36,3,33,-59,8,35,35,40,36
19,35,15,-27,2,25,-54,0,26,25,29,26
12,23,10,-18,2,17,-47,-8,18,16,20,18
7,12,5,-9,2,9,-41,-14,10,7,12,10
3,3,0,-3,2,2,-34,-19,3,0,6,5
0,-2,-1,1,1,-1,-29,-21,-1,-4,1,1
0,-4,-3,2,1,-3,-24,-20,-3,-7,-1,-1
0,-5,-4,2,1,-4,-20,-17,-4,-8,-2,-2
0,-5,-4,2,2,-4,-16,-13,-4,-8,-3,-2
0,-5,-4,3,2,-5,-13,-9,-4,-9,-4,-3
0,-6,-5,3,2,-5,-9,-5,-4,-9,-4,-4
0,-6,-5,3,3,-5,-6,-3,-4,-9,-4,-4
0,-6,-5,3,3,-5,-3,-1,-4,-9,-3,-4
-1,-6,-4,3,2,-5,-1,0,-3,-9,-3,-4
-1,-6,-4,3,2,-5,0,0,-3,-9,-3,-4
-2,-6,-4,4,1,-5,1,0,-3,-9,-4,-4
-2,-6,-4,4,1,-6,1,1,-4,-9,-4,-5
-2,-7,-4,5,1,-6,2,1,-4,-9,-5,-5
-2,-7,-4,5,1,-6,3,1,-4,-9,-5,-5
-3,-7,-4,5,1,-6,3,1,-4,-9,-5,-5
-3,-7,-3,5,0,-5,3,0,-4,-10,-5,-5
-4,-6,-2,5,0,-5,4,0,-4,-10,-5,-5
-5,-7,-1,6,-1,-5,4,0,-4,-10,-5,-5
-6,-7,-1,6,-2,-5,5,0,-3,-9,-5,-5
-7,-7,0,7,-3,-4,5,0,-3,-9,-5,-5
-7,-7,0,7,-3,-4,4,0,-3,-9,-5,-5
-6,-6,-1,6,-2,-4,4,0,-3,-9,-5,-5
-5,-6,-2,6,-1,-5,4,0,-3,-9,-5,-5
-4,-6,-2,6,0,-5,4,0,-3,-9,-5,-5
-4,-6,-2,5,0,-5,4,0,-3,-9,-5,-5
-3,-6,-2,5,0,-5,4,0,-4,-9,-5,-5
-3,-7,-3,5,0,-6,4,0,-4,-10,-5,-6
-3,-7,-3,5,1,-6,4,0,-5,-10,-6,-6
-3,-8,-4,5,1,-6,4,0,-5,-10,-6,-6
-3,-7,-5,5,1,-6,4,0,-5,-10,-6,-6
-3,-7,-4,5,1,-6,4,1,-5,-10,-6,-6
-3,-7,-4,5,2,-6,4,1,-5,-10,-5,-6
-2,-7,-5,5,2,-6,4,1,-5,-10,-5,-5
-2,-6,-5,5,2,-5,4,1,-5,-10,-5,-5
-2,-6,-4,4,2,-5,3,1,-5,-10,-5,-5
-2,-5,-3,4,1,-4,3,1,-5,-10,-5,-5
-2,-5,-3,4,1,-4,3,1,-5,-10,-5,-5
-2,-5,-3,4,1,-4,4,1,-4,-9,-4,-5
-2,-5,-3,4,1,-4,4,2,-4,-9,-4,-5
-2,-5,-3,4,1,-4,4,2,-3,-9,-4,-5
-2,-5,-3,4,1,-4,4,2,-3,-9,-4,-5
-2,-5,-3,4,1,-4,4,2,-3,-9,-4,-5
-2,-5,-3,4,1,-5,4,2,-2,-9,-4,-5
-1,-5,-4,4,2,-5,4,2,-2,-9,-4,-5
-1,-6,-4,4,2,-6,4,3,-1,-9,-4,-5
-1,-6,-5,4,2,-6,4,3,-1,-8,-3,-5
-1,-6,-4,4,2,-6,4,3,-1,-8,-3,-4
-2,-5,-3,4,1,-5,4,3,-1,-8,-3,-4
-2,-5,-3,4,1,-5,4,3,-1,-8,-3,-4
-1,-5,-3,4,1,-5,4,4,-1,-8,-3,-4
-1,-4,-3,4,1,-4,3,4,-1,-8,-3,-4
-1,-4,-3,4,1,-4,3,4,-2,-9,-3,-4
-1,-4,-3,3,1,-3,2,4,-2,-9,-3,-4
0,-3,-3,3,1,-3,2,4,-2,-8,-3,-4
0,-3,-3,2,2,-4,2,4,-2,-8,-3,-4
0,-3,-4,2,2,-4,2,4,-2,-8,-3,-4
