leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,1,2,0,-1,1,0,-2,-1,-2,-2,-1
-3,2,5,0,-4,3,0,-6,-4,-5,-6,-4
-5,2,7,1,-6,4,0,-8,-4,-7,-8,-5
-6,2,8,2,-7,5,1,-7,-4,-7,-9,-6
-7,2,9,2,-7,5,2,-6,-3,-6,-8,-7
-7,2,9,3,-8,5,3,-5,-2,-6,-8,-7
-7,2,9,3,-8,5,4,-5,-1,-5,-7,-7
-8,2,10,3,-9,5,4,-4,0,-4,-7,-7
-8,2,11,3,-9,6,5,-4,1,-3,-7,-6
-9,3,11,3,-10,6,5,-3,2,-3,-7,-6
-9,3,11,3,-9,6,6,-3,2,-2,-7,-7
-8,3,12,2,-9,7,6,-3,3,-2,-7,-7
-9,3,12,3,-10,7,6,-3,3,-2,-7,-7
-11,2,13,4,-11,7,6,-3,4,-2,-7,-7
-11,3,13,4,-11,7,6,-3,4,-2,-7,-7
-11,3,14,4,-12,8,7,-3,5,-2,-6,-6
-10,4,14,3,-12,8,7,-3,5,-1,-6,-6
-10,4,14,3,-12,8,7,-3,5,-1,-6,-6
-11,3,13,4,-12,8,7,-3,6,-1,-6,-6
-12,3,14,5,-12,8,8,-2,6,0,-6,-6
-12,3,14,5,-12,8,8,-2,6,0,-5,-6
-11,4,14,4,-12,9,8,-1,7,1,-5,-6
-11,4,14,4,-12,9,8,-1,7,1,-5,-6
-12,3,14,5,-13,8,8,-2,7,1,-5,-6
-12,3,14,5,-13,8,9,-2,7,1,-5,-6
-12,3,15,5,-13,9,9,-2,8,1,-5,-6
-12,4,16,4,-14,10,9,-2,8,2,-5,-6
-13,4,17,4,-15,11,9,-2,9,2,-5,-6
-13,5,18,5,-15,11,9,-3,9,2,-5,-6
-14,5,18,5,-16,11,9,-3,9,2,-5,-6
-14,4,18,5,-16,11,9,-3,10,2,-4,-6
-13,4,18,5,-15,11,9,-3,10,3,-4,-6
-13,5,18,4,-15,11,9,-3,11,3,-4,-6
-12,5,18,3,-15,11,9,-3,11,4,-3,-5
-13,6,18,3,-15,12,10,-3,12,4,-3,-5
-13,6,18,4,-15,12,10,-3,12,4,-3,-4
-14,6,18,4,-15,12,10,-3,12,4,-2,-4
-14,7,19,3,-16,13,10,-3,13,5,-1,-3
-14,8,21,3,-17,14,10,-3,14,5,-1,-3
-15,8,22,3,-18,15,10,-3,15,6,0,-2
-16,8,24,3,-19,16,10,-3,15,6,0,-2
-15,9,24,3,-20,17,11,-3,16,7,0,-1
-15,10,24,2,-20,17,11,-3,16,7,1,-1
-14,11,25,2,-20,18,11,-3,17,8,1,0
-14,11,25,2,-20,18,11,-4,17,8,2,0
-14,12,25,1,-20,18,11,-4,17,9,2,0
-14,14,26,0,-20,20,11,-3,19,10,3,1
-14,15,28,0,-20,21,11,-3,20,11,4,2
-15,14,28,0,-21,21,11,-3,20,11,5,2
-15,14,29,0,-21,21,11,-3,21,12,5,3
-14,15,29,0,-21,21,12,-3,22,13,6,3
-14,16,30,0,-22,22,13,-2,23,14,7,4
-14,17,30,0,-22,23,13,-2,23,14,8,4
-15,17,31,0,-23,23,13,-2,24,15,8,5
-16,18,32,-1,-23,25,13,-2,24,15,9,5
-15,19,33,-2,-24,26,13,-2,25,16,10,6
-15,20,34,-2,-24,27,13,-1,26,17,11,6
-15,21,35,-2,-25,27,13,-1,27,18,12,7
-15,21,36,-3,-25,28,13,-1,27,18,12,7
-15,22,37,-3,-26,29,13,-1,28,19,13,8
-15,22,37,-3,-26,29,13,-1,28,19,14,8
-14,22,36,-3,-25,29,13,-1,29,20,14,9
-14,23,36,-4,-24,29,13,-1,29,21,15,9
-13,24,36,-5,-24,30,13,0,30,22,16,10
-12,24,36,-6,-24,30,13,0,31,23,17,11
-12,25,37,-6,-24,30,12,1,31,23,18,11
-12,25,37,-6,-24,30,12,1,31,24,18,12
