leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
5,-2,-7,-1,6,-4,-9,-28,-32,2,2,5
14,-4,-18,-5,16,-11,-25,-73,-83,3,4,14
19,-5,-25,-7,22,-15,-37,-100,-115,-1,0,20
22,-6,-29,-8,26,-17,-45,-115,-132,-9,-8,23
25,-7,-32,-9,29,-19,-52,-122,-141,-19,-18,26
27,-9,-36,-9,32,-22,-56,-125,-146,-31,-29,28
28,-11,-39,-8,34,-25,-59,-125,-148,-44,-42,30
28,-14,-42,-6,35,-28,-61,-124,-149,-58,-57,31
27,-17,-44,-5,36,-30,-62,-122,-148,-72,-71,31
27,-18,-44,-4,36,-30,-62,-120,-147,-85,-84,30
26,-17,-43,-4,35,-29,-63,-118,-145,-97,-95,28
25,-16,-40,-5,33,-27,-64,-116,-141,-106,-104,27
24,-15,-38,-5,32,-26,-63,-113,-135,-111,-110,26
23,-15,-37,-4,30,-25,-61,-109,-128,-115,-113,25
21,-16,-36,-3,29,-25,-59,-104,-120,-118,-117,25
19,-17,-36,-1,28,-26,-56,-99,-111,-121,-120,24
17,-18,-34,0,26,-25,-52,-92,-101,-125,-124,21
14,-17,-30,1,22,-23,-47,-83,-89,-128,-127,17
11,-15,-26,1,19,-20,-43,-72,-77,-131,-129,13
9,-13,-22,2,16,-17,-38,-61,-64,-132,-130,8
7,-13,-19,2,14,-16,-32,-49,-50,-130,-129,4
5,-13,-19,4,13,-16,-26,-36,-35,-126,-125,1
4,-16,-20,6,13,-18,-19,-22,-20,-121,-120,-2
2,-20,-23,9,13,-21,-13,-8,-5,-116,-115,-6
0,-25,-25,12,13,-25,-7,5,8,-110,-109,-10
-1,-28,-26,15,13,-27,-1,18,22,-103,-102,-14
-3,-30,-27,16,12,-28,4,31,35,-95,-94,-19
-4,-30,-25,17,11,-28,8,42,47,-88,-86,-24
-7,-29,-22,18,8,-26,13,52,59,-79,-78,-27
-9,-28,-19,19,5,-23,17,62,70,-71,-69,-30
