leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,1,0,-1,0,0,-2,-1
-1,0,2,0,-1,1,-5,-3,-2,-1,-6,-13
-1,0,2,1,-1,0,-9,-6,-4,-2,-10,-24
-2,-1,2,1,-2,0,-7,-5,-4,-1,-9,-23
-3,-1,2,2,-3,0,0,-2,-2,0,-4,-8
-4,-2,3,3,-3,0,5,0,0,0,-1,4
-5,-2,3,3,-4,0,5,-1,0,-1,-3,3
-6,-4,3,5,-4,-1,2,-2,-2,-2,-5,-3
-7,-5,2,6,-5,-2,-1,-4,-4,-3,-8,-11
-7,-6,2,6,-5,-2,-4,-5,-5,-4,-10,-17
-8,-6,2,6,-5,-2,-5,-6,-6,-4,-10,-19
-8,-6,2,7,-5,-2,-5,-6,-6,-4,-11,-21
-8,-6,1,7,-5,-2,-7,-7,-7,-5,-12,-25
-7,-6,1,6,-4,-2,-4,-6,-6,-4,-10,-20
-6,-5,1,5,-4,-2,2,-2,-3,-2,-4,-4
-5,-4,1,4,-3,-2,7,0,-1,-1,-1,7
-5,-5,0,4,-2,-2,6,0,-2,-1,-2,5
-5,-6,0,5,-3,-3,3,-2,-3,-2,-6,-3
-6,-7,-1,6,-3,-4,-3,-5,-5,-4,-11,-17
-6,-7,-1,6,-3,-4,-7,-7,-8,-6,-14,-28
-7,-8,-1,7,-3,-4,-1,-5,-6,-5,-10,-17
-8,-8,0,8,-4,-4,8,-1,-2,-3,-3,5
-9,-9,0,8,-5,-4,10,0,-2,-3,-3,11
-9,-9,0,9,-5,-4,3,-4,-5,-5,-9,-4
-9,-9,0,9,-5,-4,-3,-7,-8,-7,-13,-19
-8,-8,0,8,-5,-4,-1,-6,-7,-6,-11,-16
-7,-7,0,7,-4,-3,4,-3,-4,-4,-6,-4
-6,-7,0,7,-3,-3,4,-2,-3,-4,-6,-3
-5,-7,-1,6,-2,-4,-3,-6,-7,-6,-13,-22
-5,-7,-2,6,-1,-4,-12,-11,-11,-8,-19,-41
-6,-6,-1,6,-2,-3,-5,-6,-8,-5,-11,-24
-8,-4,2,6,-5,-1,16,4,0,0,5,24
-7,-4,2,5,-5,-1,23,7,4,1,9,42
-5,-4,0,5,-3,-2,7,-2,-3,-4,-6,4
-4,-6,-2,5,-1,-4,-15,-13,-13,-9,-24,-48
-5,-7,-1,6,-2,-4,-20,-15,-15,-9,-25,-61
-7,-6,1,7,-4,-3,-3,-6,-8,-3,-10,-23
-8,-5,3,7,-6,-1,16,3,1,1,4,20
-8,-4,4,6,-6,0,18,3,2,0,1,24
-7,-3,4,5,-6,0,6,-1,-3,-5,-12,-7
-8,-1,8,4,-8,3,0,-3,-7,-7,-19,-30
-9,3,13,3,-11,8,5,1,-4,-5,-13,-21
-9,8,18,0,-13,13,13,7,2,-1,-5,-2
-7,11,20,-1,-14,16,13,8,5,1,-1,3
-5,12,18,-3,-12,15,7,7,5,4,-1,-6
-3,11,15,-4,-9,13,2,10,9,11,3,-10
1,11,11,-6,-5,11,5,19,20,23,16,1
6,12,6,-10,0,9,14,31,34,38,34,28
14,14,0,-14,7,7,21,39,46,54,53,55
22,16,-6,-19,14,5,17,37,53,65,64,62
29,18,-10,-24,20,4,5,28,54,74,68,48
35,21,-13,-28,24,4,-4,19,55,84,75,40
41,26,-14,-34,27,6,-5,12,58,94,88,50
47,32,-15,-39,31,7,-7,2,58,102,99,65
52,34,-17,-43,34,8,-13,-13,54,106,105,72
54,32,-22,-44,38,5,-20,-28,45,104,104,74
55,25,-29,-40,42,-2,-25,-42,33,94,96,73
51,13,-37,-32,44,-11,-30,-57,14,73,77,61
43,-2,-44,-20,43,-22,-36,-72,-9,44,47,33
30,-18,-48,-6,38,-33,-43,-85,-35,9,11,-4
16,-32,-48,8,32,-40,-46,-96,-61,-26,-22,-32
4,-41,-46,18,24,-44,-40,-98,-79,-52,-42,-34
-3,-45,-42,24,18,-44,-30,-93,-83,-64,-50,-25
-7,-46,-39,26,15,-43,-32,-88,-83,-69,-58,-37
-8,-46,-38,27,14,-42,-37,-83,-81,-68,-63,-54
-10,-43,-33,27,11,-38,-29,-71,-72,-60,-54,-40
-14,-39,-25,26,4,-32,-16,-57,-59,-52,-43,-18
-16,-35,-18,25,0,-26,-21,-51,-52,-47,-45,-35
-15,-31,-14,23,-1,-22,-35,-49,-50,-44,-53,-74
-13,-25,-11,19,-2,-18,-36,-40,-43,-36,-49,-85
-12,-19,-7,15,-3,-13,-12,-22,-27,-22,-26,-37
-11,-14,-3,12,-4,-8,17,-3,-9,-10,-2,27
-9,-11,-2,9,-4,-6,21,0,-4,-8,-2,36
-7,-10,-3,8,-2,-6,4,-7,-9,-10,-16,-2
-5,-10,-5,7,0,-7,-10,-12,-14,-12,-24,-35
-5,-10,-4,7,-1,-6,-12,-12,-13,-10,-23,-42
-6,-9,-2,7,-2,-5,-7,-8,-10,-7,-17,-33
-7,-9,-1,7,-3,-4,-1,-3,-6,-6,-11,-18
-8,-8,0,7,-4,-4,6,0,-2,-4,-7,-2
-8,-8,0,7,-4,-4,8,0,-1,-4,-6,3
-7,-7,0,7,-4,-4,6,-1,-2,-4,-9,-2
-6,-6,0,6,-3,-3,4,-2,-3,-4,-10,-6
-6,-5,0,6,-3,-3,6,-1,-2,-4,-9,-3
-5,-5,0,5,-3,-3,7,0,-1,-3,-7,0
