leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,0,0,0,-1,0,-1,1,1,0,0
0,-3,-3,1,1,-3,0,-8,3,4,-1,1
0,-7,-7,3,3,-7,1,-19,6,7,-3,1
0,-10,-10,4,5,-10,4,-27,8,9,-3,3
0,-11,-11,5,5,-11,8,-22,8,9,0,6
0,-9,-8,4,3,-8,11,-6,5,6,5,7
-2,-6,-3,4,0,-5,11,8,2,2,7,6
-3,-4,0,3,-1,-2,9,13,0,0,6,4
-3,-4,0,3,-1,-2,7,9,0,0,3,2
-4,-5,-1,4,-1,-3,5,0,1,1,0,1
-4,-8,-4,5,0,-6,4,-13,3,3,-3,1
-3,-11,-8,6,2,-10,4,-24,5,5,-4,1
-3,-12,-10,6,3,-11,7,-24,6,6,-2,3
-3,-11,-8,6,3,-10,10,-12,4,4,2,5
-3,-8,-4,5,1,-6,10,3,1,1,5,5
-4,-6,-1,5,0,-4,9,12,0,0,5,4
-4,-5,0,4,-1,-3,7,11,0,0,3,2
-4,-5,0,4,-1,-3,5,4,0,0,0,1
-4,-7,-3,5,0,-5,4,-8,2,2,-2,1
-4,-10,-6,5,1,-8,4,-20,4,4,-3,1
-4,-12,-9,6,2,-10,6,-24,5,5,-3,2
-4,-11,-8,6,2,-10,9,-16,4,4,1,4
-4,-9,-5,6,1,-7,11,0,2,2,4,5
-4,-6,-2,5,0,-5,10,11,1,0,5,4
-4,-5,0,5,-1,-3,8,13,0,0,3,3
-4,-5,0,5,-1,-3,6,7,1,0,1,2
-4,-6,-1,5,-1,-4,5,-3,2,1,0,1
-4,-8,-4,5,0,-6,5,-15,3,3,-2,1
-4,-9,-6,5,1,-8,6,-23,5,5,-3,1
-4,-10,-7,6,2,-9,8,-18,5,5,0,3
-5,-9,-5,6,1,-7,10,-4,3,3,3,4
-5,-7,-2,6,-1,-5,9,9,1,1,4,3
-5,-6,0,6,-2,-3,8,14,1,0,3,2
-6,-5,2,6,-3,-2,7,10,1,0,1,1
-7,-3,4,5,-4,0,7,2,3,2,0,0
-8,-1,6,4,-6,2,8,-9,7,6,-1,1
-9,1,10,3,-9,5,10,-17,13,13,1,3
-10,4,14,2,-11,8,14,-14,21,20,8,8
-10,10,19,0,-14,14,18,4,29,27,19,13
-9,17,26,-4,-16,21,21,26,38,36,30,19
-6,24,31,-9,-17,27,21,44,50,48,42,26
-1,31,33,-14,-16,31,21,56,65,64,55,35
6,36,30,-21,-11,32,21,64,80,80,69,45
16,38,23,-27,-3,30,20,70,96,96,83,55
27,39,12,-34,7,26,18,76,112,112,97,66
39,40,0,-40,19,20,17,90,127,127,114,77
51,39,-12,-45,31,13,16,117,139,137,131,88
62,38,-24,-50,44,7,14,148,145,142,144,95
73,36,-37,-54,56,0,8,167,147,143,150,98
80,31,-49,-55,66,-9,3,167,142,138,147,97
82,24,-57,-53,71,-17,0,150,128,125,134,91
79,16,-62,-48,71,-23,-1,120,108,104,113,80
72,8,-64,-41,69,-28,-1,81,80,77,85,65
64,0,-64,-33,64,-32,0,42,49,46,55,49
53,-6,-61,-25,57,-33,3,16,17,14,27,33
40,-9,-51,-16,46,-31,7,2,-13,-15,2,17
26,-11,-39,-7,33,-25,10,-11,-39,-40,-22,0
13,-13,-26,0,21,-20,11,-31,-60,-60,-44,-14
2,-13,-15,5,10,-15,9,-54,-76,-73,-61,-25
-6,-13,-6,9,1,-10,8,-76,-84,-80,-71,-32
-12,-12,0,11,-5,-6,7,-96,-87,-81,-77,-37
-16,-13,3,13,-9,-4,8,-107,-86,-79,-78,-39
-19,-13,5,15,-11,-3,11,-104,-82,-75,-73,-37
-20,-12,7,15,-13,-1,13,-86,-77,-70,-65,-34
-20,-8,11,15,-15,2,13,-63,-71,-65,-56,-31
-19,-5,14,13,-15,4,11,-48,-64,-59,-50,-29
-18,-3,15,11,-15,5,7,-41,-57,-52,-45,-26
-15,-1,15,8,-14,6,3,-40,-49,-44,-40,-22
-13,1,14,5,-12,7,1,-42,-40,-36,-35,-18
-10,2,12,3,-10,7,0,-45,-32,-28,-30,-15
-7,2,10,1,-8,7,0,-44,-25,-22,-25,-12
-6,3,9,0,-7,7,0,-31,-20,-18,-19,-8
-5,6,11,0,-7,9,1,-13,-18,-17,-14,-6
-5,7,13,0,-7,10,0,-1,-17,-16,-12,-6
-5,7,13,0,-7,9,0,2,-15,-14,-11,-7
-5,7,13,0,-7,9,0,0,-12,-12,-11,-7
-5,6,12,-1,-7,8,1,-8,-10,-10,-11,-6
-4,5,10,-1,-6,7,1,-18,-8,-8,-12,-6
-4,4,8,-1,-5,6,1,-24,-7,-7,-13,-6
-3,4,7,-1,-5,5,2,-20,-6,-6,-10,-5
-3,5,8,-1,-5,7,2,-7,-7,-7,-7,-5
-4,7,10,-1,-6,8,2,5,-7,-8,-6,-5
-4,7,11,-1,-6,8,1,9,-7,-8,-7,-6
-4,6,12,0,-6,8,1,6,-6,-7,-7,-6
-4,6,12,-1,-6,8,2,0,-5,-6,-7,-5
-4,5,10,-1,-6,7,2,-10,-4,-5,-8,-5
-4,4,8,-1,-5,6,2,-19,-3,-4,-9,-5
-4,3,6,0,-5,5,2,-19,-3,-4,-8,-4
-4,4,7,0,-5,5,3,-9,-4,-5,-6,-3
-4,5,9,0,-5,7,3,4,-5,-6,-4,-3
-4,6,10,0,-6,7,2,10,-5,-6,-5,-4
-4,6,11,0,-6,7,1,9,-5,-5,-6,-4
-4,6,11,-1,-6,8,1,3,-4,-5,-6,-4
-4,6,10,-1,-6,8,1,-5,-4,-5,-7,-4
-4,5,9,-2,-5,7,1,-14,-3,-4,-8,-5
-4,4,7,-2,-5,6,1,-18,-3,-3,-8,-5
-4,4,7,-2,-5,6,2,-11,-3,-4,-6,-4
-4,5,9,-2,-6,7,2,1,-4,-5,-4,-4
-3,6,10,-2,-6,8,2,9,-5,-5,-4,-5
-3,6,10,-2,-6,7,1,10,-4,-5,-5,-5
-3,6,11,-2,-6,7,2,6,-4,-4,-5,-5
-4,6,10,-2,-6,7,2,-1,-4,-4,-5,-5
-4,5,9,-2,-5,6,1,-10,-3,-4,-6,-5
-4,4,7,-1,-4,5,1,-16,-3,-3,-7,-5
-4,3,6,-1,-4,5,2,-13,-3,-3,-6,-4
-4,4,6,-1,-5,5,2,-1,-4,-4,-4,-4
-3,5,7,-1,-5,6,2,9,-4,-4,-3,-4
-3,5,8,-1,-4,6,1,12,-3,-4,-4,-4
-3,5,8,-1,-4,6,1,9,-3,-3,-4,-4
-3,5,8,-1,-4,6,1,3,-3,-3,-4,-4
-3,5,8,-2,-4,6,1,-5,-2,-3,-5,-4
-3,5,7,-2,-4,6,0,-13,-2,-3,-6,-4
-3,4,6,-1,-4,5,1,-14,-1,-2,-6,-4
-3,4,6,-1,-4,5,1,-4,-2,-3,-3,-3
-3,4,7,-1,-4,5,1,7,-3,-4,-2,-3
-2,5,8,-1,-4,5,1,12,-3,-4,-3,-4
-2,5,8,-1,-3,5,1,11,-2,-3,-3,-3
-2,5,8,-1,-3,5,1,6,-2,-3,-3,-3
-2,5,8,-1,-4,6,1,-1,-2,-3,-4,-3
-2,5,7,-2,-4,6,1,-10,-2,-3,-5,-4
-2,4,5,-2,-3,5,1,-14,-1,-2,-5,-4
-2,4,5,-2,-3,5,1,-7,-1,-3,-4,-3
-2,5,6,-2,-4,5,1,4,-2,-3,-2,-3
-2,5,6,-2,-4,5,0,12,-2,-4,-3,-4
-2,4,6,-1,-3,5,0,13,-1,-4,-3,-5
-2,4,6,-1,-3,5,1,9,-1,-4,-3,-4
-2,4,6,-1,-3,5,1,2,-1,-4,-3,-4
-2,4,6,-1,-3,5,0,-6,-1,-3,-4,-4
-2,3,4,-1,-2,4,0,-12,-1,-3,-5,-4
-2,3,3,-2,-2,4,0,-9,-1,-3,-4,-3
-2,4,4,-2,-2,4,1,2,-1,-4,-2,-3
-2,5,5,-2,-2,5,0,11,-2,-4,-2,-3
-1,4,5,-2,-2,4,0,14,-1,-4,-2,-4
-1,4,5,-2,-1,4,0,11,-1,-4,-3,-3
-1,4,5,-2,-2,4,0,5,-1,-4,-3,-3
-1,4,5,-2,-2,4,0,-2,-1,-5,-3,-3
-1,4,4,-2,-1,4,0,-10,-1,-4,-5,-3
-1,3,3,-2,-1,3,0,-11,0,-4,-5,-3
-1,4,4,-2,-1,4,0,-2,-1,-4,-3,-3
-1,4,5,-2,-2,4,-1,9,-2,-5,-2,-3
-1,4,5,-2,-2,4,-2,13,-2,-5,-3,-4
0,4,5,-2,-1,4,-2,12,-1,-5,-3,-4
0,5,5,-3,-1,4,-1,7,-2,-5,-3,-3
0,5,5,-3,-1,5,-1,0,-2,-6,-3,-3
0,5,5,-3,-1,5,-2,-7,-2,-6,-4,-3
0,5,3,-3,0,4,-2,-11,-2,-5,-5,-3
1,5,3,-4,0,4,-2,-5,-2,-5,-4,-2
1,5,3,-4,0,4,-2,5,-3,-6,-2,-2
1,5,3,-4,0,4,-2,11,-3,-6,-3,-2
1,5,3,-4,0,4,-2,12,-3,-6,-3,-3
1,5,3,-4,0,3,-2,9,-3,-6,-3,-2
1,5,3,-4,0,4,-2,3,-3,-7,-3,-2
1,5,2,-4,1,4,-2,-4,-3,-7,-4,-2
2,4,1,-4,1,3,-3,-10,-3,-6,-5,-2
2,4,0,-4,2,2,-3,-8,-3,-7,-4,-2
3,5,0,-4,2,3,-3,2,-4,-8,-2,-1
3,5,0,-5,2,3,-4,10,-5,-8,-2,-1
3,5,0,-4,2,2,-5,11,-5,-8,-3,-2
3,4,0,-4,3,2,-5,9,-5,-8,-3,-1
3,4,0,-4,3,2,-5,4,-5,-9,-3,0
4,4,0,-5,3,2,-5,-2,-6,-9,-4,0
4,4,-1,-5,3,1,-6,-9,-6,-9,-5,0
4,3,-2,-5,4,1,-6,-11,-6,-9,-5,0
5,3,-2,-6,4,1,-6,-3,-7,-9,-2,1
6,4,-2,-7,5,1,-7,6,-8,-10,-1,1
6,5,-2,-7,5,1,-8,10,-8,-10,-2,1
7,4,-3,-7,6,0,-8,9,-8,-10,-2,1
7,4,-3,-7,7,0,-8,5,-8,-10,-2,2
8,4,-3,-7,7,0,-9,-1,-9,-11,-2,2
8,4,-4,-7,8,0,-10,-8,-9,-11,-3,2
9,4,-5,-7,8,-1,-10,-12,-9,-11,-3,2
9,3,-5,-7,9,-1,-10,-7,-10,-11,-2,3
9,4,-5,-7,9,-1,-10,2,-11,-12,-1,3
9,4,-5,-7,9,-1,-11,7,-11,-12,-2,3
9,3,-6,-7,9,-1,-12,6,-11,-12,-2,2
9,3,-6,-7,9,-1,-12,3,-12,-12,-2,3
9,4,-5,-8,9,-1,-12,-2,-13,-13,-2,3
9,5,-5,-8,9,-1,-13,-9,-13,-14,-3,3
10,4,-6,-8,9,-1,-14,-15,-13,-14,-4,2
10,4,-6,-8,10,-2,-14,-13,-14,-14,-4,3
10,4,-6,-9,10,-1,-14,-4,-15,-15,-2,3
10,5,-6,-9,10,-1,-15,2,-15,-16,-3,3
11,5,-6,-9,10,-1,-16,3,-15,-16,-4,2
11,4,-7,-8,10,-1,-16,1,-16,-15,-4,3
11,5,-7,-9,10,-1,-16,-3,-16,-16,-3,3
11,5,-6,-9,10,0,-16,-8,-16,-16,-3,3
11,5,-7,-9,10,-1,-17,-15,-16,-16,-4,3
11,4,-7,-9,10,-1,-16,-16,-15,-15,-4,3
11,4,-7,-9,10,-1,-15,-9,-15,-15,-2,4
10,4,-6,-8,9,-1,-15,0,-15,-15,-1,3
10,4,-6,-8,9,-1,-16,3,-14,-14,-2,2
9,3,-6,-7,9,-2,-15,2,-13,-13,-2,2
9,3,-6,-7,8,-1,-14,0,-13,-13,-1,3
8,4,-5,-7,7,0,-14,-4,-12,-13,-1,3
8,3,-4,-6,7,0,-14,-10,-12,-12,-1,2
7,3,-4,-6,7,-1,-13,-13,-11,-11,-2,2
7,3,-4,-6,6,0,-12,-9,-10,-11,0,2
7,4,-2,-7,6,0,-12,0,-10,-10,0,2
7,4,-1,-7,5,1,-12,5,-9,-9,0,1
6,4,-1,-7,5,2,-11,5,-7,-8,-1,0
5,5,0,-7,4,2,-10,3,-6,-8,-1,0
4,6,1,-7,3,3,-10,0,-6,-8,0,0
4,6,2,-6,2,4,-10,-5,-5,-7,-1,0
4,6,3,-6,1,4,-9,-10,-4,-7,-2,-1
3,6,3,-6,1,5,-8,-8,-3,-6,-2,-1
2,7,4,-5,0,6,-8,0,-3,-6,0,-1
2,7,5,-5,0,6,-7,6,-3,-6,0,-2
2,7,5,-5,0,6,-7,7,-1,-4,0,-2
1,7,5,-5,-1,6,-5,5,0,-3,0,-2
1,7,6,-5,-1,7,-4,2,0,-3,1,-1
0,7,7,-4,-2,7,-3,-2,0,-3,1,-1
0,6,6,-4,-2,6,-3,-7,1,-2,0,-2
0,5,6,-3,-2,5,-2,-8,2,-2,0,-2
0,5,7,-3,-2,5,-1,-2,2,-2,1,-2
-1,6,7,-3,-2,6,-1,5,2,-2,1,-2
-1,5,7,-3,-3,6,-2,7,3,-2,0,-3
-2,5,7,-2,-3,6,-1,7,3,-1,0,-3
-2,5,8,-2,-3,6,-1,5,4,-1,0,-3
-2,6,9,-3,-3,7,-1,1,3,-1,0,-3
-2,7,9,-3,-3,7,-1,-4,3,-1,0,-3
-2,6,9,-2,-3,7,0,-7,4,-1,-1,-3
-2,6,9,-2,-4,7,0,-3,4,-1,0,-3
-3,6,9,-2,-4,7,0,4,3,-1,0,-3
-3,6,9,-2,-5,7,0,8,3,-1,0,-4
-3,6,9,-2,-4,7,0,7,4,0,-1,-4
-3,6,9,-2,-4,7,0,6,4,0,0,-4
