leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,2,0,-2,0
0,0,1,0,-1,0,2,-1,5,-1,-5,0
0,1,1,0,0,0,3,-2,7,-2,-7,0
0,1,0,0,0,0,3,-2,8,-2,-9,0
1,0,-1,0,1,0,3,-1,9,-3,-11,0
1,0,-1,0,1,0,4,0,9,-3,-11,0
1,1,0,0,0,0,4,1,10,-3,-11,1
0,0,0,0,0,0,4,1,10,-3,-11,1
0,0,0,0,0,-1,4,0,9,-3,-11,0
0,0,0,0,0,-1,3,-1,9,-3,-11,0
-1,-1,0,0,-1,-1,2,-2,9,-3,-11,0
-1,-1,0,1,-1,-1,2,-4,9,-3,-12,0
-2,-2,0,2,-1,-1,2,-5,9,-3,-12,0
-3,-2,0,2,-1,-1,2,-5,9,-3,-12,0
-2,-2,0,2,-1,-1,1,-5,9,-3,-12,0
-2,-2,0,2,-1,-1,1,-5,9,-3,-11,0
-1,-2,0,1,-1,-1,1,-5,9,-3,-11,0
-1,-2,0,1,-1,-1,1,-4,9,-3,-10,0
-1,-1,0,1,-1,-1,2,-4,9,-3,-10,0
-2,0,0,1,-1,0,2,-4,9,-3,-10,0
-2,0,0,1,-1,0,2,-3,9,-3,-10,0
-2,-1,0,1,-1,-1,2,-3,9,-3,-10,0
-2,-2,0,2,-1,-2,2,-4,9,-3,-10,0
-2,-3,-1,2,-1,-2,2,-4,9,-3,-10,0
-2,-3,-1,2,-1,-2,1,-3,9,-3,-10,0
-2,-3,-1,2,-1,-2,1,-1,10,-3,-10,0
-1,-2,-1,2,-1,-2,1,0,10,-3,-10,0
-1,-2,-1,1,0,-2,1,1,9,-3,-10,0
-1,-1,-1,1,0,-2,1,1,9,-3,-10,0
-1,-1,-1,1,0,-2,2,1,9,-3,-10,0
-1,-2,-1,2,0,-2,2,0,9,-3,-10,-1
-1,-3,-1,2,0,-2,2,-1,9,-3,-10,-1
-1,-3,-1,2,0,-2,2,-2,9,-3,-10,-1
-1,-3,-1,2,0,-2,2,-3,9,-3,-10,-1
-1,-3,-1,2,0,-2,2,-4,9,-3,-9,-1
-1,-2,-1,2,0,-2,2,-5,9,-3,-9,0
-1,-2,-1,1,0,-2,2,-5,8,-3,-8,0
-1,-2,-1,2,0,-2,2,-5,8,-3,-8,0
-2,-3,-1,2,0,-2,2,-4,8,-3,-8,0
-2,-3,-1,3,-1,-2,2,-3,8,-3,-8,0
-2,-3,0,2,-1,-2,2,-3,8,-3,-8,0
-2,-3,-1,2,0,-2,1,-4,8,-3,-9,-1
-1,-3,-2,2,0,-2,1,-4,8,-4,-9,-1
-2,-3,-2,2,0,-3,1,-4,8,-4,-9,-1
-2,-3,-2,3,0,-3,1,-4,8,-4,-8,-1
-1,-4,-3,2,0,-4,1,-4,7,-4,-8,-1
0,-4,-3,2,1,-4,0,-4,7,-3,-8,-1
-1,-3,-1,2,0,-2,0,-4,8,-2,-7,0
-1,-2,0,1,-1,-1,0,-4,9,-2,-6,0
0,-1,0,0,0,0,0,-4,9,-1,-5,1
0,0,0,0,0,0,0,-4,9,-1,-5,1
-1,0,1,0,-1,0,0,-4,9,0,-4,2
-1,0,1,0,-1,0,0,-4,9,0,-4,2
-1,1,1,0,-1,0,0,-5,9,0,-4,3
0,1,1,-1,-1,1,0,-5,9,0,-4,3
0,2,2,-1,-1,1,0,-6,10,0,-3,3
0,2,2,-1,-1,2,0,-6,10,0,-3,3
0,3,3,-2,-1,3,0,-7,10,1,-3,3
1,4,3,-3,-1,4,0,-7,11,1,-3,4
2,6,4,-4,-1,5,0,-6,11,1,-3,4
2,7,5,-5,-2,6,0,-4,12,2,-2,5
1,8,6,-5,-2,6,0,-3,12,2,-2,5
1,7,6,-4,-3,6,0,-3,12,2,-2,4
1,7,5,-4,-3,5,0,-2,12,2,-2,3
1,7,5,-3,-3,6,0,-2,12,2,-1,2
1,6,5,-3,-3,6,0,-1,12,2,-1,1
1,5,5,-3,-2,5,0,0,11,2,-1,0
1,5,4,-3,-2,5,0,0,11,2,-1,-1
1,5,4,-3,-2,4,0,0,11,2,-1,-2
0,5,4,-3,-2,4,-1,0,11,2,0,-2
0,5,4,-3,-2,4,-3,-1,11,2,0,-2
1,6,5,-3,-2,5,-4,-3,10,2,0,-1
1,7,6,-4,-3,6,-5,-4,9,2,1,-1
1,8,7,-4,-3,7,-6,-5,9,3,1,0
2,9,7,-5,-3,8,-6,-6,9,3,2,0
2,9,7,-5,-2,8,-7,-7,8,3,2,0
3,9,6,-5,-2,7,-8,-6,8,2,1,0
3,9,6,-6,-1,7,-8,-5,8,2,1,0
4,10,5,-6,0,6,-9,-5,7,2,1,0
4,10,4,-7,0,6,-9,-5,7,2,1,0
5,10,4,-7,0,6,-9,-5,7,2,1,0
5,9,3,-7,1,5,-8,-5,7,2,2,0
6,9,2,-7,1,5,-8,-4,6,2,1,0
6,8,2,-7,1,5,-9,-3,5,1,1,-1
5,8,3,-7,1,5,-8,-3,4,1,0,-1
5,8,3,-7,1,5,-8,-4,4,1,0,-1
5,7,2,-7,1,4,-7,-4,3,1,0,-1
5,7,1,-6,2,3,-6,-5,2,0,0,-2
6,6,0,-6,3,2,-6,-5,0,-1,0,-3
5,5,-1,-5,3,2,-5,-6,0,-1,-1,-3
5,4,-1,-4,3,1,-4,-6,-1,-2,-1,-4
6,4,-2,-4,4,1,-3,-7,-2,-2,-2,-4
5,3,-2,-4,4,0,-2,-8,-3,-3,-2,-5
3,2,0,-2,2,0,-1,-8,-3,-3,-2,-5
0,1,1,0,0,0,-1,-8,-3,-3,-2,-5
-1,0,1,1,-1,0,0,-8,-4,-3,-3,-6
-2,-1,1,2,-1,0,0,-9,-5,-4,-3,-6
-2,-2,0,2,-1,-1,1,-9,-5,-5,-4,-7
-2,-3,0,3,-1,-1,2,-9,-6,-5,-4,-7
-2,-4,-1,3,-1,-2,3,-9,-7,-6,-5,-8
-2,-4,-2,4,-1,-3,4,-10,-8,-6,-6,-8
-2,-5,-2,4,0,-4,4,-10,-8,-6,-6,-9
-2,-5,-3,4,0,-5,5,-10,-8,-6,-7,-10
-2,-5,-3,4,0,-5,5,-10,-8,-6,-7,-10
-3,-6,-2,6,0,-5,5,-10,-9,-6,-7,-10
-3,-7,-3,6,0,-6,5,-11,-9,-7,-8,-11
-3,-7,-3,6,0,-6,5,-11,-10,-7,-9,-11
-4,-7,-3,6,-1,-6,6,-11,-10,-7,-9,-11
-4,-7,-3,6,-1,-6,7,-10,-10,-7,-9,-11
-4,-7,-2,5,-1,-5,7,-9,-10,-7,-8,-11
-4,-7,-2,5,-1,-5,8,-8,-11,-7,-8,-11
-4,-7,-1,6,-2,-5,8,-8,-11,-8,-9,-11
-4,-8,-2,6,-1,-5,7,-7,-12,-8,-9,-11
-4,-8,-3,7,0,-6,7,-7,-12,-8,-9,-11
-5,-9,-3,7,0,-6,7,-6,-13,-8,-9,-11
-5,-8,-3,7,-1,-6,6,-6,-13,-8,-9,-11
-5,-8,-3,7,-1,-6,6,-6,-14,-8,-9,-11
-5,-8,-3,7,-1,-6,5,-6,-14,-8,-9,-11
-6,-9,-3,8,-1,-6,5,-6,-14,-8,-9,-11
-6,-9,-3,8,-1,-6,5,-6,-14,-7,-9,-11
-5,-9,-3,7,-1,-7,5,-6,-14,-7,-9,-11
-5,-9,-3,7,0,-7,5,-7,-14,-7,-9,-11
-5,-9,-3,7,-1,-7,5,-7,-13,-7,-8,-11
-6,-8,-2,7,-1,-6,6,-6,-12,-6,-8,-11
-6,-8,-2,7,-2,-6,7,-5,-8,-4,-7,-11
-6,-7,-1,6,-2,-5,10,-2,-3,-1,-7,-11
