leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,1,0,-1,1,0,-1,1,2,3,5,4
2,4,1,-3,0,2,-2,3,6,7,13,12
1,5,4,-3,-1,5,-2,4,8,10,18,16
0,6,6,-3,-3,6,-2,3,8,11,20,18
-2,6,7,-2,-4,6,-2,2,8,12,21,19
-4,3,7,0,-5,5,-2,0,7,12,21,19
-3,3,5,0,-4,4,-2,0,7,12,21,19
1,4,2,-3,0,3,-3,-1,6,11,21,18
4,5,1,-4,2,3,-5,-2,5,10,20,16
1,5,3,-3,0,4,-6,-2,4,9,19,15
-1,6,7,-2,-4,6,-6,-2,3,9,18,14
1,6,4,-3,-2,5,-7,-3,2,8,16,11
7,6,-1,-7,3,3,-8,-4,1,7,14,9
11,7,-3,-9,7,2,-7,-4,1,8,15,9
11,7,-3,-9,7,2,-6,-4,2,8,15,10
8,6,-1,-8,5,2,-6,-4,2,8,16,11
3,6,2,-5,1,4,-4,-3,3,10,18,13
-2,6,8,-2,-5,7,-2,-1,4,11,19,14
-6,6,12,0,-9,9,-1,-1,5,11,18,14
-6,5,11,0,-9,8,-1,-2,3,9,17,13
-5,3,8,1,-6,5,-1,-3,2,8,15,11
-3,1,4,1,-4,2,0,-4,2,8,14,10
-2,0,1,1,-2,0,0,-6,1,7,13,9
-1,-1,0,1,0,0,0,-7,0,5,11,7
1,0,0,-1,1,0,-1,-7,-2,3,9,4
5,2,-3,-4,4,0,-1,-6,-3,2,8,3
10,2,-7,-6,8,-2,-2,-5,-4,0,7,1
8,0,-8,-4,8,-4,-2,-4,-4,0,6,1
1,-2,-4,0,2,-3,-1,-2,-2,1,7,2
-3,-3,-1,4,-1,-2,0,-1,-1,1,8,4
-3,-3,-1,4,0,-2,0,-1,-1,1,8,4
-5,-4,0,6,-2,-2,0,-2,-2,0,8,4
-11,-6,4,9,-7,-2,1,-1,-2,1,8,5
-12,-5,6,9,-9,0,3,0,-2,1,8,5
-9,-3,5,6,-7,0,3,1,-1,1,8,5
-6,-3,2,4,-4,-1,2,1,-2,0,7,4
-4,-4,-1,3,-1,-3,0,0,-4,-1,5,3
-1,-4,-4,3,1,-4,0,0,-5,-2,4,2
-2,-4,-2,3,0,-3,0,0,-6,-2,3,1
-5,-3,1,3,-2,-1,1,1,-5,-1,4,1
-5,-4,1,4,-3,-1,2,0,-6,-2,3,0
-5,-5,-1,4,-1,-3,1,-2,-8,-4,1,0
-7,-7,0,6,-3,-4,0,-2,-8,-4,1,0
-11,-9,1,9,-6,-4,0,-1,-7,-3,1,2
-13,-10,3,11,-8,-3,0,0,-7,-3,2,2
-11,-8,3,10,-7,-2,0,0,-7,-3,2,2
-7,-6,1,7,-4,-3,1,-1,-8,-3,2,2
