leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,-1,-1,-2,-1
-1,-1,0,1,-1,-1,0,0,-2,-3,-4,-2
-1,-1,0,1,-1,-1,0,0,-3,-4,-6,-2
-2,-1,0,2,-1,-1,0,0,-3,-5,-7,-3
-2,-2,0,2,-1,-1,0,0,-4,-5,-7,-3
-2,-2,0,2,-1,-1,0,0,-4,-5,-8,-3
-2,-2,0,2,-1,-1,0,0,-4,-5,-9,-3
-2,-2,0,2,-1,-1,0,0,-4,-5,-9,-3
-2,-2,0,2,-1,-1,0,0,-5,-5,-9,-3
-2,-3,0,2,-1,-2,0,0,-5,-5,-9,-3
-2,-3,0,2,-1,-2,0,0,-5,-5,-9,-3
-2,-3,0,2,-1,-2,0,0,-5,-6,-10,-3
-2,-3,0,2,-1,-2,0,0,-5,-6,-10,-3
-2,-3,0,3,-1,-2,0,0,-6,-6,-10,-3
-2,-3,0,3,-1,-2,0,0,-6,-6,-10,-3
-2,-3,0,3,-1,-2,0,0,-6,-6,-10,-3
-2,-3,0,3,-1,-2,0,0,-5,-6,-10,-3
-2,-3,0,3,-1,-2,0,0,-5,-6,-10,-3
-2,-3,0,3,-1,-2,0,0,-5,-6,-9,-3
-2,-3,-1,3,-1,-2,0,0,-5,-6,-9,-3
-2,-3,-1,3,-1,-3,0,0,-5,-6,-9,-3
-2,-3,-1,3,-1,-3,0,0,-5,-6,-9,-3
-2,-4,-1,3,-1,-3,0,0,-5,-6,-9,-3
-2,-4,-1,3,-1,-3,0,0,-5,-6,-9,-3
-2,-4,-1,3,-1,-3,0,0,-5,-5,-9,-3
-2,-4,-1,3,-1,-3,0,0,-5,-5,-9,-3
-2,-5,-1,4,-1,-4,0,0,-5,-5,-9,-2
-2,-5,-2,4,-1,-4,0,0,-5,-5,-9,-2
-2,-6,-2,4,-1,-4,1,0,-5,-5,-9,-2
-3,-6,-2,4,-1,-4,2,1,-4,-5,-10,-3
-4,-7,-3,5,-1,-5,3,3,-3,-6,-11,-4
-5,-9,-3,6,-1,-7,5,6,-2,-6,-13,-5
-6,-10,-4,7,-1,-8,8,8,-1,-6,-14,-7
-6,-11,-4,8,-1,-8,10,11,1,-6,-15,-9
-7,-12,-4,9,-1,-9,12,13,3,-6,-16,-11
-7,-12,-4,9,-2,-9,14,16,5,-5,-16,-11
-6,-10,-4,8,-2,-8,14,18,7,-2,-15,-9
-5,-9,-4,7,-1,-7,14,20,10,0,-12,-7
-2,-7,-4,5,0,-6,14,22,13,4,-8,-3
1,-4,-5,1,3,-6,14,25,16,10,-2,1
7,-1,-7,-3,7,-5,12,26,19,15,4,9
14,3,-10,-8,12,-5,9,25,21,21,13,19
22,8,-13,-15,17,-4,3,21,20,26,23,31
30,13,-16,-22,23,-2,-3,14,19,30,33,44
39,20,-19,-30,29,0,-13,5,15,35,44,58
49,27,-21,-38,35,2,-24,-5,10,39,55,71
57,35,-21,-46,39,6,-34,-15,4,43,66,84
63,43,-20,-53,41,11,-43,-24,0,47,76,95
67,50,-17,-59,42,16,-52,-32,-5,51,85,106
70,58,-12,-64,41,23,-60,-38,-8,55,95,117
72,63,-9,-67,41,27,-68,-43,-11,59,103,126
74,63,-11,-68,43,25,-75,-46,-13,60,106,130
73,59,-14,-66,44,22,-79,-49,-17,56,103,127
66,53,-13,-60,40,20,-81,-52,-22,49,93,118
55,45,-9,-50,32,18,-79,-54,-27,39,77,102
41,38,-4,-40,23,17,-74,-55,-32,27,57,82
29,31,2,-30,13,16,-68,-55,-38,13,35,59
18,24,6,-21,6,14,-61,-55,-43,0,16,38
10,18,7,-14,1,12,-54,-54,-47,-12,0,21
3,12,8,-8,-2,9,-47,-52,-49,-21,-10,10
-1,6,7,-3,-4,6,-41,-48,-48,-26,-17,2
-4,2,6,1,-5,3,-35,-42,-45,-28,-21,-3
-6,-1,4,3,-5,1,-29,-36,-41,-27,-23,-6
-6,-4,2,5,-4,-1,-24,-29,-36,-26,-23,-7
-7,-5,1,6,-4,-3,-20,-24,-31,-23,-22,-8
-7,-6,0,6,-4,-4,-16,-18,-26,-21,-21,-9
-7,-6,0,6,-3,-4,-12,-13,-21,-18,-20,-8
