leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,0,0,0,-1,0,0,-1,-2,-6,-4,-5
-2,0,1,1,-2,0,0,-2,-5,-16,-10,-14
-2,-1,1,2,-2,0,1,-2,-6,-22,-13,-20
-3,-2,1,3,-2,-1,2,-2,-6,-24,-14,-23
-4,-3,0,4,-2,-1,3,-1,-5,-25,-15,-25
-5,-4,0,5,-3,-2,4,0,-5,-26,-15,-26
-6,-5,0,6,-3,-2,5,1,-4,-27,-15,-27
-6,-5,0,6,-3,-2,6,2,-4,-27,-15,-27
-6,-5,0,6,-3,-2,6,2,-4,-27,-15,-27
-5,-5,0,5,-3,-2,6,3,-4,-27,-15,-27
-5,-5,0,5,-3,-2,6,3,-4,-27,-15,-27
-5,-5,0,5,-3,-2,6,3,-4,-27,-15,-27
-5,-5,0,5,-3,-2,7,3,-4,-27,-15,-27
-5,-5,0,5,-3,-2,7,3,-3,-27,-15,-27
-5,-5,-1,6,-3,-3,7,3,-3,-27,-15,-27
-6,-5,-1,6,-3,-3,7,4,-3,-27,-15,-27
-6,-5,-1,6,-3,-3,8,4,-3,-26,-15,-27
-6,-5,0,6,-3,-2,8,5,-3,-26,-15,-27
-6,-5,0,6,-3,-2,7,5,-3,-26,-15,-27
-7,-6,0,7,-4,-3,7,4,-3,-26,-15,-27
-8,-7,0,8,-4,-3,7,4,-3,-26,-15,-28
-7,-7,0,7,-3,-3,7,4,-3,-26,-15,-28
-6,-7,-1,7,-2,-4,7,4,-3,-26,-15,-28
-6,-7,-1,7,-2,-4,7,4,-3,-26,-15,-28
-6,-7,-1,7,-2,-4,8,5,-2,-26,-15,-28
-7,-7,0,7,-3,-3,8,5,-2,-26,-15,-28
-7,-6,0,7,-3,-3,9,5,-2,-26,-15,-28
-7,-5,0,7,-4,-3,10,6,-1,-26,-15,-28
-7,-5,1,7,-4,-2,10,6,-1,-26,-14,-27
-8,-6,1,8,-5,-2,10,6,-1,-26,-14,-27
-9,-7,1,9,-5,-3,10,6,-2,-27,-15,-28
-9,-7,1,9,-5,-3,10,6,-2,-27,-15,-28
-9,-7,0,9,-5,-3,10,6,-2,-27,-15,-28
-9,-8,0,9,-4,-3,10,6,-2,-27,-15,-28
-10,-9,0,9,-4,-4,10,6,-3,-27,-15,-29
-10,-9,0,9,-4,-4,10,6,-3,-27,-15,-29
-10,-9,0,9,-4,-4,10,6,-2,-27,-15,-29
-9,-8,0,9,-4,-4,10,6,-2,-27,-15,-29
-9,-8,0,8,-4,-3,10,5,-2,-27,-15,-30
-9,-8,0,8,-5,-3,10,5,-2,-28,-15,-30
-9,-8,0,9,-5,-3,10,5,-2,-28,-16,-30
-9,-8,0,8,-5,-3,10,5,-2,-28,-16,-30
-8,-7,0,8,-4,-3,10,6,-2,-28,-16,-30
-8,-7,0,8,-4,-3,10,6,-2,-28,-16,-30
-8,-7,0,8,-4,-3,11,6,-2,-28,-17,-31
-8,-8,0,9,-4,-3,11,6,-3,-29,-17,-31
-8,-8,0,9,-4,-4,11,6,-3,-29,-17,-31
-8,-8,0,9,-4,-4,11,6,-3,-29,-17,-31
-9,-9,0,9,-5,-4,11,6,-4,-30,-17,-31
-9,-9,0,10,-5,-4,11,6,-4,-30,-18,-32
-9,-10,-1,10,-4,-5,11,6,-4,-30,-18,-32
-8,-10,-1,9,-3,-5,11,6,-4,-30,-18,-32
-8,-10,-2,9,-3,-5,11,6,-4,-31,-19,-32
-7,-10,-2,9,-2,-5,11,5,-5,-31,-19,-32
-8,-10,-2,9,-2,-6,11,5,-5,-31,-19,-33
-8,-10,-2,9,-2,-6,11,6,-5,-31,-20,-33
-8,-10,-2,9,-2,-6,12,6,-4,-31,-20,-33
-9,-10,-2,10,-3,-6,12,7,-4,-31,-20,-33
-9,-10,-2,10,-4,-6,12,7,-4,-31,-20,-33
-8,-9,-2,9,-3,-6,12,7,-4,-31,-20,-33
-7,-8,-2,8,-2,-5,12,7,-4,-31,-20,-33
-7,-8,-2,8,-2,-5,12,7,-4,-31,-20,-33
-9,-10,-1,10,-4,-5,12,7,-4,-32,-20,-33
-11,-11,0,11,-5,-5,13,8,-5,-32,-21,-33
-11,-11,0,11,-5,-5,13,8,-5,-32,-21,-33
-10,-10,-1,10,-4,-5,13,9,-4,-32,-22,-34
-9,-10,-1,10,-3,-6,14,9,-4,-31,-22,-34
-9,-11,-2,10,-3,-6,14,9,-3,-31,-22,-34
-10,-11,-2,11,-4,-6,14,9,-3,-31,-22,-34
-10,-12,-2,11,-4,-6,14,9,-3,-31,-22,-34
-10,-12,-2,11,-4,-6,15,10,-3,-31,-21,-34
-10,-12,-2,11,-4,-6,16,10,-3,-30,-21,-34
-10,-11,-1,11,-4,-6,17,11,-2,-30,-21,-34
-9,-10,-1,10,-4,-6,17,11,-2,-29,-21,-34
-9,-10,-1,9,-4,-6,17,12,-2,-29,-22,-34
-9,-10,-1,10,-4,-6,17,12,-2,-30,-22,-34
-10,-11,-1,10,-4,-6,17,13,-2,-30,-23,-34
-10,-11,-1,11,-4,-6,17,13,-2,-30,-23,-34
-10,-12,-1,11,-4,-6,18,14,-2,-30,-23,-34
-11,-12,-1,11,-4,-6,19,14,-1,-30,-23,-34
-11,-12,-1,11,-5,-6,19,15,0,-29,-23,-34
-11,-11,0,11,-5,-5,20,16,1,-27,-22,-34
-10,-10,0,10,-5,-5,20,17,2,-26,-22,-34
-10,-10,0,10,-5,-5,20,18,2,-26,-22,-34
-11,-9,1,10,-6,-4,22,19,3,-25,-21,-34
-12,-9,2,11,-6,-4,23,20,4,-25,-21,-33
-11,-9,2,10,-6,-3,24,21,5,-24,-20,-33
-11,-8,2,10,-6,-3,24,22,5,-24,-20,-33
-12,-9,2,10,-6,-3,24,23,6,-23,-20,-33
-12,-10,2,11,-7,-4,25,23,7,-23,-20,-32
-13,-10,2,12,-8,-4,25,24,8,-21,-19,-32
-13,-9,3,11,-8,-3,26,25,10,-20,-18,-31
-12,-8,4,11,-9,-2,26,26,11,-18,-17,-30
-12,-7,4,10,-8,-2,27,27,12,-17,-16,-30
-11,-6,4,9,-8,-1,27,28,13,-16,-15,-29
-10,-5,5,8,-7,0,27,28,13,-16,-14,-29
-9,-4,5,7,-7,0,27,29,14,-15,-14,-28
-9,-4,5,7,-7,1,27,29,14,-15,-13,-28
-9,-4,5,7,-7,1,27,29,15,-14,-12,-27
-10,-4,6,7,-7,1,27,29,16,-12,-11,-26
-10,-3,6,6,-7,2,27,29,17,-11,-10,-25
-8,-2,6,5,-7,2,27,30,18,-10,-9,-24
-7,-1,6,4,-6,3,27,30,19,-9,-8,-23
-6,0,7,3,-6,3,27,30,19,-8,-7,-22
-7,0,8,3,-7,4,27,30,19,-8,-6,-21
-7,1,8,3,-7,4,26,30,19,-7,-5,-20
-7,1,9,3,-8,5,26,30,19,-7,-4,-19
-6,2,9,2,-8,6,26,29,19,-6,-3,-18
-5,3,9,1,-7,6,25,29,20,-6,-2,-17
-4,4,9,0,-7,7,25,28,20,-5,-1,-16
-4,5,9,0,-7,7,24,28,20,-5,-1,-15
-5,5,10,0,-7,7,23,27,20,-4,0,-15
-4,5,10,0,-7,7,22,27,20,-4,0,-14
-3,6,10,-1,-7,8,22,26,20,-4,1,-13
-2,7,10,-2,-6,8,21,26,20,-4,2,-12
-1,9,10,-3,-6,9,21,25,20,-4,3,-11
0,10,10,-4,-5,9,20,24,20,-3,4,-10
0,10,10,-4,-5,10,19,22,19,-3,4,-9
0,10,10,-4,-5,10,18,20,17,-4,4,-9
0,10,9,-4,-4,10,16,19,16,-4,5,-9
0,10,9,-5,-4,10,15,18,16,-4,5,-8
0,10,9,-5,-4,10,14,17,16,-4,6,-8
0,10,10,-5,-5,10,13,17,16,-5,6,-7
0,11,10,-6,-5,10,13,16,15,-5,6,-7
0,11,10,-6,-5,10,12,14,13,-6,6,-7
0,10,10,-5,-5,10,11,12,12,-6,6,-6
0,10,9,-4,-4,9,10,10,12,-6,7,-6
0,9,8,-5,-4,9,9,9,11,-6,7,-5
1,9,8,-5,-3,9,8,9,11,-5,8,-5
2,10,8,-6,-3,9,8,8,11,-6,8,-4
3,10,8,-7,-2,9,8,8,10,-7,8,-4
2,11,8,-7,-3,9,8,7,9,-8,7,-4
1,10,8,-6,-3,9,8,7,8,-9,7,-5
1,9,8,-5,-3,9,7,6,8,-9,7,-5
1,9,7,-5,-3,8,7,6,8,-9,7,-6
1,9,7,-5,-2,8,7,5,7,-9,6,-6
2,9,6,-5,-2,7,6,4,7,-9,6,-6
2,8,6,-4,-2,7,5,4,6,-9,5,-7
1,7,6,-4,-2,6,4,3,6,-10,5,-7
1,6,5,-3,-3,6,4,3,5,-11,5,-8
1,5,5,-3,-3,5,3,2,4,-11,5,-8
1,5,5,-3,-3,6,3,2,4,-11,5,-8
0,5,5,-3,-3,6,3,2,4,-11,5,-8
0,5,6,-2,-3,6,4,1,4,-11,4,-8
1,6,6,-3,-3,6,4,1,4,-11,4,-8
1,7,5,-3,-2,6,4,1,3,-12,4,-8
2,6,5,-3,-2,6,4,1,2,-13,3,-9
2,5,4,-3,-1,5,4,0,2,-13,3,-9
1,5,4,-3,-2,5,4,1,2,-13,3,-9
0,5,5,-3,-2,5,5,1,3,-12,3,-9
0,5,5,-3,-3,5,5,1,3,-12,3,-9
-1,4,5,-1,-3,5,4,0,2,-12,3,-9
-3,3,5,0,-4,5,4,0,2,-13,2,-10
-3,3,6,0,-4,5,4,0,1,-13,2,-10
-3,3,6,0,-4,5,5,0,1,-13,2,-10
-3,3,6,0,-4,5,5,0,1,-13,2,-10
-2,3,5,0,-4,5,5,0,1,-13,2,-11
-2,3,5,0,-4,5,5,0,1,-14,1,-11
-1,4,5,-1,-4,5,5,0,1,-14,1,-11
-1,4,5,-1,-4,5,5,0,1,-14,1,-11
-1,4,5,-1,-4,5,5,0,1,-14,1,-11
-2,3,5,0,-4,4,5,0,1,-14,1,-12
-3,2,5,0,-4,4,5,0,0,-15,0,-12
-3,1,6,1,-5,4,5,0,0,-16,0,-12
-4,1,6,2,-5,4,5,0,0,-16,0,-13
-4,0,5,2,-5,3,4,-1,0,-16,0,-13
-3,0,4,2,-4,3,4,-1,0,-16,0,-13
-3,0,3,2,-4,2,4,-1,-1,-16,0,-13
-3,0,2,2,-3,2,5,-1,-1,-16,0,-14
-3,0,3,2,-3,2,5,0,-1,-16,-1,-14
-4,0,4,1,-4,3,6,0,-1,-16,-1,-15
-4,1,4,1,-4,3,6,0,-1,-17,-1,-15
-5,0,5,2,-5,3,6,0,-2,-17,-1,-16
-6,0,5,3,-6,3,7,0,-2,-17,-1,-16
-7,0,5,3,-6,3,7,1,-2,-16,-1,-16
-6,0,4,3,-5,2,7,1,-2,-17,-2,-16
-5,0,3,3,-4,2,7,0,-3,-18,-3,-16
-5,-1,3,3,-4,1,7,0,-3,-18,-4,-17
-6,-1,4,4,-5,2,7,1,-3,-18,-4,-17
-7,-2,5,4,-6,2,7,1,-2,-17,-3,-17
-7,-2,4,4,-6,1,7,1,-1,-16,-3,-17
-6,-2,4,4,-5,1,8,1,-1,-15,-2,-17
-6,-2,4,4,-5,1,8,1,0,-14,-1,-17
-6,-1,4,4,-6,1,9,2,-1,-15,-2,-17
-6,-1,4,4,-6,1,9,2,-2,-17,-3,-18
-6,-1,3,3,-6,1,9,2,-2,-17,-4,-19
-5,-1,3,3,-5,1,9,2,-2,-18,-4,-19
-5,-1,3,3,-5,1,9,2,-2,-18,-5,-19
-6,-1,3,3,-5,1,9,3,-2,-18,-5,-19
-6,-2,3,3,-5,0,9,3,-2,-17,-5,-19
-5,-2,2,3,-4,0,9,3,-2,-17,-4,-19
-6,-2,2,4,-4,0,9,3,-1,-16,-4,-19
-6,-2,3,4,-5,0,10,4,0,-16,-3,-18
-6,-2,3,4,-5,0,10,4,0,-15,-3,-18
-6,-2,4,4,-5,1,11,5,0,-15,-3,-18
-6,-1,4,3,-5,1,12,5,0,-15,-2,-18
-6,-1,4,3,-5,2,13,6,1,-14,-2,-17
-6,0,5,3,-5,2,14,7,1,-13,-1,-17
-6,0,5,2,-5,2,14,7,1,-13,-1,-17
-5,0,5,2,-5,2,14,7,2,-12,-1,-17
-5,1,5,1,-5,3,15,8,2,-12,-1,-17
-5,1,5,1,-5,3,15,8,3,-12,-1,-17
-5,0,5,2,-5,3,15,8,3,-11,0,-17
-5,1,6,2,-6,3,16,9,4,-10,0,-16
-5,1,7,2,-6,4,17,9,4,-9,1,-16
-5,1,7,2,-6,4,17,10,4,-9,1,-15
-5,1,6,1,-6,4,18,10,4,-9,0,-15
-5,1,6,1,-6,4,18,10,4,-9,0,-15
-4,2,6,1,-5,4,17,10,5,-9,1,-14
-3,3,6,0,-5,5,17,10,5,-8,1,-13
-3,4,6,-1,-5,6,16,10,5,-7,2,-12
-2,5,7,-1,-5,6,15,10,5,-6,3,-11
-2,4,7,-1,-5,6,14,8,5,-6,4,-11
-3,4,7,-1,-5,6,12,7,5,-5,4,-11
-3,4,7,-1,-5,6,11,6,6,-5,4,-11
-2,5,7,-2,-5,6,9,5,6,-5,4,-11
-1,6,7,-3,-4,7,8,5,5,-5,4,-11
0,7,6,-3,-4,6,7,5,5,-5,4,-10
0,7,6,-3,-4,6,6,5,6,-5,5,-10
0,7,6,-3,-3,6,6,5,6,-4,6,-9
1,7,6,-4,-3,6,6,5,6,-3,6,-8
2,8,6,-4,-2,6,6,5,6,-3,7,-8
2,7,5,-4,-2,6,5,4,6,-3,7,-8
2,7,5,-4,-1,6,5,4,7,-3,7,-8
2,8,5,-5,-1,7,5,5,7,-2,8,-7
2,8,5,-5,-1,7,5,5,8,-2,8,-7
2,8,5,-5,-1,7,5,5,8,-1,9,-6
2,8,4,-5,-1,6,5,5,7,-1,9,-6
2,7,4,-5,-2,6,5,4,7,-2,8,-7
1,6,4,-4,-2,5,5,4,7,-2,8,-7
1,5,4,-4,-2,5,6,4,7,-3,7,-7
1,5,4,-3,-1,4,6,5,7,-3,7,-8
0,4,3,-2,-1,4,6,5,7,-3,7,-8
0,3,2,-2,-1,3,6,5,7,-3,7,-8
0,2,1,-2,-1,2,6,5,7,-3,7,-9
0,2,1,-2,0,2,7,5,7,-3,7,-9
0,2,1,-2,0,2,7,5,7,-3,7,-9
0,1,0,-1,0,1,6,4,6,-4,6,-9
0,0,0,0,0,0,5,3,6,-4,5,-10
-1,-1,0,0,0,0,5,3,6,-4,5,-10
-2,-2,1,1,-1,0,5,3,6,-4,5,-11
-4,-3,1,3,-2,-1,5,3,5,-5,5,-11
-5,-4,0,4,-3,-1,5,2,5,-5,4,-12
-5,-3,1,4,-3,-1,5,2,4,-5,4,-12
-5,-2,2,3,-4,0,5,3,4,-5,4,-12
-4,-1,2,2,-3,0,6,3,5,-5,4,-11
-3,-1,1,2,-3,0,6,3,5,-5,4,-11
-3,-2,1,2,-3,0,5,3,4,-5,4,-12
-2,-2,0,2,-2,0,4,2,4,-6,3,-12
-1,-1,0,1,-1,0,4,2,4,-6,3,-12
-1,-1,0,1,-1,-1,4,2,4,-6,3,-12
-2,-2,0,2,-1,-1,4,2,4,-6,3,-12
-3,-3,0,3,-2,-2,4,2,4,-6,3,-12
-3,-2,0,2,-2,-1,4,2,4,-5,3,-12
-3,-2,0,2,-2,-1,4,2,4,-6,3,-11
-3,-2,0,3,-2,-1,4,2,3,-7,3,-12
-4,-3,0,3,-2,-2,4,2,3,-7,3,-12
-4,-3,0,3,-2,-2,4,2,4,-7,3,-12
-4,-4,0,3,-2,-2,4,2,4,-7,4,-12
-4,-4,0,4,-2,-2,4,2,4,-7,4,-13
-4,-4,0,4,-2,-2,4,2,3,-7,4,-13
-4,-3,0,3,-2,-1,4,2,3,-7,3,-13
-3,-3,-1,2,-2,-1,4,2,3,-7,3,-13
-3,-3,-1,2,-2,-2,4,2,2,-7,3,-13
-3,-3,0,2,-2,-1,5,2,3,-6,3,-12
-3,-2,0,2,-2,-1,5,2,3,-6,4,-12
-2,-2,0,1,-1,-1,5,1,3,-6,3,-12
-2,-3,-1,2,-1,-2,5,1,2,-7,2,-12
-3,-3,0,3,-1,-2,5,1,3,-7,3,-11
-4,-3,0,3,-2,-1,5,2,4,-6,3,-11
-4,-2,0,3,-2,-1,6,3,4,-6,4,-11
-4,-3,0,3,-2,-1,6,3,4,-6,4,-11
-4,-3,0,3,-2,-1,6,3,4,-6,4,-11
-3,-3,0,2,-1,-1,5,3,4,-6,4,-10
-3,-3,0,2,-1,-1,5,2,4,-6,4,-10
-3,-2,0,2,-1,0,5,2,4,-6,4,-10
-3,-2,0,2,-2,0,4,2,4,-6,4,-10
-3,-2,0,2,-2,0,4,2,4,-6,4,-11
-3,-1,0,2,-2,0,5,2,5,-5,4,-11
-3,-1,0,2,-2,0,5,2,5,-5,4,-11
-3,-2,0,2,-2,-1,5,2,5,-5,4,-11
-4,-2,1,2,-2,0,5,2,5,-5,4,-11
-3,-1,1,2,-2,0,6,2,4,-5,4,-10
-4,-2,1,2,-2,0,6,3,4,-5,4,-10
-5,-3,1,3,-3,-1,6,3,5,-6,4,-10
-5,-3,1,3,-3,-1,6,3,5,-6,4,-9
-4,-2,0,2,-2,-1,6,4,5,-6,4,-9
-3,-2,0,1,-2,-1,5,3,5,-6,4,-8
-2,-2,0,1,-2,-1,5,3,4,-6,4,-8
-3,-3,0,2,-2,-1,5,2,4,-6,4,-8
-4,-4,0,3,-3,-1,5,2,5,-5,4,-8
-4,-3,0,2,-3,-1,5,3,6,-5,5,-8
-4,-2,1,2,-3,0,5,3,6,-5,5,-8
-5,-2,1,2,-3,0,5,3,6,-5,5,-8
-5,-2,2,3,-4,0,5,3,6,-5,6,-8
-5,-2,2,2,-4,0,5,3,7,-3,7,-7
-3,-1,2,1,-3,0,6,4,8,-1,10,-5
-1,0,2,0,-2,1,5,4,11,2,13,-2
1,2,1,-2,0,1,4,5,14,6,18,2
3,5,1,-4,0,3,4,7,20,12,24,7
6,9,2,-8,1,5,3,10,27,21,32,14
10,14,3,-12,3,8,0,12,35,31,43,23
14,20,5,-18,4,12,-6,10,43,41,55,33
20,30,9,-26,5,20,-15,4,49,52,70,46
27,43,15,-36,6,29,-28,-7,55,64,87,62
37,56,19,-47,9,37,-43,-20,60,76,105,80
47,68,21,-58,13,44,-59,-33,64,87,124,98
57,80,23,-68,16,51,-76,-49,65,95,141,116
64,92,27,-78,18,59,-95,-68,63,101,156,132
69,104,34,-87,17,69,-113,-88,61,107,171,148
72,115,42,-94,14,79,-129,-105,59,113,185,162
74,125,49,-100,12,88,-140,-119,55,115,193,172
74,131,56,-103,9,94,-147,-130,45,107,187,171
70,129,59,-100,5,94,-150,-139,27,86,164,156
62,119,57,-91,3,88,-149,-145,4,57,128,129
52,102,51,-77,1,76,-145,-149,-20,24,87,96
42,85,43,-63,0,64,-140,-149,-43,-8,48,64
35,66,32,-50,1,49,-131,-145,-61,-34,15,36
28,50,21,-39,3,36,-120,-136,-71,-53,-9,12
19,38,17,-29,1,28,-107,-124,-76,-64,-25,-5
8,30,19,-20,-5,25,-91,-109,-74,-68,-33,-17
0,24,23,-13,-11,24,-75,-92,-68,-65,-36,-23
-6,18,23,-7,-14,21,-61,-77,-61,-60,-35,-26
-9,13,22,-2,-15,18,-49,-63,-53,-54,-33,-28
-11,8,21,1,-16,15,-40,-52,-45,-49,-31,-28
-12,5,18,3,-15,12,-32,-43,-39,-45,-29,-29
-13,2,16,5,-15,9,-25,-36,-34,-42,-28,-29
-14,0,13,6,-14,7,-20,-31,-30,-39,-27,-30
-14,-3,10,8,-12,4,-16,-25,-27,-36,-26,-30
-14,-6,7,9,-10,1,-11,-20,-23,-33,-24,-30
-14,-7,5,10,-9,0,-7,-14,-19,-29,-22,-29
-13,-8,4,10,-8,-1,-3,-9,-16,-26,-19,-28
-12,-8,4,10,-8,-2,0,-5,-13,-23,-17,-27
-12,-9,3,10,-8,-3,3,-2,-10,-21,-16,-25
-12,-10,1,11,-7,-4,6,0,-8,-20,-15,-24
-12,-11,0,11,-6,-5,7,1,-6,-18,-14,-23
-12,-12,-1,11,-5,-6,9,3,-5,-17,-13,-22
-11,-12,-2,11,-4,-6,10,4,-3,-15,-11,-21
-11,-12,-2,11,-4,-6,10,6,-2,-13,-10,-20
-12,-12,-1,12,-4,-6,11,7,-2,-13,-9,-20
-12,-13,-1,12,-5,-7,11,7,-1,-13,-9,-20
-11,-12,-1,12,-5,-7,12,8,-1,-13,-9,-20
-11,-12,-1,11,-5,-6,12,8,0,-13,-9,-20
-10,-11,-1,10,-5,-6,13,8,0,-13,-9,-20
-10,-11,-1,10,-5,-6,13,8,0,-13,-9,-20
-10,-11,-1,10,-4,-6,13,8,0,-13,-9,-20
-11,-11,-1,11,-5,-6,14,9,0,-12,-9,-20
-11,-12,-1,11,-5,-6,14,9,0,-12,-9,-20
-11,-13,-2,12,-5,-7,13,9,0,-13,-10,-20
-11,-13,-3,12,-4,-8,13,9,0,-13,-10,-20
-11,-14,-2,12,-5,-8,12,9,0,-13,-10,-20
-12,-14,-2,13,-5,-8,13,9,0,-13,-9,-19
-13,-14,-1,13,-6,-8,13,9,0,-12,-9,-19
-12,-13,-1,12,-5,-7,14,9,0,-12,-9,-19
-11,-12,-1,11,-5,-7,14,10,0,-12,-9,-19
-11,-11,-1,11,-5,-6,14,10,0,-13,-9,-19
-11,-12,-1,11,-5,-6,14,10,0,-13,-9,-19
-11,-12,-1,11,-5,-6,14,10,0,-12,-9,-19
-10,-11,-1,10,-5,-6,14,10,0,-12,-9,-19
-9,-11,-1,10,-4,-6,14,11,1,-12,-9,-19
-10,-12,-1,11,-4,-6,14,11,0,-12,-10,-19
-11,-13,-2,11,-4,-7,14,10,0,-13,-10,-20
-11,-12,-2,11,-4,-7,14,10,-1,-13,-10,-20
-10,-12,-2,11,-4,-7,14,9,-1,-13,-10,-20
-11,-12,-2,12,-4,-7,14,9,-1,-13,-10,-20
-11,-12,-2,12,-5,-7,14,10,-1,-14,-10,-20
-11,-13,-2,12,-5,-7,14,10,-1,-14,-10,-20
-11,-13,-2,12,-4,-7,14,10,-1,-14,-10,-20
-11,-14,-2,12,-4,-7,14,9,-1,-14,-10,-21
-11,-14,-3,12,-4,-8,14,9,-2,-15,-11,-21
-11,-14,-4,12,-4,-8,14,9,-2,-15,-12,-21
-10,-14,-4,12,-3,-9,14,9,-3,-16,-13,-21
-9,-14,-5,12,-2,-9,14,9,-3,-16,-13,-22
-10,-14,-4,12,-3,-9,15,9,-2,-15,-12,-22
-10,-14,-3,12,-3,-8,15,9,-2,-15,-12,-22
-10,-13,-3,11,-4,-7,15,9,-2,-15,-12,-23
-9,-12,-2,11,-4,-7,15,9,-2,-15,-12,-23
-10,-13,-2,11,-4,-7,15,8,-2,-16,-13,-24
-10,-14,-3,12,-3,-8,15,8,-2,-16,-13,-24
-10,-14,-4,12,-3,-8,15,9,-2,-15,-13,-24
-11,-14,-3,12,-3,-8,15,9,-2,-15,-13,-23
-11,-14,-3,12,-4,-8,15,9,-2,-16,-14,-23
-10,-14,-3,12,-3,-8,14,9,-3,-17,-14,-24
-10,-14,-4,12,-3,-8,14,9,-3,-17,-15,-24
-10,-14,-4,12,-3,-9,14,9,-4,-18,-15,-24
-10,-15,-4,13,-3,-9,14,9,-4,-18,-16,-24
-9,-15,-5,13,-2,-10,15,9,-3,-17,-15,-24
-9,-15,-6,13,-2,-10,15,9,-3,-16,-15,-23
-10,-16,-6,14,-2,-11,15,9,-4,-17,-16,-24
-10,-17,-6,14,-2,-11,15,9,-4,-17,-16,-24
-10,-16,-6,13,-2,-11,15,9,-4,-17,-16,-24
-10,-16,-6,12,-2,-10,15,10,-3,-17,-16,-24
-10,-15,-5,12,-3,-10,15,10,-3,-16,-16,-24
-10,-15,-5,13,-3,-9,15,10,-3,-16,-16,-24
-10,-15,-5,13,-2,-10,14,10,-3,-17,-17,-24
-11,-16,-5,14,-3,-10,14,10,-3,-17,-17,-24
-12,-16,-5,15,-3,-10,15,10,-3,-17,-17,-24
-11,-16,-5,14,-2,-10,15,11,-2,-17,-16,-23
-9,-15,-6,12,-1,-9,16,11,-2,-16,-16,-23
-9,-14,-6,11,-1,-9,16,12,-2,-16,-16,-23
-8,-14,-5,11,-1,-9,16,12,-2,-16,-16,-23
-8,-13,-5,11,-2,-9,16,12,-1,-15,-16,-23
-9,-13,-4,11,-2,-8,16,12,-1,-15,-16,-23
-9,-14,-4,12,-2,-9,16,12,-1,-15,-17,-24
-10,-14,-5,12,-2,-9,16,12,-1,-16,-18,-25
-9,-14,-5,12,-2,-9,16,12,-1,-16,-18,-25
-8,-14,-6,11,-1,-10,16,13,-1,-16,-18,-25
-8,-15,-7,12,-1,-10,16,13,-1,-15,-18,-25
-10,-16,-6,13,-2,-11,17,14,0,-15,-17,-24
-11,-17,-6,14,-2,-11,18,14,0,-14,-17,-24
-11,-17,-6,14,-2,-11,18,15,0,-14,-17,-24
-11,-17,-6,14,-2,-11,18,16,1,-13,-17,-24
-11,-16,-5,14,-2,-10,18,17,2,-12,-16,-23
-11,-15,-4,13,-2,-9,19,17,2,-12,-15,-23
-10,-14,-4,12,-2,-9,19,18,3,-12,-15,-23
