leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,-2,0,2,-1,-1,0,0,0,-2,-4,4
-5,-5,0,5,-2,-2,-1,-1,-1,-7,-11,11
-7,-6,1,6,-3,-3,-1,-2,-2,-9,-16,15
-9,-7,1,8,-4,-3,-2,-2,-2,-11,-19,17
-9,-8,1,8,-4,-3,-2,-3,-2,-12,-21,18
-10,-8,1,9,-4,-3,-2,-3,-2,-12,-23,19
-10,-7,2,9,-4,-3,-2,-3,-2,-12,-24,19
-10,-7,2,9,-4,-2,-2,-3,-2,-12,-24,19
-10,-7,3,9,-5,-2,-2,-3,-2,-13,-24,19
-10,-7,3,9,-5,-2,-2,-3,-2,-13,-24,19
-10,-8,3,9,-5,-2,-2,-3,-2,-13,-24,19
-10,-8,3,9,-5,-2,-2,-3,-2,-13,-24,19
-10,-8,2,9,-4,-3,-2,-3,-2,-13,-24,19
-10,-8,2,9,-4,-3,-2,-3,-2,-13,-24,19
-10,-8,2,9,-4,-3,-2,-3,-2,-12,-24,19
-10,-8,2,9,-5,-3,-2,-3,-2,-12,-24,19
-10,-8,2,9,-5,-3,-2,-3,-2,-12,-24,18
-10,-8,2,9,-5,-3,-2,-3,-2,-12,-24,18
-11,-8,2,9,-5,-3,-2,-3,-2,-12,-24,18
-11,-8,2,9,-6,-3,-2,-3,-1,-12,-24,17
-11,-8,2,10,-6,-3,-2,-3,-1,-12,-24,17
-11,-8,2,10,-5,-3,-2,-3,-1,-12,-24,17
-11,-8,2,10,-5,-3,-2,-4,-1,-12,-24,17
-11,-9,2,10,-5,-3,-2,-4,-1,-12,-24,16
-11,-9,2,10,-5,-3,-2,-5,-1,-12,-24,16
-11,-9,2,10,-5,-4,-2,-5,-1,-12,-25,16
-11,-9,1,10,-5,-4,-2,-5,-2,-12,-25,16
-11,-9,1,9,-5,-4,-2,-5,-2,-12,-25,16
-11,-9,1,9,-5,-4,-2,-5,-2,-12,-25,15
-11,-9,1,9,-5,-4,-2,-5,-2,-12,-25,15
