leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
4,-1,-4,-1,4,-2,-1,-1,-1,-1,-1,-1
9,-2,-11,-4,10,-6,-3,-2,-2,-2,-2,-4
11,-3,-14,-5,13,-8,-4,-3,-2,-3,-3,-5
13,-3,-16,-6,15,-9,-5,-3,-3,-3,-4,-6
14,-3,-17,-6,16,-10,-6,-4,-3,-3,-5,-6
15,-3,-18,-7,17,-11,-6,-4,-3,-3,-5,-6
16,-3,-18,-7,18,-11,-6,-4,-3,-3,-5,-6
16,-3,-18,-7,18,-11,-6,-4,-3,-3,-5,-6
16,-3,-19,-7,18,-11,-6,-4,-3,-3,-5,-6
17,-3,-20,-8,19,-11,-6,-5,-3,-3,-5,-6
18,-3,-21,-8,19,-11,-6,-5,-3,-4,-5,-6
18,-3,-21,-8,20,-12,-6,-5,-4,-4,-5,-6
17,-3,-21,-8,19,-12,-6,-5,-4,-4,-5,-6
16,-3,-20,-7,18,-11,-6,-4,-4,-4,-5,-6
15,-4,-19,-7,17,-11,-6,-4,-4,-4,-5,-7
15,-4,-18,-6,17,-11,-6,-4,-4,-4,-5,-7
15,-4,-18,-6,16,-11,-6,-4,-4,-4,-5,-8
15,-4,-18,-6,16,-11,-6,-4,-3,-4,-5,-9
14,-4,-18,-6,16,-11,-5,-4,-3,-3,-5,-10
14,-4,-17,-6,16,-11,-5,-4,-3,-3,-5,-11
13,-4,-17,-5,15,-11,-5,-4,-3,-3,-5,-11
13,-4,-17,-5,15,-11,-5,-4,-4,-3,-5,-12
13,-3,-17,-6,15,-10,-5,-5,-4,-3,-4,-12
14,-3,-17,-6,15,-10,-5,-5,-4,-3,-4,-12
14,-4,-17,-5,15,-10,-5,-5,-4,-3,-4,-12
14,-4,-18,-5,16,-10,-5,-5,-4,-4,-4,-12
15,-4,-18,-6,16,-10,-5,-5,-4,-4,-4,-12
14,-4,-18,-6,16,-10,-5,-5,-4,-4,-4,-11
14,-3,-17,-6,16,-10,-5,-5,-4,-4,-4,-11
14,-3,-17,-6,16,-9,-5,-4,-4,-3,-4,-11
14,-3,-17,-6,16,-9,-5,-4,-4,-3,-4,-12
14,-3,-17,-6,16,-10,-5,-4,-4,-3,-4,-13
14,-3,-17,-6,16,-10,-5,-4,-4,-3,-4,-14
14,-3,-16,-6,16,-9,-5,-4,-4,-3,-4,-15
14,-3,-16,-6,15,-9,-5,-4,-4,-3,-4,-16
14,-3,-16,-6,15,-9,-5,-4,-4,-3,-4,-16
13,-3,-16,-5,15,-9,-5,-4,-4,-3,-4,-17
13,-3,-16,-5,15,-9,-5,-4,-4,-3,-4,-17
13,-3,-16,-5,15,-9,-5,-4,-3,-3,-4,-17
13,-3,-16,-5,15,-9,-5,-4,-3,-3,-4,-17
13,-3,-16,-5,15,-9,-5,-4,-3,-3,-4,-17
13,-3,-16,-5,15,-9,-5,-4,-3,-3,-4,-18
13,-4,-16,-5,15,-9,-5,-4,-3,-3,-4,-18
13,-4,-16,-5,15,-9,-5,-4,-3,-3,-5,-19
13,-4,-16,-5,15,-9,-5,-4,-3,-3,-5,-19
13,-4,-16,-5,15,-9,-5,-4,-3,-3,-5,-19
12,-4,-15,-4,14,-9,-4,-4,-3,-3,-5,-19
11,-4,-14,-4,13,-9,-4,-4,-2,-3,-5,-18
10,-4,-13,-4,12,-9,-4,-4,-2,-3,-5,-18
10,-4,-13,-4,12,-9,-4,-4,-2,-3,-5,-19
10,-4,-14,-4,12,-9,-4,-4,-2,-3,-5,-19
10,-4,-13,-4,12,-8,-4,-4,-2,-3,-5,-18
9,-4,-13,-4,11,-8,-4,-4,-2,-3,-5,-18
10,-4,-13,-4,12,-8,-4,-4,-2,-3,-5,-18
11,-4,-13,-4,13,-8,-4,-4,-2,-3,-5,-18
11,-4,-14,-5,13,-9,-4,-4,-2,-3,-5,-18
11,-4,-14,-5,13,-9,-4,-4,-2,-3,-5,-18
11,-4,-14,-4,13,-9,-4,-4,-2,-3,-5,-18
11,-3,-14,-4,13,-9,-4,-4,-2,-3,-5,-18
11,-3,-14,-4,13,-8,-4,-4,-2,-3,-5,-18
11,-3,-14,-4,13,-8,-4,-4,-2,-3,-5,-18
11,-3,-14,-4,13,-8,-4,-5,-2,-3,-5,-18
12,-3,-14,-5,13,-8,-4,-5,-2,-3,-5,-18
11,-3,-14,-5,13,-8,-4,-5,-2,-3,-5,-18
10,-3,-13,-4,12,-8,-3,-4,-1,-2,-5,-18
9,-3,-12,-4,11,-7,-3,-4,-1,-2,-5,-18
8,-3,-11,-3,10,-7,-3,-4,-2,-2,-5,-19
8,-3,-12,-3,10,-7,-3,-4,-2,-2,-5,-22
9,-4,-13,-4,11,-8,-3,-4,-2,-2,-5,-24
9,-4,-12,-4,11,-7,-3,-4,-2,-2,-4,-26
7,-4,-10,-3,9,-6,-2,-3,-1,-2,-3,-27
6,-4,-9,-2,8,-6,-1,-3,0,-1,-3,-27
6,-4,-9,-2,8,-6,-2,-3,0,-1,-3,-28
7,-4,-9,-3,9,-6,-2,-3,-1,-1,-4,-29
7,-4,-10,-3,9,-7,-2,-3,-1,-1,-4,-30
6,-4,-10,-2,8,-6,-2,-3,-1,-1,-4,-30
6,-4,-9,-2,8,-6,-1,-3,-1,-1,-3,-30
6,-4,-9,-2,8,-6,-1,-3,-1,-1,-3,-31
6,-4,-9,-2,8,-6,-1,-3,-1,-1,-4,-31
6,-4,-9,-3,8,-6,-1,-3,-1,-2,-4,-31
7,-3,-10,-3,9,-6,-1,-3,-1,-2,-4,-31
7,-3,-10,-3,9,-6,-1,-3,-1,-2,-4,-31
6,-4,-10,-2,8,-6,-1,-3,-1,-2,-4,-31
6,-4,-9,-2,8,-6,-1,-3,-1,-2,-4,-31
6,-4,-9,-2,8,-6,-1,-3,-1,-2,-4,-31
6,-4,-9,-2,8,-6,-1,-3,-1,-2,-4,-31
6,-4,-8,-2,8,-6,-1,-3,-1,-2,-4,-31
5,-4,-8,-2,7,-5,-1,-3,-1,-2,-4,-30
5,-4,-8,-2,7,-5,-1,-3,-1,-2,-4,-30
5,-4,-8,-2,7,-5,-1,-3,-1,-2,-4,-30
5,-4,-8,-2,8,-6,-1,-3,-1,-2,-4,-30
6,-4,-9,-2,8,-6,-1,-3,-1,-2,-4,-30
6,-4,-9,-2,8,-6,-1,-3,-1,-2,-4,-30
6,-4,-9,-2,7,-6,-1,-3,-1,-2,-4,-29
6,-4,-8,-2,7,-6,-1,-3,-1,-2,-4,-29
6,-4,-8,-2,7,-6,-1,-3,-1,-2,-4,-29
6,-4,-9,-2,8,-6,-1,-3,-1,-2,-4,-29
6,-4,-9,-2,8,-6,0,-3,-1,-2,-4,-29
5,-4,-8,-2,7,-6,0,-3,-1,-1,-3,-29
5,-4,-8,-1,7,-6,0,-3,-1,-1,-3,-28
4,-4,-8,-1,6,-6,0,-3,-1,-1,-3,-28
4,-4,-8,-1,6,-6,0,-3,-1,-1,-3,-28
4,-4,-8,-1,6,-6,0,-3,0,-1,-3,-28
4,-4,-8,-1,6,-6,0,-3,0,-1,-3,-27
4,-4,-7,-1,6,-6,0,-3,0,-1,-3,-27
5,-3,-7,-1,6,-6,0,-3,0,-1,-3,-27
5,-3,-7,-2,7,-6,0,-3,0,-1,-3,-27
5,-3,-7,-2,7,-6,0,-3,0,-1,-3,-26
5,-3,-8,-1,7,-6,0,-3,0,-1,-3,-26
5,-3,-7,-1,6,-5,0,-2,0,-1,-3,-25
4,-3,-6,-1,6,-5,1,-2,0,-1,-3,-25
4,-3,-6,-1,5,-4,1,-2,0,-1,-3,-24
4,-3,-5,-1,5,-4,1,-2,0,-1,-3,-24
4,-3,-5,-1,5,-4,1,-2,0,-1,-3,-24
3,-3,-5,-1,5,-4,1,-2,0,-1,-3,-24
3,-3,-5,-1,4,-4,1,-2,1,-1,-3,-23
3,-3,-5,-1,4,-4,1,-2,1,-1,-3,-23
3,-3,-5,-1,4,-4,1,-2,1,-1,-3,-23
3,-3,-5,-1,4,-4,1,-2,1,-1,-3,-23
3,-3,-5,-1,4,-4,1,-2,1,-1,-3,-23
3,-2,-5,-1,4,-4,1,-2,1,-1,-3,-23
3,-2,-5,-1,5,-4,1,-2,1,-1,-3,-23
4,-2,-5,-1,5,-4,1,-2,0,-1,-3,-23
4,-2,-5,-1,6,-4,1,-2,0,-1,-3,-22
4,-1,-6,-2,6,-4,1,-2,0,-1,-3,-22
4,-1,-6,-2,6,-4,1,-2,0,-1,-3,-22
4,-2,-6,-1,6,-4,1,-2,0,-1,-3,-21
4,-2,-6,-1,5,-4,1,-2,0,-1,-3,-21
3,-2,-5,-1,4,-3,1,-2,0,-1,-3,-21
3,-2,-4,-1,4,-3,1,-2,0,-1,-3,-20
2,-2,-4,-1,3,-3,2,-2,0,-1,-3,-20
2,-2,-4,-1,3,-3,2,-2,0,-1,-3,-20
2,-2,-4,-1,3,-3,2,-2,0,-1,-3,-20
2,-2,-3,-1,3,-3,2,-2,0,-1,-3,-20
2,-1,-3,-1,3,-3,2,-2,0,-1,-3,-19
2,-1,-3,-1,3,-3,2,-2,0,-1,-3,-19
2,-1,-3,-1,3,-2,2,-2,0,0,-3,-19
2,0,-3,-1,3,-2,3,-2,0,0,-3,-18
2,0,-2,-1,3,-1,3,-1,0,0,-3,-18
1,0,-1,-1,2,-1,4,-1,1,0,-3,-17
1,0,0,-1,2,0,4,-1,1,0,-2,-16
1,1,0,-1,1,0,4,-1,2,0,-2,-16
1,1,0,-1,1,1,5,0,2,1,-1,-15
1,1,1,-1,1,1,5,0,3,1,-1,-15
1,2,1,-2,0,2,6,0,3,2,-1,-14
1,2,1,-2,0,2,6,0,3,2,0,-14
1,3,1,-3,0,3,6,1,3,2,0,-13
2,3,1,-3,1,3,6,1,3,2,0,-13
3,4,1,-4,1,2,6,1,3,2,0,-13
3,4,1,-4,2,2,6,1,3,2,0,-13
3,4,1,-4,2,2,6,1,3,2,0,-13
3,4,1,-4,1,2,6,1,3,2,0,-13
3,4,0,-4,2,2,6,0,3,2,0,-13
4,4,0,-5,2,2,5,0,3,2,-1,-13
5,5,0,-5,2,2,5,0,2,2,-1,-12
5,5,0,-5,2,2,5,0,2,2,-1,-12
4,5,1,-5,2,3,5,0,2,2,0,-11
4,6,2,-5,1,4,5,0,3,2,0,-10
5,8,3,-6,1,5,4,0,4,3,1,-8
6,9,3,-7,1,6,4,1,5,4,2,-7
7,9,3,-8,2,6,3,1,5,5,3,-6
