leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,0,1,-7,2,-1,-7,-1
-3,-3,0,3,-1,-2,2,-18,6,-3,-20,-2
-6,-6,0,5,-3,-3,3,-25,8,-5,-28,-3
-6,-6,0,6,-3,-4,3,-29,9,-5,-32,-4
-5,-6,0,5,-3,-4,4,-32,10,-6,-35,-4
-5,-5,0,5,-2,-3,4,-33,11,-6,-36,-4
-5,-5,1,5,-3,-3,4,-34,11,-6,-37,-4
-5,-5,1,5,-3,-3,3,-35,10,-6,-38,-4
-5,-4,0,5,-2,-3,3,-35,10,-6,-39,-4
-5,-4,0,5,-2,-3,3,-35,10,-6,-39,-4
-5,-5,1,5,-3,-3,3,-35,10,-6,-40,-4
-6,-6,1,6,-3,-3,3,-35,10,-6,-40,-5
-6,-6,0,6,-3,-3,3,-36,9,-7,-40,-5
-6,-6,0,6,-3,-3,2,-36,9,-7,-41,-6
-6,-6,1,6,-3,-3,2,-36,8,-7,-41,-6
-6,-5,1,6,-4,-3,2,-36,8,-7,-41,-6
-6,-5,2,6,-4,-2,2,-36,7,-7,-42,-6
-6,-4,2,5,-4,-2,2,-36,7,-7,-42,-6
-6,-4,2,5,-4,-2,2,-36,7,-7,-42,-6
-7,-5,2,6,-4,-2,1,-36,7,-7,-43,-6
-8,-6,2,7,-5,-2,1,-36,7,-8,-43,-6
-8,-6,1,7,-4,-2,1,-36,6,-8,-43,-6
-6,-5,1,6,-3,-2,1,-36,6,-8,-44,-6
-5,-5,1,5,-2,-2,1,-36,6,-8,-44,-6
-6,-5,1,6,-3,-2,1,-36,6,-8,-45,-6
-6,-5,2,6,-4,-2,1,-36,6,-8,-45,-6
-6,-5,1,6,-4,-3,0,-37,5,-8,-45,-7
-6,-5,1,6,-3,-3,0,-37,5,-9,-46,-7
-6,-5,0,6,-3,-3,0,-37,5,-9,-46,-7
-6,-5,0,6,-3,-3,0,-36,5,-9,-45,-7
-6,-5,0,6,-3,-3,0,-36,5,-9,-45,-7
-6,-5,0,6,-3,-3,0,-36,4,-10,-45,-8
-6,-6,1,6,-3,-3,0,-36,4,-10,-45,-8
-7,-6,1,7,-4,-3,0,-36,4,-11,-45,-8
-7,-6,1,7,-3,-3,0,-37,3,-11,-45,-8
-6,-5,0,6,-2,-3,0,-37,3,-11,-45,-8
-5,-5,0,5,-2,-3,0,-37,3,-11,-45,-8
-5,-5,1,5,-2,-2,0,-37,3,-11,-44,-7
-6,-5,1,5,-3,-1,0,-37,3,-11,-44,-7
-6,-5,2,5,-4,-1,0,-37,4,-11,-44,-7
-6,-4,2,5,-4,-1,0,-37,4,-11,-44,-7
-6,-3,3,5,-4,0,0,-36,4,-10,-44,-6
-5,-2,3,4,-4,0,0,-36,4,-10,-44,-6
-5,-1,4,3,-4,0,0,-36,4,-9,-44,-5
-5,-1,4,3,-5,1,0,-36,4,-9,-44,-5
-5,-1,4,3,-5,1,0,-36,4,-9,-44,-5
-6,-1,5,3,-6,1,0,-36,4,-9,-44,-5
-5,-1,5,3,-6,2,0,-36,5,-9,-43,-5
-4,0,6,2,-5,3,0,-35,5,-8,-43,-4
