leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,-1,-2,0,2,-2,4,10,5,4,-8,12
3,-3,-6,0,4,-5,10,25,12,11,-21,31
4,-4,-9,0,6,-7,13,32,17,15,-29,45
4,-5,-10,0,7,-8,15,36,19,18,-32,62
5,-5,-11,0,7,-8,16,38,21,19,-32,85
6,-5,-12,0,8,-9,17,39,22,20,-30,112
7,-5,-13,-1,10,-9,18,39,22,20,-25,143
7,-5,-13,-1,10,-9,18,38,22,20,-19,174
7,-5,-13,-1,10,-9,18,37,22,20,-15,204
7,-5,-13,-1,10,-9,18,36,22,19,-12,236
7,-5,-13,-1,10,-9,17,36,21,18,-9,269
7,-5,-13,-1,10,-9,17,36,21,17,-5,308
7,-5,-13,-1,10,-9,17,35,21,16,0,353
7,-5,-13,-1,10,-9,17,34,21,15,7,397
8,-5,-13,-1,10,-9,17,33,21,14,14,434
8,-5,-13,-1,10,-9,17,32,21,13,19,464
7,-5,-13,-1,9,-9,17,30,21,12,21,488
6,-5,-12,-1,8,-9,17,29,20,12,20,505
5,-5,-12,0,8,-8,17,28,20,11,17,517
5,-5,-11,0,7,-8,16,27,19,10,13,528
5,-5,-11,0,7,-8,16,26,19,10,10,538
6,-5,-12,0,8,-8,16,26,19,9,9,549
6,-5,-12,0,9,-8,15,25,18,9,8,562
6,-5,-11,0,9,-8,15,24,18,8,7,576
6,-5,-11,0,9,-8,15,23,18,8,6,585
6,-5,-11,0,9,-8,15,22,17,7,3,588
6,-6,-12,0,9,-9,15,22,17,7,0,588
5,-6,-12,0,8,-9,15,21,16,7,-2,587
5,-6,-11,0,8,-9,15,21,16,7,-3,589
5,-6,-11,0,8,-9,15,21,15,7,-3,595
5,-6,-11,0,8,-9,15,21,15,7,-1,605
5,-6,-11,0,8,-9,15,21,15,7,0,616
5,-6,-11,0,8,-9,15,19,15,7,2,626
5,-6,-11,0,8,-9,14,19,15,7,3,634
5,-6,-11,0,8,-9,14,24,14,6,3,642
5,-6,-11,0,8,-9,13,27,14,5,4,628
5,-6,-11,1,8,-9,13,24,13,4,8,580
4,-6,-11,1,7,-9,12,22,13,2,14,521
4,-6,-11,1,7,-9,12,23,13,1,20,462
4,-6,-11,1,7,-9,12,23,13,0,26,408
4,-6,-11,1,7,-9,11,22,12,0,31,357
4,-7,-11,1,7,-9,11,22,12,0,36,308
4,-7,-11,1,7,-9,11,22,12,-1,41,260
4,-7,-10,2,7,-9,11,22,11,-3,45,213
3,-7,-10,2,6,-8,11,22,11,-5,48,169
3,-7,-10,2,6,-8,11,22,10,-7,51,130
3,-7,-10,2,6,-8,11,22,10,-8,53,99
3,-7,-10,2,6,-8,10,23,10,-10,55,74
3,-7,-10,2,6,-8,10,23,9,-11,57,52
3,-7,-10,2,6,-8,9,22,9,-12,60,31
3,-7,-10,2,6,-8,9,22,8,-13,61,5
3,-7,-11,2,7,-9,9,22,8,-14,61,-24
3,-7,-11,2,7,-9,9,22,7,-16,62,-50
4,-6,-11,1,7,-8,9,21,7,-17,64,-65
4,-6,-11,1,7,-8,9,21,6,-19,67,-74
4,-6,-11,1,7,-8,8,21,6,-20,71,-77
4,-6,-10,1,6,-8,8,21,5,-21,73,-77
4,-6,-10,1,6,-8,7,19,5,-22,72,-77
4,-6,-10,1,6,-8,7,18,4,-23,68,-79
4,-6,-10,1,6,-7,7,17,4,-24,63,-83
4,-6,-9,1,6,-7,7,16,3,-25,59,-88
4,-6,-9,1,6,-7,7,14,3,-27,55,-91
4,-6,-10,1,6,-7,7,15,3,-28,49,-92
