leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,-5,3,0,-6,160,24
-1,-1,1,1,-1,0,-14,7,1,-15,415,61
-2,-2,1,2,-2,0,-22,6,2,-20,567,83
-3,-4,0,4,-2,-2,-30,1,3,-23,654,98
-3,-5,-1,5,-1,-3,-37,-3,4,-24,703,108
-3,-6,-2,5,0,-4,-40,-6,5,-25,732,115
-3,-5,-2,5,0,-4,-40,-5,5,-27,753,121
-3,-4,-2,4,0,-3,-38,-1,4,-29,772,126
-2,-3,-1,3,0,-2,-35,4,3,-31,790,131
-3,-2,0,2,0,-1,-33,6,3,-33,806,136
-3,-1,1,2,-1,0,-34,5,2,-36,816,140
-3,-1,1,2,-1,0,-37,1,2,-38,821,142
-3,-2,1,3,-1,-1,-41,-4,2,-40,823,143
-4,-3,1,4,-2,-1,-43,-8,1,-40,824,142
-5,-2,2,4,-3,-1,-44,-9,1,-41,828,136
-5,-1,3,3,-4,0,-41,-6,0,-42,839,127
-4,1,5,2,-4,2,-37,-1,0,-43,854,118
-3,4,6,0,-4,4,-34,2,-1,-45,871,110
-2,4,6,-1,-4,5,-33,4,-2,-46,886,103
-2,3,5,-1,-3,4,-33,2,-2,-47,898,98
-2,1,4,0,-3,3,-35,-1,-2,-48,904,96
-2,0,3,1,-3,2,-37,-5,-2,-48,906,94
-2,0,3,1,-3,2,-36,-6,-3,-48,911,85
-2,1,3,1,-3,2,-34,-3,-4,-46,935,77
-2,1,3,0,-2,2,-30,2,-4,-45,970,79
-2,3,4,0,-3,3,-27,6,-4,-43,1000,83
-2,4,5,-1,-3,5,-26,8,-4,-40,1015,83
-2,5,5,-2,-4,5,-26,7,-4,-37,1016,80
-2,4,5,-2,-4,5,-28,3,-4,-36,1006,76
-1,4,5,-2,-3,5,-30,0,-5,-35,996,74
-1,4,5,-2,-3,4,-30,-2,-5,-33,993,78
-1,4,5,-2,-3,4,-29,-1,-5,-31,1000,87
-1,4,5,-1,-2,4,-27,1,-5,-30,1015,97
-1,4,5,-1,-2,4,-25,3,-5,-30,1029,104
-1,3,5,-1,-2,4,-23,4,-6,-31,1035,107
-1,3,5,-1,-2,4,-23,3,-6,-32,1029,104
-1,4,6,-1,-3,5,-24,0,-6,-33,1014,97
-1,4,6,-1,-3,5,-25,-3,-6,-33,1000,91
-1,3,6,-1,-3,4,-26,-6,-6,-31,994,89
-2,3,6,-1,-3,4,-25,-7,-7,-30,998,91
-2,3,6,-1,-4,4,-24,-5,-7,-29,1011,97
-2,4,7,-1,-4,5,-22,-3,-7,-28,1026,102
-2,4,6,-1,-4,5,-20,-1,-7,-28,1034,104
-2,4,6,-1,-4,5,-19,-1,-7,-28,1030,101
-2,3,6,-1,-4,5,-20,-4,-7,-30,1017,94
-2,3,4,0,-3,4,-21,-7,-7,-32,1000,86
-2,2,3,0,-2,2,-21,-10,-7,-34,989,82
-2,1,3,0,-2,2,-21,-11,-8,-35,989,81
-2,1,3,0,-2,2,-19,-11,-7,-36,1001,85
-2,2,4,0,-3,3,-17,-9,-7,-35,1017,90
-3,2,5,1,-4,3,-16,-8,-8,-36,1029,92
-4,2,6,1,-5,4,-15,-8,-8,-37,1030,90
-5,3,7,1,-5,5,-14,-9,-9,-38,1020,85
-5,3,8,1,-6,5,-15,-11,-10,-39,1005,79
-5,3,8,1,-6,5,-15,-13,-10,-39,993,75
-4,3,7,0,-6,5,-14,-15,-10,-39,991,76
-4,3,7,0,-6,5,-13,-15,-11,-37,1001,82
-4,3,8,0,-6,5,-12,-15,-11,-33,1017,88
-4,3,8,0,-6,5,-11,-14,-12,-27,1030,91
-4,4,9,0,-6,5,-10,-14,-12,-24,1033,91
-4,5,10,0,-7,6,-10,-14,-12,-23,1025,87
-4,5,10,0,-7,7,-11,-16,-12,-23,1010,81
-5,3,9,0,-7,6,-11,-18,-12,-24,996,77
-5,2,8,1,-7,5,-11,-19,-12,-24,991,75
-5,2,7,1,-6,5,-11,-20,-13,-24,998,75
-5,1,7,1,-6,4,-10,-19,-13,-24,1013,78
-4,1,6,1,-5,3,-10,-17,-13,-24,1029,81
-4,0,5,1,-4,2,-9,-17,-13,-24,1037,81
