leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-3,-1,2,0,-2,2,2,2,1,0,1
-2,-7,-3,4,0,-5,4,5,5,3,-1,2
-4,-7,-2,5,-1,-4,5,7,7,5,0,3
-4,-8,-3,6,0,-5,6,9,9,7,1,4
-1,-8,-5,4,2,-6,7,9,9,8,3,4
3,-4,-6,0,4,-5,6,10,10,8,4,3
7,0,-6,-4,7,-3,5,10,10,8,4,1
6,-1,-6,-2,6,-4,5,11,11,8,2,2
1,-5,-6,2,4,-6,7,13,12,9,2,3
0,-5,-5,2,2,-5,6,14,13,10,4,3
3,-4,-6,0,4,-5,3,13,14,10,4,2
6,-3,-8,-1,7,-6,4,14,15,11,5,2
4,0,-4,-2,4,-2,6,17,18,15,9,5
4,5,2,-4,0,3,7,21,21,18,12,8
4,6,3,-6,0,4,6,21,21,18,9,7
3,0,-2,-2,2,-1,5,19,19,17,8,6
1,-6,-6,2,3,-6,5,21,20,17,11,5
0,-4,-3,2,1,-3,7,24,23,21,13,6
2,1,0,-2,0,1,9,27,26,23,14,7
3,2,-1,-3,2,1,8,28,27,24,13,8
3,0,-3,-2,4,-1,7,29,28,24,14,10
5,0,-5,-3,6,-3,7,29,28,24,14,9
6,1,-5,-4,6,-2,6,30,29,26,14,7
6,2,-2,-4,4,0,6,33,32,29,19,9
5,3,0,-4,2,1,7,37,35,33,25,15
5,2,-1,-4,3,0,9,39,37,34,26,16
8,0,-7,-5,7,-3,9,40,39,35,24,16
10,0,-8,-5,8,-3,7,40,39,35,24,16
10,3,-7,-7,8,-1,6,39,39,35,24,16
9,5,-4,-7,7,1,7,40,41,36,24,17
6,7,2,-7,2,5,7,42,42,38,25,17
7,11,5,-9,1,8,8,44,44,41,27,19
13,11,0,-12,6,6,9,46,45,44,30,22
14,11,0,-13,7,5,9,47,47,46,33,23
12,13,2,-13,4,8,8,48,50,48,36,24
13,13,1,-13,5,7,8,49,51,48,37,24
13,13,0,-13,6,7,8,49,51,48,37,25
12,14,2,-13,5,8,8,48,51,49,39,25
11,15,4,-13,3,10,6,46,49,49,38,24
9,15,6,-13,2,11,5,45,49,48,37,24
10,14,6,-12,2,10,6,47,53,50,38,27
10,13,5,-11,2,9,7,49,56,53,41,30
8,12,5,-10,1,8,7,49,55,53,41,30
7,12,5,-10,1,8,5,45,52,50,40,29
11,15,4,-14,3,9,3,41,47,47,39,27
15,19,4,-17,6,11,2,39,46,46,39,27
15,21,6,-18,5,12,3,39,48,47,38,27
16,20,4,-18,6,11,3,39,48,45,36,27
18,19,1,-18,9,10,2,38,46,45,37,28
20,21,2,-21,9,11,1,38,46,46,39,30
20,25,6,-22,6,15,0,38,46,46,38,31
15,24,9,-20,2,17,0,36,45,44,36,30
13,21,9,-17,1,15,0,34,43,44,36,29
15,20,5,-18,5,13,0,33,42,43,35,29
19,19,0,-19,9,10,0,31,41,43,36,30
20,18,-1,-19,10,9,0,31,41,44,39,30
18,18,1,-18,9,10,0,31,41,44,40,28
15,19,5,-17,5,13,-1,29,38,42,37,27
14,20,7,-17,3,14,-1,26,35,39,35,27
15,20,6,-17,4,13,-1,25,34,38,34,25
15,20,6,-18,4,12,-3,24,33,38,34,24
12,21,9,-17,2,14,-4,22,32,38,35,24
8,20,12,-14,-2,16,-4,22,33,38,35,25
8,18,11,-13,-1,14,-5,21,32,36,34,25
15,20,5,-17,5,12,-5,20,30,35,32,24
18,21,3,-20,7,12,-6,17,28,34,30,23
17,20,4,-19,6,12,-6,15,25,31,29,22
16,20,4,-18,6,11,-6,14,23,30,29,22
12,17,6,-15,3,11,-5,13,21,28,28,23
9,19,11,-14,0,14,-7,10,18,26,27,23
9,23,14,-16,-2,18,-8,8,17,24,25,21
10,22,11,-16,0,16,-8,7,16,23,23,19
10,17,7,-14,2,12,-7,7,16,23,22,19
8,16,7,-12,1,12,-7,5,14,21,18,19
9,16,7,-13,0,12,-10,0,8,18,16,18
10,14,6,-11,1,9,-10,-2,5,16,16,17
10,17,7,-13,2,11,-9,0,5,15,16,17
9,20,12,-14,0,15,-7,1,6,16,17,18
5,16,11,-10,-2,12,-7,1,6,16,17,17
5,11,6,-8,0,8,-8,-1,5,15,14,15
6,11,5,-9,0,8,-8,-4,1,12,11,12
6,11,6,-9,0,8,-9,-5,-1,12,11,12
7,9,1,-8,2,4,-8,-5,-1,14,16,16
10,8,-1,-9,5,3,-8,-7,-2,13,16,18
7,13,6,-10,0,8,-10,-10,-5,10,11,14
3,15,12,-9,-4,13,-11,-11,-6,8,9,13
3,14,12,-8,-4,13,-10,-10,-4,9,9,13
6,14,9,-10,-1,11,-8,-9,-3,10,10,14
8,14,6,-12,1,9,-7,-9,-3,10,10,14
7,14,7,-12,0,10,-7,-9,-3,10,8,13
5,15,11,-11,-3,13,-7,-11,-5,8,7,12
4,17,13,-11,-4,14,-7,-12,-6,8,8,11
6,16,11,-10,-3,12,-5,-11,-5,9,9,11
6,16,10,-10,-2,12,-6,-12,-5,9,11,11
6,19,14,-12,-4,15,-8,-13,-6,9,13,11
7,22,15,-14,-4,18,-8,-13,-6,10,13,12
9,22,13,-15,-2,17,-8,-12,-5,9,11,12
9,21,13,-14,-1,16,-8,-11,-3,9,10,12
9,23,14,-15,-3,18,-8,-10,-3,10,11,14
11,27,15,-18,-1,20,-10,-11,-3,11,11,13
14,27,13,-20,1,19,-12,-13,-6,10,11,11
13,24,11,-18,1,16,-15,-15,-8,8,10,11
12,21,9,-16,1,14,-17,-13,-6,9,11,13
12,17,7,-14,2,11,-17,-11,-4,11,14,15
10,15,5,-12,2,9,-16,-9,-2,13,15,16
10,14,4,-12,3,9,-17,-8,-3,13,15,15
11,11,1,-11,5,6,-18,-8,-5,14,15,16
12,10,-2,-11,7,3,-18,-8,-4,14,17,18
13,12,-1,-12,7,5,-18,-9,-4,14,16,17
12,13,1,-12,6,6,-18,-9,-6,12,13,15
16,14,-1,-14,9,6,-17,-9,-7,10,12,13
20,17,-2,-18,11,6,-17,-9,-8,8,10,12
17,16,0,-16,9,6,-17,-10,-8,7,9,12
11,10,0,-10,5,5,-19,-11,-9,6,7,11
13,10,-2,-11,7,4,-20,-12,-9,7,7,10
19,15,-4,-16,12,5,-19,-11,-8,8,9,12
16,13,-4,-14,11,4,-19,-11,-9,8,9,13
12,8,-4,-9,9,1,-20,-12,-11,7,5,11
9,6,-3,-7,7,0,-18,-11,-10,6,3,10
9,4,-4,-6,7,-1,-15,-9,-9,8,6,11
13,5,-6,-8,10,-1,-16,-10,-10,8,8,11
14,11,-2,-12,8,4,-17,-11,-11,7,8,9
10,11,3,-10,4,7,-15,-11,-10,8,9,9
6,6,1,-6,3,3,-13,-11,-9,8,9,10
6,6,0,-6,4,3,-13,-11,-9,8,9,11
5,10,5,-7,0,7,-12,-9,-8,8,9,12
4,10,6,-6,-1,7,-11,-8,-8,7,8,10
3,6,4,-4,0,4,-11,-9,-9,4,6,9
2,5,4,-3,-1,4,-10,-10,-10,3,5,9
