leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,-1,-5,2,2
0,-1,-1,0,0,-1,0,0,-2,-14,6,5
0,-1,-1,0,1,-1,0,0,-2,-19,8,6
0,-1,-1,1,1,-1,0,0,-3,-21,10,7
0,-1,-2,1,1,-1,0,0,-3,-23,10,8
0,-2,-2,1,1,-2,0,0,-4,-25,10,8
-1,-2,-2,1,1,-2,0,0,-4,-25,10,7
-1,-2,-2,1,1,-2,1,1,-4,-25,10,7
0,-1,-2,1,1,-1,1,1,-3,-25,10,6
0,-1,-2,0,1,-1,1,1,-3,-25,10,6
0,0,-2,0,1,-1,1,2,-3,-25,10,5
0,0,-1,0,0,-1,2,2,-3,-25,10,5
0,0,-1,0,0,0,2,2,-3,-25,10,5
0,0,-1,0,1,0,2,2,-3,-25,10,5
0,0,-1,0,1,0,2,2,-3,-24,10,5
0,0,-1,0,1,0,1,2,-3,-24,10,4
0,0,-1,0,1,0,1,2,-3,-24,10,4
0,1,-1,0,1,0,1,2,-3,-24,10,4
0,1,-1,0,0,0,1,2,-3,-24,10,4
0,1,0,0,0,0,2,2,-3,-24,10,4
0,1,0,0,0,0,2,2,-3,-23,10,4
0,1,0,0,0,1,2,2,-2,-23,10,4
0,2,0,-1,0,1,2,2,-2,-22,10,4
0,2,0,-1,0,2,2,2,-2,-22,10,4
0,2,0,-2,0,2,2,3,-2,-22,10,5
0,3,1,-2,0,2,2,3,-2,-22,10,5
0,3,1,-2,0,2,2,4,-1,-22,10,6
0,3,1,-2,0,2,2,4,-1,-22,10,6
0,3,2,-2,0,3,2,4,0,-22,10,7
0,3,2,-2,-1,3,2,4,0,-22,10,7
0,3,2,-2,0,3,2,4,0,-22,10,7
1,3,2,-3,0,3,2,5,0,-21,10,8
1,4,3,-3,0,4,2,5,0,-21,10,9
1,5,3,-4,0,4,2,5,1,-20,10,9
0,5,4,-3,-1,4,2,5,1,-20,10,10
0,5,4,-3,-1,5,2,5,1,-19,10,10
1,6,4,-4,-1,5,2,5,1,-19,10,10
1,7,4,-4,-1,6,2,5,1,-19,10,10
1,7,5,-4,-2,6,2,5,1,-19,10,10
1,7,5,-4,-2,6,2,5,1,-19,10,11
1,7,6,-4,-2,6,2,6,1,-19,10,11
1,8,6,-4,-2,6,2,6,1,-19,10,12
1,8,6,-4,-2,7,3,7,2,-19,10,12
1,9,7,-4,-2,8,3,7,2,-18,10,13
0,9,7,-4,-3,8,3,7,2,-18,10,13
0,8,7,-4,-3,8,2,6,2,-18,9,13
1,9,8,-5,-3,9,2,6,3,-18,10,13
3,11,8,-7,-3,10,3,7,3,-17,10,15
3,13,9,-8,-2,10,3,7,4,-17,11,16
3,13,9,-8,-3,10,3,7,4,-17,11,17
3,14,10,-8,-3,11,2,7,4,-16,11,17
3,14,10,-8,-3,11,2,7,4,-16,11,17
2,14,10,-8,-4,11,2,7,4,-16,11,18
2,14,11,-8,-4,12,3,7,4,-16,11,18
3,15,11,-9,-4,13,3,7,5,-16,11,19
4,16,11,-10,-4,14,2,6,5,-16,11,20
4,17,12,-10,-4,14,2,6,5,-16,11,21
3,17,13,-10,-5,15,2,6,5,-15,11,21
3,18,13,-10,-5,15,3,6,5,-15,11,21
4,18,13,-11,-5,15,3,6,6,-15,11,21
4,19,13,-11,-4,16,3,6,6,-15,11,22
4,19,14,-12,-4,16,3,6,6,-15,11,22
4,19,14,-12,-5,17,2,6,6,-15,11,22
3,19,14,-11,-5,17,1,5,5,-15,11,22
3,19,14,-11,-5,17,1,4,5,-15,11,23
3,20,15,-12,-5,18,1,4,6,-15,11,24
4,21,16,-12,-5,19,1,4,6,-15,10,24
4,21,16,-13,-5,19,0,4,6,-15,10,25
5,22,16,-13,-4,19,0,4,6,-15,9,25
5,22,16,-13,-4,19,0,3,6,-15,9,25
6,22,16,-13,-4,19,0,3,5,-15,9,25
6,22,16,-14,-4,19,0,2,5,-15,8,25
6,23,16,-14,-4,19,0,2,5,-16,8,24
7,23,16,-15,-4,20,0,1,5,-16,8,24
7,23,16,-15,-4,20,0,1,4,-16,8,23
7,23,15,-15,-4,19,0,1,4,-16,8,23
7,23,15,-15,-4,19,-1,1,4,-16,8,22
7,23,15,-15,-4,19,-1,0,3,-16,8,21
7,23,15,-15,-4,19,-2,0,3,-16,8,20
7,22,14,-15,-3,18,-2,0,3,-16,8,19
7,22,14,-15,-3,18,-2,0,2,-16,8,18
7,22,13,-15,-2,17,-2,0,2,-16,8,18
7,21,12,-14,-2,16,-3,-1,2,-16,8,17
7,20,11,-14,-2,15,-3,-1,1,-17,7,16
7,19,11,-13,-1,15,-2,-1,1,-17,7,15
8,19,10,-13,0,14,-2,-1,0,-17,6,15
8,18,9,-13,1,13,-2,-1,0,-17,6,14
8,18,8,-13,1,13,-2,-1,0,-17,5,14
8,17,7,-12,2,12,-2,0,0,-18,5,14
9,16,6,-12,2,11,-2,0,0,-18,4,14
10,16,4,-12,3,10,-2,0,0,-18,4,14
10,14,3,-12,4,9,-2,0,0,-18,4,14
10,13,2,-12,4,8,-2,0,0,-18,3,14
10,12,1,-11,4,7,-1,0,0,-17,3,14
10,11,0,-11,4,6,-1,0,-1,-17,3,14
10,11,0,-10,5,5,-2,0,-1,-18,3,14
10,10,-2,-10,6,4,-2,0,-2,-18,3,13
10,8,-3,-9,7,3,-2,0,-2,-18,3,13
10,8,-3,-9,7,2,-1,0,-2,-18,3,13
10,7,-4,-9,7,2,-1,1,-2,-18,3,12
10,7,-4,-8,7,1,-1,1,-2,-18,3,12
10,7,-4,-8,7,1,-1,2,-2,-18,3,13
10,6,-4,-8,7,0,0,2,-2,-18,3,13
10,6,-5,-7,7,0,0,2,-2,-18,3,12
10,5,-5,-7,8,0,0,2,-2,-18,3,12
10,5,-5,-7,8,0,0,2,-2,-18,3,12
10,5,-5,-7,8,0,0,2,-2,-18,4,12
10,4,-5,-7,8,0,1,2,-2,-17,4,12
9,4,-5,-6,7,-1,1,2,-2,-17,4,11
9,4,-5,-6,7,-1,0,2,-2,-17,4,11
8,4,-6,-6,7,-1,0,2,-2,-17,4,11
8,3,-6,-5,7,-2,0,2,-3,-17,4,11
7,3,-6,-5,7,-2,1,2,-3,-17,4,12
8,3,-6,-5,7,-2,1,2,-2,-17,4,12
8,2,-6,-5,7,-2,1,2,-2,-17,3,12
7,1,-6,-4,7,-2,1,1,-3,-18,3,12
7,1,-6,-4,7,-3,1,1,-3,-18,2,12
8,2,-6,-5,8,-2,1,1,-3,-18,2,12
9,3,-6,-6,8,-2,1,1,-3,-17,3,13
9,4,-6,-6,8,-1,1,1,-3,-17,3,13
9,4,-6,-6,8,-1,1,1,-3,-17,3,14
8,4,-6,-6,7,-1,1,1,-3,-17,3,14
7,3,-6,-5,7,-2,1,1,-3,-18,3,14
7,2,-6,-4,7,-2,1,1,-3,-18,3,14
7,2,-6,-4,7,-2,1,1,-3,-18,2,14
8,2,-6,-5,7,-2,1,1,-3,-18,2,14
8,2,-6,-5,7,-2,1,1,-3,-18,2,14
7,2,-6,-5,7,-2,1,1,-3,-18,2,14
7,3,-6,-5,7,-2,1,1,-3,-18,2,14
7,3,-6,-5,7,-2,1,1,-2,-18,2,14
7,3,-6,-5,7,-2,1,1,-2,-18,2,14
6,3,-5,-5,6,-2,1,1,-2,-18,2,14
7,3,-5,-5,6,-2,1,1,-2,-17,2,14
7,3,-5,-5,6,-2,1,1,-2,-17,2,14
6,3,-5,-5,6,-2,1,1,-2,-16,2,14
6,3,-5,-4,6,-2,1,1,-2,-16,2,14
6,3,-5,-4,6,-2,1,1,-2,-16,2,14
7,3,-5,-4,6,-2,1,1,-2,-16,2,14
7,3,-5,-5,6,-2,1,1,-1,-16,2,14
8,3,-5,-5,6,-2,1,1,-1,-16,3,14
8,3,-5,-5,6,-2,1,1,-1,-16,3,14
7,3,-5,-5,6,-2,1,1,-1,-16,3,14
7,3,-5,-5,6,-1,0,1,0,-16,3,14
6,2,-5,-4,6,-1,0,1,0,-16,3,13
5,2,-5,-3,5,-2,0,1,0,-16,2,13
5,2,-5,-3,5,-2,0,1,0,-15,2,13
6,3,-5,-4,5,-1,0,1,0,-15,3,13
5,3,-5,-4,5,-1,0,1,0,-15,3,13
5,3,-5,-4,5,-1,0,1,0,-15,3,13
6,3,-5,-4,5,-1,1,1,0,-15,3,13
6,4,-5,-5,6,-1,1,1,0,-15,3,13
6,4,-5,-5,6,-1,1,1,0,-15,3,13
6,4,-5,-5,6,-1,1,1,0,-15,3,13
6,4,-4,-5,6,-1,1,1,0,-15,3,13
6,4,-4,-5,6,0,1,1,0,-15,3,13
6,4,-4,-5,5,0,1,1,0,-15,3,14
6,3,-4,-4,5,0,1,1,0,-14,3,14
5,3,-4,-4,4,0,1,1,0,-14,3,15
5,3,-4,-4,4,0,1,1,0,-14,2,16
5,3,-4,-5,4,0,1,1,0,-14,2,17
5,3,-4,-5,4,0,1,1,0,-14,2,17
5,3,-3,-5,4,0,2,1,0,-14,2,17
5,3,-3,-5,4,0,2,1,0,-14,2,18
5,3,-2,-4,4,0,2,1,0,-14,2,18
4,3,-2,-4,4,0,2,1,0,-14,2,18
4,3,-3,-4,4,0,2,1,0,-14,1,18
4,3,-3,-4,4,0,2,2,0,-14,1,18
4,3,-3,-4,4,0,2,2,0,-13,1,19
