leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-2,-1,1,0,-2,64,1,1,0,0,-1
-1,-7,-5,4,2,-6,177,3,5,0,-1,-3
-2,-11,-8,6,3,-10,263,6,10,1,-2,-4
-2,-14,-11,8,4,-13,326,11,16,4,-2,-5
-2,-15,-13,8,6,-15,368,16,23,7,-2,-6
-1,-17,-16,9,7,-16,397,20,29,11,-1,-7
0,-17,-17,9,9,-17,416,23,34,13,-1,-8
0,-16,-17,8,9,-16,428,24,36,13,0,-8
1,-13,-14,6,8,-14,439,23,34,12,0,-6
2,-7,-10,2,7,-9,442,18,28,10,2,-2
6,0,-6,-3,7,-3,413,14,24,9,4,2
11,10,0,-11,6,5,334,11,22,11,9,7
14,22,7,-18,4,15,219,7,21,14,14,15
16,34,17,-25,0,26,121,2,19,19,20,23
18,47,28,-33,-3,37,85,-5,14,25,26,31
20,60,39,-40,-8,50,136,-14,4,28,32,40
22,73,51,-47,-13,62,300,-25,-9,29,37,49
24,87,62,-55,-18,74,563,-36,-24,29,42,57
28,102,74,-65,-22,88,870,-47,-40,27,47,65
31,115,85,-73,-26,100,326,-55,-55,25,51,72
32,124,92,-78,-29,108,14,-62,-69,20,53,78
32,127,94,-79,-30,110,582,-67,-84,13,54,80
32,122,89,-77,-27,105,822,-67,-95,9,54,78
30,106,75,-68,-21,90,885,-59,-95,9,50,69
26,82,56,-54,-13,69,853,-46,-87,12,43,54
22,59,37,-41,-6,48,774,-34,-76,15,35,40
20,41,21,-31,0,31,674,-23,-67,15,29,28
20,29,9,-25,5,19,569,-13,-57,16,25,21
19,20,0,-20,10,10,467,-4,-46,18,23,16
17,11,-6,-14,12,2,370,3,-36,19,21,12
14,4,-10,-10,13,-3,282,8,-28,19,20,10
12,0,-12,-7,13,-5,203,13,-22,19,19,9
10,-2,-12,-4,12,-7,132,16,-16,17,18,8
8,-4,-12,-2,10,-8,78,19,-12,13,15,6
6,-6,-11,0,9,-9,-5,21,-9,8,11,3
5,-6,-11,0,9,-9,-206,22,-5,5,7,1
5,-6,-11,0,9,-8,-548,22,-1,3,4,0
5,-5,-10,-1,9,-8,-264,21,1,2,2,0
4,-5,-9,0,7,-7,330,19,3,2,1,0
2,-5,-7,1,5,-7,490,14,3,1,1,0
1,-4,-5,1,4,-5,652,11,3,2,1,0
3,-1,-4,-1,4,-3,900,8,3,3,2,1
3,0,-3,-2,3,-1,1120,5,3,3,2,1
1,-1,-2,0,2,-2,1263,2,1,3,1,0
-1,-3,-1,2,0,-2,614,0,0,2,0,-1
-2,-4,-1,3,0,-3,-440,0,0,1,0,-1
-2,-4,-1,3,0,-3,-942,-1,-1,1,-1,-1
-2,-4,-1,3,0,-3,-1232,-1,0,0,-1,-1
-2,-4,-2,3,0,-3,-1495,-1,0,0,-1,-1
-2,-4,-2,3,0,-3,-1696,-2,0,0,-1,0
-2,-4,-2,3,0,-3,-1729,-2,0,0,-1,0
-2,-4,-2,3,0,-3,-1584,-2,0,0,-1,0
-2,-4,-2,3,0,-3,-1351,-2,0,0,-1,-1
-1,-4,-2,2,0,-3,-1123,-2,0,0,-1,-1
-2,-4,-1,2,0,-3,-935,-2,0,0,-1,-1
-2,-3,-1,2,0,-2,-780,-2,0,1,-1,-1
