leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,2,0,-2,1,1,2,2,2,1,2,1
4,4,1,-4,2,2,4,6,7,4,5,3
5,5,1,-5,3,3,6,8,10,6,7,4
4,4,0,-5,3,2,7,9,12,8,8,5
3,3,0,-3,3,1,7,10,13,9,10,6
3,2,0,-3,3,1,8,10,15,10,11,7
3,2,0,-3,3,1,8,10,16,11,12,8
3,4,1,-4,2,3,7,10,16,12,13,9
4,7,2,-5,2,5,7,10,17,12,13,9
5,9,4,-7,1,7,6,10,17,12,13,9
6,11,5,-8,1,8,6,9,18,12,13,9
5,10,5,-8,1,7,6,9,18,13,13,9
4,8,4,-6,1,6,6,9,18,13,14,9
4,6,3,-5,1,5,6,9,18,13,14,9
4,6,3,-5,1,5,6,9,18,14,15,10
4,7,3,-5,1,5,6,10,19,14,15,10
5,9,4,-7,1,7,5,10,19,14,16,11
6,11,4,-9,1,8,5,10,20,15,16,11
7,13,5,-10,1,9,5,10,21,16,17,12
7,14,6,-11,1,10,4,10,22,16,17,12
7,13,6,-10,1,10,3,9,23,17,18,13
6,12,7,-10,1,10,2,8,23,18,18,13
6,12,7,-10,1,10,2,8,24,18,19,14
7,13,7,-10,1,10,1,7,24,19,19,14
8,15,7,-11,1,11,1,7,24,19,19,15
9,16,7,-12,1,12,1,7,24,19,19,15
9,17,7,-13,1,13,1,6,24,19,19,15
9,18,8,-13,1,13,1,6,24,19,19,15
9,17,8,-12,1,12,1,6,23,19,19,15
8,16,8,-12,1,12,1,6,23,19,19,15
8,15,8,-11,0,11,1,6,22,19,19,15
7,14,8,-10,0,11,1,6,22,18,19,15
7,15,8,-11,0,11,1,6,21,18,19,15
8,17,8,-12,0,12,1,6,21,18,18,15
7,17,8,-12,0,12,1,6,20,18,18,14
7,17,8,-12,0,12,1,6,19,17,17,14
7,16,7,-11,0,11,2,7,19,17,16,13
7,13,6,-10,1,10,4,8,18,16,16,13
7,11,4,-9,1,8,5,9,18,16,16,12
7,9,2,-8,2,6,6,9,17,15,15,12
7,7,1,-7,3,4,7,10,17,14,15,11
6,7,0,-6,3,3,8,11,16,14,14,11
6,7,0,-6,3,3,8,11,16,14,14,11
6,7,0,-6,3,3,9,12,15,13,14,11
6,6,0,-6,3,2,10,12,15,13,13,10
5,4,-1,-5,3,1,11,13,15,13,13,10
5,2,-1,-4,4,0,11,13,15,12,13,10
5,1,-2,-3,4,0,12,14,15,12,13,10
4,0,-2,-2,3,0,12,14,15,11,12,9
4,0,-3,-2,3,-1,13,15,14,11,12,8
3,0,-3,-1,3,-1,13,15,14,10,11,8
2,0,-3,-1,3,-2,14,15,13,10,11,7
2,-1,-4,0,3,-2,14,15,13,9,10,6
2,-1,-4,0,3,-3,15,15,13,9,10,6
1,-2,-4,0,2,-3,15,16,13,9,10,6
0,-3,-4,1,2,-3,15,16,13,8,9,6
0,-4,-4,2,2,-3,16,16,12,8,9,6
0,-4,-4,2,2,-4,16,16,12,8,8,5
0,-4,-4,2,2,-4,16,16,11,7,8,5
0,-4,-4,2,2,-4,16,16,11,7,8,4
0,-4,-4,2,2,-4,16,16,11,7,8,4
0,-4,-4,2,2,-5,16,16,11,7,8,4
0,-4,-4,2,2,-5,16,16,11,6,8,4
-1,-5,-4,3,1,-5,16,16,11,6,8,4
-1,-5,-4,3,1,-5,16,16,11,6,7,4
-1,-6,-4,3,1,-5,17,16,11,6,7,4
-1,-6,-4,3,1,-5,17,16,11,6,7,4
-2,-6,-4,3,1,-5,17,16,11,6,7,4
-2,-6,-5,4,1,-6,17,16,10,6,6,3
-2,-7,-5,4,1,-6,17,16,10,6,6,3
-2,-7,-5,4,1,-6,17,16,10,6,6,3
-1,-6,-5,3,2,-6,17,17,10,6,6,3
-1,-6,-5,3,2,-5,17,17,10,6,6,3
0,-6,-6,3,2,-5,17,17,10,6,6,3
0,-6,-6,3,2,-6,17,17,10,6,6,3
0,-6,-6,3,2,-6,17,17,10,6,6,3
0,-6,-6,3,2,-6,17,17,10,6,6,3
0,-5,-5,3,2,-6,17,17,10,6,6,3
-1,-5,-5,3,2,-6,17,17,10,5,6,3
-1,-6,-5,3,2,-6,17,17,10,5,6,3
-1,-6,-5,3,2,-6,17,17,10,5,6,3
-1,-7,-6,3,2,-6,18,17,10,5,6,3
-1,-7,-6,3,2,-6,18,17,10,5,6,3
-1,-7,-6,3,2,-6,18,18,10,5,6,3
-1,-7,-6,3,2,-6,18,18,10,5,6,3
-1,-7,-6,3,2,-7,18,18,10,5,6,3
-1,-7,-7,3,2,-7,18,18,10,5,6,3
-1,-7,-7,3,2,-7,18,18,10,5,6,3
-1,-7,-7,3,2,-7,18,18,10,5,6,2
-1,-8,-7,3,2,-7,17,17,9,5,5,2
-1,-8,-7,4,2,-8,17,17,9,5,5,2
-2,-8,-7,4,2,-8,17,18,9,5,5,2
-2,-8,-7,4,2,-8,17,18,9,4,5,2
-1,-8,-8,4,3,-9,17,18,9,4,5,2
-1,-8,-8,4,3,-9,17,18,9,4,5,2
-1,-9,-8,4,3,-9,17,18,9,4,5,2
-1,-9,-8,4,3,-9,17,18,9,4,5,2
0,-10,-9,4,4,-9,17,19,9,4,6,2
0,-10,-10,4,5,-10,18,21,10,5,6,2
1,-9,-11,3,6,-10,18,22,12,7,8,3
2,-9,-11,2,6,-10,18,24,15,9,9,5
3,-8,-12,2,7,-10,19,26,19,11,11,6
4,-8,-13,1,8,-10,19,28,22,14,13,8
6,-7,-14,0,10,-10,18,29,25,16,15,10
9,-6,-14,-2,11,-10,16,27,25,17,17,12
11,-4,-15,-5,13,-9,13,23,21,15,16,13
13,-1,-15,-7,14,-8,9,16,15,12,15,13
15,1,-14,-9,14,-6,4,7,9,9,13,14
17,5,-13,-12,15,-4,-1,-1,3,6,12,15
20,9,-12,-16,15,-1,-7,-11,-4,3,11,16
23,15,-9,-20,16,3,-14,-23,-11,0,10,17
25,21,-5,-24,15,8,-22,-36,-19,-4,8,19
27,26,-2,-28,14,13,-30,-50,-30,-10,5,20
29,31,1,-31,14,16,-38,-64,-43,-18,0,19
30,34,3,-33,14,18,-46,-78,-58,-28,-6,18
31,36,4,-34,14,20,-53,-92,-75,-39,-13,16
