leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,2,0,0,0,1,0
3,0,-2,-1,2,-1,5,1,0,-1,2,1
3,0,-4,-1,3,-2,7,1,0,-2,2,1
-1,-6,-4,3,1,-5,6,0,-2,-4,0,-1
-6,-10,-4,8,-1,-7,5,-2,-4,-6,-1,-2
-8,-11,-3,10,-2,-7,6,-4,-6,-7,-1,-3
-7,-11,-3,9,-2,-7,6,-4,-7,-8,-2,-3
-4,-8,-3,6,-1,-5,8,-3,-6,-7,-1,-3
-2,-4,-2,3,0,-3,9,-2,-5,-5,0,-2
-1,-3,-1,2,-1,-2,9,-1,-4,-5,0,-1
-2,-2,0,2,-1,-1,9,0,-3,-4,0,-1
-3,-3,0,3,-2,-1,10,0,-3,-4,0,-1
-3,-3,0,3,-1,-1,10,0,-3,-4,0,-1
-3,-4,0,3,-1,-1,10,0,-3,-4,1,0
-4,-5,0,5,-2,-2,10,0,-4,-4,1,0
-7,-7,0,7,-4,-3,9,-1,-5,-6,0,-1
-10,-10,1,10,-6,-4,8,-2,-6,-7,-1,-3
-11,-11,0,11,-6,-5,7,-2,-6,-8,-2,-4
-9,-10,0,10,-5,-5,7,-2,-5,-8,-2,-4
-3,-6,-2,5,-1,-4,8,-1,-5,-7,-2,-3
4,-1,-4,-1,4,-3,8,-1,-5,-7,-1,-3
6,0,-4,-3,5,-2,8,-1,-5,-7,-2,-3
1,-1,-2,0,2,-2,7,-2,-6,-8,-2,-3
-2,-3,0,3,-1,-2,7,-2,-6,-8,-2,-3
-4,-2,1,3,-3,-1,7,-2,-6,-7,-2,-3
-3,-2,0,2,-2,0,7,-1,-5,-7,-2,-3
-2,-2,0,2,-1,-1,7,-1,-5,-7,-2,-3
-3,-4,-1,4,-2,-2,7,-1,-4,-6,-1,-3
-7,-9,-1,8,-3,-5,8,-1,-4,-6,-1,-3
-11,-13,-1,12,-4,-7,7,-1,-4,-7,-2,-4
-12,-12,1,12,-6,-6,8,-1,-4,-6,-1,-4
-11,-8,3,9,-6,-3,10,0,-3,-5,0,-3
-8,-5,2,6,-5,-2,11,1,-2,-4,0,-2
-6,-4,1,5,-3,-1,10,1,-2,-4,0,-2
-5,-4,1,4,-3,-1,10,2,-2,-4,0,-2
-7,-5,2,6,-4,-1,10,2,-2,-4,0,-2
-8,-6,2,7,-5,-1,9,1,-3,-5,-1,-2
-8,-6,3,7,-5,-1,9,0,-4,-6,-1,-3
-6,-6,1,6,-4,-2,8,0,-5,-7,-2,-3
-4,-5,0,5,-2,-2,7,-2,-6,-8,-3,-4
-5,-6,0,5,-2,-3,6,-3,-7,-9,-4,-5
-5,-5,0,5,-3,-2,7,-3,-7,-9,-4,-5
-5,-4,1,4,-4,-1,7,-2,-6,-8,-3,-4
-5,-5,0,5,-4,-2,7,-2,-5,-7,-3,-4
-6,-8,-2,7,-2,-5,7,-2,-5,-7,-3,-4
-5,-9,-3,7,-1,-6,7,-2,-5,-7,-2,-3
-5,-7,-2,6,-1,-5,8,-1,-4,-5,-1,-2
-4,-4,0,4,-2,-2,10,0,-3,-3,0,-1
-4,-2,2,3,-2,0,11,1,-2,-2,1,0
-4,-1,3,2,-3,0,12,2,-1,-2,2,0
-2,0,2,1,-2,1,12,3,-1,-2,2,0
0,0,0,0,-1,0,11,3,-2,-2,2,0
1,1,-1,-1,0,0,10,3,-2,-2,1,-1
3,2,-2,-2,2,0,9,2,-3,-3,1,-1
2,2,-1,-2,1,0,8,2,-3,-3,0,-2
0,1,0,0,-1,1,7,1,-4,-4,0,-2
-1,0,0,0,-1,0,6,0,-4,-4,0,-2
1,0,-2,-1,1,-1,5,-1,-5,-5,-1,-3
2,-3,-6,0,4,-4,4,-2,-6,-7,-3,-5
0,-9,-10,4,4,-9,3,-3,-7,-8,-4,-6
0,-10,-10,4,4,-9,3,-3,-7,-7,-4,-6
0,-7,-6,3,2,-5,4,-2,-6,-6,-3,-4
-3,-4,0,3,-2,-2,6,0,-5,-4,-1,-3
-4,-3,1,3,-3,0,7,0,-5,-4,0,-2
-3,-3,0,3,-2,-1,7,0,-5,-4,0,-2
-2,-4,-2,3,0,-3,6,-1,-6,-5,-1,-3
-4,-5,-1,4,-1,-3,6,-1,-6,-5,-1,-3
-5,-5,0,5,-3,-1,7,0,-4,-4,0,-2
-4,-2,2,3,-3,0,9,1,-3,-2,2,0
-2,0,2,1,-3,1,9,1,-3,-1,2,0
-4,-2,2,3,-4,0,7,0,-4,-2,1,-1
-7,-5,2,6,-5,-1,6,-1,-5,-4,0,-2
-7,-7,0,7,-4,-2,5,-1,-6,-5,0,-3
-5,-5,-1,5,-2,-2,4,-1,-6,-5,0,-3
-2,-2,-1,2,-1,-1,5,-1,-6,-4,0,-3
-3,-1,0,2,-2,0,5,-1,-6,-4,0,-4
-7,-4,2,5,-5,0,5,-2,-6,-5,-1,-5
-9,-8,1,9,-6,-2,5,-2,-7,-6,-2,-5
-8,-8,0,8,-4,-3,5,-2,-7,-6,-2,-5
-5,-6,-1,7,-2,-3,5,-2,-7,-6,-3,-5
-3,-5,-3,5,0,-4,5,-3,-8,-6,-3,-5
-1,-4,-3,4,0,-4,5,-2,-7,-6,-2,-4
-2,-3,-2,3,0,-3,7,-1,-6,-4,-1,-3
-2,-3,-1,3,0,-2,7,-1,-6,-4,-1,-2
-2,-2,-1,3,-1,-1,7,-2,-7,-5,-2,-3
-4,0,3,2,-4,2,7,-2,-7,-6,-3,-3
-4,2,5,1,-5,4,7,-3,-8,-7,-3,-4
-3,1,3,1,-4,2,7,-3,-8,-6,-3,-4
-4,-3,1,4,-3,-1,8,-2,-7,-5,-2,-3
-6,-5,0,6,-3,-2,8,-2,-7,-5,-1,-3
-6,-6,0,6,-3,-3,8,-2,-7,-6,-2,-4
-6,-7,-1,7,-3,-4,8,-3,-8,-6,-3,-5
-7,-9,-2,8,-3,-5,7,-3,-8,-7,-3,-6
-7,-10,-2,8,-2,-6,6,-4,-9,-7,-4,-6
-4,-8,-3,6,-1,-5,6,-3,-9,-7,-4,-6
0,-5,-3,3,1,-4,7,-3,-8,-7,-3,-5
1,-4,-4,2,2,-4,6,-3,-9,-7,-4,-5
-2,-6,-3,4,0,-4,5,-4,-10,-8,-5,-6
-6,-7,-2,6,-2,-4,5,-5,-11,-9,-6,-7
-4,-7,-3,5,-1,-4,5,-5,-11,-9,-6,-7
-3,-6,-3,4,0,-4,6,-4,-10,-8,-5,-6
-3,-5,-1,3,-1,-2,7,-3,-9,-7,-4,-5
0,-2,-2,1,0,-1,7,-3,-8,-7,-4,-5
4,0,-4,-2,3,-1,7,-3,-8,-7,-4,-5
6,1,-4,-3,4,-1,8,-2,-7,-7,-3,-4
3,2,0,-3,1,1,9,-1,-6,-5,-2,-3
-1,2,3,0,-2,3,10,-1,-6,-5,-1,-2
-5,0,4,2,-4,2,9,-2,-7,-6,-2,-3
-5,-2,2,4,-4,0,8,-3,-8,-7,-3,-4
-3,-1,1,2,-2,0,8,-2,-8,-6,-3,-4
-2,0,2,1,-2,1,8,-2,-7,-6,-3,-4
-3,2,6,0,-4,4,8,-1,-7,-5,-3,-4
-2,5,8,-1,-5,6,8,-1,-7,-5,-3,-4
-2,4,7,-1,-5,5,8,-1,-7,-5,-3,-4
-5,0,6,3,-5,2,8,-1,-7,-5,-3,-4
-7,-3,4,5,-5,0,8,-1,-7,-6,-3,-4
-6,-3,3,4,-5,0,9,-1,-8,-6,-3,-4
-6,-2,3,4,-4,0,9,-2,-8,-6,-3,-4
-5,-2,3,3,-4,0,9,-3,-9,-7,-4,-5
-4,-1,4,3,-5,1,8,-4,-9,-7,-5,-5
-4,0,6,2,-6,3,9,-4,-9,-7,-5,-4
-4,3,8,1,-6,5,10,-4,-9,-7,-4,-4
-3,5,9,0,-7,7,11,-4,-8,-6,-3,-3
-1,8,10,-3,-6,8,11,-4,-8,-6,-2,-2
2,12,9,-7,-4,10,12,-4,-8,-5,-2,-2
4,14,9,-9,-3,11,12,-3,-7,-5,-1,-1
2,13,9,-8,-4,10,11,-4,-8,-5,-2,-1
1,11,9,-6,-4,10,9,-5,-9,-6,-3,-2
1,10,9,-5,-5,9,8,-6,-9,-7,-3,-2
0,9,11,-4,-6,10,7,-6,-9,-6,-3,-2
-1,10,13,-4,-7,12,7,-5,-9,-5,-2,-2
0,12,14,-6,-7,13,7,-4,-8,-4,-1,-1
-2,12,14,-5,-7,13,7,-5,-8,-5,-2,-2
-5,8,13,-2,-8,11,6,-5,-9,-5,-2,-2
-5,7,12,-1,-8,9,6,-5,-8,-5,-2,-2
-4,6,11,-1,-7,9,7,-5,-8,-5,-2,-2
-5,6,11,0,-8,9,7,-5,-8,-5,-2,-2
-4,6,11,0,-8,9,7,-4,-7,-5,-2,-2
-2,7,10,-1,-7,8,7,-5,-7,-5,-3,-2
0,7,8,-2,-5,8,6,-5,-8,-6,-3,-3
1,8,7,-4,-3,7,6,-5,-8,-6,-4,-3
1,7,6,-4,-3,7,5,-6,-9,-7,-4,-4
0,6,5,-2,-3,6,5,-6,-9,-7,-5,-4
