leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,4,3,-3,0,4,-1,-1,-1,-1,-2,-1
2,11,9,-7,-3,10,-4,-4,-4,-4,-5,-3
0,15,15,-7,-8,15,-5,-5,-6,-6,-6,-4
-3,18,21,-7,-12,19,-4,-5,-6,-5,-6,-3
-2,21,23,-9,-12,22,-3,-5,-6,-5,-6,-2
-3,19,22,-8,-12,20,-4,-7,-7,-6,-7,-4
-6,14,22,-4,-14,18,-6,-9,-9,-8,-9,-5
-7,14,22,-3,-14,18,-7,-10,-10,-9,-10,-5
-9,13,23,-2,-16,18,-6,-10,-9,-9,-10,-5
-13,11,24,1,-19,18,-5,-11,-7,-8,-9,-5
-14,10,24,2,-20,18,-4,-11,-6,-8,-8,-5
-15,8,22,3,-19,15,-4,-12,-8,-9,-9,-6
-15,6,21,4,-18,14,-3,-11,-9,-10,-10,-7
-12,8,20,2,-16,14,-1,-9,-7,-9,-9,-6
-10,9,20,0,-15,15,0,-8,-6,-8,-9,-6
-10,8,20,1,-15,14,0,-7,-6,-9,-9,-6
-11,7,19,2,-15,14,1,-6,-7,-9,-9,-6
-11,7,19,2,-15,13,1,-6,-6,-9,-9,-6
-11,7,19,2,-15,13,2,-6,-5,-8,-8,-5
-13,7,20,3,-16,13,2,-5,-5,-7,-7,-4
-17,5,21,5,-19,13,2,-5,-6,-7,-7,-4
-22,3,25,9,-23,14,2,-4,-6,-7,-6,-3
-24,4,27,10,-26,15,4,-3,-4,-5,-5,-2
-19,5,24,6,-22,15,5,-3,-4,-5,-6,-3
-13,6,18,3,-16,12,3,-3,-6,-7,-8,-5
-10,5,15,2,-12,10,2,-3,-7,-8,-9,-6
-8,5,13,2,-11,9,3,-2,-7,-8,-9,-6
-9,4,13,3,-11,8,4,0,-6,-8,-9,-6
-8,5,12,2,-10,8,5,0,-5,-7,-9,-5
-4,8,12,-2,-8,9,6,0,-4,-6,-7,-4
-2,9,11,-4,-6,9,7,0,-1,-5,-6,-3
-4,4,9,0,-6,6,5,-4,0,-6,-7,-5
-6,-1,6,4,-6,2,3,-6,-2,-8,-8,-7
-5,-1,4,3,-4,1,4,-4,-3,-7,-8,-7
-5,0,5,3,-5,3,5,0,-3,-6,-7,-6
-7,0,6,4,-6,3,5,1,-1,-5,-7,-6
-5,2,6,1,-5,4,6,2,1,-4,-6,-4
-2,6,7,-2,-4,6,8,3,2,-3,-5,-2
-7,0,7,3,-7,3,6,2,-1,-5,-7,-4
-14,-10,4,12,-9,-4,4,-1,-5,-8,-10,-7
-14,-12,2,12,-8,-5,8,0,-4,-6,-7,-4
-12,-5,7,8,-9,0,13,5,1,0,-2,1
-13,0,14,6,-13,7,16,8,5,3,1,4
-9,4,14,2,-11,9,15,8,6,2,1,3
-4,3,7,0,-5,5,11,3,2,-1,-2,-1
-4,-3,1,4,-3,-1,7,-1,-3,-5,-7,-6
-13,-8,4,11,-9,-3,6,-1,-6,-6,-8,-8
-25,-10,14,18,-20,0,9,2,-3,-4,-5,-4
-24,-8,17,16,-21,3,11,4,0,-1,-2,-1
-12,-5,8,8,-10,1,9,3,0,-1,-1,-1
-2,-3,1,3,-1,-1,8,2,0,-1,-1,-1
2,-1,-2,0,2,-1,9,4,0,-1,0,0
2,0,-3,0,2,-1,10,5,0,0,0,1
-2,-5,-3,4,0,-4,9,4,-1,-2,-2,0
-6,-10,-5,8,0,-8,7,2,-3,-4,-5,-1
-7,-11,-4,9,-1,-8,8,3,-2,-4,-5,-2
-15,-15,1,15,-8,-8,11,4,0,-2,-3,-1
-22,-21,2,21,-12,-10,12,3,2,-1,-3,-1
-21,-24,-2,23,-9,-13,12,1,2,-2,-4,-3
-19,-26,-6,23,-6,-16,14,3,3,-2,-5,-4
-17,-23,-7,21,-5,-15,18,7,6,-2,-4,-3
-13,-19,-6,16,-3,-12,21,9,9,-1,-3,-3
-13,-19,-6,16,-3,-12,20,8,12,0,-2,-4
-16,-16,-1,15,-7,-9,20,9,17,3,2,-1
-20,-10,10,14,-15,-1,23,15,25,10,9,5
-21,-6,16,13,-19,4,23,21,28,15,15,11
-12,-4,10,8,-11,2,18,20,27,16,16,12
0,0,1,0,0,1,13,17,26,18,19,15
4,5,1,-4,2,4,10,15,26,23,27,23
4,9,4,-7,0,8,6,14,27,28,36,31
13,13,0,-13,6,7,-2,8,24,32,42,38
24,17,-7,-21,16,4,-12,-1,20,34,48,43
34,24,-9,-30,22,6,-21,-9,14,38,55,51
