leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,8,7,-5,-4,7,-4,-13,-5,-3,2,3
1,18,16,-10,-9,16,-8,-28,-11,-6,5,6
2,19,17,-11,-10,17,-8,-29,-11,-6,6,8
4,20,15,-13,-8,17,-5,-25,-9,-4,8,9
7,21,14,-15,-6,17,-3,-23,-7,-2,9,10
9,22,13,-16,-4,17,-3,-22,-7,-2,8,9
11,22,12,-17,-3,17,-3,-22,-7,-3,7,7
10,22,13,-17,-4,17,-3,-22,-7,-3,6,6
6,20,14,-14,-6,16,-3,-22,-7,-3,3,4
2,16,14,-10,-8,14,-3,-22,-8,-4,0,2
1,15,13,-9,-9,13,-2,-20,-7,-4,-1,2
2,17,14,-11,-8,15,-2,-17,-5,-3,0,4
5,21,15,-14,-7,18,-2,-16,-4,-2,0,4
7,21,15,-15,-6,18,-2,-15,-4,-3,0,3
8,19,11,-14,-4,14,-1,-13,-3,-3,1,3
8,17,8,-13,-2,12,0,-12,-3,-3,1,3
6,17,10,-13,-4,13,0,-12,-4,-3,1,2
1,15,14,-10,-9,14,0,-12,-5,-4,1,2
-2,13,15,-8,-10,13,0,-12,-5,-4,1,2
1,13,12,-9,-7,12,0,-11,-4,-3,1,1
7,16,10,-13,-3,12,1,-11,-3,-3,1,0
8,19,12,-14,-4,15,2,-11,-3,-3,2,0
6,19,15,-13,-7,17,3,-10,-2,-2,2,1
4,18,14,-12,-7,15,4,-9,-1,-1,2,3
5,17,13,-12,-6,14,4,-8,0,-1,1,2
3,16,13,-11,-7,13,2,-9,-1,-2,0,0
1,16,13,-10,-8,13,0,-11,-3,-4,-2,-1
1,15,13,-9,-8,13,0,-10,-2,-3,0,0
3,16,13,-11,-7,15,1,-9,0,-2,1,1
4,18,14,-12,-7,16,1,-9,0,-2,1,2
3,18,16,-11,-8,17,1,-9,-1,-2,1,2
3,17,15,-10,-9,15,2,-9,-1,-2,1,2
3,17,14,-11,-8,14,3,-9,-1,-2,0,1
1,18,16,-11,-9,16,2,-10,-1,-2,0,0
0,18,18,-10,-11,17,1,-10,-1,-2,-1,-1
-1,16,16,-8,-10,15,1,-10,-1,-2,-1,-1
0,15,14,-8,-9,14,2,-9,0,-2,0,0
2,18,16,-11,-9,17,2,-9,0,-1,0,0
3,20,17,-12,-9,18,2,-10,0,-1,0,0
4,19,15,-12,-8,16,1,-10,0,-1,0,0
4,17,13,-12,-6,14,1,-9,0,0,1,1
3,16,13,-10,-7,13,2,-7,2,2,3,3
0,14,14,-9,-9,13,2,-9,0,2,3,5
-1,14,14,-8,-9,13,1,-10,-1,1,2,4
1,16,14,-9,-8,14,1,-10,-1,1,2,4
3,17,13,-11,-6,14,1,-9,-1,1,2,4
5,17,12,-11,-5,14,0,-10,-2,0,1,2
5,17,12,-11,-6,14,1,-9,-1,0,1,2
5,17,12,-11,-5,14,3,-8,0,2,2,4
5,18,13,-11,-5,15,3,-8,1,3,2,5
3,19,15,-11,-8,16,1,-9,0,1,1,4
1,17,16,-10,-9,16,0,-11,0,1,1,3
1,14,13,-8,-7,12,0,-10,0,1,3,4
2,13,11,-8,-6,11,1,-8,1,2,5,6
3,16,13,-10,-7,14,0,-8,0,2,4,6
4,18,13,-11,-7,15,-2,-9,-1,1,3,5
5,16,11,-10,-5,13,-3,-9,-1,1,3,6
4,14,9,-9,-5,11,-2,-7,0,2,4,7
2,14,12,-8,-6,12,-1,-8,0,2,4,6
0,15,15,-9,-9,15,0,-9,-1,1,3,4
0,15,15,-9,-9,15,0,-9,0,1,3,2
2,15,13,-9,-7,14,1,-8,0,2,3,2
2,16,13,-9,-7,14,1,-8,0,2,3,2
2,16,13,-9,-7,14,0,-10,-2,1,2,2
3,18,14,-10,-7,15,-1,-10,-3,1,2,3
3,20,16,-12,-8,17,0,-8,-1,2,3,4
3,21,17,-12,-8,19,0,-9,-1,1,2,4
3,21,17,-12,-8,18,-2,-10,-2,0,1,3
2,18,15,-11,-8,16,-2,-10,-2,0,1,2
2,16,14,-10,-8,15,-2,-9,-2,1,2,2
2,17,14,-11,-8,15,-2,-9,-2,1,2,2
