leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,0,1,1,-2,1,0,1,1,1,1,0
-4,0,4,2,-4,2,1,2,2,2,2,2
-5,0,5,2,-5,3,2,3,3,3,3,2
-6,0,5,2,-6,4,2,4,4,4,3,2
-6,0,5,3,-6,4,1,4,4,4,3,2
-7,-1,5,3,-6,3,1,4,4,4,3,2
-8,-1,6,4,-7,3,1,4,4,4,3,2
-8,-2,5,5,-7,3,1,4,4,4,3,2
-9,-2,5,5,-7,2,0,3,4,4,3,2
-9,-2,5,5,-7,2,0,3,4,4,3,2
-8,-2,5,5,-7,2,0,3,3,4,3,2
-8,-2,6,4,-7,3,0,3,3,4,3,2
-9,-2,6,4,-7,3,0,3,3,4,3,2
-9,-2,6,5,-8,4,0,3,3,3,3,2
-9,-2,6,5,-8,4,0,3,3,3,3,1
-8,-2,5,4,-6,3,0,3,3,2,3,1
-6,-1,3,2,-5,3,0,3,3,2,3,1
-6,-1,3,2,-5,3,0,4,3,2,3,1
-8,-2,5,4,-6,3,0,4,3,3,3,2
-9,-2,6,5,-7,3,0,4,3,3,2,2
-10,-3,6,5,-8,2,0,4,3,2,2,1
-10,-3,6,5,-8,2,0,4,3,3,2,1
-10,-2,6,5,-9,3,0,4,3,3,2,2
-9,-2,5,5,-8,2,0,4,4,3,2,2
-8,-2,5,5,-7,2,0,4,4,3,3,2
-8,-2,6,5,-8,3,1,4,4,3,3,2
-9,-2,6,5,-8,3,1,4,4,3,2,2
-10,-3,6,6,-8,3,0,4,3,3,2,1
-11,-3,7,6,-9,3,0,4,3,3,2,1
-11,-3,7,6,-10,3,0,4,3,3,2,1
-10,-3,6,6,-9,3,-1,4,3,3,2,1
-8,-3,4,5,-7,2,-1,4,3,3,2,1
-7,-3,3,4,-6,2,-1,4,3,3,2,1
-6,-2,3,4,-5,2,-1,4,4,3,2,1
-7,-2,4,4,-5,2,-1,5,4,2,2,1
-10,-3,6,6,-8,2,-1,4,4,2,1,1
-12,-4,7,8,-10,2,-1,4,4,2,1,1
-12,-3,7,7,-10,3,-1,5,4,2,2,1
-10,-2,7,5,-9,3,-1,5,4,3,2,1
-9,-2,6,5,-8,3,-1,5,4,3,2,1
-9,-2,5,5,-7,2,-1,5,4,3,2,1
-9,-3,6,6,-7,2,-1,5,4,3,2,1
-10,-3,6,6,-8,2,-2,5,4,3,2,1
-11,-3,7,6,-8,2,-2,5,4,3,2,1
-11,-3,7,6,-8,3,-2,5,4,3,2,1
-11,-3,7,6,-9,3,-1,5,5,3,2,1
-11,-4,6,6,-9,2,-2,5,5,3,2,1
-10,-5,5,7,-8,1,-2,4,4,3,1,0
-9,-4,4,6,-7,1,-2,4,4,3,2,1
-9,-3,5,5,-7,2,-2,5,5,3,2,1
-8,-2,5,4,-7,3,-1,5,5,4,3,2
-7,0,6,3,-7,4,0,6,6,4,3,2
-7,0,6,2,-7,5,0,6,6,4,3,2
-8,-1,6,4,-8,4,-2,5,5,3,2,1
-10,-2,7,5,-9,3,-3,4,5,2,2,0
-10,-2,7,5,-9,4,-4,5,5,2,2,0
-9,-2,7,4,-9,4,-3,5,5,3,2,0
-10,-2,7,5,-9,4,-3,6,5,3,2,1
-10,-2,7,6,-9,4,-3,5,5,3,2,1
-10,-3,7,6,-9,3,-3,5,5,3,2,1
-11,-3,8,7,-10,3,-2,6,5,3,2,2
-13,-4,8,8,-11,3,-2,5,5,3,2,1
-12,-5,7,7,-10,2,-3,4,4,3,1,0
-10,-4,5,6,-8,2,-3,4,4,3,1,0
-8,-2,4,4,-7,3,-3,5,4,3,1,0
-6,-1,4,3,-6,3,-3,5,5,4,1,1
-7,-1,5,3,-6,4,-2,5,5,4,2,1
-8,-1,6,3,-7,4,-2,5,5,4,2,1
-8,-1,6,4,-8,4,-2,5,5,4,2,1
-9,-1,6,4,-8,4,-2,5,5,4,2,1
-9,-1,6,4,-8,4,-2,5,5,4,2,1
-10,-2,6,5,-8,4,-2,5,4,3,1,0
-11,-4,6,7,-9,3,-3,4,4,3,1,0
-12,-5,6,7,-10,3,-3,4,4,3,1,0
-11,-4,6,7,-9,3,-3,5,4,3,1,0
-10,-3,6,6,-9,3,-3,5,4,2,1,0
-10,-3,5,6,-8,2,-3,5,4,2,1,0
-10,-3,5,6,-8,2,-2,5,4,3,1,0
-10,-3,6,6,-8,2,-2,5,5,3,1,0
-10,-3,6,6,-8,2,-2,5,5,3,1,0
-10,-3,6,6,-7,2,-2,5,5,3,1,0
-10,-3,6,5,-8,3,-2,6,5,3,1,0
-11,-3,7,6,-9,3,-2,6,5,3,1,0
-10,-3,7,6,-8,3,-2,5,5,3,1,0
-9,-2,6,5,-8,3,-3,5,5,3,1,0
-8,-2,5,4,-7,3,-3,5,5,3,1,0
-8,-2,5,5,-7,3,-3,5,5,3,1,0
-9,-2,6,5,-8,3,-2,5,5,3,1,0
-9,-1,7,5,-8,4,-2,6,5,4,1,0
-9,-1,7,5,-8,5,-2,6,5,4,1,0
-9,-1,6,4,-8,4,-2,6,5,3,1,0
-9,-2,5,4,-7,3,-2,5,4,3,0,0
-9,-2,5,4,-7,2,-1,5,4,3,0,0
-8,-2,5,4,-7,2,-1,5,4,3,1,0
-8,-2,5,4,-7,2,-1,5,4,2,1,0
-9,-3,5,5,-7,2,-3,4,4,2,0,0
-11,-4,6,7,-8,2,-4,4,4,2,0,0
-12,-4,6,7,-9,2,-4,4,4,2,0,0
-11,-4,6,7,-9,2,-4,4,4,2,0,0
-11,-4,6,7,-9,2,-4,4,4,2,0,0
-11,-4,6,7,-9,2,-4,4,4,2,1,0
-10,-4,6,7,-9,2,-3,4,4,2,1,0
-9,-4,5,6,-8,2,-3,4,4,2,1,0
-9,-4,5,6,-7,1,-3,5,4,2,1,0
-8,-3,5,5,-6,2,-3,5,5,3,1,0
-8,-2,5,5,-6,2,-2,6,5,3,2,1
-9,-3,5,6,-6,2,-1,6,5,3,2,0
-10,-5,5,7,-7,1,-2,5,4,3,1,0
-11,-5,5,8,-8,0,-2,5,4,2,1,0
-10,-5,5,7,-8,1,-2,5,4,2,1,0
-9,-4,5,6,-7,1,-2,5,4,2,1,0
-8,-3,5,5,-7,2,-2,5,4,2,1,0
-9,-3,6,5,-7,3,-3,4,4,2,1,0
-9,-3,6,5,-7,3,-3,4,4,2,1,0
-8,-2,6,4,-7,3,-3,4,4,2,1,0
-8,-1,6,4,-7,3,-3,4,4,2,1,0
-9,-3,5,5,-7,2,-3,4,3,1,1,0
-10,-4,5,6,-7,1,-4,3,3,1,1,0
-10,-4,5,6,-7,1,-3,3,3,1,1,0
-9,-3,5,6,-7,1,-3,3,3,1,1,0
-9,-3,5,5,-7,1,-3,4,3,1,0,-1
-8,-3,5,5,-7,2,-3,4,3,1,0,-1
-8,-2,6,4,-7,2,-2,5,3,1,0,-1
-8,-1,6,4,-7,3,-2,5,3,1,0,-1
-8,-1,5,4,-6,2,-2,5,3,1,0,-1
-8,-2,5,4,-6,2,-2,5,3,1,0,-1
-8,-2,5,4,-6,2,-2,5,3,1,0,-1
-7,-2,4,4,-6,2,-2,5,3,1,0,0
-7,-2,4,4,-5,2,-1,5,3,1,0,0
-8,-3,5,5,-6,1,-2,4,3,1,0,-1
-9,-4,5,6,-7,1,-3,4,2,1,0,-1
-9,-3,5,6,-7,1,-3,4,2,1,0,-1
-8,-2,5,5,-7,2,-2,4,3,1,0,0
-8,-1,5,4,-6,2,-1,4,3,1,0,0
-7,-1,4,4,-6,2,-1,4,3,1,0,0
-6,-1,4,3,-5,2,-1,4,3,1,0,0
-6,-1,4,3,-5,2,-1,4,3,1,0,0
-6,-1,4,3,-5,2,-2,4,3,1,0,0
-7,-2,4,4,-5,2,-2,3,3,1,0,0
-7,-2,5,4,-6,2,-2,3,3,1,0,0
-8,-1,5,5,-6,2,-2,3,3,1,0,0
-8,-1,6,5,-6,3,-2,3,3,1,0,0
-7,-1,5,4,-6,3,-2,3,3,1,0,0
-7,-1,5,4,-6,2,-2,3,3,1,0,0
-7,-1,5,4,-6,2,-2,3,3,1,0,0
-6,0,5,3,-5,2,-1,4,3,1,0,0
-5,0,4,3,-5,2,-2,4,3,1,0,0
-5,0,4,2,-4,2,-2,4,3,0,0,0
-5,-1,4,2,-4,2,-3,4,3,0,0,0
-5,-1,4,3,-4,2,-3,4,3,0,0,0
-6,-1,4,3,-5,2,-3,4,3,0,0,0
-6,0,5,3,-6,3,-2,4,3,1,1,0
-7,0,6,3,-6,4,-2,4,4,1,1,0
-6,0,7,2,-6,4,-2,4,4,1,1,0
-6,0,6,2,-6,4,-2,4,3,1,1,0
-6,0,5,2,-6,3,-1,4,3,1,0,0
-5,0,5,2,-5,3,-1,4,3,1,0,0
-4,0,4,2,-5,3,-1,4,3,1,0,0
-4,0,4,1,-4,3,-1,4,3,1,0,0
-4,0,4,1,-4,3,-2,4,3,1,0,0
-4,0,5,2,-5,3,-2,4,3,1,0,0
-5,0,5,3,-5,3,-3,4,3,1,0,0
-5,0,4,3,-5,3,-3,4,3,1,0,-1
-4,0,3,1,-4,3,-2,4,3,1,0,-1
-3,0,3,0,-3,3,-2,4,3,1,1,0
-4,0,5,1,-4,4,-2,4,3,1,1,0
-4,1,5,1,-5,4,-2,3,3,1,0,0
-4,1,5,1,-4,3,-2,3,3,0,0,-1
-4,0,4,1,-4,2,-3,2,2,0,0,-1
-4,0,4,2,-4,2,-2,2,2,0,0,-1
-4,0,4,2,-4,2,-2,3,3,1,0,0
-4,0,4,1,-4,2,-2,3,3,1,1,0
-4,0,4,1,-4,2,-2,4,4,1,1,0
-3,1,4,0,-3,3,-2,4,4,1,1,0
-3,1,4,0,-3,3,-1,4,4,1,1,0
-3,2,5,0,-4,4,-1,5,4,1,1,0
-3,2,5,0,-4,4,0,5,4,1,1,0
-3,2,4,0,-4,4,-1,4,4,1,1,0
-2,2,3,0,-3,3,-2,4,3,1,0,0
-1,2,2,0,-2,3,-2,3,3,1,0,-1
-1,2,2,0,-2,2,-2,3,3,1,0,0
-2,2,3,0,-3,3,-2,3,3,1,0,0
-3,1,4,1,-4,3,-2,3,3,1,0,-1
-4,0,4,1,-4,2,-2,2,2,0,0,-1
-3,1,3,0,-3,2,-2,2,2,0,0,-1
-2,2,3,0,-2,2,-2,3,3,0,0,-1
-2,2,3,0,-3,2,-2,3,3,0,0,-1
-3,2,4,0,-4,3,-2,3,3,0,0,-1
-3,2,4,0,-4,3,-2,3,3,0,0,-1
-3,2,4,0,-4,3,-2,3,3,1,0,-1
-3,2,4,0,-4,3,-2,3,3,1,0,-1
-3,2,4,0,-4,3,-1,3,4,1,0,0
-3,2,4,0,-4,3,-1,3,4,1,0,0
-2,2,3,0,-2,2,-2,3,4,1,0,-1
0,2,2,-1,-1,2,-2,3,3,0,0,-1
0,3,2,-1,0,2,-1,3,3,0,0,-1
