leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
4,4,0,-4,2,2,-1,0,3,0,3,0
9,10,1,-9,4,5,1,3,8,0,11,0
10,12,2,-10,4,6,12,11,12,1,20,1
9,13,4,-11,3,7,25,20,14,4,28,4
10,15,5,-12,2,9,33,26,15,5,32,5
12,18,6,-15,3,11,32,25,15,5,32,5
17,22,5,-19,6,13,22,20,15,4,28,3
20,23,3,-22,9,13,8,11,15,3,23,0
21,22,1,-21,10,11,-1,5,15,1,19,-2
19,19,1,-19,9,10,-2,6,15,2,19,-2
16,17,2,-16,8,9,6,12,16,4,23,0
14,16,2,-15,7,8,20,20,16,6,28,2
13,15,3,-14,6,8,30,26,16,7,31,4
13,16,3,-14,5,9,32,25,15,7,31,4
14,18,3,-16,6,9,26,20,14,6,27,2
17,20,3,-18,7,10,14,13,14,4,22,0
17,20,3,-18,8,10,3,6,13,3,18,-1
17,18,2,-17,8,9,0,4,13,2,17,-1
17,17,1,-17,9,8,6,8,14,3,19,0
16,16,1,-15,8,8,18,16,14,4,24,2
14,16,3,-14,6,8,30,24,14,5,27,4
13,16,3,-14,5,9,35,27,14,5,28,4
13,17,3,-15,5,9,31,24,13,3,24,3
15,17,1,-15,6,8,19,16,12,1,18,1
16,17,0,-16,8,7,6,7,10,-1,13,-1
16,15,-1,-15,9,6,0,3,10,-2,10,-3
14,13,0,-13,7,6,3,4,10,-2,12,-2
10,11,1,-10,5,5,13,11,10,-2,17,0
8,10,2,-8,4,5,26,18,10,-1,21,1
9,11,2,-10,5,5,33,23,10,0,23,2
13,14,1,-13,7,6,33,22,10,0,22,2
16,17,1,-16,8,7,24,16,10,-1,18,1
18,18,0,-17,9,8,12,8,10,-2,13,0
18,18,0,-17,9,8,3,3,10,-3,10,-1
17,17,1,-16,8,8,3,4,10,-3,9,-1
15,16,2,-15,7,8,10,9,11,-2,12,0
14,15,1,-14,7,7,21,16,11,-1,15,1
14,14,0,-14,7,6,30,21,10,-1,16,1
13,13,0,-13,6,6,32,21,9,-3,14,1
13,13,0,-13,6,6,25,16,8,-4,11,1
13,13,1,-13,6,6,14,9,8,-5,7,0
12,12,0,-12,6,6,4,3,8,-5,3,-1
12,11,0,-11,6,4,0,1,7,-6,2,-3
10,9,0,-9,5,3,5,4,7,-6,3,-3
8,7,0,-7,4,2,16,11,7,-6,6,-2
7,7,0,-7,4,3,27,18,8,-4,10,-1
8,9,1,-9,4,4,33,23,10,-3,12,0
10,11,0,-10,5,4,30,23,11,-2,11,1
13,13,0,-13,7,4,21,21,14,-1,9,1
17,14,-1,-15,9,5,12,19,18,1,10,2
18,15,-1,-16,10,5,8,21,23,5,14,4
