leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-2,-2,1,1,-2,2,2,1,0,-1,-2
0,-6,-7,3,3,-6,5,5,3,-1,-4,-5
0,-8,-9,4,5,-8,7,7,5,-2,-5,-7
1,-9,-11,4,6,-9,9,8,6,-3,-6,-8
1,-10,-11,4,6,-10,10,9,6,-3,-7,-8
0,-11,-12,5,6,-11,10,10,7,-3,-7,-9
0,-11,-12,5,6,-11,11,10,7,-3,-7,-9
0,-11,-12,5,6,-11,11,11,8,-2,-6,-9
0,-11,-12,6,5,-11,11,11,8,-2,-6,-9
0,-11,-12,5,6,-11,11,11,8,-3,-6,-9
1,-11,-13,5,7,-12,11,11,8,-3,-6,-9
1,-12,-13,5,7,-12,11,11,8,-3,-6,-9
1,-12,-13,5,7,-12,11,11,8,-3,-6,-9
1,-12,-13,5,7,-12,11,11,8,-3,-6,-9
2,-12,-14,5,8,-12,11,11,7,-3,-6,-10
1,-12,-14,5,8,-13,11,11,7,-3,-6,-10
1,-12,-14,5,8,-13,10,11,7,-3,-6,-10
1,-12,-14,5,8,-13,10,11,7,-3,-7,-10
1,-12,-14,5,8,-13,10,11,7,-3,-7,-10
2,-12,-14,5,8,-13,10,11,7,-3,-7,-10
2,-12,-14,5,8,-12,10,11,7,-3,-7,-10
0,-13,-13,6,7,-12,10,11,8,-3,-7,-10
-1,-13,-12,7,6,-12,11,11,8,-2,-6,-10
-1,-13,-12,7,6,-12,11,11,9,-2,-6,-10
0,-13,-14,6,7,-13,11,11,8,-3,-7,-10
1,-14,-15,6,8,-14,10,11,8,-3,-7,-11
1,-14,-15,6,8,-14,9,11,8,-3,-8,-11
1,-14,-15,6,8,-14,9,11,8,-3,-8,-11
1,-14,-15,6,8,-14,9,11,8,-3,-8,-11
0,-14,-14,7,8,-14,9,11,8,-3,-8,-11
0,-14,-14,7,7,-14,9,11,8,-3,-8,-11
-1,-15,-13,8,6,-14,9,11,8,-3,-8,-11
-2,-15,-13,9,5,-14,9,11,9,-3,-8,-10
-2,-15,-13,9,5,-14,9,11,9,-3,-8,-10
-3,-15,-13,9,5,-14,9,11,9,-3,-8,-10
-2,-15,-13,8,6,-13,10,12,10,-3,-7,-9
