leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
3,5,2,-4,0,4,-5,-6,-10,2,15,6
6,11,5,-9,0,8,-12,-14,-26,4,37,13
4,10,5,-7,-1,8,-13,-18,-35,1,44,13
0,5,4,-3,-3,5,-10,-19,-39,-3,44,10
-6,-2,3,3,-5,0,-5,-18,-39,-9,40,4
-11,-9,1,9,-6,-4,2,-13,-34,-14,35,-1
-14,-15,-1,14,-7,-8,7,-8,-27,-18,32,-6
-15,-18,-4,16,-6,-10,11,-3,-18,-20,29,-9
-15,-20,-6,17,-6,-12,13,2,-8,-21,27,-12
-15,-21,-7,18,-5,-14,15,7,1,-20,26,-13
-14,-22,-9,18,-4,-16,18,11,10,-19,25,-15
-14,-24,-10,19,-3,-17,20,15,18,-17,24,-16
-15,-26,-11,20,-3,-18,22,17,24,-16,24,-17
-15,-26,-12,20,-2,-18,23,18,28,-14,24,-17
-15,-25,-11,20,-2,-18,25,20,32,-13,25,-17
-15,-25,-10,20,-3,-17,26,21,34,-12,26,-17
-16,-25,-10,21,-4,-17,27,22,36,-12,26,-17
-17,-26,-10,22,-5,-18,28,23,38,-11,25,-18
-18,-27,-10,22,-5,-19,29,24,40,-11,25,-18
-18,-28,-11,23,-4,-20,30,25,42,-11,24,-18
-18,-29,-11,23,-4,-20,30,25,43,-11,24,-18
-17,-28,-12,22,-3,-20,30,26,43,-11,24,-18
-16,-28,-12,22,-3,-20,30,26,44,-11,24,-18
-17,-27,-11,22,-4,-19,30,26,44,-11,24,-18
-17,-27,-11,22,-4,-19,30,26,44,-11,24,-19
-17,-27,-10,22,-4,-19,31,26,44,-10,24,-19
-17,-27,-10,22,-4,-19,31,26,45,-10,24,-19
-17,-27,-11,22,-4,-19,31,27,45,-10,23,-19
-17,-28,-11,23,-4,-20,31,27,45,-10,23,-20
-18,-29,-12,23,-4,-20,31,27,45,-10,22,-20
-18,-30,-12,23,-3,-21,31,27,45,-10,22,-20
-18,-30,-12,24,-3,-21,31,26,45,-10,22,-20
-18,-30,-12,24,-4,-21,30,26,45,-10,22,-20
-17,-29,-12,23,-4,-21,30,26,45,-10,22,-20
-17,-29,-12,23,-4,-21,30,26,45,-10,22,-20
-17,-29,-12,23,-4,-21,31,26,45,-10,22,-20
-17,-29,-12,23,-4,-21,31,26,45,-10,22,-20
-17,-29,-12,23,-3,-21,30,26,45,-10,21,-20
-17,-29,-12,22,-3,-20,30,26,45,-10,21,-20
-17,-29,-12,22,-3,-20,30,26,45,-10,21,-20
-16,-29,-12,22,-3,-20,30,26,45,-10,21,-20
-16,-28,-12,22,-3,-20,30,26,45,-9,21,-19
