leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,1,0,-1,1,-1,0,6,0,1,1
-1,1,2,0,-2,2,-3,0,17,0,3,4
-2,1,3,0,-2,2,-4,1,23,0,4,5
-2,0,2,1,-2,1,-5,1,26,0,4,5
-2,0,2,1,-2,1,-6,0,28,0,4,6
-2,0,1,1,-1,0,-7,0,29,-1,4,6
-2,-1,0,1,-1,0,-7,0,30,-2,3,5
-2,-2,0,2,-1,0,-7,0,30,-2,3,5
-2,-2,0,2,-1,-1,-7,1,31,-1,3,6
-2,-3,0,2,-1,-1,-6,2,32,0,4,6
-2,-3,0,2,-1,-1,-5,2,32,0,4,7
-2,-3,-1,2,0,-2,-4,3,33,0,4,7
-2,-4,-2,3,0,-3,-4,3,33,0,4,6
-2,-5,-2,3,0,-4,-4,3,33,0,3,6
-2,-5,-3,3,0,-4,-4,3,33,0,3,6
-2,-5,-3,4,0,-4,-3,3,33,0,3,5
-3,-6,-3,4,0,-4,-3,3,33,0,3,5
-3,-6,-3,5,0,-5,-2,4,33,0,3,5
-4,-7,-4,5,0,-5,-1,4,33,0,3,5
-4,-8,-5,6,0,-6,0,5,33,0,3,5
-3,-9,-6,6,1,-7,0,6,33,0,3,5
-2,-9,-6,5,2,-7,0,6,33,1,3,5
-1,-8,-7,4,2,-7,0,7,34,1,3,5
-1,-8,-8,4,3,-8,0,7,34,2,3,5
0,-9,-8,4,3,-8,0,7,33,1,3,4
0,-9,-8,4,3,-8,0,7,33,1,3,4
-1,-10,-8,5,3,-8,1,7,32,1,3,4
-2,-10,-7,6,2,-8,1,7,32,1,3,3
-2,-10,-7,5,3,-8,1,7,32,1,3,3
-1,-9,-8,5,3,-8,1,7,32,1,3,3
0,-9,-8,5,4,-9,1,7,31,1,2,3
-1,-9,-9,5,4,-9,1,7,31,1,2,2
-1,-10,-8,6,3,-9,2,7,30,1,2,2
-1,-9,-8,5,3,-9,3,7,30,1,2,2
0,-8,-9,4,5,-8,4,8,30,1,2,2
1,-8,-9,3,5,-8,5,8,30,2,2,3
0,-9,-9,4,5,-8,6,8,29,1,2,3
0,-10,-9,5,5,-9,6,7,29,1,2,2
0,-11,-10,6,5,-10,6,7,28,1,2,2
-1,-11,-10,6,4,-10,6,7,28,1,2,3
-1,-11,-10,6,4,-10,6,7,28,1,2,3
0,-11,-10,6,4,-11,6,8,28,1,2,3
0,-11,-11,6,5,-11,6,8,28,1,2,3
0,-12,-11,6,5,-11,7,8,28,1,2,3
0,-13,-12,6,6,-12,7,8,28,1,2,3
-1,-13,-12,7,5,-12,8,8,27,1,2,3
-1,-13,-11,7,5,-12,8,7,27,1,2,3
-1,-13,-11,7,5,-12,8,7,27,1,2,2
0,-12,-11,6,5,-11,8,8,27,1,2,2
0,-11,-11,6,5,-11,8,8,27,1,2,2
0,-12,-10,6,5,-11,8,8,27,1,1,2
-1,-12,-10,7,5,-11,8,8,27,1,1,2
0,-12,-11,6,5,-11,8,8,27,1,1,2
0,-12,-12,6,6,-12,9,8,27,1,1,2
0,-13,-12,6,7,-12,9,8,27,1,1,2
0,-13,-13,6,7,-13,9,8,27,1,1,2
0,-14,-13,7,7,-13,9,7,26,0,1,2
0,-14,-14,7,7,-14,9,7,26,0,1,2
0,-15,-14,8,7,-14,10,7,26,0,1,2
0,-14,-13,8,7,-14,10,6,26,0,1,2
0,-14,-13,7,7,-14,10,6,25,0,0,1
0,-14,-13,8,7,-14,10,6,25,-1,0,1
0,-14,-14,8,7,-14,10,6,25,-1,0,1
0,-14,-14,7,7,-14,10,6,25,-1,0,1
0,-15,-14,7,7,-14,11,6,25,-1,0,1
0,-16,-14,8,7,-15,11,6,25,-2,0,1
-1,-17,-15,9,7,-16,11,6,25,-2,-1,1
-1,-17,-15,9,8,-16,11,6,25,-2,-1,1
-1,-17,-16,9,8,-17,11,6,25,-2,-1,1
-1,-18,-16,9,8,-17,11,6,25,-2,-1,0
0,-18,-17,9,8,-18,11,7,25,-2,-2,0
0,-19,-19,9,9,-18,11,8,26,-1,-2,-1
1,-19,-20,9,10,-19,11,9,28,1,0,-1
1,-20,-21,9,11,-20,10,10,31,4,2,0
1,-20,-21,9,11,-21,10,11,34,8,6,1
0,-20,-21,10,11,-20,10,13,38,14,11,4
1,-19,-20,9,11,-19,10,14,42,21,18,9
3,-17,-20,7,12,-18,9,15,46,28,28,15
5,-14,-20,4,12,-16,9,16,49,33,37,22
9,-10,-20,1,14,-14,7,15,49,38,47,31
13,-6,-20,-3,16,-12,5,14,49,42,59,41
18,-2,-20,-7,18,-10,1,12,48,47,73,54
22,2,-20,-12,21,-8,-3,8,47,52,88,68
27,7,-20,-17,24,-6,-10,3,46,57,104,84
33,13,-20,-23,26,-3,-19,-5,41,59,119,100
38,18,-20,-28,29,0,-29,-16,34,58,130,114
43,23,-20,-33,32,2,-37,-26,26,54,135,123
47,29,-18,-38,32,6,-43,-36,17,47,133,127
47,34,-13,-40,30,11,-47,-48,5,34,124,126
40,36,-4,-38,22,16,-49,-64,-13,11,102,116
28,35,8,-31,10,21,-49,-83,-38,-20,70,98
15,34,20,-24,-2,27,-49,-102,-66,-55,33,77
