leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,2,0,-1,0,1,0,5,0,0,4,0
3,4,1,-3,1,2,-1,9,0,1,8,0
2,5,3,-3,0,3,-4,5,0,0,2,-2
-1,2,3,0,-2,2,-9,-8,-1,0,-11,-6
-7,-5,3,6,-5,-1,-13,-26,0,-1,-31,-10
-14,-12,2,13,-8,-5,-12,-40,2,0,-46,-11
-15,-14,1,14,-8,-6,-6,-36,6,3,-44,-6
-11,-9,1,10,-6,-4,1,-17,8,4,-25,0
-6,-3,2,5,-5,-1,5,1,7,4,-5,2
-4,-1,3,2,-4,0,5,9,5,3,3,1
-5,-1,3,3,-4,0,3,8,2,1,1,-2
-8,-4,3,6,-6,0,-1,-1,0,-1,-9,-7
-13,-10,2,11,-7,-3,-5,-18,0,-2,-27,-11
-17,-17,0,17,-8,-8,-7,-35,0,-2,-45,-14
-19,-21,-2,20,-8,-12,-4,-38,3,0,-50,-12
-16,-20,-3,19,-6,-12,3,-24,4,0,-36,-7
-12,-16,-3,14,-4,-10,8,-5,3,0,-16,-3
-9,-12,-3,10,-3,-8,10,7,1,-1,-3,-3
-7,-9,-2,8,-3,-6,9,9,0,-1,0,-4
-10,-9,0,9,-5,-5,7,2,-1,-2,-7,-7
-13,-13,0,13,-7,-7,4,-12,-2,-3,-22,-11
-17,-20,-2,18,-7,-11,1,-30,-2,-4,-41,-15
-19,-25,-6,22,-5,-15,1,-39,0,-3,-51,-14
-16,-25,-8,20,-2,-17,6,-30,1,-2,-43,-10
-12,-20,-7,16,-1,-14,10,-10,1,-2,-23,-6
-10,-15,-5,13,-2,-11,12,4,0,-2,-7,-4
-9,-12,-3,11,-3,-8,11,9,0,-2,-1,-5
-11,-12,-1,11,-5,-7,8,5,-1,-3,-5,-7
-14,-14,0,14,-7,-8,3,-7,-3,-4,-17,-11
-18,-19,-1,18,-8,-10,-1,-25,-3,-5,-35,-15
-21,-23,-2,22,-8,-13,-2,-37,-1,-4,-50,-16
-20,-25,-4,22,-7,-14,2,-34,1,-2,-48,-13
-17,-22,-4,19,-6,-13,8,-16,1,-2,-30,-8
-13,-17,-4,15,-5,-11,11,1,0,-3,-12,-6
-9,-13,-4,11,-3,-10,11,9,0,-2,-3,-5
-9,-12,-3,10,-4,-9,10,8,-1,-2,-2,-6
-12,-12,-2,12,-6,-8,7,-1,-1,-2,-11,-9
