leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,-2,0,2,-1,-1,-1,1,1,1,0,0
-5,-5,0,5,-3,-2,-3,2,4,3,1,1
-7,-7,0,7,-4,-3,-4,2,5,4,1,2
-8,-8,0,8,-4,-3,-5,3,6,5,1,3
-9,-9,0,9,-4,-4,-5,3,6,5,1,3
-9,-10,-1,10,-4,-5,-6,3,6,5,1,3
-9,-11,-1,10,-4,-6,-6,3,6,5,1,3
-9,-11,-2,10,-4,-6,-6,4,5,5,1,3
-9,-11,-2,10,-4,-6,-6,4,5,5,1,3
-10,-11,-1,10,-4,-6,-6,4,6,5,1,3
-9,-11,-1,10,-4,-6,-6,4,6,5,1,3
-8,-11,-1,10,-3,-6,-6,4,6,5,1,3
-8,-11,-1,9,-3,-6,-6,4,6,5,1,2
-9,-11,-1,10,-4,-6,-5,5,6,5,1,2
-10,-11,0,10,-4,-5,-5,5,6,5,2,3
-9,-10,0,10,-5,-5,-5,5,6,5,2,3
-9,-10,0,10,-5,-5,-4,5,6,5,2,3
-9,-10,0,9,-4,-5,-4,5,6,5,2,3
-8,-10,0,9,-4,-5,-4,5,6,5,1,3
-8,-10,0,9,-4,-5,-4,5,6,5,1,3
-8,-9,0,9,-4,-5,-4,5,6,5,1,3
-8,-9,0,9,-4,-5,-4,5,6,5,1,3
-8,-9,-1,8,-4,-5,-4,5,6,5,1,3
-7,-9,-2,8,-3,-5,-4,6,6,5,1,3
-8,-9,-1,9,-4,-5,-4,6,6,5,1,3
-8,-9,-1,9,-4,-5,-4,7,6,5,1,3
-8,-9,-1,9,-4,-5,-4,7,5,5,0,3
-8,-9,-1,9,-4,-5,-4,7,5,5,0,2
-8,-9,0,9,-4,-5,-4,7,6,5,0,2
-8,-9,0,9,-4,-5,-4,7,6,5,0,2
-8,-9,0,8,-4,-5,-4,7,6,5,0,2
-8,-9,0,8,-4,-5,-4,7,6,5,0,2
-7,-9,0,8,-4,-5,-4,7,6,5,0,2
-7,-9,0,8,-4,-4,-4,7,6,5,0,2
-7,-9,0,8,-4,-4,-4,7,6,5,0,2
-7,-9,-1,8,-4,-4,-4,7,6,5,0,2
-7,-9,-1,8,-3,-4,-4,7,6,5,0,2
-7,-8,-1,8,-3,-4,-3,7,6,5,0,2
-7,-8,0,8,-3,-4,-3,7,6,6,0,2
-7,-8,0,8,-3,-4,-3,7,6,6,0,2
-7,-7,0,7,-3,-4,-3,8,6,6,0,2
-7,-7,0,7,-4,-4,-3,8,6,6,0,2
-7,-7,0,7,-4,-4,-3,8,6,6,0,2
-8,-7,0,7,-4,-4,-3,8,6,7,1,3
-7,-7,0,7,-4,-3,-3,8,6,7,1,3
-7,-6,0,6,-4,-3,-3,8,6,8,2,3
-7,-6,0,6,-4,-3,-3,8,6,8,2,3
-7,-7,0,6,-4,-4,-3,8,6,8,2,3
-6,-7,0,6,-4,-4,-4,8,5,8,2,3
-6,-7,0,6,-4,-4,-4,8,5,8,2,4
-6,-7,0,6,-4,-3,-4,8,5,7,3,4
-6,-7,0,6,-4,-3,-4,8,5,7,3,4
-6,-7,0,6,-4,-3,-4,8,5,6,3,4
-6,-7,0,6,-3,-3,-4,7,5,6,3,4
-6,-7,0,6,-3,-3,-4,7,4,5,3,3
-6,-7,-1,6,-3,-4,-4,7,4,5,3,3
-6,-7,-1,6,-3,-4,-4,7,4,5,4,3
-6,-7,0,6,-3,-4,-4,7,4,5,4,3
-6,-6,0,6,-3,-3,-4,7,4,5,3,3
-6,-6,0,6,-3,-3,-4,7,4,5,3,3
-6,-6,0,6,-4,-2,-4,7,4,5,3,3
-6,-6,0,6,-4,-2,-3,7,4,5,3,3
-6,-6,0,6,-4,-2,-3,7,4,5,3,3
-6,-6,1,6,-4,-2,-3,7,3,4,3,3
-6,-5,1,6,-4,-2,-3,7,3,4,3,3
-6,-5,1,6,-4,-2,-3,7,3,4,3,3
-6,-5,1,6,-4,-2,-4,7,3,4,2,3
-6,-5,0,6,-3,-2,-4,7,2,4,2,3
-6,-5,0,6,-3,-2,-4,7,2,4,3,2
-6,-5,1,6,-4,-1,-4,7,2,4,3,2
-6,-5,1,5,-4,-1,-4,7,2,4,3,2
-6,-4,1,5,-4,-1,-4,7,2,4,3,3
-6,-4,2,5,-4,0,-4,7,3,5,4,3
-6,-3,2,5,-5,0,-4,7,3,5,4,4
-6,-2,3,5,-5,0,-4,8,3,5,5,4
-6,-1,4,4,-6,1,-4,8,4,6,6,5
-5,0,5,3,-6,2,-4,8,5,7,7,5
-5,0,5,2,-5,3,-4,8,5,7,7,5
-4,1,5,2,-5,3,-3,9,6,8,7,4
-4,1,5,2,-5,3,-3,9,6,8,7,4
-4,1,5,1,-5,3,-2,9,6,8,7,4
-4,1,5,1,-5,3,-2,10,6,8,7,4
-4,1,5,2,-5,3,-2,10,6,8,7,4
-4,0,5,2,-5,3,-2,10,6,8,7,4
-4,0,4,2,-4,3,-2,9,5,7,6,5
-4,0,4,2,-4,3,-2,9,5,7,6,5
-4,0,4,2,-4,2,-2,9,5,7,5,5
-4,0,3,2,-4,2,-2,9,5,7,5,5
-4,0,3,2,-4,2,-3,8,5,7,5,5
-5,0,4,2,-5,2,-3,8,4,7,5,5
-4,0,4,2,-5,2,-4,7,4,6,5,5
-3,0,3,1,-4,2,-5,6,4,6,5,5
-3,1,3,1,-3,2,-6,6,3,6,5,5
-3,1,3,1,-3,3,-7,5,2,6,6,6
-3,1,3,1,-3,3,-7,5,2,6,6,6
-3,1,3,1,-3,2,-7,5,2,6,6,6
-3,0,3,1,-3,2,-7,5,1,5,5,6
-3,0,2,1,-3,1,-7,5,1,5,5,6
-2,0,1,1,-2,0,-7,4,0,5,5,6
-2,-1,1,1,-2,0,-7,4,0,4,5,6
-2,-2,0,2,-2,0,-7,3,-2,3,5,5
-2,-2,0,2,-2,-1,-7,3,-3,2,5,5
-2,-2,-1,2,-1,-1,-7,3,-4,1,4,4
-1,-3,-1,2,-1,-2,-6,3,-5,0,4,4
-1,-3,-2,2,0,-2,-6,3,-6,0,4,4
0,-3,-3,2,0,-3,-6,3,-6,0,3,4
0,-3,-3,2,0,-3,-6,3,-7,-1,3,3
0,-3,-3,2,0,-3,-6,2,-7,-1,3,3
0,-3,-3,2,0,-3,-6,2,-7,-2,2,2
0,-3,-3,2,1,-3,-6,2,-8,-2,1,2
0,-4,-4,2,1,-3,-5,2,-8,-3,0,1
-1,-4,-3,2,0,-3,-5,2,-8,-3,0,1
-1,-4,-3,3,0,-3,-5,2,-9,-3,0,1
-1,-4,-3,3,0,-3,-5,1,-9,-3,0,1
-2,-5,-3,3,0,-3,-5,1,-9,-3,0,1
-2,-5,-2,3,0,-3,-4,1,-9,-3,0,1
