leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-3,0,2,1,-2,1,-1,-1,-1,-6,-5,-8
-6,-1,5,3,-6,2,-2,-2,-3,-15,-13,-22
-7,-1,6,4,-6,2,-4,-3,-4,-21,-18,-30
-5,-2,3,3,-4,1,-5,-5,-6,-26,-21,-36
-2,-1,0,1,-1,0,-6,-5,-7,-28,-23,-40
0,0,0,0,0,0,-6,-5,-7,-29,-24,-41
-3,-1,2,2,-3,1,-6,-5,-7,-29,-24,-42
-8,-2,5,5,-7,2,-6,-5,-7,-29,-24,-42
-9,0,8,4,-8,4,-4,-3,-5,-28,-22,-40
-9,2,10,3,-9,6,-3,-1,-4,-26,-20,-38
-11,2,11,4,-11,6,-3,0,-3,-26,-19,-37
-12,1,12,5,-12,7,-3,0,-3,-25,-19,-37
-13,0,12,6,-12,7,-3,1,-2,-25,-18,-37
-13,-1,11,6,-12,6,-4,1,-2,-25,-18,-37
-13,-3,9,7,-11,4,-5,1,-2,-25,-19,-37
-12,-3,8,7,-10,3,-6,1,-2,-25,-19,-38
-12,-1,9,6,-10,3,-6,2,-1,-24,-18,-37
-12,0,10,6,-10,4,-7,3,0,-24,-18,-36
-12,-1,9,7,-10,3,-8,4,0,-24,-18,-36
-13,-2,9,8,-10,2,-9,4,0,-24,-17,-36
-13,-2,9,7,-10,3,-10,5,0,-23,-16,-35
-10,0,9,5,-9,4,-10,6,1,-22,-15,-34
-5,2,7,2,-5,5,-10,7,2,-21,-14,-33
-3,2,5,1,-4,4,-10,8,3,-21,-14,-33
-5,1,6,2,-5,3,-11,8,3,-20,-13,-32
-5,2,7,2,-5,4,-12,9,5,-19,-12,-31
-3,5,8,0,-5,6,-11,12,7,-17,-10,-29
-3,8,10,-2,-6,9,-10,14,10,-15,-7,-27
-4,9,12,-2,-8,10,-10,16,11,-13,-6,-25
-3,10,13,-2,-8,11,-11,17,12,-12,-5,-24
-2,11,14,-4,-8,12,-12,18,13,-11,-4,-24
-3,12,15,-4,-8,13,-12,18,13,-11,-4,-23
-4,12,16,-4,-10,14,-13,19,13,-10,-3,-23
