leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,2,0,-15,0,0
0,0,0,0,0,0,0,2,0,-41,0,1
0,0,0,0,0,0,-1,-3,1,-57,1,1
1,0,-1,0,1,0,-2,-9,0,-69,1,1
2,0,-3,0,2,-1,-3,-10,0,-76,1,1
2,-1,-3,0,2,-2,-3,-5,0,-79,1,1
2,-1,-3,0,2,-2,-3,3,0,-79,1,1
1,-1,-2,1,1,-2,-2,11,0,-78,1,1
1,-1,-2,1,1,-1,-2,15,0,-76,1,1
2,-1,-2,0,2,-1,-2,12,0,-76,0,1
2,-1,-3,0,2,-2,-3,3,0,-78,0,0
2,-1,-3,0,2,-2,-3,-5,-1,-81,0,0
1,-1,-2,1,1,-1,-3,-9,-1,-82,0,0
0,-2,-2,1,1,-1,-3,-7,-1,-83,0,0
1,-2,-2,1,1,-2,-3,0,-1,-82,0,0
2,-2,-2,1,2,-2,-3,8,-1,-79,0,0
2,-2,-3,1,2,-2,-3,13,-1,-77,0,0
1,-3,-3,2,2,-3,-3,12,-1,-77,0,0
0,-4,-3,3,1,-3,-4,5,-1,-77,-1,0
0,-4,-3,3,1,-3,-4,-2,-1,-79,-1,0
0,-3,-4,2,2,-3,-4,-8,-1,-80,-1,0
2,-2,-4,1,3,-3,-4,-8,-1,-80,-1,0
3,-1,-4,0,4,-3,-4,-2,-1,-80,0,0
3,-1,-4,0,4,-3,-3,6,-1,-78,0,0
3,-1,-4,0,3,-2,-3,13,-1,-76,0,0
2,-1,-4,0,3,-2,-2,14,0,-74,0,0
2,-2,-5,0,4,-3,-2,10,0,-74,1,0
3,-2,-5,0,4,-3,-2,2,0,-75,1,0
2,-3,-5,1,4,-4,-2,-4,0,-76,1,0
1,-3,-4,1,3,-4,-2,-5,0,-77,1,0
0,-3,-4,2,3,-4,-2,-2,0,-77,1,0
1,-4,-4,2,3,-4,-2,5,0,-76,1,0
1,-4,-5,2,3,-5,-2,12,0,-75,0,0
2,-5,-5,2,4,-5,-2,15,0,-74,1,1
2,-5,-6,2,4,-5,-2,12,0,-74,1,1
3,-4,-6,1,5,-5,-2,5,0,-74,1,1
3,-4,-7,1,5,-5,-2,-1,0,-75,1,1
4,-4,-8,1,6,-6,-3,-5,0,-75,0,0
4,-4,-9,1,6,-6,-3,-4,0,-76,0,0
