leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,4,3,-2,-1,4,-3,-6,-9,-8,-24,-3
3,10,8,-7,-2,9,-7,-16,-24,-20,-63,-8
5,14,9,-10,-1,12,-10,-22,-33,-27,-88,-11
6,17,11,-11,-2,14,-11,-26,-38,-31,-103,-12
5,19,13,-12,-4,16,-12,-28,-41,-33,-108,-12
6,22,16,-14,-5,19,-13,-28,-43,-35,-106,-12
8,26,18,-17,-5,22,-13,-27,-44,-36,-100,-12
9,30,21,-20,-6,26,-12,-26,-44,-36,-95,-11
8,31,23,-20,-7,27,-12,-25,-43,-36,-92,-11
7,31,23,-19,-7,27,-12,-25,-43,-35,-94,-11
7,30,23,-19,-7,27,-11,-25,-42,-35,-96,-11
6,30,24,-18,-9,28,-9,-23,-40,-33,-98,-10
5,31,26,-18,-11,29,-7,-21,-37,-31,-96,-8
5,33,28,-20,-12,31,-5,-18,-35,-29,-89,-6
6,36,30,-21,-12,34,-4,-14,-32,-27,-80,-4
6,39,33,-22,-14,36,-2,-11,-30,-24,-71,-1
6,41,35,-23,-15,39,0,-7,-26,-21,-63,2
6,44,38,-25,-16,41,2,-2,-20,-17,-59,5
6,47,41,-27,-17,45,6,2,-14,-11,-58,9
6,52,46,-29,-20,50,11,8,-6,-5,-56,14
6,58,52,-32,-22,55,16,14,1,2,-51,19
7,65,59,-36,-26,62,20,20,9,9,-42,25
7,74,67,-41,-30,70,24,26,17,17,-30,32
7,83,75,-45,-35,79,27,32,26,24,-16,39
7,91,84,-49,-39,87,30,36,34,32,-5,46
6,98,92,-52,-43,95,32,39,42,38,1,51
4,104,100,-54,-48,102,34,39,48,44,3,56
2,109,108,-55,-53,109,36,39,53,49,3,61
0,114,114,-57,-57,115,37,37,58,54,5,66
-1,119,121,-59,-61,120,36,34,62,58,10,71
-3,125,129,-61,-67,127,35,30,65,61,18,76
-5,133,138,-64,-72,135,33,26,66,63,27,81
-7,140,147,-66,-77,143,31,19,66,64,34,84
-8,147,155,-69,-81,151,27,11,66,64,38,86
-9,153,162,-72,-85,157,23,1,65,64,38,87
-10,158,168,-73,-89,163,17,-9,63,63,35,88
-12,162,175,-74,-93,168,11,-21,60,62,32,89
-15,165,181,-75,-98,173,5,-32,56,60,31,90
-18,169,188,-75,-103,178,-4,-45,50,57,33,90
-20,173,193,-76,-107,183,-15,-60,41,52,36,89
-21,177,198,-78,-110,187,-26,-75,32,47,38,88
-21,181,202,-80,-112,191,-35,-88,25,44,39,88
-20,185,205,-82,-113,195,-43,-99,18,42,38,88
-20,188,208,-84,-114,198,-50,-110,13,40,33,88
-21,190,210,-84,-115,200,-57,-118,8,38,29,88
-21,191,212,-84,-117,201,-65,-125,4,37,26,87
-21,192,214,-85,-118,202,-73,-129,1,36,25,86
-21,193,214,-86,-118,203,-83,-133,-2,35,28,86
-20,194,215,-87,-118,204,-92,-137,-5,35,33,87
-20,196,217,-88,-119,206,-100,-140,-8,35,37,88
-19,197,216,-89,-118,206,-107,-141,-9,37,39,89
-17,196,212,-89,-115,204,-112,-141,-8,39,38,90
-14,193,207,-89,-111,200,-116,-139,-7,43,37,92
-12,190,201,-89,-106,195,-119,-136,-5,48,37,94
-8,188,196,-90,-102,191,-122,-131,-3,52,38,96
-2,188,191,-94,-97,189,-123,-125,-1,55,41,98
3,188,185,-96,-91,186,-124,-118,0,57,45,98
5,182,178,-94,-87,180,-123,-110,2,57,46,95
6,174,168,-89,-82,171,-120,-102,4,57,44,90
6,163,157,-84,-76,160,-116,-95,5,55,37,85
5,151,145,-77,-70,148,-111,-88,6,54,29,79
5,139,134,-72,-64,136,-104,-80,7,52,21,73
5,130,125,-68,-60,127,-96,-72,9,51,15,68
6,123,118,-65,-56,120,-89,-63,12,49,12,65
7,117,111,-63,-52,114,-83,-54,15,48,12,62
8,110,102,-60,-47,106,-75,-43,20,49,13,60
7,99,92,-53,-43,96,-66,-30,28,52,14,58
5,87,82,-46,-39,85,-56,-16,38,57,12,55
6,74,68,-39,-31,71,-45,-2,48,62,9,52
8,59,52,-33,-22,55,-36,9,55,66,4,47
