leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,1,2,-1,1,-1
-1,0,0,0,-1,0,2,4,6,-2,4,-2
-1,0,1,1,-1,0,3,6,8,-3,5,-3
-1,0,1,0,-1,0,3,8,10,-3,6,-3
-1,0,1,0,-1,1,4,8,12,-3,7,-3
-1,0,1,0,-1,1,4,9,13,-3,7,-3
-1,0,1,0,-1,1,4,9,14,-3,7,-3
0,1,1,0,-1,2,4,10,14,-3,7,-3
0,2,1,-1,-1,2,4,10,15,-3,7,-3
0,2,1,-1,-1,2,4,10,15,-3,7,-3
0,2,2,-1,-2,2,4,10,16,-3,7,-3
0,3,2,-1,-2,2,4,11,16,-3,7,-3
0,3,2,-1,-2,3,4,11,17,-3,7,-3
0,4,2,-2,-1,3,4,12,18,-3,7,-3
0,3,2,-2,-1,3,4,12,18,-3,7,-3
0,2,2,-1,-2,3,3,12,18,-3,7,-3
-1,2,2,0,-2,2,3,12,18,-3,7,-3
0,3,2,-1,-1,3,3,12,19,-3,7,-3
0,4,3,-2,-1,4,4,12,19,-3,7,-3
1,5,3,-3,-1,4,4,12,20,-3,7,-3
1,5,3,-3,-1,4,3,12,20,-3,7,-3
1,5,3,-3,-1,4,3,12,20,-3,7,-3
1,5,3,-3,-1,5,3,12,20,-3,7,-3
2,6,4,-4,-1,5,3,12,21,-3,7,-3
2,6,4,-5,-1,5,3,12,21,-3,7,-3
2,6,4,-4,-1,5,2,12,21,-3,7,-3
2,6,4,-4,-1,5,2,12,21,-3,7,-3
2,6,4,-4,-1,5,1,12,21,-3,7,-3
2,6,4,-4,-1,5,1,11,20,-3,7,-3
2,6,4,-4,-1,5,0,11,20,-3,7,-3
3,7,3,-4,0,5,0,10,20,-3,8,-3
4,8,3,-5,0,6,0,10,20,-3,8,-3
5,9,4,-6,0,6,0,9,19,-3,8,-3
5,9,4,-6,0,7,0,9,19,-3,8,-3
4,9,4,-6,0,7,-1,8,18,-3,8,-3
3,9,5,-6,-1,7,-1,8,18,-3,8,-3
4,10,5,-7,0,8,-1,8,18,-3,8,-3
4,10,4,-7,0,7,-1,8,17,-3,8,-3
4,9,4,-7,0,7,-2,7,17,-3,8,-3
5,9,4,-7,0,7,-2,6,16,-3,8,-3
6,10,4,-8,1,7,-3,5,15,-3,8,-3
7,11,4,-9,1,7,-3,5,14,-3,8,-3
7,12,4,-9,1,8,-4,4,13,-3,8,-3
8,12,4,-9,1,8,-4,4,12,-3,8,-3
8,12,4,-9,1,8,-5,3,11,-3,8,-3
8,12,4,-9,1,8,-6,2,10,-3,8,-3
8,12,4,-9,1,8,-7,1,9,-3,8,-3
8,12,4,-9,1,8,-7,0,8,-3,8,-3
8,11,3,-9,2,7,-8,0,7,-3,8,-3
8,11,2,-9,2,7,-8,0,6,-3,8,-3
9,11,2,-10,3,7,-8,-1,5,-3,8,-3
9,11,1,-10,4,6,-8,-1,4,-3,8,-3
10,11,1,-10,5,6,-9,-2,2,-3,8,-3
10,11,0,-10,5,6,-9,-2,1,-3,8,-3
10,11,0,-10,5,5,-9,-3,0,-3,8,-3
10,11,0,-10,5,5,-9,-3,-1,-3,8,-3
10,11,0,-10,5,5,-9,-4,-2,-3,8,-3
10,10,0,-10,5,5,-9,-4,-3,-3,8,-3
9,9,-1,-9,5,4,-9,-5,-4,-3,8,-3
9,7,-1,-8,5,3,-9,-5,-6,-3,8,-3
9,6,-2,-7,5,2,-9,-6,-7,-3,8,-3
9,6,-2,-7,6,2,-9,-6,-8,-3,8,-3
9,5,-3,-6,6,1,-9,-7,-9,-3,9,-3
8,4,-3,-5,5,0,-9,-7,-10,-3,9,-3
7,4,-3,-4,5,0,-10,-8,-11,-3,9,-3
6,3,-3,-4,4,0,-10,-8,-12,-3,9,-3
5,3,-3,-4,4,0,-10,-8,-13,-3,9,-3
6,4,-3,-4,5,0,-9,-8,-14,-3,9,-3
6,4,-3,-4,5,0,-9,-8,-14,-3,9,-3
6,3,-3,-4,5,0,-9,-9,-15,-3,9,-3
5,2,-3,-3,5,-1,-9,-9,-16,-3,9,-3
5,2,-3,-3,4,-1,-9,-9,-16,-3,9,-3
5,2,-3,-3,4,-1,-8,-9,-17,-3,9,-3
5,2,-3,-3,4,-1,-8,-10,-18,-3,9,-3
5,1,-4,-2,4,-1,-8,-10,-19,-3,9,-3
4,0,-4,-1,4,-2,-8,-10,-19,-3,9,-3
4,0,-4,-1,4,-2,-8,-10,-20,-3,9,-3
3,-1,-4,0,3,-3,-8,-10,-20,-3,9,-3
2,-2,-4,1,3,-3,-8,-10,-21,-3,9,-3
1,-3,-4,1,3,-4,-8,-10,-21,-3,9,-3
1,-3,-5,1,3,-4,-7,-10,-21,-3,9,-3
1,-3,-5,1,3,-4,-7,-10,-21,-3,9,-3
1,-3,-5,1,3,-4,-7,-10,-22,-3,9,-3
0,-4,-5,2,2,-4,-7,-10,-22,-3,9,-3
0,-4,-4,2,2,-4,-7,-10,-22,-3,9,-3
0,-4,-4,2,2,-4,-7,-10,-22,-3,9,-3
1,-4,-4,2,2,-4,-7,-10,-22,-3,9,-3
2,-3,-4,1,3,-4,-7,-10,-22,-3,9,-3
2,-2,-4,1,3,-3,-7,-10,-22,-3,9,-3
2,-2,-4,1,3,-3,-7,-10,-22,-3,9,-3
1,-3,-4,1,2,-3,-7,-10,-22,-3,9,-3
1,-4,-4,2,2,-4,-7,-10,-22,-3,9,-3
0,-4,-4,2,2,-4,-7,-10,-22,-3,9,-3
0,-5,-4,3,2,-5,-7,-10,-22,-3,9,-3
0,-5,-4,3,2,-5,-7,-10,-22,-3,10,-3
0,-5,-4,3,2,-5,-6,-10,-22,-3,10,-3
0,-4,-4,3,2,-5,-6,-10,-22,-3,10,-3
0,-4,-4,3,2,-5,-5,-10,-22,-3,10,-3
0,-4,-4,3,1,-5,-5,-10,-22,-3,10,-3
0,-4,-4,3,1,-5,-5,-10,-22,-3,10,-3
0,-4,-4,3,1,-5,-5,-10,-22,-3,10,-3
0,-5,-4,3,1,-5,-6,-10,-22,-3,10,-3
0,-5,-3,3,1,-4,-6,-10,-22,-3,10,-3
0,-4,-3,3,1,-4,-6,-10,-22,-3,10,-3
0,-4,-3,3,1,-4,-6,-10,-22,-3,10,-3
-1,-4,-3,3,1,-4,-6,-10,-22,-3,10,-3
-1,-4,-3,3,1,-4,-6,-10,-21,-3,10,-3
-1,-4,-3,3,1,-4,-6,-10,-21,-3,10,-3
-1,-4,-3,3,1,-4,-5,-10,-21,-3,10,-3
0,-4,-3,3,1,-3,-5,-10,-21,-3,10,-3
0,-4,-3,3,1,-3,-4,-9,-20,-3,10,-3
-1,-4,-3,3,0,-3,-4,-9,-20,-3,10,-3
-1,-4,-3,3,0,-3,-4,-9,-20,-3,10,-3
-1,-3,-3,3,0,-3,-4,-9,-20,-3,10,-3
-1,-3,-3,3,0,-3,-4,-9,-20,-3,10,-3
-1,-3,-3,3,0,-3,-4,-9,-20,-3,10,-3
0,-3,-3,2,0,-3,-4,-9,-19,-3,10,-3
0,-3,-3,2,1,-3,-4,-9,-19,-3,10,-3
0,-2,-3,1,1,-2,-4,-8,-19,-3,10,-3
0,-2,-3,1,1,-2,-4,-8,-19,-3,10,-3
0,-2,-3,1,1,-2,-4,-8,-19,-3,10,-3
-1,-3,-2,2,0,-2,-4,-8,-19,-3,10,-3
-1,-3,-2,3,0,-2,-4,-8,-18,-3,10,-3
-1,-3,-2,3,0,-2,-4,-9,-18,-3,10,-3
-1,-3,-2,3,0,-2,-4,-9,-18,-3,10,-3
-1,-3,-1,3,0,-2,-4,-9,-18,-3,10,-3
-1,-3,-1,3,0,-2,-4,-8,-17,-3,11,-3
-1,-2,-1,2,0,-2,-4,-8,-17,-3,11,-3
-1,-2,-1,2,0,-2,-4,-8,-17,-3,11,-3
-2,-2,0,2,-1,-2,-4,-8,-17,-3,11,-3
-2,-2,0,2,-1,-2,-4,-8,-17,-3,11,-3
0,-1,-1,1,0,-2,-4,-8,-16,-3,11,-3
0,-1,-1,1,1,-2,-4,-8,-16,-3,11,-3
0,-1,-2,1,1,-2,-4,-8,-16,-3,11,-3
0,-1,-2,1,0,-2,-4,-8,-16,-3,11,-3
-1,-2,-1,2,0,-2,-4,-8,-16,-3,11,-3
-1,-2,-1,3,0,-2,-4,-8,-16,-3,11,-3
-1,-2,-1,3,0,-2,-4,-8,-16,-3,11,-3
-1,-2,-1,2,0,-2,-4,-8,-16,-3,11,-3
-1,-1,-1,2,0,-2,-4,-8,-16,-3,11,-3
-1,-1,-1,2,0,-2,-4,-9,-16,-3,11,-3
-1,-1,-1,2,0,-2,-4,-9,-16,-3,11,-3
-1,-2,-1,2,0,-2,-4,-8,-16,-3,11,-3
-1,-2,-1,2,0,-2,-3,-8,-16,-3,11,-3
0,-1,-1,2,0,-2,-3,-8,-16,-3,11,-3
0,-1,-1,2,0,-2,-3,-8,-16,-3,11,-3
0,-2,-1,2,0,-2,-3,-8,-16,-3,11,-3
-1,-2,-1,3,-1,-2,-3,-8,-17,-3,12,-3
-2,-3,-1,3,-1,-2,-3,-8,-17,-3,12,-3
-1,-2,-1,2,0,-2,-3,-8,-17,-3,12,-3
-1,-2,-1,2,0,-2,-4,-8,-17,-3,12,-3
0,-2,-1,2,0,-2,-4,-8,-17,-3,12,-3
0,-1,-2,1,1,-2,-5,-8,-17,-3,12,-3
0,-1,-2,1,1,-2,-5,-8,-17,-3,12,-3
0,-2,-2,2,0,-2,-5,-8,-17,-3,12,-3
0,-2,-2,2,0,-2,-5,-9,-17,-3,12,-3
0,-1,-2,2,0,-2,-5,-9,-17,-3,12,-3
0,-1,-2,1,1,-2,-5,-8,-17,-3,12,-3
0,-1,-2,1,1,-2,-5,-8,-17,-3,12,-3
0,-1,-2,1,1,-2,-5,-8,-18,-3,12,-3
0,-1,-2,1,1,-2,-4,-8,-18,-3,12,-3
1,-1,-2,1,1,-2,-4,-8,-17,-3,12,-3
0,-1,-2,1,1,-2,-3,-8,-17,-3,12,-3
0,-1,-1,1,0,-2,-3,-8,-17,-3,13,-3
0,0,-1,1,0,-1,-3,-8,-17,-3,13,-3
1,0,-2,0,1,-1,-3,-8,-17,-3,13,-3
1,0,-2,0,1,-1,-3,-8,-17,-3,13,-3
1,0,-2,1,1,-1,-4,-8,-17,-3,13,-3
0,-1,-2,1,1,-1,-4,-8,-18,-3,13,-3
0,-1,-2,1,1,-1,-4,-8,-18,-3,13,-3
0,-1,-2,1,1,-1,-4,-8,-18,-3,13,-3
0,-1,-2,1,1,-2,-4,-8,-18,-3,13,-3
0,-1,-2,1,1,-2,-4,-8,-18,-3,13,-3
0,-2,-3,1,1,-3,-4,-8,-18,-3,13,-3
0,-2,-2,2,0,-3,-4,-8,-18,-3,13,-3
0,-2,-2,2,0,-3,-4,-8,-18,-3,13,-3
0,-2,-2,2,0,-3,-4,-8,-18,-3,13,-3
1,-1,-2,1,1,-2,-4,-8,-18,-3,13,-3
1,-1,-2,1,1,-2,-4,-8,-18,-3,13,-3
0,-2,-2,1,1,-2,-4,-8,-18,-3,14,-3
0,-2,-2,1,1,-2,-4,-8,-18,-3,14,-3
1,-1,-2,1,1,-2,-4,-8,-18,-3,14,-3
1,-1,-3,0,2,-2,-4,-8,-18,-3,14,-3
1,-2,-3,1,1,-3,-4,-8,-18,-3,14,-3
