leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-2,-2,1,1,-2,1,2,1,0,2,0
0,-5,-5,2,2,-5,2,6,2,-1,4,0
0,-6,-6,3,2,-6,3,8,2,-2,6,0
0,-7,-7,3,3,-7,3,9,3,-2,7,0
0,-8,-7,4,3,-8,3,10,4,-2,8,0
-1,-8,-7,4,3,-7,4,11,5,-2,9,1
-1,-7,-6,4,2,-6,4,11,6,-2,9,1
-1,-6,-5,3,2,-6,4,11,6,-2,10,2
-1,-6,-3,3,1,-5,4,11,7,-1,10,2
-2,-4,-1,3,0,-3,4,12,8,0,11,3
-2,-3,0,2,-1,-2,4,12,9,0,12,4
-3,-3,1,2,-2,-1,4,12,10,1,12,4
-3,-2,1,2,-2,0,4,12,10,1,12,4
-3,-2,0,3,-1,-1,4,12,10,1,13,5
-3,-3,0,3,-1,-1,5,13,10,1,13,5
-4,-5,0,4,-2,-2,5,13,10,1,13,5
-5,-6,-1,5,-2,-3,5,13,10,0,13,5
-5,-6,-1,5,-2,-3,5,13,10,0,13,5
-4,-5,-1,4,-1,-3,6,14,11,1,13,5
-3,-5,-1,3,-1,-3,6,14,11,1,13,5
-3,-4,0,3,-1,-3,7,14,12,1,13,5
-4,-4,0,3,-2,-2,7,15,13,2,13,5
-4,-3,0,3,-2,-2,7,15,14,2,14,5
-3,-3,0,3,-1,-2,7,15,15,3,14,5
-3,-4,0,3,-1,-2,7,16,15,4,15,6
-4,-4,0,3,-1,-2,7,16,16,4,15,6
-4,-4,0,3,-2,-1,7,17,17,5,16,7
-4,-3,1,3,-2,-1,7,18,18,6,17,8
-4,-3,1,3,-3,-1,7,19,19,7,17,9
-4,-3,1,3,-3,-1,7,20,20,8,18,10
-4,-3,2,3,-3,-1,8,21,21,9,19,10
-5,-2,3,3,-4,0,8,21,22,9,20,11
-6,-2,3,3,-4,0,8,21,22,10,20,11
-5,-1,4,2,-4,1,9,21,23,10,20,11
-4,-1,4,2,-4,1,9,21,23,10,20,11
-4,0,5,1,-4,2,9,21,23,10,21,11
-4,0,5,1,-4,2,9,21,23,10,21,11
-4,0,4,1,-4,2,9,21,23,10,20,11
-4,0,4,1,-4,2,9,22,24,10,20,11
-4,0,4,0,-4,2,9,22,24,10,20,11
