leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,1,0,-1,0,0,0,3,5,3,3,2
3,3,0,-3,1,1,-1,8,13,8,7,5
5,4,0,-5,2,2,-2,11,18,11,10,7
7,6,-1,-7,4,2,-3,12,21,13,11,8
9,7,-1,-8,5,3,-4,13,23,15,13,9
11,8,-2,-9,6,3,-5,14,24,16,14,11
12,9,-2,-10,7,3,-5,15,26,18,16,12
12,10,-2,-11,8,4,-6,16,27,19,18,14
13,10,-1,-11,8,4,-6,17,29,21,19,15
13,11,-1,-12,8,5,-7,17,30,22,21,16
14,11,-2,-12,8,5,-8,18,30,23,22,16
15,12,-2,-13,9,5,-9,18,31,23,22,17
16,13,-2,-14,9,5,-10,18,31,24,23,18
17,14,-2,-15,10,5,-11,18,32,25,24,19
18,15,-2,-16,10,5,-11,18,32,26,25,20
18,15,-2,-16,10,5,-12,18,33,27,27,21
19,15,-2,-17,10,6,-12,19,34,28,28,22
19,16,-2,-17,10,6,-13,19,34,29,29,22
20,17,-2,-18,11,7,-14,19,34,29,29,23
21,18,-2,-19,11,7,-15,19,34,30,30,23
22,18,-2,-20,11,7,-16,19,34,30,30,24
22,19,-2,-20,12,8,-17,19,34,31,31,24
23,19,-3,-21,12,8,-17,19,35,31,32,25
23,19,-3,-21,13,8,-18,19,35,32,32,26
23,20,-3,-21,13,8,-18,19,35,32,33,27
24,20,-3,-21,14,8,-18,19,35,33,34,28
24,20,-4,-21,14,8,-19,19,35,33,35,28
25,20,-4,-22,15,8,-19,19,35,34,35,28
25,21,-3,-22,14,8,-20,18,35,34,35,29
25,22,-2,-23,14,9,-21,18,35,34,35,29
25,23,-2,-23,13,10,-21,17,35,33,35,29
25,23,-2,-23,13,10,-21,17,34,33,35,29
25,22,-2,-23,13,10,-20,16,33,33,35,30
25,22,-2,-23,13,9,-20,15,32,33,35,30
24,21,-2,-22,13,9,-19,15,31,32,35,30
24,20,-2,-22,13,8,-19,14,30,31,34,29
23,20,-1,-21,12,9,-19,13,29,30,33,28
22,20,0,-21,11,9,-19,11,28,29,31,27
21,20,0,-20,11,9,-18,10,26,27,30,25
19,19,0,-19,10,9,-17,9,24,26,28,24
18,18,0,-18,9,9,-15,8,23,24,27,23
16,17,0,-16,8,9,-14,7,21,23,25,22
15,16,1,-15,7,9,-13,6,20,21,24,21
13,15,1,-14,6,8,-12,5,18,19,22,20
12,14,2,-13,5,8,-11,4,16,17,20,18
11,13,2,-11,4,7,-10,3,15,15,18,16
10,12,3,-10,3,7,-9,2,13,13,16,14
8,12,3,-9,2,7,-7,1,11,11,14,13
7,11,4,-8,1,6,-6,0,10,10,12,11
6,10,4,-7,1,6,-5,-1,8,8,11,10
4,8,4,-5,0,5,-4,-2,7,7,9,9
3,7,4,-4,0,5,-3,-2,6,5,8,8
2,5,4,-3,0,4,-2,-3,5,4,6,7
1,4,4,-2,-1,4,-1,-3,4,2,5,5
0,4,4,-2,-1,3,0,-4,4,1,3,4
0,3,4,-1,-2,3,0,-5,3,0,2,3
0,3,4,-1,-2,2,1,-5,2,0,1,2
-1,2,4,0,-2,2,2,-6,2,-1,0,2
-2,1,4,0,-3,1,2,-6,1,-2,0,1
-2,0,4,1,-3,1,3,-7,0,-2,0,1
-3,0,5,1,-4,1,3,-7,0,-3,-1,0
-3,0,5,2,-4,1,3,-8,0,-4,-2,0
-4,0,5,2,-4,1,3,-8,-1,-5,-3,0
-4,0,5,2,-4,0,3,-9,-1,-5,-3,-1
-4,0,4,2,-4,0,3,-9,-2,-6,-4,-1
-4,-1,4,3,-4,0,3,-10,-2,-6,-4,-2
-4,-1,3,3,-4,0,4,-10,-3,-7,-4,-2
-4,-1,4,3,-4,0,4,-10,-3,-7,-5,-2
-4,-1,4,3,-4,0,4,-10,-3,-8,-5,-2
-5,-1,4,3,-4,0,4,-10,-3,-8,-6,-3
-5,-2,4,3,-4,0,4,-10,-3,-8,-6,-3
-5,-2,3,3,-4,0,4,-10,-3,-8,-6,-3
-5,-2,3,3,-4,0,4,-10,-4,-8,-6,-3
-5,-2,4,3,-4,0,5,-11,-4,-8,-6,-3
-5,-2,4,3,-4,0,5,-11,-4,-8,-6,-3
-5,-2,4,3,-4,0,5,-11,-4,-8,-6,-3
-5,-2,4,3,-4,0,5,-11,-4,-8,-6,-3
-5,-2,4,3,-4,0,4,-11,-4,-8,-7,-3
-5,-2,4,3,-4,0,4,-11,-5,-8,-7,-3
-5,-2,4,3,-4,0,4,-11,-5,-9,-7,-3
-5,-2,4,3,-4,0,4,-11,-5,-9,-7,-3
-4,-2,3,3,-4,0,4,-11,-5,-9,-7,-3
-4,-2,3,3,-4,0,4,-11,-5,-9,-7,-3
-4,-2,3,3,-4,0,4,-11,-5,-9,-7,-4
-5,-3,3,3,-4,0,4,-11,-5,-10,-7,-4
-5,-3,3,4,-4,0,5,-11,-5,-10,-7,-4
-5,-3,3,4,-4,-1,5,-11,-5,-10,-7,-4
-5,-3,3,4,-4,-1,5,-11,-5,-10,-7,-4
-5,-3,3,4,-4,-1,5,-11,-5,-10,-7,-4
-5,-3,2,4,-4,-1,5,-11,-6,-10,-8,-4
-5,-3,2,4,-4,-1,5,-11,-6,-10,-8,-4
-5,-3,2,4,-4,-1,5,-11,-6,-9,-8,-4
-5,-3,2,4,-4,-1,5,-11,-6,-9,-8,-4
-5,-3,2,4,-4,-1,5,-11,-6,-9,-8,-4
-5,-3,2,4,-4,-1,5,-11,-6,-9,-8,-4
-5,-3,2,4,-4,-1,5,-11,-6,-9,-8,-4
-5,-3,2,4,-4,-1,5,-11,-6,-9,-8,-4
-5,-3,2,4,-4,-1,5,-11,-6,-9,-8,-4
-5,-3,2,4,-4,-1,5,-11,-6,-9,-8,-4
-5,-3,2,4,-4,-1,5,-11,-6,-9,-8,-4
-5,-2,2,4,-4,-1,5,-11,-6,-9,-8,-4
-5,-2,2,4,-4,-1,6,-11,-6,-9,-8,-4
-5,-3,2,4,-4,-1,6,-11,-6,-9,-8,-4
-5,-3,2,4,-4,-1,6,-11,-6,-9,-8,-4
-5,-3,1,4,-3,-1,6,-11,-6,-9,-8,-4
-5,-3,1,4,-3,-1,6,-10,-6,-9,-8,-4
-5,-3,2,4,-4,-1,6,-10,-6,-9,-8,-4
-5,-3,2,4,-4,-1,6,-10,-6,-9,-8,-4
-5,-3,2,4,-4,-1,6,-10,-6,-9,-8,-4
-5,-3,2,4,-4,-1,6,-10,-6,-9,-8,-4
-5,-3,2,4,-4,-1,6,-9,-6,-9,-8,-4
-5,-3,2,4,-4,-1,6,-9,-6,-9,-8,-4
-5,-3,2,4,-4,-1,6,-9,-6,-9,-8,-4
-4,-3,2,4,-4,-1,6,-9,-6,-9,-8,-4
-4,-2,2,3,-4,-1,6,-9,-6,-9,-8,-3
-4,-2,2,3,-4,0,6,-8,-6,-9,-8,-3
-4,-2,2,3,-4,0,6,-8,-6,-9,-8,-3
-4,-2,2,3,-4,0,6,-9,-6,-9,-8,-4
-4,-2,2,3,-4,0,6,-9,-6,-9,-8,-4
-4,-1,2,3,-4,0,6,-8,-6,-9,-8,-4
-4,-1,2,3,-4,0,6,-8,-6,-9,-8,-4
-4,-1,2,3,-4,0,6,-8,-6,-9,-8,-4
-4,-1,2,3,-4,0,6,-8,-6,-9,-8,-4
-4,-1,2,3,-4,0,6,-8,-6,-9,-8,-4
-4,-1,2,2,-4,0,6,-8,-6,-9,-8,-4
-4,-1,2,2,-4,0,6,-8,-6,-9,-8,-4
-4,-1,2,2,-4,0,6,-8,-6,-9,-8,-4
-4,-1,2,2,-4,0,6,-8,-6,-9,-8,-4
-4,-1,3,2,-4,1,6,-8,-6,-9,-8,-4
-4,0,3,2,-4,1,6,-8,-6,-9,-8,-4
-4,0,4,2,-4,1,6,-8,-6,-9,-8,-4
-4,0,4,2,-4,1,6,-8,-6,-9,-8,-4
-4,0,3,2,-4,1,6,-8,-6,-9,-8,-4
-4,0,3,2,-4,1,6,-8,-6,-9,-8,-4
-4,0,3,2,-4,1,6,-8,-6,-9,-8,-4
-4,0,3,2,-4,1,6,-8,-6,-9,-8,-4
-4,0,3,2,-4,1,5,-8,-7,-9,-8,-4
-4,0,3,2,-4,1,5,-8,-7,-9,-8,-4
-3,0,3,2,-3,0,5,-8,-7,-9,-8,-4
-3,0,2,2,-3,0,5,-8,-7,-9,-8,-4
-3,-1,2,2,-3,0,5,-8,-7,-9,-8,-4
-3,-1,2,2,-3,0,5,-8,-7,-9,-8,-4
-3,-1,2,2,-3,0,5,-8,-7,-9,-8,-4
-3,-1,2,2,-3,0,5,-8,-7,-9,-8,-4
-3,-1,2,2,-2,0,5,-8,-7,-10,-8,-4
-3,-1,2,2,-2,0,5,-8,-7,-10,-8,-5
-3,-1,2,2,-2,0,5,-8,-7,-10,-9,-5
-3,-1,2,2,-2,0,5,-8,-7,-10,-9,-5
-3,0,2,2,-2,0,5,-9,-7,-10,-9,-5
-3,0,2,2,-2,0,5,-9,-7,-10,-9,-6
-3,-1,2,2,-2,0,5,-9,-7,-10,-9,-6
-3,-1,2,2,-2,0,5,-9,-7,-10,-9,-6
-2,-1,2,1,-2,0,5,-9,-8,-10,-9,-6
-2,-1,2,1,-2,0,5,-9,-8,-10,-9,-6
-2,-1,1,2,-2,0,5,-9,-8,-10,-9,-6
-2,-1,1,2,-2,-1,5,-9,-8,-10,-9,-6
-2,-1,1,2,-2,-1,4,-9,-8,-10,-9,-6
-2,-1,1,2,-2,-1,4,-9,-8,-11,-10,-6
-2,-1,1,2,-1,-1,4,-9,-8,-11,-10,-6
-2,-1,1,2,-1,0,4,-9,-8,-11,-10,-6
-2,-1,1,2,-2,0,4,-9,-8,-11,-10,-6
-2,-1,1,1,-2,0,4,-9,-8,-11,-10,-6
-2,-1,1,1,-2,0,4,-9,-8,-11,-10,-6
-2,-1,1,1,-2,0,4,-9,-9,-11,-10,-6
-2,-2,1,1,-2,-1,4,-10,-9,-11,-10,-7
-2,-2,1,1,-2,-1,4,-10,-9,-11,-11,-7
-2,-2,1,1,-2,-1,4,-10,-9,-11,-11,-7
-2,-2,1,2,-2,-1,4,-10,-9,-11,-11,-7
-3,-2,1,2,-2,-1,4,-10,-9,-11,-11,-7
-3,-2,0,2,-2,-1,4,-10,-10,-11,-11,-7
-3,-3,0,2,-1,-2,4,-10,-10,-11,-11,-7
-3,-3,0,2,-1,-2,4,-10,-10,-11,-11,-7
-3,-3,0,2,-1,-2,4,-10,-10,-11,-11,-7
-3,-3,0,3,-1,-2,4,-10,-10,-11,-11,-7
-3,-3,0,3,-1,-2,4,-10,-10,-11,-11,-7
-3,-3,0,3,-1,-2,4,-10,-10,-11,-11,-7
-3,-2,0,2,-1,-1,4,-10,-10,-12,-11,-7
-3,-2,0,2,-1,-1,4,-10,-10,-12,-12,-7
-3,-3,0,2,-1,-1,4,-10,-10,-12,-12,-8
-3,-3,0,2,-1,-1,4,-10,-10,-12,-12,-8
-3,-3,0,2,-1,-1,4,-11,-10,-12,-12,-9
