leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,-2,-4,0,2,-3,2,5,6,5,3,-1
6,-4,-11,0,8,-8,4,16,18,15,11,-1
12,-4,-17,-3,14,-10,3,25,31,27,19,1
19,-1,-20,-8,19,-10,1,33,43,41,30,6
25,5,-20,-15,22,-7,-2,40,56,55,42,13
32,14,-18,-23,24,-2,-6,46,68,70,55,21
37,23,-15,-30,25,4,-10,50,78,82,66,29
42,28,-14,-36,27,8,-12,54,84,87,70,34
46,24,-21,-35,33,2,-12,59,85,81,64,29
47,12,-34,-30,40,-10,-9,62,81,66,48,17
45,-3,-47,-21,45,-24,-5,62,72,47,28,3
38,-18,-56,-10,46,-37,0,55,57,24,6,-13
28,-33,-61,2,44,-47,5,41,34,-4,-17,-29
17,-46,-63,14,39,-55,10,22,3,-34,-39,-43
8,-56,-64,23,35,-60,14,5,-23,-58,-56,-54
1,-60,-61,29,31,-60,18,-4,-37,-71,-64,-59
-4,-60,-55,31,25,-57,20,-7,-41,-73,-65,-59
-8,-57,-48,32,19,-52,21,-8,-42,-72,-64,-57
-12,-54,-41,33,14,-47,22,-9,-42,-71,-63,-55
-15,-51,-35,33,9,-43,24,-9,-41,-70,-62,-53
-17,-48,-30,33,5,-39,27,-8,-40,-68,-60,-52
-19,-46,-26,33,2,-36,31,-5,-38,-65,-58,-51
-21,-44,-22,33,0,-33,36,-2,-35,-63,-56,-49
-24,-43,-19,33,-3,-30,41,0,-34,-61,-54,-48
-26,-42,-16,33,-5,-29,46,0,-33,-59,-52,-47
-29,-42,-13,34,-8,-27,51,1,-32,-58,-51,-46
-32,-41,-9,36,-12,-25,56,1,-32,-57,-50,-45
-35,-41,-6,37,-15,-24,61,1,-32,-56,-50,-44
-36,-41,-4,38,-17,-23,66,1,-32,-56,-49,-43
-37,-41,-4,39,-18,-23,72,0,-32,-55,-48,-43
-38,-41,-3,39,-19,-22,77,0,-32,-55,-47,-42
-40,-42,-2,40,-20,-22,83,0,-32,-55,-47,-42
-42,-42,0,41,-22,-21,88,0,-33,-54,-46,-41
-43,-42,0,42,-23,-21,91,-1,-34,-54,-46,-40
-44,-42,2,42,-24,-20,94,-4,-35,-54,-46,-40
-45,-42,3,43,-25,-20,96,-7,-37,-54,-46,-39
-46,-43,3,44,-25,-20,100,-10,-39,-55,-46,-39
-47,-45,3,46,-26,-21,106,-11,-41,-56,-46,-40
-48,-46,2,47,-26,-22,110,-12,-42,-57,-46,-40
-49,-47,2,47,-26,-22,112,-13,-43,-56,-45,-39
-48,-46,1,46,-25,-23,110,-14,-43,-56,-44,-39
-47,-45,1,45,-24,-23,106,-15,-43,-55,-43,-38
-45,-43,1,44,-24,-22,98,-18,-43,-54,-42,-37
-42,-41,0,41,-22,-21,87,-20,-43,-52,-40,-35
-38,-37,0,37,-20,-20,74,-22,-42,-49,-37,-32
-33,-34,0,33,-18,-18,61,-22,-40,-46,-34,-30
-29,-30,0,29,-16,-16,49,-23,-39,-43,-31,-27
-26,-27,0,26,-14,-14,38,-25,-38,-40,-28,-25
-24,-25,-1,24,-12,-13,29,-26,-38,-39,-26,-23
-21,-22,-2,21,-10,-12,21,-27,-37,-37,-24,-21
-18,-20,-3,18,-8,-11,14,-27,-35,-35,-22,-19
-15,-17,-3,15,-7,-10,7,-28,-34,-32,-20,-17
-13,-15,-2,13,-7,-8,1,-28,-32,-30,-18,-16
-11,-12,-2,11,-6,-7,-3,-28,-31,-28,-17,-14
-9,-10,-1,10,-5,-5,-6,-28,-30,-27,-15,-13
-7,-9,-1,8,-4,-4,-9,-28,-29,-26,-14,-12
-6,-8,-2,7,-3,-4,-11,-28,-29,-25,-13,-12
-5,-7,-2,6,-2,-4,-12,-28,-28,-24,-13,-11
-4,-7,-2,5,-2,-4,-14,-28,-28,-24,-12,-11
-4,-6,-2,5,-2,-4,-15,-28,-28,-23,-12,-11
-3,-5,-2,4,-2,-4,-17,-29,-28,-23,-12,-11
-3,-4,-2,4,-2,-3,-18,-29,-28,-22,-11,-11
-2,-3,-2,3,-2,-2,-19,-29,-28,-21,-11,-12
-2,-2,-1,3,-2,-2,-20,-29,-27,-21,-10,-12
-2,-2,-1,2,-2,-1,-20,-29,-27,-21,-10,-12
-2,-2,-1,2,-2,-1,-20,-29,-27,-21,-10,-12
-2,-2,0,1,-2,0,-21,-29,-27,-20,-10,-12
-1,-1,0,1,-2,0,-22,-29,-27,-20,-10,-12
-1,-1,0,1,-1,0,-23,-29,-27,-20,-9,-12
0,0,0,0,-1,0,-23,-29,-26,-19,-9,-12
0,0,0,0,-1,1,-24,-29,-26,-19,-9,-12
0,1,0,0,-1,1,-24,-29,-25,-18,-9,-12
0,1,0,-1,-1,1,-25,-29,-25,-18,-9,-12
0,2,1,-1,-1,2,-25,-29,-25,-18,-9,-12
0,2,2,-2,-1,2,-25,-29,-25,-18,-8,-11
0,3,2,-2,-1,2,-25,-29,-25,-17,-8,-11
0,3,3,-2,-1,3,-25,-29,-24,-17,-8,-10
0,4,3,-2,-2,3,-26,-29,-24,-17,-7,-10
0,5,4,-2,-2,4,-26,-29,-24,-16,-7,-9
1,5,4,-2,-3,5,-26,-29,-23,-16,-7,-9
1,6,4,-3,-3,6,-27,-29,-23,-15,-7,-8
2,7,4,-4,-3,6,-27,-29,-23,-15,-7,-8
2,7,4,-5,-3,6,-28,-29,-22,-14,-7,-7
3,8,5,-6,-2,6,-28,-28,-22,-14,-6,-7
3,8,5,-6,-2,7,-29,-28,-21,-13,-6,-6
3,9,6,-7,-2,7,-30,-28,-21,-13,-5,-5
4,10,6,-7,-2,8,-31,-28,-20,-12,-4,-4
4,11,7,-8,-2,9,-32,-28,-20,-12,-4,-3
4,12,7,-8,-2,9,-32,-28,-20,-11,-3,-2
4,12,7,-8,-2,10,-33,-28,-19,-11,-3,-1
4,13,8,-9,-2,10,-34,-28,-19,-10,-2,0
4,13,8,-9,-2,11,-35,-28,-18,-9,-2,1
4,13,9,-9,-2,11,-36,-28,-17,-9,-1,2
5,14,9,-10,-2,11,-38,-29,-17,-8,-1,3
6,15,9,-10,-2,12,-39,-29,-17,-8,0,4
6,15,9,-11,-2,12,-41,-29,-17,-8,0,5
6,16,9,-11,-2,13,-42,-30,-17,-8,0,5
7,17,9,-12,-1,13,-43,-30,-17,-7,0,6
9,18,8,-14,0,14,-45,-30,-17,-7,1,7
10,19,9,-15,0,14,-46,-30,-17,-7,1,8
10,20,10,-15,0,15,-48,-31,-17,-7,2,9
9,20,11,-15,-1,16,-49,-31,-17,-6,3,10
9,21,12,-15,-1,16,-50,-31,-17,-6,4,11
9,21,12,-15,-2,17,-52,-31,-17,-5,5,12
9,22,12,-15,-2,17,-53,-31,-17,-5,5,12
10,23,12,-16,-2,18,-54,-31,-17,-4,5,12
10,23,13,-17,-2,19,-55,-31,-17,-4,6,13
10,24,14,-17,-3,19,-56,-31,-17,-3,6,13
10,25,15,-17,-3,20,-57,-31,-17,-3,7,14
10,26,15,-18,-3,20,-58,-32,-17,-2,7,14
11,26,15,-18,-3,21,-59,-32,-17,-2,8,14
11,27,15,-19,-3,21,-59,-32,-17,-2,8,14
12,28,16,-20,-3,22,-60,-32,-17,-1,9,15
12,29,16,-20,-3,23,-60,-32,-17,-1,9,15
12,29,17,-20,-3,23,-60,-32,-17,-1,10,16
12,30,18,-21,-3,24,-60,-32,-18,-1,10,16
12,31,18,-21,-3,24,-60,-32,-18,-1,10,16
13,32,19,-22,-3,25,-60,-32,-18,-1,11,17
12,32,19,-22,-4,26,-60,-32,-18,-1,11,17
12,32,20,-22,-5,26,-60,-32,-19,-1,11,17
12,33,20,-23,-5,26,-60,-32,-20,-1,11,17
13,33,20,-23,-4,27,-59,-32,-20,-2,11,17
13,33,20,-23,-4,27,-58,-32,-20,-2,11,17
12,33,21,-23,-5,28,-57,-32,-20,-3,10,17
12,33,22,-22,-5,27,-55,-32,-21,-3,10,16
11,33,22,-22,-6,27,-54,-32,-21,-4,9,16
10,32,22,-21,-6,27,-53,-31,-22,-5,8,15
10,32,22,-21,-6,27,-52,-31,-22,-5,7,15
10,32,22,-21,-6,27,-51,-31,-23,-6,7,14
9,32,22,-20,-7,27,-50,-30,-23,-7,6,14
9,31,22,-20,-7,26,-48,-30,-23,-7,5,13
9,31,21,-20,-7,26,-47,-30,-23,-8,4,13
8,30,21,-19,-7,26,-46,-30,-24,-9,3,12
7,29,22,-18,-8,25,-44,-29,-24,-10,2,11
7,28,22,-17,-8,25,-43,-28,-24,-11,2,11
6,28,22,-17,-8,25,-41,-28,-24,-11,1,10
6,27,22,-17,-8,24,-40,-27,-24,-12,1,9
5,26,22,-16,-8,24,-39,-27,-24,-12,0,9
4,25,22,-15,-9,23,-37,-27,-24,-13,-1,8
3,24,21,-14,-9,23,-36,-26,-24,-13,-1,7
3,23,21,-13,-9,22,-34,-25,-24,-14,-2,6
2,23,21,-13,-9,22,-33,-24,-23,-14,-3,6
2,22,20,-12,-9,22,-31,-24,-23,-15,-3,5
1,21,20,-12,-9,21,-30,-23,-22,-15,-4,5
1,20,19,-11,-9,20,-29,-23,-22,-16,-4,4
0,19,19,-11,-9,19,-28,-22,-21,-16,-5,4
0,19,19,-10,-10,19,-26,-22,-21,-16,-5,3
0,18,19,-9,-10,18,-25,-21,-21,-16,-6,3
0,17,18,-9,-9,18,-23,-21,-21,-16,-7,2
-1,16,17,-8,-9,17,-22,-20,-21,-17,-8,1
-1,16,17,-7,-10,17,-20,-20,-21,-17,-9,1
-2,15,17,-6,-10,16,-19,-20,-21,-18,-9,0
-1,14,16,-6,-9,15,-19,-20,-21,-18,-10,0
0,14,15,-7,-8,14,-18,-20,-21,-18,-10,-1
0,13,14,-6,-8,14,-17,-20,-20,-18,-10,-1
-2,13,15,-5,-9,14,-16,-19,-20,-18,-10,-1
-3,12,15,-5,-10,14,-15,-19,-20,-18,-10,-1
-3,12,15,-4,-10,14,-14,-19,-20,-18,-10,-2
-3,12,15,-4,-10,13,-14,-19,-20,-19,-10,-2
-3,12,15,-4,-9,13,-13,-19,-20,-19,-10,-3
-4,11,16,-4,-9,13,-13,-18,-20,-18,-10,-3
-4,11,16,-4,-10,13,-12,-18,-20,-18,-10,-4
-5,11,16,-4,-10,13,-12,-18,-20,-18,-10,-4
-5,10,15,-4,-10,13,-12,-18,-20,-18,-10,-5
-5,10,15,-4,-10,13,-11,-18,-20,-18,-10,-5
-5,10,15,-3,-10,13,-11,-18,-20,-18,-10,-5
-5,10,15,-3,-11,13,-10,-18,-20,-18,-10,-5
-5,10,15,-3,-10,13,-10,-18,-20,-18,-10,-6
-5,10,15,-3,-10,13,-10,-18,-20,-18,-10,-6
-5,10,15,-3,-10,13,-10,-18,-20,-18,-10,-6
-5,10,15,-3,-10,13,-10,-18,-19,-18,-10,-6
-5,10,15,-3,-10,13,-10,-18,-19,-18,-10,-6
-5,10,15,-2,-10,13,-9,-18,-19,-18,-10,-6
-5,11,15,-3,-10,14,-9,-18,-19,-18,-9,-6
-5,11,16,-3,-10,14,-9,-18,-19,-17,-9,-6
-4,12,17,-4,-10,15,-9,-18,-18,-17,-8,-6
