leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,2,-1,-1,-3,-6,-3,0,-1,0
-4,-4,0,4,-2,-1,-7,-14,-9,-2,-1,0
-5,-4,2,5,-4,0,-4,-11,-12,-4,-1,0
-6,-2,4,4,-5,1,3,2,-11,-6,-1,0
-6,0,6,3,-6,3,11,22,-8,-9,-1,-1
-6,1,7,2,-6,4,15,37,-4,-10,-3,-3
-5,2,7,2,-6,4,12,40,-3,-11,-4,-4
-5,0,5,2,-5,2,4,29,-4,-10,-5,-5
-4,-2,2,3,-4,0,-3,11,-7,-8,-5,-4
-4,-3,0,3,-2,-1,-7,-4,-11,-7,-4,-3
-5,-4,0,4,-3,-2,-5,-8,-13,-7,-3,-3
-8,-5,2,6,-5,-1,1,0,-13,-8,-3,-3
-9,-4,4,6,-6,0,9,16,-11,-10,-3,-3
-8,-3,4,5,-6,0,14,33,-7,-12,-4,-4
-6,-2,4,4,-5,1,14,40,-5,-12,-5,-5
-6,-2,4,5,-5,1,9,33,-5,-11,-6,-6
-7,-4,3,6,-5,0,1,16,-7,-10,-6,-6
-7,-5,2,6,-5,-2,-4,-1,-11,-9,-6,-6
-7,-5,2,6,-5,-2,-3,-9,-12,-8,-4,-5
-7,-4,4,6,-6,0,2,-5,-12,-8,-3,-3
-7,-2,6,5,-6,1,11,10,-9,-9,-2,-3
-7,0,7,4,-7,3,18,27,-6,-10,-2,-3
-7,-1,7,4,-7,3,20,38,-3,-10,-2,-3
-8,-3,5,5,-6,1,16,36,-2,-10,-3,-4
-7,-4,3,5,-5,-1,8,22,-4,-10,-4,-4
-7,-5,2,5,-5,-1,1,4,-8,-10,-4,-5
-7,-5,2,6,-6,-2,-1,-8,-10,-10,-4,-5
-8,-5,3,7,-7,-1,2,-8,-12,-10,-4,-5
-9,-4,5,7,-8,0,9,2,-11,-11,-4,-5
-8,-2,6,6,-7,1,17,20,-8,-11,-4,-5
-7,-3,4,6,-6,0,21,35,-5,-11,-3,-4
-7,-3,3,6,-5,0,19,37,-3,-11,-4,-4
-6,-3,3,5,-4,0,12,27,-4,-11,-5,-5
-6,-4,2,5,-4,-1,5,9,-7,-10,-5,-5
-6,-5,1,6,-4,-2,2,-4,-9,-9,-5,-4
-7,-6,1,7,-5,-2,3,-9,-11,-9,-5,-4
-9,-5,3,7,-6,-1,9,-1,-11,-9,-5,-4
-8,-5,3,7,-6,0,16,15,-8,-9,-4,-4
-7,-5,2,6,-4,-1,21,31,-5,-9,-4,-4
-7,-5,2,6,-4,0,21,37,-4,-9,-5,-5
-8,-5,3,6,-5,0,15,30,-4,-10,-6,-5
-8,-5,3,6,-6,0,8,14,-6,-10,-6,-5
-7,-5,2,5,-5,0,4,-2,-8,-10,-6,-5
-6,-4,2,4,-4,0,4,-10,-9,-10,-5,-4
-6,-4,2,4,-5,0,9,-7,-10,-10,-6,-5
-8,-4,4,6,-6,0,15,7,-9,-11,-6,-5
-9,-5,5,7,-7,0,21,23,-7,-11,-6,-6
-9,-5,4,7,-7,0,22,33,-5,-11,-6,-6
-8,-6,2,7,-5,-1,19,31,-5,-11,-6,-6
-8,-7,1,7,-5,-2,12,18,-6,-11,-7,-7
-9,-8,1,8,-6,-3,6,1,-8,-11,-7,-7
-10,-9,1,9,-6,-3,5,-10,-9,-10,-7,-6
-10,-9,1,9,-6,-3,8,-10,-10,-9,-7,-6
-10,-8,1,9,-6,-3,15,1,-9,-9,-7,-6
-10,-6,2,8,-6,-2,21,18,-7,-9,-7,-6
-10,-5,3,8,-6,-1,24,31,-5,-9,-7,-5
-10,-6,4,8,-7,-1,22,33,-4,-9,-7,-5
-11,-7,4,9,-7,-1,16,23,-4,-9,-7,-5
-11,-7,4,9,-7,-1,10,6,-6,-9,-7,-5
-10,-6,4,7,-7,0,6,-7,-7,-9,-7,-5
-9,-5,4,6,-7,0,7,-11,-8,-9,-7,-5
-8,-4,4,5,-7,0,13,-3,-8,-8,-7,-5
-8,-3,4,5,-7,0,20,13,-6,-8,-6,-5
-8,-3,4,5,-7,0,24,28,-3,-7,-6,-5
-8,-3,5,6,-7,0,24,34,-2,-7,-5,-5
-9,-3,6,6,-8,1,19,28,-1,-7,-5,-5
-9,-3,6,6,-8,2,13,12,-2,-6,-5,-4
-8,-4,5,6,-7,1,9,-2,-4,-6,-5,-4
-8,-4,4,6,-6,0,8,-9,-5,-5,-5,-4
-8,-4,4,6,-7,1,13,-6,-5,-5,-5,-4
-9,-3,6,6,-7,2,19,8,-4,-5,-4,-4
-9,-2,7,6,-8,3,24,24,-2,-4,-4,-4
-10,-2,7,6,-8,3,26,34,-1,-4,-3,-4
-10,-2,7,6,-9,3,23,33,-1,-4,-3,-4
-11,-3,7,7,-9,3,17,20,-1,-4,-3,-4
-10,-4,7,6,-9,2,13,6,-2,-3,-2,-3
-8,-3,6,5,-7,1,12,-3,-2,-3,-2,-3
-7,-3,6,5,-7,1,14,-3,-3,-3,-2,-3
-7,-2,6,5,-7,1,19,6,-3,-3,-3,-4
-6,-2,5,4,-6,1,23,22,-1,-3,-2,-4
-5,-1,4,3,-5,1,26,35,0,-3,-1,-3
-4,0,4,2,-4,2,25,37,1,-2,-1,-3
-4,0,4,2,-5,2,19,28,0,-3,-1,-3
-6,-1,5,3,-6,1,13,12,-1,-3,-1,-3
-7,-2,5,4,-6,1,10,0,-2,-3,-1,-3
-6,-1,5,4,-6,2,9,-4,-2,-4,-1,-3
-5,0,5,3,-6,2,12,1,-3,-4,-1,-3
-5,0,5,3,-6,2,16,15,-3,-5,-1,-3
-6,0,5,3,-6,2,19,28,-2,-5,-1,-3
-6,0,5,3,-6,2,18,33,-3,-5,-1,-3
-6,0,5,3,-6,2,13,27,-3,-5,-2,-3
-6,-1,4,3,-5,1,7,12,-4,-5,-2,-3
-5,-1,3,3,-4,0,4,-1,-5,-5,-1,-3
-4,-1,2,3,-3,0,4,-7,-5,-5,-1,-3
-3,-1,1,2,-3,0,7,-4,-5,-6,-2,-3
-2,-1,1,2,-2,0,12,8,-6,-6,-2,-3
-2,-1,1,1,-1,0,15,21,-6,-7,-3,-4
-1,-2,-1,2,0,-1,16,30,-5,-8,-3,-4
-1,-3,-2,2,0,-2,14,29,-4,-7,-2,-3
-1,-3,-2,2,0,-2,9,17,-4,-7,-2,-3
-1,-2,-1,2,0,-2,6,3,-5,-8,-2,-4
-1,-2,-1,2,0,-2,5,-6,-6,-8,-2,-4
-1,-2,-1,2,0,-2,7,-6,-6,-8,-2,-4
-2,-2,0,2,-1,-1,12,2,-6,-9,-3,-5
-3,-1,2,3,-2,0,15,16,-7,-10,-4,-6
-2,-1,2,3,-2,0,17,26,-7,-10,-4,-6
-2,-3,0,3,0,-2,16,29,-6,-10,-4,-6
-4,-6,-2,5,0,-4,12,20,-7,-11,-4,-7
-7,-9,-2,8,-2,-5,9,6,-7,-11,-4,-7
-9,-9,0,9,-4,-4,8,-4,-7,-10,-4,-7
-9,-8,0,8,-5,-3,9,-7,-7,-10,-4,-7
-9,-8,1,9,-6,-3,13,-1,-8,-10,-5,-8
-11,-9,2,10,-7,-3,16,12,-8,-10,-5,-8
-12,-9,2,10,-7,-3,19,24,-7,-10,-5,-8
-12,-9,3,11,-8,-2,20,29,-7,-11,-5,-8
-12,-10,1,11,-7,-3,16,24,-8,-11,-6,-9
-12,-12,0,12,-6,-5,13,10,-8,-12,-6,-9
-13,-12,0,12,-6,-6,11,-2,-9,-12,-6,-9
-13,-12,1,12,-7,-5,11,-8,-9,-13,-7,-10
-12,-11,1,12,-7,-5,14,-5,-9,-13,-7,-10
-12,-11,1,11,-7,-4,17,6,-9,-13,-7,-10
-12,-10,2,11,-7,-4,19,18,-10,-13,-8,-10
-12,-10,1,11,-7,-4,20,26,-9,-12,-8,-10
-11,-11,0,11,-6,-5,19,25,-9,-12,-7,-10
-10,-11,-1,10,-4,-6,16,15,-8,-12,-7,-9
-10,-10,-1,9,-4,-5,14,1,-9,-12,-7,-9
-10,-10,0,9,-5,-4,13,-6,-9,-12,-7,-10
-12,-10,1,10,-6,-4,15,-7,-8,-12,-6,-9
-12,-10,1,11,-7,-4,18,2,-8,-12,-6,-9
-12,-11,1,12,-7,-4,20,15,-8,-12,-6,-9
-12,-12,0,12,-7,-5,22,24,-8,-12,-6,-9
-12,-11,0,12,-7,-5,22,27,-8,-12,-6,-9
-10,-9,1,9,-6,-4,20,19,-7,-12,-6,-8
-8,-7,1,7,-5,-3,18,6,-7,-12,-6,-8
-9,-7,1,8,-6,-3,17,-3,-7,-12,-6,-9
-10,-8,2,8,-7,-3,17,-6,-7,-12,-6,-9
-10,-7,3,8,-7,-2,19,-1,-7,-12,-6,-9
-10,-7,3,8,-7,-2,22,12,-6,-11,-5,-8
-9,-7,3,8,-7,-2,25,23,-6,-11,-5,-8
-9,-6,3,8,-7,-2,26,29,-5,-11,-5,-8
-9,-6,3,7,-7,-1,23,25,-6,-11,-5,-8
-9,-5,4,6,-6,-1,20,12,-6,-11,-6,-8
-8,-5,3,6,-6,-1,18,0,-7,-11,-6,-8
-8,-6,2,6,-5,-2,18,-5,-7,-11,-6,-8
-8,-6,1,7,-5,-2,20,-2,-6,-11,-5,-8
-8,-5,2,6,-5,-1,23,9,-6,-11,-5,-8
-7,-4,3,6,-6,0,25,21,-6,-11,-5,-7
-7,-4,4,6,-6,0,27,28,-6,-12,-5,-7
-7,-3,4,6,-6,0,25,27,-6,-12,-5,-7
-7,-3,4,5,-6,1,23,17,-5,-11,-5,-6
-7,-2,5,5,-6,1,22,5,-5,-11,-5,-6
-7,-2,4,4,-6,1,21,-1,-4,-11,-5,-6
-6,-2,3,4,-5,1,22,-2,-4,-10,-5,-6
-4,-2,3,3,-4,1,25,6,-4,-10,-5,-6
-4,-1,3,2,-4,1,26,18,-3,-9,-4,-6
-4,-1,4,2,-5,2,26,27,-1,-7,-2,-4
-3,0,5,1,-4,2,25,30,1,-4,1,-1
-2,1,4,0,-3,3,23,24,5,0,5,2
0,3,4,-1,-2,3,22,16,12,6,11,7
2,5,2,-4,0,3,21,12,19,13,19,14
9,8,0,-9,4,4,21,14,27,20,28,22
17,13,-4,-15,10,4,20,24,35,28,39,32
26,15,-10,-20,18,3,19,40,41,36,52,46
36,17,-18,-26,27,0,15,51,45,42,66,59
