leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
2,1,0,-1,1,0,1,1,1,0,1,1
5,4,0,-4,2,1,3,3,3,1,2,2
6,4,-1,-5,3,1,3,3,3,0,2,2
7,3,-3,-5,4,0,2,2,2,0,1,2
7,2,-4,-5,5,0,0,1,1,-1,1,1
7,2,-4,-4,5,0,0,0,1,-1,1,1
6,1,-3,-4,4,0,-1,0,1,-1,1,1
5,1,-4,-3,4,-1,-2,0,0,-1,1,1
6,1,-5,-3,5,-2,-2,-1,0,-1,0,1
6,0,-6,-3,6,-3,-3,-1,0,-2,0,1
5,-1,-7,-2,6,-4,-3,-2,-1,-3,0,1
5,-2,-6,-1,5,-4,-3,-2,-1,-3,0,1
4,-2,-6,0,4,-4,-3,-2,-1,-3,0,1
2,-4,-6,1,3,-4,-4,-2,-2,-3,-1,0
2,-4,-6,1,3,-4,-4,-2,-2,-3,-1,0
3,-2,-6,-1,4,-4,-3,-2,-1,-3,-1,0
4,0,-5,-2,5,-3,-3,-2,-1,-3,-1,0
4,-1,-5,-1,4,-3,-3,-2,-1,-3,-2,0
2,-2,-4,0,3,-3,-3,-2,-1,-3,-2,0
1,-3,-4,1,2,-4,-3,-1,-1,-3,-2,0
0,-4,-4,2,2,-4,-3,-1,-1,-4,-2,0
0,-4,-4,2,2,-4,-2,-1,-1,-4,-2,0
1,-3,-4,1,2,-4,-2,0,-1,-3,-2,0
0,-3,-2,2,1,-4,-1,0,-1,-3,-1,0
-1,-4,-2,3,0,-4,-1,0,-1,-3,-1,0
-1,-4,-2,3,0,-4,-1,0,-1,-3,-2,0
-2,-4,-3,3,0,-4,-1,-1,-1,-3,-2,0
-2,-5,-3,4,0,-4,-1,-1,-1,-3,-2,-1
-3,-6,-2,4,0,-4,-1,-1,-1,-3,-2,-1
-3,-6,-2,4,-1,-3,-1,-1,-1,-3,-2,-2
-4,-5,-1,4,-2,-3,-1,-1,-1,-3,-2,-2
-5,-5,0,5,-3,-2,0,0,-1,-3,-2,-2
-5,-6,0,5,-3,-3,0,0,-1,-3,-3,-2
-5,-7,-1,6,-2,-4,0,0,-1,-4,-3,-2
-6,-8,-1,7,-2,-5,0,0,-1,-4,-3,-2
-7,-9,-1,8,-3,-5,0,0,-1,-4,-3,-1
-7,-9,-2,8,-2,-5,0,0,-1,-4,-3,-1
-7,-9,-2,8,-2,-5,-1,0,-1,-5,-3,-1
-7,-10,-2,9,-2,-5,-1,0,-1,-5,-4,-1
-8,-10,-2,9,-2,-6,-2,0,-1,-5,-4,-1
-8,-10,-2,9,-2,-6,-2,0,-1,-5,-4,-1
-7,-9,-1,9,-2,-5,-1,0,-1,-5,-4,-1
-7,-9,-2,8,-2,-5,-1,0,-1,-5,-4,-2
-7,-9,-2,8,-2,-5,-1,0,-1,-5,-4,-2
-5,-7,-1,6,-1,-4,-1,0,-1,-4,-3,-1
-3,-5,-1,4,-1,-3,-1,0,0,-3,-2,0
-4,-6,-1,5,-1,-3,-2,0,-1,-4,-3,-1
-6,-9,-2,7,-1,-5,-4,-1,-2,-5,-4,-3
-7,-12,-3,9,-2,-7,-5,-2,-3,-7,-6,-5
-8,-13,-4,11,-2,-8,-5,-2,-3,-8,-7,-6
-6,-11,-4,9,0,-8,-5,-1,-3,-7,-6,-5
-3,-8,-4,6,0,-6,-3,0,-1,-5,-4,-4
-3,-6,-3,5,0,-4,-2,1,0,-4,-3,-2
-5,-7,-2,6,-2,-4,-2,1,0,-3,-3,-2
-9,-8,0,8,-4,-4,-1,1,0,-4,-3,-2
-12,-11,1,11,-7,-4,-1,1,0,-4,-3,-2
-13,-12,1,13,-7,-5,-1,1,0,-4,-3,-2
-9,-10,0,10,-4,-5,-1,1,0,-4,-3,-2
-4,-7,-2,6,-1,-4,-1,2,0,-4,-2,-1
-2,-5,-2,4,0,-3,0,2,1,-4,-2,-1
-4,-6,-2,4,-1,-3,0,2,1,-4,-2,0
-6,-6,-1,5,-2,-3,0,2,1,-3,-2,0
-6,-6,-1,5,-3,-3,0,2,1,-3,-1,0
-5,-6,-1,5,-2,-3,-1,2,1,-3,-1,0
-5,-6,-2,5,-1,-3,-2,2,1,-3,-1,0
-5,-7,-2,5,0,-4,-2,1,1,-3,-1,0
-5,-7,-2,6,0,-4,-3,1,0,-3,-2,0
-6,-9,-3,8,-1,-5,-4,0,0,-4,-3,-1
-10,-13,-3,12,-3,-7,-5,0,-2,-6,-4,-2
-12,-16,-3,14,-5,-9,-6,-1,-3,-7,-5,-3
