leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
6,5,-1,-5,3,2,-2,-2,4,1,2,-3
15,13,-2,-14,8,5,-7,-5,11,2,4,-8
20,17,-2,-19,11,7,-9,-8,15,2,6,-12
22,20,-2,-21,12,9,-11,-10,18,1,6,-14
23,21,-1,-22,12,10,-13,-12,19,1,6,-16
25,23,-2,-24,13,11,-13,-12,20,1,6,-16
27,25,-3,-26,15,11,-12,-13,21,2,6,-15
29,25,-4,-27,16,11,-12,-13,21,3,6,-14
29,23,-5,-26,17,10,-11,-13,21,3,6,-14
28,22,-6,-25,17,9,-11,-12,21,2,6,-15
27,22,-5,-24,16,9,-10,-12,22,2,6,-15
25,22,-3,-23,14,10,-10,-12,21,1,5,-16
24,22,-2,-23,13,10,-11,-12,20,0,4,-17
25,23,-1,-24,13,11,-10,-13,20,0,4,-17
25,25,0,-25,13,12,-9,-12,21,1,5,-15
25,25,0,-25,12,13,-8,-11,22,3,6,-13
25,24,0,-24,13,12,-7,-11,22,3,6,-13
26,23,-2,-24,14,11,-7,-11,22,2,6,-14
28,23,-4,-25,16,10,-8,-11,22,1,6,-15
29,24,-4,-26,17,10,-8,-11,22,1,6,-15
28,24,-4,-26,16,11,-9,-11,21,0,6,-15
27,25,-2,-26,15,11,-9,-11,21,0,6,-15
26,25,-1,-25,14,11,-10,-11,21,1,6,-15
26,24,-2,-24,14,11,-10,-11,21,2,6,-14
25,22,-3,-23,14,9,-10,-11,21,2,6,-14
25,20,-4,-22,14,8,-10,-11,21,2,6,-14
24,19,-4,-22,14,8,-10,-11,21,1,6,-14
25,20,-4,-22,14,8,-11,-11,21,0,5,-15
25,21,-4,-23,14,8,-11,-11,20,0,5,-16
25,21,-4,-24,15,8,-11,-11,20,0,5,-16
25,22,-4,-24,15,8,-11,-11,20,0,5,-15
24,21,-4,-22,14,8,-12,-11,20,0,5,-15
22,19,-3,-21,13,8,-12,-11,20,1,5,-14
21,19,-2,-20,11,9,-12,-11,20,1,6,-14
21,20,-1,-20,11,10,-12,-11,20,1,6,-14
23,21,-1,-21,12,10,-12,-11,20,0,6,-14
24,21,-1,-22,13,10,-12,-11,20,0,6,-13
23,21,-1,-22,13,10,-12,-11,20,0,7,-13
24,21,-2,-22,13,9,-13,-11,20,0,7,-13
24,21,-3,-23,14,9,-14,-11,20,0,6,-13
24,21,-4,-23,14,9,-14,-11,19,0,6,-13
24,20,-4,-22,14,9,-15,-11,19,0,6,-13
24,20,-4,-22,14,8,-15,-11,19,0,6,-13
24,18,-5,-21,14,6,-15,-11,19,0,7,-13
24,17,-6,-21,15,5,-15,-11,19,-1,7,-13
24,18,-5,-21,15,6,-15,-11,19,-1,6,-13
23,19,-4,-21,14,7,-15,-11,18,-1,6,-14
21,19,-3,-20,12,8,-15,-11,18,-1,6,-14
19,20,0,-20,10,10,-14,-10,19,0,7,-13
19,20,0,-19,9,11,-13,-10,19,0,8,-12
20,20,0,-19,10,10,-14,-10,18,-1,7,-13
21,20,-1,-20,10,10,-14,-11,18,-2,7,-14
20,20,0,-20,10,10,-14,-11,18,-1,7,-13
21,19,-1,-20,11,9,-13,-10,19,-1,7,-13
22,19,-2,-20,12,8,-13,-10,19,-1,7,-13
21,19,-2,-20,12,8,-13,-10,18,-1,7,-13
21,19,-2,-20,12,8,-13,-10,17,-1,7,-13
21,18,-2,-20,12,8,-13,-10,17,-2,7,-13
21,18,-3,-19,12,7,-12,-10,16,-2,7,-13
20,17,-3,-19,11,7,-12,-10,16,-2,7,-13
20,17,-3,-19,11,7,-12,-10,16,-2,7,-13
20,16,-4,-18,11,6,-12,-11,16,-2,6,-13
19,15,-4,-17,11,6,-12,-11,15,-3,6,-13
18,14,-4,-16,11,5,-12,-11,15,-3,5,-13
18,14,-5,-16,12,5,-12,-11,14,-3,5,-13
19,15,-4,-17,12,5,-12,-11,14,-3,6,-13
20,17,-3,-18,11,7,-12,-11,14,-3,6,-12
20,18,-2,-18,11,7,-12,-11,14,-3,6,-12
20,17,-3,-18,11,6,-11,-11,14,-3,6,-12
20,15,-4,-17,12,5,-11,-10,15,-2,7,-12
19,15,-4,-16,11,5,-10,-9,15,-2,7,-11
17,16,-2,-16,10,7,-9,-9,15,-2,7,-11
17,16,-1,-16,9,7,-9,-9,14,-2,6,-11
17,15,-2,-16,10,7,-9,-10,13,-3,6,-11
18,15,-3,-16,11,6,-9,-10,12,-3,6,-12
19,15,-4,-16,11,5,-9,-10,12,-3,6,-12
19,15,-4,-17,11,6,-9,-10,12,-3,6,-13
20,15,-4,-18,12,5,-9,-10,13,-3,6,-13
19,15,-4,-18,11,6,-9,-10,13,-2,6,-13
17,16,-1,-17,9,8,-10,-10,13,-2,6,-13
16,17,1,-16,7,9,-10,-10,12,-3,6,-13
16,17,0,-16,8,9,-10,-9,12,-3,6,-12
16,16,0,-16,8,8,-10,-9,12,-2,6,-11
16,15,-1,-15,8,7,-10,-9,12,-2,6,-11
15,15,-2,-15,8,6,-10,-9,11,-3,5,-11
15,14,-2,-15,8,6,-11,-9,10,-4,4,-11
16,14,-2,-15,8,6,-11,-10,9,-5,3,-12
17,15,-2,-16,9,6,-12,-10,9,-5,3,-12
18,15,-3,-16,9,6,-11,-10,9,-5,3,-11
17,15,-3,-16,10,6,-11,-10,9,-5,4,-11
16,13,-3,-14,9,5,-11,-10,9,-5,4,-11
14,12,-2,-13,8,5,-10,-10,9,-4,5,-11
13,12,-1,-12,7,5,-10,-10,9,-4,5,-10
12,12,0,-12,6,6,-10,-10,8,-4,4,-11
12,13,0,-13,5,7,-10,-10,8,-5,4,-11
13,12,0,-13,6,6,-10,-9,8,-4,4,-10
13,12,-1,-13,7,5,-10,-9,8,-4,4,-10
14,13,-2,-13,8,5,-10,-9,8,-4,4,-10
14,12,-2,-13,8,5,-9,-8,8,-4,4,-10
14,12,-2,-13,8,5,-8,-8,8,-4,4,-10
15,11,-4,-13,10,4,-9,-9,7,-5,3,-10
16,10,-6,-13,11,2,-9,-10,6,-5,2,-11
15,10,-5,-13,10,2,-9,-10,6,-5,2,-11
13,10,-3,-12,8,3,-9,-10,6,-5,2,-10
13,10,-3,-12,8,4,-8,-9,7,-5,2,-10
13,10,-2,-12,8,4,-8,-10,6,-5,2,-10
13,11,-1,-12,7,5,-8,-10,6,-6,2,-10
12,11,0,-12,6,6,-8,-9,6,-6,2,-10
10,11,1,-11,4,7,-8,-9,6,-6,2,-10
9,11,1,-10,4,7,-8,-9,5,-6,2,-10
10,11,1,-10,4,6,-8,-9,5,-6,2,-10
10,11,0,-11,5,6,-8,-9,5,-6,2,-10
11,11,0,-11,6,5,-8,-9,5,-6,2,-9
12,10,-2,-11,7,4,-7,-9,5,-6,2,-9
11,9,-3,-10,7,3,-7,-9,4,-7,1,-10
10,9,-2,-10,6,4,-8,-10,3,-8,1,-10
10,10,0,-10,5,5,-7,-9,3,-7,1,-10
10,11,0,-11,5,6,-7,-9,3,-7,1,-10
11,12,0,-11,5,6,-7,-9,3,-7,1,-10
12,12,-1,-11,6,6,-7,-9,3,-6,1,-9
12,11,-2,-11,6,5,-7,-9,3,-6,1,-9
11,10,-2,-10,6,4,-6,-9,3,-6,1,-9
11,9,-2,-10,6,3,-6,-9,2,-6,1,-9
11,9,-2,-10,6,3,-6,-9,2,-7,1,-9
11,9,-2,-10,6,4,-6,-9,1,-7,1,-9
11,9,-2,-10,6,4,-6,-9,1,-7,1,-9
11,9,-2,-10,6,4,-6,-9,1,-7,1,-9
10,8,-2,-9,6,3,-6,-9,1,-7,1,-9
9,8,-1,-9,5,3,-6,-9,1,-7,1,-9
9,8,-1,-9,5,3,-6,-9,1,-7,1,-9
10,9,-1,-10,6,3,-6,-9,1,-7,1,-9
11,9,-1,-10,6,3,-6,-9,0,-7,0,-9
10,9,0,-9,5,4,-6,-9,0,-8,0,-9
9,8,-1,-8,4,3,-6,-9,0,-8,0,-9
9,6,-3,-7,6,1,-6,-9,-1,-8,0,-9
10,5,-5,-7,7,0,-6,-9,-1,-8,0,-9
9,5,-4,-7,6,0,-6,-9,-1,-8,0,-9
9,5,-3,-7,6,1,-6,-9,-1,-8,0,-9
8,6,-2,-7,5,2,-6,-9,-1,-8,0,-9
8,7,-1,-7,5,3,-6,-9,-1,-9,0,-9
7,6,0,-7,4,3,-6,-8,-1,-9,0,-9
6,6,0,-6,4,3,-5,-8,-1,-8,0,-9
7,7,0,-7,4,3,-5,-7,-1,-8,0,-9
8,8,0,-8,4,4,-5,-7,-1,-8,0,-9
9,8,-1,-9,5,3,-5,-7,-1,-8,0,-8
9,7,-2,-8,5,2,-5,-7,-1,-8,0,-8
8,7,-1,-8,4,3,-5,-8,-2,-8,0,-8
7,7,1,-7,2,4,-5,-8,-3,-9,0,-8
6,6,1,-6,2,3,-5,-8,-3,-8,0,-7
7,6,0,-6,3,3,-5,-7,-3,-8,0,-7
7,7,0,-6,4,3,-6,-7,-3,-8,0,-8
6,6,0,-5,3,3,-6,-7,-3,-9,-1,-8
5,6,0,-5,2,3,-6,-7,-3,-10,-2,-8
5,6,0,-5,2,3,-6,-7,-3,-9,-2,-8
6,5,-1,-5,3,2,-6,-8,-4,-9,-2,-8
7,4,-2,-5,4,1,-6,-8,-4,-10,-1,-9
5,3,-1,-3,3,0,-6,-8,-4,-10,-1,-8
3,3,0,-2,2,1,-5,-7,-4,-9,0,-8
4,3,0,-3,2,1,-5,-7,-3,-9,0,-7
6,5,-1,-6,4,2,-5,-6,-3,-9,0,-7
7,8,-1,-8,4,3,-5,-6,-3,-9,0,-7
7,7,-1,-8,4,3,-5,-6,-3,-9,-1,-7
6,4,-2,-5,4,1,-4,-6,-4,-9,-1,-7
5,2,-3,-4,4,0,-5,-6,-4,-9,-2,-7
5,2,-2,-3,4,0,-5,-6,-4,-9,-2,-7
4,3,-1,-3,3,0,-4,-5,-4,-8,-1,-6
5,3,-1,-4,3,0,-3,-5,-3,-8,0,-6
5,4,-1,-4,3,1,-3,-5,-3,-9,0,-6
5,4,-1,-5,3,1,-3,-5,-3,-9,0,-6
5,5,0,-5,2,2,-3,-5,-3,-9,0,-6
5,5,0,-5,2,3,-3,-5,-3,-9,0,-6
4,4,0,-4,2,2,-3,-5,-3,-9,0,-6
4,3,0,-4,2,2,-3,-5,-3,-9,0,-6
4,3,0,-4,2,2,-3,-5,-3,-9,0,-6
3,3,0,-3,2,1,-2,-5,-3,-9,-1,-6
3,2,-1,-3,2,0,-2,-5,-4,-9,-1,-6
3,2,-1,-3,2,0,-2,-5,-4,-10,-1,-7
2,2,0,-2,1,1,-2,-5,-5,-10,-1,-6
2,2,0,-2,1,1,-2,-5,-5,-9,-1,-5
3,2,-1,-3,2,1,-2,-5,-5,-9,-1,-5
3,2,-1,-3,2,1,-2,-6,-6,-10,-2,-6
3,2,-1,-2,2,1,-2,-6,-6,-10,-2,-6
4,2,-2,-2,3,0,-2,-6,-6,-11,-2,-6
4,2,-2,-3,4,0,-2,-6,-7,-11,-2,-6
4,1,-3,-2,4,-1,-2,-7,-7,-11,-2,-6
4,0,-3,-2,3,-1,-2,-7,-7,-11,-2,-6
4,1,-3,-3,3,0,-2,-6,-7,-11,-2,-6
6,2,-2,-4,4,0,-2,-6,-7,-11,-2,-6
6,3,-2,-4,4,0,-2,-6,-7,-11,-2,-6
5,3,-2,-4,3,0,-2,-6,-7,-10,-2,-6
4,2,-1,-3,2,0,-1,-5,-6,-10,-1,-5
2,2,0,-2,1,1,-1,-5,-6,-10,-1,-5
1,3,1,-2,0,2,-1,-5,-7,-10,-2,-5
0,3,3,-1,-1,3,-1,-5,-7,-10,-3,-5
0,2,3,-1,-1,2,-1,-5,-8,-10,-3,-5
-1,1,2,0,-1,1,-1,-5,-8,-10,-3,-5
0,0,1,0,-1,0,-1,-5,-8,-10,-3,-5
1,0,-1,0,1,0,-1,-5,-8,-10,-3,-5
4,2,-2,-2,2,0,-1,-5,-8,-10,-3,-5
4,3,-1,-3,3,1,-1,-5,-8,-10,-2,-5
3,3,0,-3,2,1,-1,-5,-8,-10,-2,-4
2,1,-1,-2,2,0,-1,-5,-8,-10,-3,-5
2,-1,-2,-1,3,-1,-1,-6,-9,-11,-3,-5
2,0,-1,-1,2,-1,-1,-6,-9,-11,-3,-5
1,1,1,-1,0,0,0,-5,-8,-10,-2,-5
0,2,2,-1,0,2,0,-4,-7,-9,-1,-4
0,3,3,-2,-1,2,0,-4,-8,-10,-1,-4
0,3,2,-2,0,2,-1,-4,-8,-10,-2,-5
1,2,0,-2,1,1,-1,-5,-9,-11,-3,-5
2,1,-1,-2,2,0,-1,-5,-9,-12,-3,-5
2,2,-1,-2,2,0,-1,-4,-9,-12,-2,-4
2,3,1,-2,0,2,0,-4,-9,-11,-2,-4
0,2,3,-1,-1,3,0,-4,-9,-11,-2,-4
-1,1,2,0,-1,2,0,-4,-9,-12,-2,-4
0,0,0,1,0,0,-1,-5,-10,-13,-3,-5
0,0,-2,1,1,-1,-2,-5,-11,-13,-4,-5
1,0,-3,0,2,-1,-2,-6,-11,-14,-4,-5
2,0,-3,-1,3,-1,-2,-6,-11,-14,-4,-5
2,0,-4,-1,3,-2,-2,-5,-11,-14,-4,-5
2,-1,-3,0,3,-2,-2,-5,-10,-13,-4,-5
1,-1,-1,0,2,-1,-2,-5,-10,-13,-4,-5
2,0,0,0,1,0,-2,-5,-10,-13,-4,-5
2,0,0,0,1,0,-2,-5,-10,-13,-4,-5
1,0,0,0,1,0,-1,-4,-9,-13,-4,-5
0,0,0,0,0,0,0,-3,-9,-12,-3,-5
-2,-1,0,2,-1,0,0,-3,-8,-12,-3,-4
-3,0,1,2,-2,0,0,-3,-9,-12,-3,-5
-3,0,2,1,-2,1,-1,-3,-9,-12,-3,-5
-2,0,1,1,0,0,-1,-3,-10,-12,-3,-4
0,-1,-1,1,1,-1,-1,-4,-10,-13,-3,-4
0,-2,-2,1,1,-2,-1,-4,-10,-13,-4,-5
0,-2,-2,2,1,-3,-1,-4,-10,-13,-4,-4
-1,-2,-2,2,1,-2,-1,-4,-10,-12,-3,-4
-1,-2,-2,2,1,-2,-1,-4,-10,-12,-3,-4
-2,-2,-2,2,1,-2,-1,-4,-10,-13,-4,-4
-2,-3,-3,3,0,-3,0,-3,-9,-13,-3,-3
-2,-3,-2,3,0,-3,0,-3,-9,-13,-3,-3
-1,-1,-1,2,0,-1,-1,-3,-9,-13,-4,-4
-1,0,0,1,0,-1,-1,-3,-10,-13,-4,-4
-1,-1,-1,2,0,-1,-2,-4,-10,-13,-5,-5
0,-1,-2,2,1,-2,-2,-4,-10,-13,-5,-5
0,-1,-3,1,2,-2,-2,-4,-10,-13,-5,-6
2,0,-3,-1,3,-2,-2,-4,-11,-13,-5,-6
3,1,-3,-2,3,-1,-2,-5,-11,-14,-6,-6
1,0,-1,-1,2,0,-2,-5,-10,-14,-6,-5
-1,-1,0,1,0,0,-2,-4,-10,-13,-5,-5
-3,-2,1,3,-1,0,-1,-4,-9,-13,-5,-5
-4,-2,1,4,-2,0,-1,-3,-9,-13,-4,-4
-4,-2,1,3,-3,0,-1,-3,-9,-13,-4,-4
-3,-1,1,2,-2,0,-1,-3,-9,-13,-5,-4
-2,-2,0,2,0,-1,-1,-4,-10,-13,-5,-4
-1,-2,-2,1,1,-2,-2,-5,-11,-14,-6,-5
0,-1,-2,0,1,-2,-2,-5,-11,-14,-6,-6
0,-1,-1,0,1,-1,-1,-4,-10,-13,-5,-5
-1,0,0,1,0,-1,-1,-3,-9,-13,-4,-4
1,0,-1,0,2,-1,-1,-3,-9,-13,-4,-5
2,1,-2,-1,3,0,-1,-3,-9,-14,-4,-5
1,1,0,0,1,0,-1,-3,-9,-14,-4,-5
-2,0,1,1,-2,1,-1,-3,-9,-13,-4,-5
-4,0,2,2,-3,1,-1,-3,-9,-14,-4,-5
-4,0,2,2,-3,1,-1,-3,-9,-14,-4,-6
-4,-1,1,2,-3,0,-1,-3,-9,-14,-4,-6
-4,-2,0,3,-2,-1,-2,-4,-9,-15,-5,-6
-3,-3,0,3,-1,-2,-2,-4,-9,-16,-5,-7
-2,-2,0,2,0,-2,-2,-4,-9,-16,-5,-6
-1,-1,-1,1,0,-1,-2,-4,-9,-16,-5,-6
