leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,1,1,-1,0,1,0,1,2,2,3,2
1,4,2,-2,0,3,-1,2,5,6,7,4
1,5,3,-3,0,4,-2,3,6,8,10,6
1,5,3,-3,0,5,-2,4,7,9,11,6
1,5,4,-3,0,5,-1,4,8,9,11,6
1,5,4,-3,-1,5,-1,4,8,9,11,6
0,4,4,-2,-1,4,0,3,7,9,10,5
0,4,4,-1,-2,4,0,3,6,8,9,4
-1,3,4,0,-2,4,0,3,5,7,8,3
-2,2,4,0,-2,3,1,2,4,6,7,2
-2,1,3,1,-2,3,1,2,3,5,5,1
-3,1,3,1,-2,2,2,2,2,4,4,0
-3,0,3,2,-3,2,2,1,1,3,3,0
-4,-1,3,3,-3,1,3,1,0,2,2,-1
-5,-1,3,4,-3,1,3,1,0,1,1,-2
-6,-2,2,4,-3,0,4,0,-1,0,0,-2
-6,-2,2,4,-4,0,4,0,-2,-1,0,-3
-7,-3,2,5,-4,0,5,0,-3,-2,-2,-4
-8,-4,2,6,-5,0,5,-1,-4,-4,-3,-5
-9,-5,2,7,-5,-1,5,-1,-5,-5,-4,-6
-9,-6,2,8,-5,-1,5,-2,-6,-6,-4,-7
-9,-6,2,8,-5,-1,5,-2,-7,-6,-5,-7
-10,-6,2,9,-5,-1,6,-2,-7,-7,-5,-7
-10,-6,2,9,-5,-1,6,-2,-8,-7,-6,-8
-9,-6,2,9,-5,-1,6,-2,-8,-7,-6,-8
-9,-6,2,8,-5,-1,6,-3,-8,-8,-7,-8
-9,-7,2,8,-5,-2,6,-3,-9,-8,-7,-9
-9,-7,1,8,-5,-2,7,-3,-10,-9,-8,-9
-9,-7,1,8,-5,-2,7,-3,-10,-9,-8,-9
-9,-7,1,8,-5,-2,7,-3,-11,-9,-9,-10
-10,-8,1,9,-5,-3,7,-3,-11,-9,-9,-10
-10,-8,1,9,-5,-3,7,-3,-11,-10,-9,-10
-11,-9,1,10,-5,-3,7,-3,-11,-10,-10,-10
-11,-9,1,10,-6,-3,7,-3,-11,-11,-10,-10
-11,-10,1,11,-6,-3,7,-3,-12,-11,-11,-11
-11,-10,1,11,-6,-3,7,-3,-12,-11,-11,-11
-11,-10,1,11,-6,-3,7,-3,-12,-11,-11,-11
-11,-10,1,11,-6,-3,7,-3,-12,-11,-11,-11
-11,-10,1,11,-6,-3,7,-3,-12,-11,-11,-11
-11,-10,1,11,-6,-3,7,-3,-12,-11,-11,-11
-11,-10,0,11,-6,-3,7,-3,-12,-11,-11,-11
-11,-10,0,11,-6,-4,7,-3,-12,-11,-11,-11
-11,-10,0,11,-6,-4,7,-3,-12,-11,-11,-11
-11,-10,0,11,-5,-4,7,-3,-12,-11,-11,-10
-11,-10,0,10,-5,-4,7,-2,-11,-11,-11,-10
-10,-10,0,10,-5,-4,7,-2,-11,-11,-11,-10
-10,-10,0,10,-5,-4,8,-2,-11,-11,-11,-10
-10,-10,0,10,-5,-4,8,-2,-11,-11,-11,-10
-10,-9,0,9,-5,-4,8,-1,-11,-11,-10,-10
-9,-8,0,9,-5,-3,8,-1,-11,-10,-10,-10
-9,-8,0,9,-5,-3,8,-1,-11,-10,-10,-10
-9,-8,0,9,-5,-3,8,-1,-10,-10,-10,-10
-9,-8,0,9,-5,-3,8,-1,-10,-10,-10,-10
-9,-9,0,9,-5,-4,7,-1,-10,-10,-10,-10
-9,-9,0,9,-5,-4,7,-1,-10,-10,-10,-10
-9,-10,0,10,-5,-4,7,-1,-10,-10,-10,-10
-9,-9,0,10,-5,-4,7,-1,-9,-9,-10,-10
-9,-9,0,9,-5,-4,7,-2,-9,-9,-10,-10
-9,-9,0,9,-5,-4,7,-2,-9,-9,-9,-9
-9,-9,0,9,-5,-4,7,-2,-9,-9,-9,-9
-9,-9,0,9,-5,-4,7,-2,-9,-9,-9,-8
-9,-9,0,9,-5,-4,7,-2,-8,-9,-9,-8
-9,-9,0,9,-5,-4,7,-2,-8,-9,-9,-9
-9,-9,0,9,-5,-4,7,-2,-8,-9,-9,-9
-9,-9,0,9,-5,-4,7,-2,-8,-9,-9,-10
-9,-9,0,9,-5,-4,6,-2,-8,-9,-9,-11
-9,-9,0,9,-5,-4,6,-2,-8,-9,-9,-12
-9,-9,0,9,-5,-4,6,-2,-8,-9,-9,-12
-9,-9,0,9,-4,-4,6,-2,-8,-9,-9,-13
-8,-9,0,9,-4,-4,6,-1,-7,-8,-9,-13
-8,-9,0,9,-4,-4,6,-1,-7,-8,-9,-14
-9,-9,0,9,-4,-4,6,0,-7,-8,-9,-14
-9,-9,0,9,-4,-4,6,0,-7,-8,-9,-14
-9,-9,0,9,-4,-4,6,0,-7,-8,-9,-14
-9,-9,0,9,-4,-4,6,0,-7,-8,-9,-14
-9,-8,0,9,-4,-4,6,0,-7,-8,-9,-14
-9,-8,0,9,-4,-4,6,0,-7,-8,-9,-14
-9,-8,0,9,-4,-4,6,0,-7,-8,-9,-14
-9,-8,0,9,-4,-4,6,0,-7,-8,-9,-14
-9,-8,0,8,-4,-4,6,0,-7,-8,-9,-14
-8,-8,0,8,-4,-4,6,0,-8,-8,-9,-14
-8,-8,0,8,-4,-4,6,0,-8,-8,-9,-14
-8,-8,0,8,-4,-4,6,0,-9,-8,-9,-14
-8,-8,0,8,-4,-4,6,0,-9,-8,-9,-14
-8,-8,0,8,-4,-4,6,0,-9,-8,-9,-14
-8,-8,0,8,-4,-4,6,0,-9,-8,-9,-14
-8,-8,0,8,-4,-4,6,0,-9,-8,-9,-14
-8,-8,0,8,-4,-4,6,0,-9,-9,-9,-14
-8,-9,0,8,-4,-5,6,0,-9,-9,-9,-14
-8,-9,0,9,-4,-5,6,0,-9,-9,-9,-15
-8,-9,0,9,-4,-5,6,-1,-10,-9,-9,-15
-8,-9,0,9,-4,-5,6,-1,-10,-9,-9,-15
-8,-9,-1,9,-4,-5,6,-1,-10,-9,-9,-16
-9,-9,-1,9,-4,-5,6,-1,-10,-10,-10,-16
-9,-10,-1,9,-4,-6,6,-1,-10,-10,-10,-16
-10,-10,-1,9,-5,-6,6,-2,-11,-10,-10,-16
-10,-10,-1,9,-5,-6,6,-2,-11,-10,-10,-16
-9,-9,-1,9,-4,-5,6,-2,-11,-10,-10,-17
-8,-8,-1,8,-4,-5,6,-2,-11,-10,-10,-17
-8,-8,-1,8,-4,-5,6,-2,-11,-10,-10,-17
-8,-8,-1,8,-4,-5,6,-2,-11,-10,-10,-17
-8,-8,-1,8,-4,-5,6,-2,-11,-10,-10,-17
-7,-8,-1,8,-4,-5,6,-2,-11,-10,-10,-17
-7,-8,-1,8,-4,-5,6,-2,-11,-10,-10,-16
-7,-9,-1,8,-4,-5,6,-2,-11,-10,-10,-16
-8,-9,-1,8,-4,-6,6,-2,-11,-11,-10,-16
-8,-9,-1,8,-4,-6,5,-2,-11,-11,-10,-17
-8,-9,-1,8,-4,-6,5,-2,-11,-11,-10,-17
-8,-9,-1,8,-4,-6,5,-2,-11,-11,-11,-17
-8,-9,-1,8,-4,-6,5,-3,-11,-11,-11,-17
-8,-8,-1,8,-4,-6,6,-3,-11,-11,-11,-17
-8,-8,0,7,-4,-5,6,-3,-11,-11,-11,-17
-9,-7,0,8,-5,-5,6,-3,-11,-10,-11,-17
-9,-7,1,8,-5,-4,6,-3,-10,-10,-11,-17
-9,-7,1,8,-6,-4,6,-3,-10,-10,-11,-16
-8,-6,2,7,-6,-3,6,-3,-9,-10,-10,-16
-7,-5,2,6,-5,-2,5,-3,-9,-9,-10,-15
-6,-4,2,5,-5,-2,5,-3,-9,-9,-9,-15
-7,-4,2,6,-6,-2,4,-4,-9,-9,-9,-15
-7,-5,2,6,-6,-2,4,-4,-9,-9,-9,-15
-7,-5,2,6,-6,-2,3,-4,-9,-9,-9,-15
-7,-5,2,6,-6,-2,3,-4,-9,-9,-9,-15
-7,-4,2,6,-6,-2,3,-4,-9,-10,-9,-15
-7,-4,2,6,-6,-2,2,-5,-9,-10,-9,-14
-7,-3,3,5,-6,-1,2,-5,-10,-10,-9,-14
-7,-3,3,5,-6,-1,1,-5,-10,-9,-9,-14
-7,-2,4,5,-6,-1,1,-5,-11,-9,-9,-14
-7,-2,4,5,-6,0,0,-6,-11,-9,-9,-14
-6,-2,4,5,-6,0,0,-6,-11,-9,-9,-14
-6,-1,4,4,-6,0,0,-6,-11,-9,-9,-14
-5,-1,4,4,-6,1,0,-6,-11,-9,-9,-13
-5,-1,4,4,-5,1,0,-6,-11,-9,-9,-13
-5,-1,3,4,-5,0,0,-6,-11,-9,-9,-13
-4,-1,3,4,-5,0,0,-6,-12,-9,-9,-13
-4,-1,2,3,-4,0,0,-6,-12,-9,-9,-13
-3,-1,2,3,-4,0,0,-6,-12,-9,-9,-13
-3,-1,2,3,-4,0,0,-6,-12,-9,-9,-13
-3,-1,2,3,-4,0,-1,-6,-12,-9,-9,-13
-3,-1,2,3,-4,0,-1,-6,-12,-9,-9,-13
-3,-1,2,2,-4,0,-1,-6,-12,-9,-9,-13
-3,-1,2,2,-4,0,-1,-6,-12,-9,-9,-12
-3,-1,1,2,-3,-1,-1,-6,-12,-9,-9,-12
-3,-2,1,3,-3,-1,-1,-6,-12,-9,-9,-12
-3,-3,0,3,-3,-2,0,-5,-12,-9,-9,-12
-4,-3,0,4,-3,-3,0,-5,-12,-9,-9,-12
-4,-4,0,5,-3,-3,0,-4,-12,-9,-10,-12
-5,-5,0,6,-4,-3,1,-4,-12,-9,-10,-13
-6,-6,0,6,-4,-4,1,-3,-12,-10,-10,-13
-7,-7,0,7,-4,-4,1,-3,-13,-10,-10,-14
-7,-7,-1,7,-4,-5,1,-3,-13,-10,-11,-14
-7,-8,-1,8,-4,-5,2,-3,-13,-11,-11,-15
-7,-8,-1,8,-4,-5,2,-3,-14,-11,-11,-15
-7,-9,-1,8,-4,-6,2,-3,-14,-12,-12,-15
-8,-9,-1,9,-4,-6,2,-3,-15,-12,-12,-16
-8,-9,-2,9,-4,-6,2,-3,-15,-13,-13,-16
-8,-9,-2,9,-4,-7,2,-3,-15,-13,-13,-17
-8,-10,-3,9,-3,-7,2,-3,-15,-13,-13,-17
-8,-10,-3,10,-3,-7,2,-4,-15,-14,-13,-17
-8,-11,-3,10,-3,-7,2,-4,-16,-14,-13,-17
-8,-11,-3,10,-3,-8,2,-4,-16,-14,-13,-17
-8,-12,-3,11,-3,-8,2,-4,-16,-14,-14,-17
-9,-12,-3,11,-4,-8,3,-4,-16,-14,-14,-17
-9,-12,-3,11,-4,-8,3,-4,-16,-14,-14,-17
-8,-11,-3,10,-4,-8,4,-4,-16,-14,-14,-17
-8,-12,-3,10,-4,-8,4,-4,-16,-14,-14,-17
-9,-12,-3,11,-4,-8,4,-4,-16,-14,-14,-17
-9,-13,-3,11,-4,-8,4,-4,-16,-14,-14,-17
-9,-13,-3,11,-4,-8,4,-4,-15,-14,-14,-17
-9,-12,-3,11,-4,-8,4,-4,-15,-14,-14,-17
-9,-12,-3,11,-4,-9,4,-4,-15,-15,-14,-17
-9,-12,-3,11,-4,-9,4,-4,-15,-15,-14,-17
-9,-12,-3,11,-4,-9,4,-4,-15,-15,-14,-17
-9,-12,-3,11,-4,-9,4,-4,-15,-15,-14,-17
-9,-12,-3,11,-4,-9,4,-4,-15,-15,-14,-17
-9,-12,-3,11,-4,-8,5,-4,-14,-15,-14,-17
-9,-12,-3,11,-4,-8,5,-4,-14,-15,-14,-17
-9,-12,-3,11,-4,-8,5,-4,-14,-14,-14,-17
-9,-12,-3,11,-4,-8,5,-4,-14,-14,-14,-17
-9,-12,-3,11,-4,-8,5,-4,-14,-14,-14,-17
-9,-12,-3,11,-4,-8,5,-4,-14,-14,-14,-17
-9,-12,-3,11,-4,-8,5,-4,-14,-14,-14,-17
-9,-13,-3,11,-4,-8,5,-4,-14,-14,-14,-17
-10,-13,-3,11,-4,-8,5,-4,-14,-14,-14,-17
-10,-13,-2,11,-4,-8,5,-4,-14,-14,-14,-17
-10,-12,-2,11,-5,-7,5,-3,-14,-14,-14,-17
-11,-12,-1,12,-6,-7,6,-2,-13,-14,-14,-17
-12,-11,0,12,-7,-6,8,0,-11,-13,-15,-18
-13,-10,2,11,-9,-5,11,3,-9,-12,-15,-19
-13,-8,4,10,-10,-3,13,7,-5,-10,-14,-18
-12,-6,5,9,-10,-1,14,11,1,-5,-10,-17
-9,-4,5,6,-9,0,15,17,11,4,-4,-14
-5,-1,3,3,-6,0,16,24,23,15,4,-9
1,2,1,-1,-2,1,16,32,38,29,14,-3
8,7,0,-7,2,2,15,39,53,44,27,4
15,13,-1,-14,7,4,13,44,67,61,41,14
23,20,-1,-21,10,8,9,44,77,77,56,24
29,28,0,-28,13,13,3,37,80,91,71,35
33,36,3,-35,14,19,-4,23,75,102,84,45
37,45,7,-41,14,25,-12,5,65,110,95,55
40,54,12,-47,13,33,-21,-15,52,116,105,63
43,60,16,-51,12,38,-30,-35,35,116,110,69
45,60,14,-52,13,37,-37,-51,16,107,106,70
42,52,9,-47,14,30,-39,-61,-1,89,91,63
36,39,3,-37,14,20,-38,-64,-18,64,68,50
27,26,-1,-26,12,11,-37,-67,-37,35,41,34
18,13,-5,-15,10,3,-36,-70,-58,5,15,19
9,2,-7,-5,7,-3,-36,-72,-78,-21,-6,5
1,-8,-9,3,4,-9,-34,-72,-92,-40,-22,-5
-6,-16,-10,10,1,-13,-32,-70,-102,-54,-33,-14
-10,-21,-11,16,0,-17,-29,-66,-106,-62,-39,-19
-12,-24,-12,18,-1,-19,-25,-59,-104,-64,-41,-23
-11,-26,-14,19,0,-21,-22,-51,-98,-63,-41,-24
-10,-27,-16,19,0,-23,-21,-43,-89,-59,-40,-25
-9,-28,-18,19,2,-24,-18,-34,-78,-54,-38,-25
-8,-28,-20,18,4,-25,-14,-24,-67,-49,-36,-25
-7,-28,-22,18,6,-26,-10,-15,-57,-43,-33,-25
-6,-27,-22,17,7,-25,-7,-7,-47,-38,-31,-24
-5,-25,-21,15,8,-23,-5,-3,-40,-33,-28,-23
-4,-23,-19,14,7,-22,-3,0,-34,-29,-25,-22
-4,-21,-17,13,5,-20,-1,1,-30,-26,-22,-20
-4,-19,-14,12,4,-18,0,2,-26,-24,-20,-19
-4,-16,-12,10,2,-15,1,3,-23,-21,-19,-17
-4,-14,-10,9,1,-13,2,3,-19,-19,-17,-16
-5,-13,-8,9,0,-11,2,4,-17,-18,-16,-16
-6,-12,-7,8,0,-10,3,4,-14,-16,-16,-15
-6,-11,-5,8,-1,-9,3,4,-12,-15,-15,-15
-6,-10,-4,8,-1,-8,4,4,-11,-14,-14,-14
-6,-10,-3,7,-2,-7,4,4,-10,-13,-13,-13
-6,-9,-3,7,-2,-7,4,4,-10,-13,-12,-13
-6,-8,-2,7,-3,-7,4,4,-10,-12,-12,-13
-6,-8,-2,8,-3,-7,4,5,-9,-12,-12,-13
-7,-8,-2,8,-3,-6,4,5,-8,-11,-12,-13
-6,-8,-2,7,-3,-6,4,6,-7,-11,-12,-12
-6,-8,-2,7,-3,-6,4,7,-6,-11,-12,-12
-6,-8,-2,7,-3,-6,4,8,-6,-11,-12,-12
-6,-8,-2,7,-3,-5,4,8,-6,-11,-11,-12
-5,-8,-2,7,-3,-5,4,7,-6,-11,-11,-12
-5,-7,-2,6,-3,-5,4,7,-6,-10,-10,-12
-5,-7,-2,6,-3,-5,4,6,-6,-10,-10,-12
-5,-7,-1,6,-3,-5,4,6,-6,-10,-10,-12
-5,-7,-1,6,-3,-5,3,6,-6,-9,-9,-12
-5,-7,-1,5,-2,-5,3,6,-6,-9,-9,-12
-5,-7,-1,5,-2,-5,3,5,-6,-8,-9,-12
-5,-7,-1,5,-2,-5,3,5,-6,-8,-9,-12
-4,-7,-1,5,-2,-5,3,4,-6,-8,-9,-12
-4,-6,-1,5,-2,-5,3,4,-6,-8,-9,-12
-4,-6,-1,5,-2,-4,3,4,-6,-7,-9,-12
-4,-5,-1,5,-2,-4,3,4,-5,-7,-8,-12
-4,-5,-1,5,-2,-4,3,4,-5,-7,-8,-12
-4,-5,-1,5,-2,-4,3,4,-4,-7,-8,-12
-4,-5,-1,5,-2,-4,3,4,-4,-7,-8,-11
-4,-5,-1,5,-2,-4,3,4,-3,-7,-8,-11
-4,-5,-1,4,-2,-4,3,4,-3,-6,-7,-10
-4,-5,-1,4,-2,-4,3,4,-2,-6,-7,-10
-4,-5,-1,4,-2,-4,3,4,-1,-6,-7,-9
-4,-5,-1,4,-2,-4,3,4,-1,-5,-7,-9
-4,-5,0,4,-2,-3,3,4,0,-5,-6,-8
-3,-4,0,3,-2,-3,3,4,0,-5,-6,-8
