leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,1,1,0,-1,1,1,0,0,0,3,2
-1,2,3,-1,-2,2,3,-1,-1,1,7,6
-1,3,4,-1,-2,3,4,-1,-2,1,9,7
-1,4,5,-1,-3,4,5,-1,-2,1,10,8
-2,4,7,-1,-4,5,6,-1,-3,2,11,9
-2,5,8,-1,-5,6,6,-1,-3,2,11,10
0,6,7,-3,-4,7,5,-1,-3,2,12,10
0,6,7,-3,-4,7,5,-1,-3,2,12,11
0,6,6,-3,-3,6,6,0,-4,2,12,11
2,6,4,-4,-1,5,6,0,-5,2,12,10
1,5,4,-3,-1,5,6,0,-6,1,11,9
-1,5,5,-1,-3,5,6,0,-6,0,11,9
-2,5,6,-1,-4,5,6,1,-7,0,11,9
-2,5,6,-1,-4,5,6,2,-7,0,11,9
0,4,4,-2,-2,4,6,1,-8,0,10,8
0,4,4,-2,-2,4,6,1,-9,-1,9,8
-1,4,6,-1,-3,4,6,1,-9,-1,9,9
-2,3,6,0,-4,4,6,1,-9,-1,9,10
-4,2,6,1,-5,4,5,0,-10,-2,8,9
-5,1,6,2,-5,3,4,0,-11,-2,8,8
-4,1,5,2,-5,3,4,-1,-11,-3,8,8
-3,1,5,1,-4,3,3,-1,-11,-3,8,8
-1,2,4,0,-4,3,3,-1,-11,-3,8,8
-2,2,5,0,-4,3,3,0,-10,-3,7,8
-3,2,6,0,-5,3,3,0,-9,-3,7,7
-3,2,6,1,-5,3,3,-1,-8,-3,6,7
-3,3,6,1,-5,4,3,0,-7,-3,7,7
-4,3,7,1,-6,5,4,0,-6,-2,8,7
-4,3,7,1,-6,5,5,1,-5,-2,8,7
-3,4,6,0,-4,5,4,1,-5,-3,8,7
-1,4,6,-2,-3,5,4,0,-5,-3,8,7
0,5,6,-2,-3,5,4,0,-5,-4,8,7
0,5,6,-3,-3,5,3,0,-4,-4,8,6
0,5,6,-2,-3,5,3,0,-4,-5,8,6
-1,4,6,-1,-3,5,3,0,-4,-5,7,6
-3,4,6,0,-4,5,2,0,-4,-5,7,5
-3,4,7,0,-5,5,2,1,-4,-5,7,5
-2,5,7,-1,-4,6,3,1,-3,-5,8,6
-1,5,7,-2,-4,6,3,2,-2,-5,10,6
-1,6,7,-2,-4,6,4,4,-2,-4,12,7
0,7,7,-3,-3,7,5,5,-1,-3,13,7
1,7,7,-4,-3,7,5,6,-1,-3,14,7
1,8,8,-5,-3,8,5,7,-1,-2,16,7
1,10,8,-5,-3,9,5,7,0,-2,18,8
1,10,8,-6,-3,9,5,7,0,-1,19,8
2,11,8,-6,-2,9,4,7,0,-1,20,8
1,11,9,-6,-4,10,4,8,0,-1,21,9
0,11,11,-5,-6,11,4,9,2,0,22,10
0,11,12,-5,-6,11,4,9,3,1,22,11
0,11,11,-6,-5,11,3,9,3,1,22,11
0,10,10,-6,-4,10,0,8,3,0,21,11
0,10,9,-6,-4,10,-2,8,4,1,20,12
1,12,10,-7,-5,11,-3,10,5,2,21,13
1,13,11,-7,-5,12,-4,10,5,2,20,14
3,13,9,-8,-3,11,-6,9,4,1,19,14
5,13,7,-9,-1,9,-9,8,3,0,17,13
6,12,6,-9,0,9,-10,7,3,0,16,13
5,11,7,-8,-1,8,-10,7,3,0,15,13
3,10,8,-7,-3,8,-10,7,2,0,15,14
3,10,7,-6,-2,8,-10,6,2,0,15,14
4,10,6,-7,-1,8,-11,6,1,0,15,14
5,11,5,-8,0,8,-11,5,1,0,14,14
6,10,4,-8,1,8,-11,5,0,0,14,14
6,10,3,-8,1,6,-12,6,0,-1,13,14
7,9,2,-8,2,5,-12,5,0,-2,13,14
8,8,0,-8,4,3,-13,5,-1,-3,12,13
9,7,-1,-8,4,3,-13,5,-2,-3,11,13
6,6,0,-6,3,3,-12,5,-3,-4,10,13
4,4,0,-4,1,2,-11,4,-4,-5,9,12
3,3,0,-3,1,1,-11,3,-5,-6,7,10
1,2,1,-2,0,1,-10,2,-7,-7,6,9
0,2,3,-1,-2,3,-8,2,-8,-7,5,9
-1,3,5,-1,-3,4,-6,2,-8,-7,5,10
-1,3,5,-1,-3,4,-5,2,-9,-7,5,9
0,3,4,-1,-3,3,-4,1,-11,-8,3,8
-2,2,5,0,-4,3,-4,1,-12,-9,3,8
-3,2,6,0,-5,3,-3,1,-12,-9,2,8
-2,3,5,0,-4,4,-3,1,-13,-9,2,8
-1,3,4,-1,-3,4,-4,0,-14,-10,1,8
0,3,4,-1,-3,4,-4,-1,-15,-10,0,8
-1,2,4,0,-3,3,-5,-2,-16,-11,-2,8
-3,1,5,1,-4,3,-6,-3,-17,-12,-3,8
-5,0,6,2,-5,3,-7,-3,-18,-12,-3,8
-6,0,6,2,-6,2,-7,-4,-19,-12,-4,9
-5,0,5,3,-6,1,-6,-4,-20,-12,-4,9
-4,-1,3,3,-4,0,-6,-4,-21,-13,-5,9
-4,-2,2,3,-3,0,-6,-5,-23,-14,-7,9
-4,-2,2,4,-3,0,-6,-6,-24,-15,-8,9
-5,-2,3,4,-4,0,-6,-6,-25,-15,-9,9
-6,-1,4,4,-5,1,-5,-5,-26,-14,-9,10
