leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,1,1,0,0,1,-34,1,-90,3,5,-7
0,3,3,-1,-1,3,-91,2,-234,7,13,-20
1,3,2,-2,0,3,-124,3,-319,8,18,-27
3,4,0,-3,2,2,-142,3,-367,10,21,-29
6,6,0,-5,3,3,-152,3,-390,12,24,-29
8,10,1,-8,3,5,-158,3,-396,14,27,-29
8,14,4,-10,2,9,-160,3,-393,15,28,-28
7,16,7,-11,0,11,-155,3,-386,15,28,-28
6,16,8,-10,-1,12,-143,3,-379,15,27,-28
4,13,7,-8,-1,10,-135,3,-374,15,27,-28
4,10,5,-6,0,7,-140,3,-370,14,27,-28
5,9,3,-6,1,5,-153,3,-364,14,27,-27
7,10,2,-8,3,5,-164,3,-354,15,27,-26
9,12,2,-10,3,7,-171,3,-339,16,28,-24
9,16,5,-12,2,11,-176,3,-322,18,29,-22
8,18,8,-13,0,13,-180,3,-304,19,29,-22
7,18,10,-12,0,14,-182,3,-289,20,29,-21
6,16,10,-10,-1,13,-180,3,-277,21,29,-21
5,13,8,-9,0,10,-173,3,-269,21,30,-21
5,11,5,-8,1,8,-164,3,-261,22,30,-20
7,11,3,-9,2,7,-155,3,-250,23,31,-18
8,13,3,-10,2,8,-146,3,-236,24,33,-16
8,16,5,-12,2,11,-137,3,-217,26,34,-14
8,18,8,-13,1,13,-130,3,-198,27,35,-13
7,19,9,-12,0,14,-127,3,-180,28,35,-12
6,18,10,-11,-1,14,-127,3,-167,29,36,-11
5,15,9,-10,-1,12,-129,3,-158,30,36,-11
6,13,6,-9,0,10,-127,3,-151,30,36,-10
7,13,5,-9,1,8,-118,3,-142,31,36,-10
8,14,5,-10,1,9,-105,3,-130,32,37,-8
8,16,6,-12,1,11,-92,3,-114,33,37,-7
9,19,8,-13,0,13,-77,3,-96,34,38,-6
8,19,9,-13,0,15,-62,3,-80,34,38,-5
7,18,10,-12,-1,15,-47,3,-67,35,38,-5
6,16,10,-10,-1,13,-27,3,-58,35,38,-6
5,14,8,-9,-1,11,0,3,-52,35,37,-7
6,14,7,-9,0,10,26,3,-46,35,37,-7
6,14,7,-10,0,10,45,3,-37,35,37,-7
7,16,7,-11,0,11,63,3,-23,35,37,-7
7,18,9,-11,0,13,90,3,-7,35,37,-7
7,19,10,-12,0,14,127,3,8,35,37,-7
8,20,10,-13,0,15,162,3,21,35,36,-8
9,18,8,-13,1,14,188,3,29,35,36,-9
9,16,6,-12,1,12,211,3,34,35,35,-10
8,15,6,-11,1,11,236,3,38,35,35,-10
6,15,7,-10,-1,11,266,3,45,36,35,-10
5,16,9,-10,-2,12,305,3,57,36,35,-10
5,18,11,-11,-2,14,348,3,71,37,36,-10
6,20,13,-12,-3,16,388,3,86,37,36,-11
5,21,14,-13,-4,18,433,3,99,37,36,-11
5,21,15,-12,-4,18,492,3,107,37,36,-12
4,19,14,-11,-4,17,557,3,111,37,36,-13
4,18,13,-11,-4,15,616,3,113,37,35,-14
4,17,12,-11,-4,14,665,3,116,37,35,-14
5,18,12,-11,-4,14,713,3,122,37,34,-15
5,19,12,-11,-3,14,767,3,131,37,34,-15
5,20,13,-11,-3,15,827,3,143,37,34,-15
4,21,14,-11,-4,17,881,3,154,38,34,-15
4,21,15,-11,-5,17,907,3,162,38,35,-15
3,20,15,-11,-5,17,880,3,166,39,35,-15
3,19,15,-11,-5,17,839,3,167,39,35,-15
4,19,14,-12,-4,17,804,3,168,39,35,-15
4,20,14,-12,-5,17,760,3,172,39,35,-15
4,21,15,-12,-5,18,155,3,179,39,35,-15
4,21,15,-12,-5,18,-507,3,190,39,35,-15
5,21,15,-12,-4,18,-647,3,200,39,35,-14
4,20,14,-12,-4,18,-758,3,207,39,35,-14
4,20,15,-11,-4,18,-837,3,210,40,35,-13
5,21,15,-12,-4,18,-881,3,209,40,35,-13
6,21,14,-12,-4,18,-911,3,208,40,35,-12
7,22,14,-13,-3,18,-927,3,209,41,35,-11
7,23,15,-15,-3,19,-881,3,214,42,35,-10
7,25,16,-15,-4,20,-712,3,221,42,35,-9
6,26,18,-15,-5,21,-440,3,228,43,35,-8
6,26,18,-15,-5,22,-130,3,234,43,35,-8
5,25,19,-14,-6,21,176,3,236,43,35,-8
4,24,19,-13,-7,21,469,3,234,43,35,-7
3,23,20,-13,-7,22,740,3,229,43,35,-6
3,24,20,-13,-8,22,973,3,226,43,35,-6
3,24,20,-13,-8,23,1161,3,225,43,35,-6
3,25,20,-14,-8,23,1322,3,228,44,35,-5
4,26,20,-14,-8,23,1484,3,232,45,35,-5
4,27,21,-15,-8,23,821,3,236,45,35,-5
4,28,22,-16,-8,25,-336,3,236,45,34,-5
4,29,23,-16,-9,26,-1020,3,233,45,34,-5
4,30,25,-16,-10,27,-739,3,230,46,35,-4
4,32,27,-17,-11,30,37,3,230,50,37,-3
4,35,30,-19,-13,33,406,3,233,53,38,-2
4,37,32,-20,-14,35,744,3,233,54,38,-1
4,37,32,-19,-14,34,332,3,227,52,37,-1
4,35,30,-19,-13,33,-542,3,215,47,35,-2
4,35,29,-19,-12,32,-957,3,199,42,32,-3
4,34,29,-18,-12,31,-1203,3,181,37,30,-3
4,33,28,-18,-12,30,-1426,3,165,33,28,-3
4,32,27,-17,-11,29,-1682,3,152,30,26,-3
4,32,27,-17,-11,29,-1134,3,144,29,25,-2
4,32,27,-17,-11,29,-73,3,141,28,25,-1
4,33,28,-18,-11,30,509,3,143,29,26,0
