leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,-1,-4,-3,-1
0,0,0,0,0,0,-2,-1,-4,-11,-8,-3
-2,2,4,0,-3,3,-3,-3,-5,-14,-11,-5
-4,2,6,1,-5,4,-4,-5,-6,-16,-12,-6
-3,1,4,1,-3,3,-4,-5,-6,-16,-13,-7
0,0,0,0,0,0,-3,-3,-5,-15,-12,-6
0,-4,-3,2,2,-4,-1,-1,-3,-13,-10,-5
-2,-7,-5,5,2,-7,-1,-1,-3,-12,-10,-4
-2,-8,-6,5,2,-7,-2,-1,-3,-11,-11,-5
0,-4,-4,2,2,-4,-2,0,-2,-10,-11,-5
-1,0,1,1,-1,0,-2,1,-2,-8,-10,-5
-4,2,6,1,-5,3,-2,1,-2,-7,-10,-5
-6,2,7,2,-6,4,-2,2,-1,-5,-10,-5
-7,0,6,4,-6,2,-1,3,0,-2,-8,-4
-6,-4,2,5,-4,-1,0,4,1,0,-7,-3
-5,-6,0,5,-2,-3,0,5,2,3,-5,-1
-5,-5,-1,5,-1,-3,0,6,2,5,-5,-1
-4,-4,0,4,-2,-2,-2,5,2,6,-6,-1
-4,-1,3,2,-3,0,-4,4,1,6,-6,-2
-3,2,5,0,-4,3,-3,5,2,8,-5,-2
-3,3,6,0,-4,4,-3,6,2,9,-4,-2
-4,0,4,2,-4,1,-2,7,3,11,-4,-2
-3,-3,0,3,-1,-2,-1,9,4,13,-2,-1
-2,-4,-2,2,0,-4,1,11,6,16,0,1
-2,-5,-3,3,0,-4,2,13,7,18,0,2
-3,-4,0,3,-1,-3,3,15,8,19,1,3
-3,0,2,1,-2,0,3,15,8,19,1,3
-1,3,4,0,-1,2,2,14,7,18,0,2
0,5,5,-2,-1,4,2,13,6,18,0,1
0,5,5,-3,-1,4,3,13,7,19,1,2
0,2,2,-1,0,2,3,13,7,20,1,3
-4,-3,0,3,-1,-2,3,12,7,20,1,3
-7,-7,0,6,-3,-4,2,11,7,20,1,2
-6,-7,0,6,-3,-3,2,11,8,21,1,2
-5,-3,3,4,-4,0,2,11,10,22,2,3
-6,0,6,3,-5,2,2,12,10,23,3,4
-5,2,7,2,-5,4,2,12,10,22,3,4
-3,3,6,0,-4,5,2,14,10,23,3,4
-1,3,4,-1,-2,3,3,15,11,24,4,5
-1,0,1,0,-1,0,4,17,11,25,4,5
0,-2,-1,0,0,-1,6,18,11,26,5,6
1,-1,-2,-1,1,-2,7,19,12,27,6,6
1,0,-1,-1,1,0,7,19,13,27,6,6
0,2,3,-1,-1,2,7,19,13,26,5,6
-1,4,6,-1,-3,4,7,19,13,26,5,5
-1,4,6,-1,-3,5,6,20,13,26,4,5
-2,2,5,0,-3,3,6,20,12,25,3,4
-2,-1,2,1,-2,0,7,20,12,24,3,4
-1,-2,0,1,-1,-1,7,21,13,25,3,4
-1,-3,-1,1,-1,-2,8,22,13,25,3,4
-1,-3,-1,2,-1,-3,8,22,13,24,3,4
-2,-2,1,2,-2,-1,8,22,13,25,3,4
-2,0,3,1,-2,1,9,22,13,25,4,4
-2,0,3,1,-2,1,9,22,13,25,4,4
-3,0,3,1,-2,1,9,23,13,25,4,4
-3,-2,1,2,-2,-1,9,24,14,25,4,5
-3,-5,-2,4,-1,-4,9,25,14,25,4,5
-2,-7,-4,4,0,-5,11,26,14,26,5,6
-1,-5,-3,2,0,-4,13,28,15,27,6,7
0,-1,0,0,-1,-1,13,28,16,27,6,7
2,2,1,-2,0,1,13,27,15,26,6,7
2,4,2,-3,0,3,13,27,15,26,6,6
-1,2,3,0,-2,2,13,26,15,25,5,6
-3,0,2,1,-2,1,13,25,14,26,5,6
-2,-2,0,1,-1,0,13,25,14,26,5,6
-3,-4,-1,3,-1,-2,12,24,13,25,4,5
