leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,-5,-2,3,0,-4,1,-1,-4,-3,-3,-3
-6,-11,-4,9,-2,-8,3,-2,-8,-7,-7,-7
-10,-13,-1,11,-6,-7,5,2,-7,-6,-6,-6
-13,-11,2,12,-9,-5,9,7,-5,-4,-4,-4
-14,-13,1,13,-9,-6,9,8,-5,-5,-4,-5
-14,-16,-2,14,-7,-9,8,7,-6,-7,-7,-8
-16,-18,-1,16,-9,-10,11,8,-7,-8,-7,-8
-18,-17,1,16,-10,-8,15,10,-6,-7,-6,-7
-14,-15,0,15,-8,-8,16,11,-6,-8,-6,-8
-6,-14,-7,10,-1,-11,14,9,-8,-10,-8,-9
2,-14,-15,6,7,-14,13,6,-11,-13,-10,-11
4,-15,-17,5,10,-16,14,6,-11,-13,-11,-11
0,-14,-12,6,5,-13,20,10,-9,-11,-9,-10
-6,-14,-7,9,-1,-11,25,14,-6,-9,-7,-8
-8,-14,-5,10,-3,-10,27,16,-5,-8,-7,-8
-8,-14,-6,10,-2,-11,28,17,-5,-9,-7,-8
-2,-13,-10,6,3,-11,28,17,-6,-10,-9,-9
6,-10,-15,1,9,-11,27,16,-8,-12,-10,-11
7,-10,-16,1,10,-12,27,16,-8,-12,-10,-11
0,-15,-14,7,6,-13,29,18,-8,-11,-10,-11
-7,-17,-10,12,0,-13,32,20,-7,-10,-9,-10
-9,-13,-4,10,-4,-9,36,24,-3,-7,-6,-8
-10,-9,0,8,-6,-5,38,28,0,-4,-4,-6
-7,-6,0,5,-4,-4,39,30,1,-3,-3,-5
-2,-4,-1,2,-2,-3,40,32,2,-1,-1,-3
0,-2,-1,0,-1,-1,40,34,4,0,0,-1
-2,-3,0,2,-2,-1,40,36,5,1,1,0
-7,-7,1,6,-5,-2,39,38,6,1,1,0
-7,-8,0,8,-5,-3,37,39,6,1,0,-1
-5,-7,-2,5,-2,-4,36,40,6,1,0,-2
-2,-4,-3,2,0,-4,36,41,7,2,1,-1
0,-2,-3,0,1,-3,34,40,9,3,1,-1
0,-3,-3,0,1,-4,33,38,8,2,0,-1
0,-4,-3,1,1,-4,32,34,7,2,0,-1
0,-2,-1,1,-1,-1,32,32,9,4,2,0
0,1,3,0,-4,3,34,32,12,7,5,3
1,4,3,-2,-2,4,35,32,14,9,7,4
6,5,-1,-6,2,3,34,31,15,9,7,4
12,7,-4,-10,7,1,33,29,15,8,7,4
11,7,-4,-10,7,1,30,27,14,8,7,3
7,6,-1,-8,3,2,27,24,14,8,7,4
6,6,1,-7,1,3,25,22,16,9,8,5
7,9,3,-8,0,6,25,22,18,11,10,7
9,13,5,-11,0,10,25,22,19,12,11,8
13,14,2,-14,3,10,25,21,20,13,11,9
13,14,1,-14,4,9,25,22,21,14,12,10
6,14,9,-11,-2,13,26,25,25,17,15,12
2,16,15,-10,-7,16,24,28,27,19,18,14
4,20,17,-13,-7,17,22,31,29,21,20,16
5,21,18,-14,-7,18,19,32,31,23,22,18
8,20,13,-15,-3,16,14,33,30,22,21,17
10,19,9,-15,-1,13,10,31,29,20,20,16
7,16,9,-12,-2,13,8,29,29,20,20,17
3,14,11,-10,-4,13,6,27,30,21,21,18
3,16,13,-10,-5,15,6,25,30,21,21,18
5,17,11,-12,-3,15,3,23,30,21,21,18
6,17,11,-13,-3,13,1,21,31,21,22,18
4,17,13,-12,-5,14,0,19,31,22,22,19
5,19,14,-13,-5,16,-2,19,31,22,23,19
10,25,14,-18,-3,19,-1,19,32,24,25,20
14,30,16,-23,-3,24,0,19,34,26,27,23
12,31,19,-22,-5,26,1,18,34,26,27,24
11,30,19,-21,-5,25,0,15,33,25,26,23
15,29,15,-23,-1,23,0,13,30,24,24,21
15,28,14,-22,0,22,0,11,29,24,24,20
14,26,14,-20,-1,20,0,9,28,23,24,20
12,25,15,-19,-2,19,0,6,28,23,24,20
6,24,18,-14,-7,20,1,6,28,23,24,21
0,22,21,-11,-12,21,1,6,28,23,24,21
3,23,20,-13,-10,21,-1,5,27,22,23,20
9,23,14,-15,-4,18,-7,1,23,19,20,17
9,19,11,-14,-2,16,-10,-3,20,17,18,15
7,19,14,-13,-4,17,-8,-4,20,17,18,15
9,22,15,-16,-3,18,-6,-5,20,17,19,16
12,22,12,-18,-1,17,-5,-7,19,16,19,15
12,20,8,-17,1,15,-5,-8,18,15,17,14
12,19,6,-16,1,13,-5,-8,17,14,16,13
11,18,7,-15,0,13,-6,-8,17,14,16,13
7,14,8,-11,-2,12,-8,-9,16,13,14,12
5,11,6,-9,-2,9,-9,-11,13,11,13,10
6,10,6,-9,-1,9,-9,-10,13,11,13,9
7,13,8,-11,-1,10,-9,-8,13,11,14,10
6,12,8,-10,-1,9,-11,-7,13,11,14,10
5,11,7,-9,-1,9,-11,-6,13,11,13,10
5,12,8,-9,-2,9,-10,-4,14,12,14,10
1,11,9,-6,-5,10,-10,-4,15,13,14,11
1,11,9,-7,-5,10,-10,-3,15,13,14,11
7,16,8,-12,-2,12,-9,-2,15,13,15,11
7,17,10,-12,-3,13,-8,-1,16,14,16,12
3,15,13,-10,-6,13,-7,1,16,14,16,13
3,15,13,-10,-5,13,-5,3,16,14,16,13
7,16,10,-12,-2,13,-5,5,16,14,16,13
9,18,9,-14,0,14,-4,7,16,15,17,14
9,21,12,-15,-2,16,-3,8,18,16,19,16
8,19,12,-15,-3,16,-2,8,18,16,18,16
9,19,11,-15,-2,15,-2,7,18,15,17,14
10,19,10,-15,-2,15,-3,5,17,15,16,14
11,19,9,-15,0,13,-5,2,15,13,14,12
13,20,7,-17,2,13,-6,1,13,11,13,10
11,19,8,-15,0,14,-5,0,13,11,13,10
4,16,11,-10,-5,14,-5,-1,14,11,13,10
1,14,11,-7,-7,13,-7,-2,14,11,13,10
1,15,13,-8,-7,15,-8,-2,15,13,14,11
1,17,16,-9,-9,18,-8,-2,16,13,15,12
3,19,16,-12,-8,18,-9,-2,16,13,15,12
2,19,17,-12,-8,18,-9,-2,17,14,16,13
0,20,20,-10,-11,20,-8,-1,18,15,18,14
1,22,21,-12,-11,21,-7,-1,19,16,18,15
0,19,19,-10,-10,19,-7,-3,17,13,16,13
0,18,17,-9,-10,18,-7,-6,16,12,14,11
5,21,16,-13,-7,19,-7,-8,16,13,15,11
6,24,16,-15,-6,21,-6,-11,16,13,15,11
6,24,17,-15,-6,21,-5,-14,16,12,15,11
7,24,18,-16,-6,21,-5,-17,16,12,16,12
7,24,18,-16,-6,21,-3,-18,17,13,16,13
10,24,14,-16,-3,18,-4,-18,16,12,15,12
11,21,10,-16,-1,15,-6,-17,14,10,14,11
4,19,13,-11,-6,16,-8,-14,14,10,15,12
0,17,17,-8,-10,17,-10,-11,15,11,15,12
1,17,15,-10,-8,16,-13,-9,14,10,14,12
3,18,15,-11,-7,17,-14,-7,14,10,15,12
4,20,16,-13,-7,18,-16,-7,15,10,16,13
5,19,15,-13,-6,18,-17,-6,14,9,15,12
3,19,16,-11,-7,18,-16,-5,15,9,15,12
3,22,18,-13,-8,20,-14,-3,16,10,17,15
5,25,19,-15,-8,22,-12,0,18,12,18,17
4,24,19,-14,-9,22,-11,-1,18,12,18,16
4,22,17,-14,-7,20,-11,-3,17,11,17,14
6,21,14,-14,-5,18,-11,-3,17,10,17,14
6,21,16,-14,-6,19,-10,-3,18,12,18,16
5,22,18,-14,-7,20,-9,-3,19,12,19,17
7,21,15,-14,-5,18,-10,-4,18,11,18,16
10,21,11,-14,-2,16,-11,-4,17,10,17,15
14,22,8,-17,1,15,-11,-4,17,9,16,15
15,21,5,-17,3,13,-12,-5,16,8,15,14
12,18,4,-16,3,11,-12,-5,16,8,15,14
11,17,5,-15,2,11,-10,-4,16,9,15,14
14,18,4,-17,3,12,-8,-4,16,9,16,14
14,17,4,-17,3,11,-9,-5,15,7,14,13
11,15,4,-14,2,10,-10,-8,12,6,13,11
9,14,4,-12,1,10,-10,-10,12,5,12,11
9,14,3,-12,1,9,-10,-12,12,5,12,12
14,15,-2,-14,6,7,-10,-13,12,5,11,10
19,15,-5,-17,10,5,-9,-14,10,3,9,8
16,15,-2,-16,8,7,-7,-13,9,3,9,8
11,16,4,-14,2,11,-3,-12,11,5,11,9
7,14,8,-11,-1,11,-2,-9,11,5,11,10
5,9,4,-8,0,7,-2,-8,9,3,9,7
6,6,0,-6,2,3,-3,-8,8,1,7,5
5,6,0,-5,2,3,-3,-6,8,1,7,6
3,6,2,-4,-1,4,-3,-6,9,3,9,7
2,6,3,-4,-1,4,-3,-6,9,4,9,8
1,4,3,-3,-1,4,-3,-4,9,2,8,7
0,3,3,-2,-1,3,-3,-3,8,2,7,6
2,4,3,-4,-1,4,-3,-1,8,2,7,6
0,5,5,-4,-3,6,-1,0,9,3,8,7
-2,5,7,-2,-6,6,-1,0,9,3,8,7
-4,3,6,0,-6,4,-2,0,7,2,7,6
-5,1,4,2,-5,2,-2,1,7,2,7,6
-4,1,4,2,-5,2,0,2,8,3,7,6
-3,2,5,1,-5,3,0,3,9,4,8,6
-4,1,5,1,-5,3,-1,3,9,4,8,7
-5,-1,5,3,-6,2,-3,1,7,2,7,5
-4,-3,1,3,-3,0,-5,-3,4,0,4,2
1,-2,-3,0,1,-2,-6,-6,3,-1,3,2
6,2,-4,-4,3,-1,-6,-7,4,-1,4,3
7,7,-1,-7,3,2,-3,-4,6,1,7,5
8,12,3,-10,1,7,0,-1,9,4,10,8
9,14,4,-11,1,9,0,0,9,4,10,8
7,10,3,-9,1,6,-2,2,7,2,7,6
3,3,1,-4,0,2,-2,4,6,0,5,3
0,-2,-1,0,0,-2,1,8,6,0,3,2
2,-3,-4,0,2,-3,7,13,7,-1,2,0
7,0,-7,-3,5,-4,14,17,9,0,2,0
10,5,-5,-7,6,0,19,20,16,5,6,3
8,10,1,-9,1,6,19,21,28,14,14,10
6,17,9,-12,-2,13,12,17,42,24,23,18
15,30,14,-23,0,22,-3,8,55,36,33,27
28,47,18,-38,4,33,-30,-7,68,48,45,37
39,64,25,-52,6,45,-62,-24,80,60,57,50
44,79,35,-62,2,58,-86,-36,93,75,71,64
47,95,48,-72,-2,72,-103,-45,107,89,85,77
56,111,54,-83,0,82,-122,-57,116,100,96,88
65,122,55,-93,3,88,-137,-66,122,106,104,96
67,122,54,-94,5,88,-146,-71,122,108,106,98
65,116,49,-91,6,83,-149,-75,114,102,102,95
65,108,42,-87,10,76,-149,-81,101,92,94,89
62,99,38,-81,11,69,-145,-89,82,78,83,81
