leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
5,2,-3,-4,4,0,0,-1,0,-1,-2,17
14,8,-5,-11,9,1,0,-2,0,-2,-6,46
18,13,-5,-15,11,4,2,-2,0,-2,-8,65
20,14,-6,-17,13,4,4,-1,0,-1,-9,77
21,12,-9,-16,15,1,5,-1,1,0,-9,82
22,10,-12,-16,17,-1,7,0,2,0,-9,85
23,8,-14,-15,18,-3,10,2,3,1,-9,87
23,6,-16,-14,19,-5,11,2,3,1,-9,87
22,3,-19,-12,20,-8,11,1,3,0,-10,83
20,0,-20,-10,20,-10,11,1,2,-1,-10,79
19,0,-19,-9,19,-10,13,3,2,-2,-10,80
18,3,-14,-10,16,-6,15,3,2,-2,-10,82
18,6,-11,-11,14,-3,15,2,2,-2,-11,80
18,8,-9,-12,13,-1,14,2,2,-2,-11,78
19,11,-7,-14,13,1,14,1,2,-3,-12,77
19,10,-10,-14,14,0,15,1,2,-2,-12,76
19,3,-16,-11,17,-7,16,3,4,-1,-11,74
18,-1,-20,-8,18,-11,16,4,5,-2,-11,70
17,0,-18,-8,17,-10,16,5,4,-4,-12,69
16,2,-15,-9,15,-7,17,6,4,-5,-13,70
16,2,-14,-9,15,-6,18,7,4,-5,-13,70
16,2,-14,-9,15,-6,17,7,4,-5,-13,68
15,5,-11,-10,14,-3,17,7,3,-5,-12,67
15,7,-9,-11,12,-1,17,7,3,-4,-12,67
15,2,-12,-9,14,-5,17,7,5,-3,-10,66
14,-4,-19,-5,17,-12,17,7,6,-3,-9,62
14,-5,-19,-5,17,-12,17,7,5,-4,-10,60
13,1,-12,-7,13,-6,16,7,3,-5,-12,60
13,5,-8,-8,11,-2,16,6,3,-6,-13,60
13,5,-9,-8,12,-3,16,6,3,-6,-13,59
14,4,-10,-8,13,-4,17,7,3,-6,-12,58
14,4,-11,-9,13,-4,18,8,4,-5,-12,58
15,2,-12,-9,14,-6,18,8,4,-4,-11,58
14,-2,-17,-6,15,-10,17,8,5,-4,-10,54
13,-6,-19,-4,16,-13,17,9,5,-4,-10,51
12,-3,-15,-4,13,-10,18,9,4,-5,-11,50
11,1,-9,-6,10,-5,18,9,4,-5,-12,51
11,3,-7,-6,10,-3,18,8,4,-6,-13,49
11,4,-7,-7,10,-2,18,9,4,-6,-14,47
11,5,-7,-7,10,-1,18,9,4,-6,-14,47
11,2,-10,-6,11,-5,19,9,5,-4,-14,48
10,-3,-14,-4,12,-9,19,9,6,-4,-13,46
10,-3,-14,-4,11,-9,18,9,6,-5,-12,41
10,-1,-12,-4,10,-7,18,9,6,-5,-12,40
10,0,-11,-4,10,-6,20,11,8,-3,-11,42
10,0,-10,-4,10,-5,20,13,11,-2,-10,42
10,1,-9,-5,10,-4,21,14,14,-1,-10,40
8,2,-7,-5,8,-2,23,17,18,0,-11,39
7,6,-2,-6,5,2,24,18,22,1,-12,39
6,8,0,-7,3,4,24,18,24,3,-13,36
7,5,-2,-6,4,1,23,18,25,6,-10,33
8,3,-5,-5,5,-1,22,18,23,11,-5,33
9,5,-4,-7,6,0,22,17,18,17,0,38
12,7,-4,-9,8,1,20,14,11,23,8,44
16,11,-4,-13,10,3,14,10,0,28,17,49
21,18,-4,-20,13,7,7,5,-17,32,28,57
29,23,-6,-26,18,8,0,-1,-38,37,41,69
36,24,-13,-30,25,5,-8,-9,-61,40,56,82
