leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,0,0,-1,0,0,0,-6,0,0,0,0
3,2,-1,-2,2,0,2,-15,1,0,0,-1
4,3,-2,-3,3,0,3,-20,1,0,0,-1
5,3,-2,-4,3,0,3,-23,1,0,0,-1
5,2,-3,-4,4,0,3,-25,1,0,0,-1
4,2,-3,-3,4,0,3,-26,1,0,0,-1
4,2,-2,-3,3,0,2,-27,1,1,0,-1
4,2,-2,-3,3,0,2,-27,1,1,0,-1
3,1,-3,-2,3,-1,1,-27,1,1,0,-1
3,0,-4,-1,3,-2,1,-27,1,1,0,-1
3,-1,-5,-1,4,-3,0,-27,0,0,0,-1
3,-1,-5,-1,4,-3,0,-27,0,0,0,-1
3,0,-5,-1,4,-3,0,-27,0,1,0,-1
3,0,-4,-1,3,-2,0,-27,0,1,0,-1
2,0,-4,-1,3,-2,0,-27,1,1,0,-1
2,0,-3,-1,2,-2,0,-26,1,2,1,0
1,0,-3,0,2,-1,1,-26,2,2,1,0
1,-1,-2,0,1,-1,1,-26,2,2,2,0
1,-1,-2,0,1,-1,1,-26,2,2,2,0
1,-1,-2,0,1,-1,1,-25,2,3,3,1
2,0,-2,-1,2,-1,2,-24,3,3,3,1
3,1,-2,-3,3,0,2,-23,3,4,4,2
6,3,-3,-4,4,0,3,-23,4,4,4,2
7,4,-3,-5,5,0,3,-23,4,4,4,2
7,3,-3,-5,5,0,3,-23,4,4,4,2
6,3,-3,-5,4,0,2,-23,4,5,4,2
6,3,-3,-5,4,0,2,-23,4,5,4,2
6,3,-3,-4,4,0,2,-23,4,5,4,2
4,3,-2,-4,3,0,1,-23,3,5,4,2
3,2,-2,-3,2,0,1,-23,3,5,4,2
3,2,-1,-2,1,0,1,-23,3,5,4,2
2,2,-1,-2,1,0,1,-23,3,5,4,2
2,2,-1,-2,1,0,1,-23,3,5,4,2
3,2,-1,-3,1,0,1,-23,3,5,5,2
3,2,-1,-3,1,0,1,-23,3,5,5,2
3,2,-1,-3,1,0,1,-23,3,5,5,2
3,2,-1,-3,1,0,1,-23,3,5,5,2
5,4,-1,-4,2,1,2,-22,3,5,5,2
6,5,-2,-5,3,1,3,-22,4,6,6,3
5,5,-1,-5,3,1,2,-22,4,6,6,3
4,4,-1,-4,2,1,2,-22,4,6,5,3
4,4,-1,-4,2,1,2,-22,4,6,5,3
3,3,0,-3,1,1,2,-22,4,6,5,3
2,3,0,-3,0,1,2,-22,4,6,5,3
2,3,1,-3,0,2,2,-22,4,6,5,2
3,3,0,-3,1,1,2,-22,4,6,5,2
3,3,0,-3,1,1,2,-22,4,6,5,1
2,2,0,-2,1,0,2,-22,4,5,5,1
2,2,0,-2,1,1,2,-22,4,5,5,1
2,3,0,-2,0,2,2,-22,4,6,5,2
1,3,1,-2,0,2,2,-22,4,6,5,2
0,2,2,-1,-1,2,2,-22,4,6,5,2
0,2,2,-1,-1,2,2,-22,4,6,5,2
0,3,2,-2,-1,2,3,-22,4,6,6,3
0,3,3,-2,-1,3,3,-22,4,6,6,3
0,3,2,-2,-1,2,3,-23,4,6,5,2
1,2,1,-2,0,2,3,-23,4,5,5,2
1,2,0,-2,0,2,2,-24,3,5,5,2
1,2,0,-2,0,2,2,-24,3,5,5,2
1,2,1,-2,0,2,2,-25,3,5,5,2
1,2,2,-2,0,2,2,-25,3,5,5,2
0,2,3,-2,-1,2,2,-26,3,5,5,2
-1,2,3,-1,-2,2,2,-26,3,5,5,2
-2,2,3,-1,-3,2,2,-26,3,5,4,2
-2,2,3,0,-3,3,2,-27,3,5,4,2
-1,2,3,0,-3,3,2,-27,3,5,5,2
0,3,3,-1,-2,3,2,-27,4,5,5,2
