leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,0,0,0,1,0,-1,-1,-3,-4,3,-12
2,0,-2,-1,3,-1,-3,-4,-9,-11,8,-31
4,-1,-5,-1,5,-3,-4,-6,-14,-16,8,-44
5,-2,-7,-1,6,-4,-6,-8,-17,-20,8,-52
5,-2,-7,-1,6,-4,-7,-9,-19,-22,8,-57
6,-3,-9,-1,8,-6,-8,-10,-21,-24,8,-61
8,-3,-11,-2,10,-7,-9,-11,-22,-25,8,-63
11,-3,-14,-4,13,-8,-10,-12,-23,-26,9,-65
14,-4,-18,-5,17,-11,-12,-13,-25,-28,7,-67
15,-6,-21,-4,18,-13,-13,-14,-26,-29,6,-68
12,-7,-19,-2,15,-12,-12,-13,-25,-28,6,-68
10,-5,-15,-2,12,-10,-10,-11,-23,-26,7,-66
11,-4,-15,-3,13,-9,-9,-12,-23,-25,7,-66
12,-4,-16,-4,14,-10,-10,-14,-24,-24,7,-66
12,-2,-15,-5,14,-9,-9,-14,-23,-23,10,-62
11,0,-11,-5,11,-6,-8,-12,-21,-21,13,-56
7,0,-7,-3,7,-4,-7,-11,-20,-19,15,-50
3,-1,-5,0,4,-3,-6,-10,-20,-19,15,-44
1,-3,-4,1,2,-3,-6,-10,-20,-19,14,-40
-1,-3,-2,2,0,-3,-6,-9,-19,-18,13,-37
-2,-3,-1,3,-1,-2,-5,-8,-18,-18,12,-35
0,-4,-3,2,1,-4,-6,-8,-19,-19,10,-35
2,-5,-7,2,4,-6,-7,-10,-21,-21,8,-38
2,-6,-9,2,5,-7,-8,-11,-22,-22,7,-39
2,-5,-8,2,5,-6,-8,-11,-22,-22,7,-40
2,-4,-7,1,5,-5,-7,-11,-22,-21,7,-41
4,-3,-7,0,6,-5,-7,-11,-21,-21,6,-42
5,-2,-7,-1,6,-4,-6,-10,-21,-20,5,-42
4,-2,-6,0,5,-4,-5,-9,-20,-19,4,-41
3,-3,-6,0,4,-4,-5,-8,-19,-18,4,-40
4,-3,-7,0,5,-6,-5,-8,-19,-18,3,-40
5,-4,-10,0,7,-8,-6,-9,-19,-19,2,-40
5,-6,-11,1,8,-9,-6,-9,-19,-18,1,-39
4,-6,-11,2,7,-9,-6,-9,-19,-18,1,-39
3,-6,-9,2,6,-7,-5,-10,-19,-18,1,-38
3,-4,-7,1,5,-5,-5,-10,-19,-18,0,-38
4,-2,-5,0,4,-3,-5,-10,-19,-18,0,-37
4,-2,-6,0,5,-3,-5,-10,-19,-18,1,-36
5,-3,-7,0,6,-4,-5,-10,-19,-17,2,-35
5,-2,-7,-1,6,-5,-4,-9,-18,-16,3,-34
4,-2,-6,0,5,-5,-4,-9,-17,-15,4,-33
3,-1,-5,0,4,-4,-4,-9,-17,-15,4,-33
