leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,-1,1,0,-1,2,4,2,-1,-1,-1
-2,-4,-2,4,0,-3,5,11,6,-2,-2,-2
-3,-6,-3,5,0,-4,7,15,8,-2,-3,-3
-4,-7,-3,6,0,-5,9,19,10,-2,-3,-4
-3,-6,-4,5,1,-5,9,21,12,0,-3,-4
-1,-4,-4,3,2,-4,10,23,14,1,-2,-4
0,-3,-4,1,2,-3,10,25,15,2,-1,-4
1,-2,-4,0,3,-3,11,27,17,4,0,-3
1,-2,-4,1,2,-3,11,29,19,6,1,-3
0,-3,-4,2,2,-3,11,31,21,8,2,-2
-1,-4,-4,3,1,-3,12,32,23,10,4,-2
-1,-3,-3,3,1,-2,12,33,24,11,5,-1
0,-2,-3,2,1,-2,11,34,26,13,7,0
1,0,-2,0,2,-1,11,35,27,15,8,0
3,1,-2,-2,2,0,11,36,29,18,10,2
4,3,-1,-3,2,1,11,37,30,20,11,3
5,4,-1,-4,2,1,10,37,31,21,13,5
4,4,0,-4,2,2,10,38,32,23,14,6
4,4,0,-3,2,2,9,38,33,24,16,7
3,4,0,-3,2,2,9,38,33,25,17,8
4,5,0,-4,2,3,8,37,33,26,18,10
5,7,1,-5,3,4,7,36,33,26,19,11
7,8,1,-7,3,5,6,35,33,27,20,13
8,10,2,-8,3,6,5,34,33,28,21,14
9,11,2,-9,3,7,4,33,32,28,21,15
9,12,2,-10,3,8,3,31,32,28,22,16
9,12,3,-10,3,8,2,30,31,28,22,17
9,12,3,-10,3,9,1,29,30,28,23,18
9,13,3,-10,3,9,1,28,29,27,23,19
9,14,4,-11,3,9,0,26,28,27,24,19
10,15,4,-13,3,10,-1,25,27,26,24,20
11,17,5,-14,3,11,-2,23,26,26,25,21
12,18,5,-14,3,12,-3,21,24,25,25,21
12,18,6,-14,3,12,-3,19,22,24,24,22
11,17,6,-14,3,12,-4,17,21,22,24,22
11,17,6,-14,3,12,-4,16,19,21,23,22
11,17,6,-14,3,12,-5,14,18,19,23,23
11,17,6,-14,3,12,-5,12,16,18,23,23
12,17,6,-14,3,12,-5,11,15,17,22,23
12,18,6,-15,3,12,-6,9,13,16,22,23
12,18,5,-15,3,12,-6,8,12,15,21,23
12,18,5,-15,3,12,-7,6,10,14,20,23
12,17,5,-14,3,12,-7,5,9,12,20,22
12,16,4,-14,3,11,-7,4,8,11,19,22
12,16,4,-13,3,11,-7,3,7,10,19,21
11,15,4,-13,4,11,-7,2,6,9,18,21
11,15,4,-13,4,11,-7,1,5,8,17,20
11,15,4,-13,4,11,-7,0,4,7,16,20
11,15,4,-13,4,10,-8,0,4,7,15,20
11,15,3,-13,4,10,-8,-1,3,6,15,20
11,14,3,-12,4,10,-8,-2,2,5,14,19
11,14,3,-12,4,9,-8,-2,2,4,14,19
11,13,2,-12,4,9,-8,-2,1,4,14,18
10,13,2,-11,4,8,-8,-2,1,3,14,18
10,12,2,-11,4,8,-8,-3,1,3,14,18
10,12,2,-11,4,8,-8,-3,1,3,13,18
10,12,1,-11,5,8,-8,-3,1,3,13,18
11,12,1,-11,5,8,-8,-3,1,3,13,18
11,13,1,-11,5,8,-8,-3,0,2,13,18
11,13,1,-12,5,8,-8,-3,0,2,13,17
11,13,2,-12,4,9,-8,-3,0,2,13,17
11,14,2,-12,4,9,-8,-3,0,2,13,17
11,14,3,-12,4,9,-8,-3,0,2,13,17
11,15,3,-12,4,10,-8,-2,0,2,13,17
10,15,4,-13,4,10,-7,-2,0,2,13,17
10,16,4,-13,3,11,-7,-2,0,3,13,17
10,16,5,-13,3,11,-6,-2,0,3,13,16
10,16,5,-13,3,11,-6,-2,0,3,13,16
10,16,5,-13,3,11,-6,-2,0,2,12,16
10,16,5,-13,3,11,-6,-2,0,2,12,16
10,16,5,-13,3,11,-6,-2,0,2,12,16
9,16,5,-13,3,11,-6,-2,0,2,11,16
9,16,5,-13,3,11,-6,-3,-1,1,11,16
9,15,5,-13,3,11,-6,-3,-1,1,10,16
9,15,5,-13,2,11,-6,-4,-1,1,10,15
9,15,5,-13,2,11,-6,-4,-2,1,10,15
9,15,5,-12,2,10,-6,-4,-2,0,10,14
9,14,5,-12,2,10,-6,-4,-3,0,10,14
9,14,5,-11,2,10,-6,-5,-3,0,10,14
9,13,4,-11,2,9,-6,-5,-4,-1,9,14
9,13,4,-11,2,9,-7,-6,-4,-2,9,14
8,12,3,-11,3,8,-7,-6,-5,-3,8,13
8,12,3,-10,3,7,-8,-7,-5,-3,8,13
8,11,2,-10,4,7,-8,-7,-6,-4,8,12
8,11,2,-10,4,6,-8,-7,-6,-4,7,12
8,10,2,-9,4,6,-8,-8,-7,-5,7,11
7,10,2,-9,4,6,-9,-8,-7,-6,6,11
7,10,2,-9,4,6,-9,-8,-8,-6,6,11
7,10,2,-9,4,6,-9,-9,-8,-7,5,10
7,10,2,-9,3,7,-9,-9,-9,-8,4,10
7,10,2,-9,3,7,-9,-10,-9,-8,4,10
7,10,2,-9,3,7,-9,-10,-9,-8,4,10
7,10,2,-9,3,7,-9,-10,-10,-8,4,10
7,10,2,-9,3,7,-9,-10,-10,-8,4,10
7,9,2,-9,4,6,-8,-10,-10,-8,4,10
7,9,1,-8,4,6,-8,-10,-10,-8,4,10
7,9,0,-8,4,5,-8,-10,-10,-9,4,10
7,8,0,-8,5,5,-8,-10,-10,-9,4,10
8,8,-1,-8,5,4,-8,-10,-10,-9,4,10
8,7,-1,-8,5,4,-7,-9,-10,-9,4,10
8,7,-1,-8,5,3,-7,-9,-10,-9,4,10
8,7,-1,-8,5,3,-6,-8,-9,-9,4,10
8,8,-1,-8,5,3,-5,-8,-9,-8,5,10
7,8,0,-8,5,4,-4,-7,-8,-8,5,11
7,8,0,-8,4,4,-3,-7,-8,-7,5,11
6,8,0,-8,3,5,-3,-7,-8,-7,5,11
6,8,1,-8,3,5,-2,-6,-7,-6,5,11
6,8,1,-7,2,5,-2,-6,-7,-6,5,11
5,7,2,-7,2,5,-1,-5,-6,-6,5,11
5,7,2,-6,1,5,-1,-5,-7,-6,5,10
4,7,2,-6,1,5,0,-5,-7,-6,4,10
4,6,2,-6,1,5,0,-5,-7,-6,4,9
4,6,1,-5,1,5,0,-5,-7,-7,4,9
4,6,1,-5,1,5,0,-5,-7,-7,4,9
3,5,1,-4,1,5,0,-5,-7,-6,4,8
3,5,1,-4,1,4,0,-5,-7,-6,4,8
3,5,1,-4,1,4,0,-4,-7,-6,4,8
3,5,1,-4,1,4,0,-4,-7,-6,4,8
3,5,1,-4,1,4,0,-4,-7,-6,4,8
3,5,1,-4,1,4,0,-5,-7,-6,4,8
3,5,1,-4,1,4,0,-5,-6,-6,5,8
3,5,1,-4,1,4,0,-4,-6,-6,5,8
3,4,1,-4,1,3,0,-4,-6,-6,5,8
3,4,1,-4,1,3,0,-4,-6,-6,5,8
3,4,0,-4,2,3,0,-4,-5,-6,5,8
3,4,0,-4,2,3,0,-4,-5,-5,5,8
3,4,0,-4,2,3,0,-4,-5,-5,5,8
3,4,0,-4,2,3,0,-4,-5,-5,5,8
3,4,0,-4,2,3,0,-4,-5,-5,5,8
3,4,0,-4,2,3,0,-4,-5,-5,5,8
3,4,0,-4,2,3,0,-4,-5,-5,5,8
3,4,0,-4,2,3,0,-4,-5,-5,6,8
3,4,0,-4,2,3,0,-4,-5,-4,6,8
3,4,0,-4,2,2,0,-4,-5,-4,6,8
3,3,0,-4,2,2,0,-4,-5,-4,6,8
3,3,0,-4,2,2,0,-4,-5,-4,6,8
3,3,0,-4,2,2,-1,-4,-5,-4,6,8
3,3,0,-4,2,2,-1,-4,-5,-4,6,8
3,3,0,-4,2,2,-1,-4,-5,-4,6,8
3,3,0,-4,2,2,-1,-4,-5,-4,6,9
3,3,0,-4,2,2,-1,-4,-5,-4,6,9
3,3,0,-4,2,2,-1,-3,-5,-3,6,9
3,3,0,-4,2,2,-1,-3,-5,-3,6,9
3,3,0,-4,2,2,-1,-3,-5,-3,6,9
3,3,0,-4,2,2,0,-3,-5,-3,6,9
3,3,0,-4,2,2,0,-3,-5,-3,7,9
3,3,0,-4,2,2,0,-3,-5,-3,7,9
3,3,0,-4,2,2,0,-3,-5,-3,7,9
3,3,0,-4,2,2,-1,-3,-5,-3,7,9
3,3,0,-4,2,2,-1,-3,-5,-2,7,9
3,3,0,-4,2,2,0,-2,-4,-2,7,9
3,3,0,-4,2,2,0,-2,-4,-1,7,9
3,3,0,-4,2,2,0,-2,-4,-1,7,9
3,3,0,-4,2,1,0,-2,-4,-2,7,9
3,3,0,-4,2,1,0,-2,-4,-2,6,9
3,2,0,-4,2,1,0,-2,-5,-3,6,9
3,2,-1,-4,3,1,0,-3,-5,-3,6,9
4,2,-2,-4,3,0,-1,-3,-4,-3,6,9
4,2,-2,-4,4,0,-2,-2,-3,-2,7,9
6,2,-3,-5,5,0,-3,-1,-1,1,9,11
8,3,-5,-6,6,0,-5,1,3,6,13,14
11,5,-6,-8,9,0,-7,3,8,12,19,19
14,7,-7,-11,11,0,-10,5,14,20,27,26
18,10,-8,-14,14,1,-13,7,21,30,37,34
23,14,-9,-18,16,2,-17,7,27,41,48,44
27,17,-10,-22,19,3,-23,5,32,52,59,54
32,22,-10,-27,22,5,-30,0,35,62,70,64
37,27,-10,-32,24,8,-37,-7,37,73,82,75
42,34,-8,-38,26,12,-46,-15,40,85,95,87
47,41,-6,-44,27,17,-54,-23,43,97,107,99
51,48,-3,-50,28,22,-61,-30,46,109,119,110
55,56,0,-56,28,28,-67,-37,49,120,130,121
57,63,5,-61,27,34,-72,-46,48,127,138,129
57,70,13,-64,23,41,-77,-60,38,125,137,131
54,76,22,-65,17,49,-81,-81,16,108,124,125
47,81,33,-64,8,57,-84,-107,-14,80,101,111
39,82,43,-61,-1,63,-85,-131,-46,48,72,92
30,79,48,-55,-8,64,-85,-148,-72,17,43,71
23,70,46,-47,-11,58,-84,-158,-91,-9,19,52
16,59,41,-38,-12,50,-81,-161,-103,-32,-1,36
9,49,40,-29,-15,45,-75,-160,-113,-52,-20,19
0,42,42,-21,-20,42,-66,-155,-119,-71,-39,1
-7,37,44,-15,-25,40,-56,-144,-120,-83,-52,-12
-12,31,43,-10,-27,37,-47,-130,-114,-87,-58,-21
-15,26,40,-6,-27,33,-40,-114,-104,-84,-59,-25
-15,22,37,-4,-26,30,-34,-98,-94,-79,-57,-27
-15,19,33,-3,-24,26,-29,-84,-83,-73,-54,-27
-15,16,29,-1,-22,22,-24,-71,-73,-66,-49,-26
-14,12,25,0,-19,18,-19,-59,-63,-59,-44,-24
-13,8,20,1,-16,14,-14,-49,-54,-52,-39,-22
-12,4,14,3,-12,9,-10,-40,-46,-45,-35,-20
