leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,-1,0,0,0,-1,0,0
-5,-5,0,5,-2,-3,1,0,-2,-3,-1,1
-6,-7,-1,6,-2,-4,1,0,-2,-4,-2,1
-3,-6,-3,4,0,-5,1,0,-3,-4,-2,2
0,-4,-5,1,3,-5,1,0,-2,-3,-1,3
5,-2,-6,-2,6,-4,2,1,-2,-2,-1,4
7,0,-7,-4,7,-4,2,1,-1,-2,0,4
5,-1,-6,-2,5,-4,2,1,-1,-2,-1,4
2,-3,-5,0,3,-4,2,1,-2,-3,-1,3
-2,-5,-4,3,1,-4,1,0,-2,-4,-2,3
-5,-7,-3,5,0,-4,1,0,-2,-5,-2,3
-3,-6,-3,4,0,-4,1,0,-2,-5,-2,3
0,-4,-4,2,3,-4,1,0,-2,-4,-2,3
4,-1,-6,-1,5,-4,1,0,-2,-3,-1,3
7,0,-7,-3,7,-3,2,0,-2,-2,-1,3
6,0,-6,-3,6,-3,2,0,-2,-2,-2,2
2,-2,-5,0,3,-4,2,0,-2,-3,-2,2
-1,-5,-4,3,1,-4,2,-1,-3,-4,-2,2
-4,-6,-3,5,0,-4,2,-1,-3,-5,-2,2
-3,-5,-4,4,0,-4,2,-1,-3,-5,-2,2
0,-3,-5,2,2,-4,1,-1,-3,-4,-1,2
4,-1,-5,0,4,-4,1,-1,-3,-4,-1,2
8,0,-6,-3,6,-4,1,-1,-3,-3,-1,3
8,0,-6,-4,7,-4,1,-1,-3,-3,-1,3
5,-1,-5,-2,5,-4,1,-1,-3,-3,-1,3
1,-3,-4,0,3,-4,1,0,-3,-3,-1,2
-1,-4,-4,3,1,-4,1,0,-2,-3,-1,2
-2,-4,-4,3,1,-4,2,0,-2,-3,-1,2
0,-3,-4,2,2,-4,2,0,-1,-3,-1,2
2,-2,-4,0,4,-4,3,0,-1,-3,-1,2
5,0,-5,-2,5,-4,3,0,-1,-3,-1,2
7,0,-5,-4,6,-4,2,0,-1,-3,-1,2
6,0,-5,-3,5,-4,2,0,-1,-2,-1,2
4,-1,-4,-1,4,-3,3,1,-1,-2,-1,2
1,-2,-4,0,2,-3,3,1,-1,-2,-1,3
-1,-3,-3,2,1,-3,3,1,-1,-2,-1,3
0,-2,-3,1,2,-3,4,1,-1,-2,-1,3
4,0,-3,-2,5,-2,4,1,0,-1,0,3
7,3,-3,-5,6,-1,4,1,0,-1,0,3
10,5,-3,-8,7,0,4,2,0,-1,0,3
9,5,-2,-7,6,0,4,2,0,-1,0,3
5,3,-1,-5,3,1,5,2,1,-1,0,3
