leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,1,1,1,1,0,0
0,-1,-1,0,1,-1,2,4,3,2,1,1
1,-1,-1,0,2,-2,2,5,4,2,1,2
1,-1,-1,0,2,-2,3,6,5,3,2,2
1,-2,-2,0,3,-3,3,7,5,3,2,3
1,-2,-2,0,3,-3,3,8,6,4,3,3
2,-2,-3,0,4,-3,3,9,7,5,3,4
3,-1,-3,0,5,-3,3,10,8,6,4,4
3,-1,-3,0,5,-3,3,10,9,6,4,4
2,-1,-3,0,5,-3,2,11,9,7,4,5
2,-1,-3,0,5,-3,2,11,9,7,4,5
3,0,-3,-1,5,-3,2,12,10,7,4,5
4,0,-3,-2,6,-3,2,12,10,7,4,5
5,0,-4,-3,6,-3,2,13,11,8,5,5
6,1,-4,-3,7,-3,2,14,12,8,5,6
6,1,-4,-4,7,-3,2,15,13,9,6,6
6,2,-4,-4,8,-3,2,16,14,10,6,7
6,2,-4,-4,8,-3,2,16,14,10,7,7
7,2,-5,-4,8,-3,1,17,15,10,7,7
8,3,-5,-5,8,-2,1,17,15,11,8,7
8,4,-5,-6,9,-2,1,18,16,11,8,8
8,3,-5,-6,9,-2,1,18,16,12,9,8
9,3,-6,-6,9,-2,1,19,17,13,9,8
10,4,-6,-6,10,-2,1,20,18,13,10,9
11,4,-7,-7,10,-2,0,21,18,14,10,9
11,5,-7,-7,11,-2,0,22,19,14,11,10
12,6,-7,-8,11,-1,0,22,20,15,11,10
13,6,-7,-9,12,-1,0,23,20,15,12,11
13,7,-7,-10,12,-1,0,23,21,16,12,11
14,7,-7,-10,12,-1,0,24,21,16,13,12
14,7,-7,-11,12,-1,0,25,22,17,13,12
15,7,-8,-11,13,-1,0,25,23,18,14,13
16,8,-8,-12,14,-1,-1,26,24,19,14,13
18,9,-8,-13,15,-1,-1,27,25,20,15,14
19,10,-9,-14,16,-1,-1,27,26,21,16,14
20,10,-9,-15,17,-1,-1,28,26,21,17,15
21,11,-10,-16,17,0,-1,28,27,22,17,15
22,12,-10,-17,17,0,-1,29,28,22,18,16
22,13,-9,-17,17,0,-1,30,28,23,19,17
22,13,-9,-17,18,1,-1,30,29,24,19,18
22,13,-9,-17,18,1,-1,30,29,24,20,18
23,13,-9,-18,18,1,-1,31,30,25,20,18
24,13,-10,-19,19,1,-1,31,30,25,21,19
24,15,-10,-20,19,1,-1,31,30,26,21,19
25,16,-9,-20,19,2,-2,31,31,26,22,20
25,16,-9,-21,19,2,-2,31,31,26,22,20
26,16,-9,-21,19,2,-2,31,31,26,22,20
26,16,-9,-20,20,2,-3,31,31,26,22,20
25,15,-9,-20,19,2,-3,31,31,26,22,20
25,15,-9,-21,19,2,-3,31,31,27,23,20
25,15,-9,-21,19,2,-3,31,31,27,23,21
25,15,-9,-21,19,1,-2,31,31,27,23,21
25,15,-9,-21,19,1,-2,30,31,27,23,21
25,15,-9,-21,19,1,-2,30,31,26,23,21
25,15,-9,-20,19,1,-2,29,30,26,23,21
24,15,-9,-20,19,1,-2,28,30,26,23,21
24,15,-9,-20,19,1,-2,28,29,26,23,21
24,15,-8,-20,18,2,-2,27,29,26,23,21
24,15,-8,-20,18,2,-2,26,28,26,23,21
23,15,-8,-19,18,2,-3,25,28,25,23,21
23,15,-7,-19,17,2,-3,24,27,25,23,21
23,15,-7,-19,17,2,-3,23,26,24,22,21
22,15,-7,-19,17,2,-3,22,25,23,22,20
22,15,-7,-18,16,2,-3,21,24,23,22,20
21,15,-6,-18,16,2,-3,19,23,22,21,19
20,15,-5,-18,15,2,-3,18,22,22,21,19
19,14,-5,-17,14,2,-3,16,21,21,20,18
18,14,-4,-16,13,2,-3,15,20,20,19,17
17,13,-4,-15,13,2,-2,14,19,19,18,17
16,12,-4,-14,12,2,-2,13,17,18,18,16
14,11,-4,-13,11,2,-2,11,16,17,17,16
13,10,-3,-12,10,1,-2,10,14,16,16,15
12,9,-3,-10,10,1,-2,8,13,15,15,14
10,8,-2,-9,9,1,-2,7,12,14,14,13
9,7,-2,-8,8,1,-1,6,11,13,13,12
8,6,-2,-7,7,0,-1,5,10,12,12,11
7,5,-2,-6,6,0,-1,4,8,10,11,10
5,4,-1,-4,5,0,-1,2,7,9,10,9
4,3,0,-3,4,0,-1,1,5,8,9,8
3,2,0,-2,3,0,-1,0,4,7,8,8
2,1,0,-1,3,-1,0,-1,3,6,7,7
1,1,0,0,2,-1,0,-2,2,6,7,6
1,1,0,0,2,-1,0,-2,2,5,6,5
0,0,0,0,2,-1,1,-3,1,4,5,4
-1,0,0,1,1,-2,1,-4,0,3,4,3
-2,-1,1,2,0,-2,1,-4,-1,2,3,3
-3,-2,1,3,0,-2,1,-5,-2,1,2,2
-3,-2,1,3,0,-2,1,-6,-3,1,2,2
-4,-3,2,4,-1,-2,1,-6,-4,0,1,1
-4,-4,2,4,-1,-2,1,-7,-4,0,1,1
-5,-4,2,4,-1,-3,1,-7,-5,0,0,0
-6,-5,2,5,-2,-3,1,-8,-5,-1,0,0
-7,-5,2,6,-2,-3,1,-8,-6,-2,0,0
-8,-5,2,7,-2,-3,1,-9,-7,-3,-1,-1
-9,-6,2,8,-3,-3,1,-10,-8,-4,-1,-1
-10,-7,2,9,-3,-4,1,-11,-9,-4,-2,-2
-10,-7,3,9,-4,-4,1,-11,-9,-5,-3,-3
-10,-6,3,8,-4,-4,1,-11,-10,-5,-3,-3
-9,-6,3,8,-4,-4,1,-11,-10,-5,-3,-3
-9,-6,3,8,-4,-4,1,-11,-10,-5,-3,-3
-9,-6,4,8,-4,-3,1,-11,-10,-5,-3,-3
-10,-6,4,8,-4,-3,1,-11,-10,-5,-3,-3
-10,-6,4,8,-4,-3,1,-11,-10,-5,-3,-3
-10,-6,3,8,-4,-3,1,-12,-10,-6,-4,-3
-10,-6,3,8,-4,-3,0,-12,-10,-6,-4,-3
-10,-6,3,8,-4,-3,0,-12,-10,-6,-4,-4
-10,-7,3,9,-5,-3,0,-13,-10,-6,-4,-4
-11,-7,4,10,-5,-3,0,-13,-11,-6,-5,-5
-12,-8,4,10,-5,-3,0,-13,-11,-6,-5,-5
-12,-8,3,10,-5,-4,0,-13,-11,-6,-5,-5
-12,-8,3,10,-5,-4,0,-13,-11,-6,-5,-5
-12,-7,4,9,-5,-4,0,-13,-11,-6,-5,-5
-11,-7,4,9,-6,-3,0,-13,-11,-6,-5,-5
-11,-6,4,8,-6,-3,0,-13,-11,-6,-5,-4
-10,-6,4,8,-5,-3,1,-13,-11,-6,-4,-4
-10,-6,4,8,-5,-3,1,-12,-10,-6,-4,-4
-10,-6,4,8,-5,-3,1,-12,-10,-6,-4,-4
-10,-6,4,8,-5,-3,1,-12,-10,-6,-4,-4
-10,-6,4,8,-5,-3,1,-12,-10,-6,-4,-4
-10,-6,4,8,-5,-3,1,-12,-10,-6,-4,-4
-10,-6,4,8,-5,-3,1,-12,-10,-6,-4,-4
-11,-7,4,9,-5,-3,1,-12,-10,-6,-4,-4
-11,-7,3,9,-5,-4,1,-11,-10,-6,-4,-4
-11,-7,3,9,-5,-4,1,-11,-10,-6,-4,-4
-11,-7,3,9,-5,-3,1,-11,-10,-6,-3,-4
-11,-6,4,9,-5,-3,1,-11,-10,-6,-3,-4
-11,-6,4,9,-5,-3,1,-11,-9,-6,-3,-4
-11,-6,4,9,-5,-3,1,-11,-9,-6,-3,-4
-10,-6,4,9,-5,-3,1,-10,-9,-5,-3,-3
-10,-6,4,8,-4,-3,1,-10,-9,-5,-3,-3
-10,-7,4,8,-5,-3,1,-10,-9,-5,-3,-3
-10,-7,4,8,-5,-3,1,-10,-8,-5,-3,-3
-10,-7,3,8,-5,-3,1,-10,-8,-5,-3,-3
-9,-7,3,8,-4,-3,1,-10,-8,-5,-3,-3
-10,-7,3,8,-4,-3,1,-10,-8,-5,-3,-3
-10,-7,3,9,-4,-3,1,-10,-8,-5,-3,-3
-10,-7,3,9,-4,-3,1,-10,-8,-5,-3,-3
-10,-7,3,9,-4,-3,1,-10,-8,-5,-3,-3
-10,-7,3,9,-4,-3,1,-10,-8,-5,-3,-3
-9,-7,3,9,-4,-3,1,-10,-8,-5,-3,-3
-9,-6,3,8,-4,-3,1,-10,-8,-5,-3,-3
-10,-6,3,8,-4,-3,1,-10,-8,-5,-3,-3
-10,-7,3,9,-5,-3,1,-10,-8,-5,-3,-3
-10,-6,3,9,-5,-3,1,-10,-8,-5,-3,-3
-9,-6,3,8,-4,-3,1,-10,-8,-5,-3,-3
-9,-6,3,8,-4,-3,0,-10,-8,-5,-3,-3
-9,-6,3,8,-4,-3,0,-10,-8,-5,-4,-3
-9,-6,3,8,-4,-4,0,-10,-8,-5,-4,-3
