leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,5,1,0,0,0
1,1,0,-1,0,1,0,11,2,-2,-2,0
1,0,0,-1,0,0,-2,13,1,-4,-6,-2
2,0,-1,-1,1,0,-5,12,-1,-6,-10,-3
2,0,-2,-1,1,-1,-6,12,-2,-7,-12,-4
2,0,-3,-1,2,-1,-6,13,-1,-6,-13,-4
2,0,-3,-1,2,-1,-3,16,0,-5,-11,-3
2,0,-3,0,2,-1,0,20,0,-4,-8,-3
2,0,-2,0,1,-1,2,22,1,-4,-7,-2
1,-1,-2,0,1,-1,2,21,0,-5,-7,-2
1,-1,-2,0,1,-1,0,19,-2,-7,-9,-3
1,-1,-2,0,1,-1,-3,17,-3,-8,-11,-4
1,-1,-2,1,1,-1,-4,15,-4,-8,-13,-4
0,-2,-2,1,1,-2,-4,16,-4,-8,-13,-4
0,-2,-3,2,1,-2,-3,18,-3,-8,-12,-4
0,-3,-3,2,1,-3,0,21,-2,-7,-10,-3
0,-3,-3,2,0,-3,2,24,-1,-7,-8,-3
-2,-4,-3,4,0,-3,4,25,-1,-7,-8,-3
-3,-6,-3,5,-1,-4,3,24,-2,-8,-10,-4
-4,-7,-3,6,-1,-5,0,21,-5,-9,-13,-5
-5,-8,-3,7,-1,-6,-1,18,-7,-10,-17,-7
-5,-9,-4,8,-1,-6,-2,17,-8,-11,-19,-8
-5,-10,-4,8,-1,-7,-1,17,-8,-11,-20,-8
-6,-11,-5,9,-1,-8,1,19,-8,-11,-19,-8
-6,-11,-5,9,-1,-8,3,21,-7,-11,-17,-8
-7,-11,-5,9,-2,-8,5,22,-7,-11,-17,-8
-8,-12,-5,10,-2,-8,5,21,-8,-11,-17,-8
-8,-12,-5,10,-2,-8,3,20,-10,-11,-18,-9
-8,-12,-5,11,-2,-8,2,18,-11,-12,-20,-9
-8,-12,-5,11,-2,-8,1,17,-12,-12,-21,-9
-9,-12,-5,11,-3,-8,1,18,-13,-12,-21,-9
-9,-12,-5,11,-3,-8,3,20,-12,-11,-20,-9
-9,-12,-5,11,-3,-8,5,23,-12,-11,-17,-9
-9,-12,-4,11,-3,-8,7,24,-12,-11,-15,-8
-9,-12,-4,11,-3,-8,7,25,-13,-11,-15,-8
-9,-13,-4,11,-3,-8,6,24,-14,-11,-16,-8
-9,-13,-4,11,-3,-8,4,22,-16,-11,-17,-8
-9,-13,-4,11,-3,-8,3,21,-16,-11,-18,-8
-9,-13,-4,11,-3,-8,3,21,-16,-11,-19,-8
-9,-13,-4,11,-3,-8,4,22,-16,-11,-18,-8
-9,-13,-4,11,-3,-8,6,24,-16,-11,-16,-8
-10,-13,-3,12,-4,-8,7,26,-15,-11,-14,-7
-10,-13,-3,12,-4,-8,7,26,-15,-11,-13,-7
-10,-13,-3,12,-4,-8,6,25,-15,-11,-13,-7
-10,-13,-3,12,-4,-8,5,23,-15,-11,-15,-7
-9,-13,-4,11,-3,-8,4,22,-15,-11,-16,-7
-9,-13,-4,11,-3,-8,3,21,-16,-11,-16,-7
-9,-13,-4,11,-3,-8,4,21,-16,-10,-16,-7
-9,-13,-4,11,-4,-8,5,22,-15,-10,-14,-7
-9,-13,-4,11,-4,-8,6,22,-15,-10,-13,-7
-9,-13,-4,11,-4,-8,7,22,-14,-10,-12,-7
-9,-13,-4,11,-4,-8,6,21,-14,-10,-12,-7
-9,-13,-3,11,-4,-8,5,19,-14,-10,-13,-7
-9,-13,-3,11,-4,-8,5,18,-14,-10,-14,-8
-9,-13,-3,11,-4,-8,4,17,-15,-10,-15,-8
-9,-13,-4,11,-4,-8,4,18,-15,-9,-15,-8
-9,-13,-4,11,-4,-8,6,20,-14,-9,-14,-8
-9,-13,-4,11,-4,-8,7,24,-11,-7,-12,-8
-9,-12,-3,11,-4,-8,9,28,-8,-5,-10,-7
-8,-11,-3,10,-4,-7,10,33,-2,0,-7,-5
-7,-9,-2,8,-3,-5,10,38,5,5,-3,-2
-5,-5,-1,5,-3,-3,10,44,16,14,3,3
-1,-1,0,1,-2,0,10,50,29,24,11,10
2,3,0,-2,0,2,10,55,41,35,19,17
6,8,1,-7,1,4,10,58,52,45,30,26
11,14,2,-12,2,8,10,60,61,56,41,35
17,21,4,-19,4,13,9,58,68,66,52,45
22,30,8,-26,5,19,5,52,71,74,63,55
27,39,12,-33,6,26,0,38,71,81,71,65
32,50,17,-41,6,34,-8,19,67,86,78,75
36,61,24,-48,5,43,-16,-1,63,90,86,85
38,71,33,-54,1,53,-23,-19,60,95,93,94
39,80,41,-59,-2,61,-30,-34,58,99,100,102
39,86,46,-62,-4,66,-36,-45,57,102,105,108
40,85,46,-62,-4,66,-40,-52,54,101,105,109
39,80,41,-59,-2,61,-44,-56,49,93,98,103
36,69,33,-53,0,52,-46,-60,37,75,82,91
29,55,26,-42,0,41,-47,-67,16,50,59,72
20,41,21,-30,-2,31,-45,-75,-10,22,32,50
11,28,17,-19,-4,23,-42,-81,-34,-2,9,29
5,17,12,-11,-5,15,-38,-82,-51,-20,-9,12
2,9,7,-5,-3,8,-34,-77,-60,-31,-19,1
0,2,1,-1,-2,2,-30,-69,-62,-37,-25,-6
0,-3,-3,2,0,-2,-25,-60,-61,-38,-28,-11
-1,-7,-5,4,0,-5,-21,-51,-56,-37,-29,-13
-2,-9,-6,6,0,-7,-18,-44,-50,-34,-28,-13
-3,-10,-7,6,0,-8,-15,-37,-44,-30,-27,-13
-3,-10,-7,7,0,-8,-11,-31,-37,-26,-24,-12
