leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,2,1,-1,0,2,0,-1,0,0,0,-1
3,6,3,-4,-1,5,0,-4,-1,-2,1,-2
4,8,5,-5,-1,6,-1,-5,-2,-3,2,-3
4,9,5,-6,-1,7,-1,-6,-2,-3,2,-4
5,10,6,-7,-1,8,-1,-7,-2,-3,2,-4
4,11,7,-7,-2,9,-1,-7,-2,-3,3,-4
4,12,8,-7,-3,9,-1,-8,-2,-3,3,-4
3,11,8,-7,-3,9,-1,-8,-3,-3,3,-5
4,11,7,-7,-2,8,-1,-8,-3,-3,3,-5
4,11,7,-7,-2,8,-1,-8,-3,-3,3,-6
5,12,7,-8,-1,9,-1,-8,-3,-3,3,-6
5,12,7,-8,-1,9,-1,-8,-3,-3,3,-6
5,12,7,-8,-2,9,0,-7,-3,-3,2,-6
4,12,7,-7,-2,9,0,-7,-3,-3,2,-6
4,11,7,-7,-2,9,0,-7,-3,-3,1,-6
4,11,6,-7,-2,9,0,-7,-3,-3,1,-6
4,11,6,-7,-2,9,0,-6,-2,-3,1,-6
4,11,6,-7,-2,9,0,-6,-2,-3,1,-6
4,11,6,-7,-2,9,0,-5,-2,-2,1,-6
4,11,6,-7,-1,8,0,-5,-2,-2,1,-5
4,11,6,-7,-1,8,0,-5,-2,-2,1,-5
4,11,6,-7,-2,8,0,-5,-2,-2,1,-6
4,11,6,-7,-2,8,0,-5,-1,-2,1,-6
4,11,6,-7,-2,8,0,-5,-1,-2,1,-6
4,10,6,-7,-1,8,0,-5,-1,-2,1,-6
4,10,6,-7,-1,8,1,-5,-1,-2,1,-5
4,10,6,-7,-1,8,1,-5,-1,-2,1,-5
5,10,6,-7,-1,8,1,-5,-1,-2,1,-5
5,10,6,-7,-1,8,1,-5,-1,-2,1,-5
5,10,6,-7,-1,8,1,-5,-1,-2,1,-5
5,10,6,-7,-1,8,1,-5,-1,-2,1,-5
4,10,6,-6,-1,8,1,-5,-1,-2,1,-5
4,10,6,-6,-1,8,1,-5,-1,-1,1,-5
4,10,6,-6,-1,8,1,-5,-1,-1,1,-5
4,10,6,-6,-1,8,1,-5,-1,-1,1,-5
4,10,6,-7,-1,8,1,-5,-1,-1,1,-5
4,10,6,-7,-1,7,1,-4,0,-1,1,-5
4,10,5,-7,-1,7,1,-4,0,0,1,-4
5,10,5,-7,0,7,2,-3,0,0,1,-4
6,10,4,-8,0,7,2,-3,0,0,1,-4
6,9,4,-7,0,7,2,-2,0,0,1,-4
5,8,4,-6,-1,6,2,-2,0,0,1,-4
4,8,5,-6,-1,6,2,-2,1,1,1,-4
4,8,5,-6,-1,6,2,-1,1,1,1,-4
4,8,5,-6,-1,6,2,-1,1,1,1,-4
4,8,5,-6,-1,6,2,-1,1,1,1,-4
4,8,5,-5,-1,6,2,-1,1,1,1,-4
