leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,-1,0,0,0,0,2,2,0,0,11
1,-1,-2,0,1,-1,-1,6,5,-1,1,31
1,-1,-3,0,2,-2,-1,8,8,-2,2,45
1,-1,-3,0,2,-2,0,9,10,-3,2,55
1,-1,-3,0,2,-2,0,10,11,-3,3,63
1,-1,-3,0,2,-2,1,10,13,-4,4,70
2,-1,-3,0,2,-1,1,11,14,-5,5,76
2,0,-3,-1,2,-1,2,11,15,-6,6,81
3,0,-2,-1,2,0,2,12,16,-6,7,85
3,0,-2,-1,2,0,2,13,17,-6,7,88
3,1,-2,-1,2,0,2,14,18,-6,8,89
3,1,-1,-1,2,0,3,15,18,-6,8,90
3,1,-1,-1,1,1,3,15,19,-7,8,90
2,1,0,-1,1,1,4,15,19,-7,8,89
2,2,0,-2,1,2,4,15,20,-8,8,87
2,2,0,-2,1,2,4,14,20,-8,8,84
2,3,1,-2,0,3,4,14,20,-7,8,80
1,3,1,-2,0,3,3,14,20,-7,8,76
1,3,2,-3,0,4,3,14,19,-6,8,72
2,3,2,-3,0,4,4,14,19,-4,8,67
2,3,2,-3,0,4,4,14,18,-3,8,61
2,4,2,-3,0,4,4,13,17,-2,8,55
2,4,2,-3,0,4,5,13,16,-1,7,49
1,4,2,-3,0,4,5,12,15,0,7,43
1,4,3,-3,0,4,5,12,15,0,7,36
0,4,3,-2,-1,4,5,11,14,1,6,30
0,4,3,-2,-1,4,5,10,13,2,6,23
0,4,3,-2,-1,4,5,9,11,3,5,15
0,4,4,-2,-2,4,5,8,10,4,5,8
-1,4,4,-2,-2,4,5,7,8,4,4,0
-1,4,4,-1,-2,4,4,6,6,4,4,-7
-1,4,4,-1,-2,4,4,5,4,4,3,-15
-1,4,4,-1,-2,5,3,4,3,5,3,-22
-1,4,5,-1,-3,5,3,3,2,5,3,-29
-2,3,5,0,-3,5,3,2,0,5,2,-36
-2,3,5,0,-3,5,3,1,0,6,2,-43
-2,3,5,0,-3,5,3,0,-2,6,1,-49
-3,3,5,0,-4,5,3,0,-3,6,1,-56
-3,3,5,0,-4,5,3,-1,-5,6,0,-61
-3,2,5,0,-4,4,3,-2,-6,6,0,-66
-3,2,5,0,-4,4,3,-3,-7,5,0,-70
-4,1,5,1,-4,4,3,-4,-8,5,0,-73
-4,1,4,1,-4,3,3,-4,-9,4,0,-76
-4,0,4,1,-4,3,3,-5,-10,4,0,-79
-4,0,4,1,-4,3,3,-5,-11,3,0,-81
-4,0,5,1,-4,3,2,-6,-12,3,-1,-82
-4,0,5,1,-4,3,2,-6,-13,2,-1,-82
-4,0,5,2,-4,3,2,-7,-13,2,-2,-83
-4,0,4,2,-4,3,2,-8,-14,1,-2,-83
-4,-1,4,2,-4,3,2,-8,-14,0,-2,-82
-4,-1,4,2,-4,3,2,-8,-14,0,-3,-81
-5,-1,4,3,-4,2,1,-8,-15,-1,-3,-80
-5,-1,4,3,-4,2,1,-8,-15,-2,-4,-79
-5,0,4,3,-4,2,1,-7,-15,-3,-4,-78
-5,0,4,3,-4,2,1,-7,-15,-4,-4,-77
-5,-1,4,3,-5,2,1,-7,-15,-5,-5,-76
-5,-1,4,3,-5,2,1,-7,-15,-6,-5,-75
-5,0,4,2,-5,2,2,-7,-15,-7,-5,-74
-5,0,4,2,-5,2,2,-7,-15,-8,-5,-74
-5,0,4,2,-5,2,2,-7,-15,-9,-6,-74
-5,0,4,2,-5,2,2,-7,-15,-10,-6,-73
-5,0,4,2,-5,2,2,-8,-14,-11,-6,-73
-5,0,4,2,-5,2,2,-8,-14,-12,-7,-73
-5,0,4,2,-4,2,2,-8,-14,-13,-7,-73
-5,0,4,2,-4,2,2,-8,-14,-15,-8,-74
-5,0,4,3,-4,2,2,-8,-14,-16,-8,-74
-5,0,4,3,-4,2,2,-8,-13,-17,-8,-74
-5,0,4,3,-5,2,2,-9,-13,-18,-9,-74
-5,0,4,3,-5,2,2,-9,-13,-19,-9,-75
-5,0,5,2,-5,2,2,-8,-12,-19,-9,-76
-5,0,5,2,-5,2,2,-8,-12,-19,-9,-77
-5,0,5,2,-5,2,2,-8,-11,-19,-9,-78
-5,0,5,2,-5,2,2,-7,-11,-20,-9,-79
-5,0,5,2,-5,2,2,-7,-10,-20,-9,-81
-5,0,5,2,-5,2,2,-7,-10,-19,-9,-82
-5,0,5,2,-5,2,2,-6,-9,-19,-9,-83
-5,0,5,2,-5,2,2,-6,-9,-19,-9,-84
-5,0,5,2,-5,2,2,-5,-8,-18,-9,-84
-5,0,5,2,-5,2,2,-5,-8,-17,-9,-85
-5,0,5,2,-5,3,3,-5,-7,-17,-9,-85
-5,1,5,2,-5,3,3,-5,-7,-16,-9,-84
-5,1,6,2,-5,3,3,-4,-6,-15,-9,-82
-5,1,6,2,-5,3,3,-4,-6,-14,-9,-81
-5,1,6,2,-5,3,3,-3,-5,-14,-9,-79
-5,1,6,2,-5,3,4,-3,-5,-13,-9,-76
-5,1,6,1,-5,3,4,-2,-4,-12,-8,-73
-4,2,6,1,-5,4,4,-2,-4,-12,-8,-70
-4,2,6,1,-6,4,4,-2,-4,-11,-8,-68
-4,2,6,1,-6,4,4,-1,-4,-11,-8,-65
-4,2,6,1,-6,4,4,-1,-4,-11,-7,-63
-4,2,6,1,-6,4,4,-1,-3,-11,-7,-61
-4,2,6,1,-6,4,4,-1,-3,-11,-7,-59
-4,2,6,1,-5,4,4,-1,-3,-11,-7,-57
-4,2,6,1,-5,4,4,-1,-3,-12,-7,-56
-5,2,7,1,-6,4,4,0,-3,-12,-7,-55
-5,1,7,1,-6,4,4,0,-3,-12,-7,-55
-5,1,6,1,-6,4,4,-1,-4,-12,-8,-55
-5,0,6,2,-6,4,3,-2,-4,-12,-8,-55
-4,1,7,1,-6,4,3,-3,-4,-11,-7,-55
-4,3,8,0,-6,5,2,-4,-3,-8,-4,-54
-3,5,9,-1,-6,7,1,-5,-1,-4,1,-53
-2,7,10,-3,-6,8,-1,-7,0,1,7,-51
-1,10,11,-4,-6,10,-3,-10,1,8,13,-49
-1,12,13,-6,-6,12,-4,-11,3,15,19,-46
0,15,15,-7,-7,14,-6,-11,9,23,25,-44
1,18,17,-10,-7,18,-6,-9,18,34,33,-41
3,23,21,-13,-8,22,-6,-5,28,47,42,-37
5,29,25,-17,-9,27,-5,0,40,62,54,-33
8,36,29,-22,-10,32,-4,4,53,79,67,-27
12,45,33,-28,-10,39,-5,8,65,96,82,-21
17,54,37,-35,-10,45,-9,10,75,111,97,-15
22,63,40,-43,-8,51,-17,9,81,124,111,-8
28,71,44,-50,-7,57,-28,4,78,130,121,-2
32,78,46,-55,-7,62,-40,-7,68,129,126,2
35,83,48,-59,-6,66,-53,-21,49,117,123,4
36,84,48,-60,-5,67,-66,-40,22,97,114,4
36,83,48,-60,-5,67,-79,-61,-13,69,99,2
34,80,47,-57,-6,64,-90,-85,-53,36,80,-2
30,74,44,-52,-6,59,-98,-109,-96,1,57,-10
26,64,39,-45,-5,51,-102,-129,-134,-33,31,-21
21,52,32,-36,-5,42,-102,-141,-164,-66,6,-32
16,40,25,-28,-5,33,-100,-146,-186,-94,-13,-44
11,29,18,-20,-4,24,-95,-145,-199,-117,-30,-54
5,16,12,-11,-4,14,-87,-137,-200,-134,-44,-66
-1,4,7,-1,-5,6,-75,-122,-192,-143,-56,-77
-7,-3,5,5,-6,0,-62,-104,-177,-144,-63,-87
-11,-7,5,9,-8,-1,-49,-85,-157,-137,-64,-93
-13,-8,5,10,-9,-1,-38,-67,-135,-126,-62,-98
-13,-9,5,11,-9,-2,-28,-50,-113,-115,-59,-101
-14,-10,4,12,-9,-3,-19,-35,-92,-104,-56,-105
-14,-12,2,13,-8,-5,-11,-23,-75,-94,-53,-108
-14,-13,1,13,-8,-6,-4,-14,-61,-85,-50,-110
-14,-13,1,13,-7,-6,1,-8,-51,-78,-46,-112
-13,-13,1,13,-7,-6,5,-6,-43,-73,-43,-113
-13,-13,0,13,-6,-6,9,-6,-38,-69,-41,-113
-12,-14,0,13,-5,-7,11,-7,-35,-66,-40,-113
-12,-14,-1,13,-5,-7,13,-8,-33,-65,-39,-113
-12,-14,-2,13,-5,-8,15,-9,-32,-63,-39,-113
-11,-14,-3,13,-5,-8,15,-10,-30,-62,-38,-114
-11,-15,-3,13,-5,-9,15,-13,-29,-61,-37,-115
-11,-15,-4,13,-4,-10,15,-16,-29,-60,-37,-116
-11,-16,-4,13,-4,-10,14,-18,-30,-59,-36,-118
-11,-16,-5,13,-3,-11,14,-20,-30,-59,-36,-119
-10,-17,-6,13,-2,-11,14,-21,-31,-60,-36,-121
-10,-17,-7,13,-2,-12,13,-21,-31,-60,-36,-122
-9,-17,-7,13,-1,-12,12,-21,-31,-60,-36,-124
-9,-17,-8,13,-1,-12,11,-21,-31,-61,-36,-126
-9,-17,-8,13,-1,-12,10,-20,-30,-61,-35,-128
-9,-17,-7,13,-1,-12,9,-20,-30,-62,-35,-129
-9,-17,-7,13,0,-13,8,-19,-30,-63,-34,-131
-9,-17,-8,13,0,-13,8,-19,-30,-64,-34,-132
-9,-18,-8,13,0,-14,7,-18,-31,-64,-34,-133
-9,-18,-8,13,0,-14,7,-17,-31,-64,-34,-134
-9,-18,-9,13,0,-14,6,-17,-31,-64,-34,-134
-9,-18,-9,13,0,-14,6,-17,-31,-64,-34,-135
-9,-19,-10,13,0,-14,5,-17,-31,-63,-33,-136
-8,-19,-10,13,0,-14,5,-17,-31,-63,-32,-137
-8,-19,-10,13,0,-14,5,-17,-31,-63,-31,-140
-8,-19,-10,13,0,-14,5,-17,-31,-63,-30,-143
-8,-19,-10,13,0,-14,5,-17,-31,-62,-29,-148
-8,-19,-10,13,0,-14,5,-16,-31,-62,-28,-153
-8,-18,-9,13,0,-14,6,-16,-31,-61,-27,-158
-8,-18,-9,12,0,-13,6,-16,-31,-61,-25,-164
-8,-18,-8,13,0,-13,7,-16,-30,-60,-24,-169
-9,-18,-8,13,0,-13,7,-17,-30,-59,-24,-174
-9,-18,-7,14,-1,-13,7,-17,-30,-59,-23,-178
-10,-18,-7,14,-2,-13,7,-18,-30,-58,-22,-182
-10,-18,-7,14,-2,-12,8,-18,-29,-57,-21,-185
-10,-17,-6,14,-2,-12,8,-18,-29,-56,-21,-187
-10,-17,-6,14,-2,-11,9,-19,-29,-55,-20,-188
-10,-17,-5,14,-2,-11,9,-19,-28,-54,-20,-188
-10,-17,-5,14,-2,-11,9,-19,-28,-53,-19,-187
-10,-17,-6,14,-2,-11,9,-19,-27,-52,-19,-184
-10,-17,-6,14,-2,-11,9,-19,-26,-51,-18,-180
-10,-16,-6,13,-2,-11,9,-18,-25,-51,-18,-173
-9,-15,-5,12,-2,-10,9,-18,-24,-50,-18,-165
-9,-15,-5,12,-1,-10,9,-17,-23,-49,-18,-156
-8,-14,-6,11,-1,-10,9,-16,-22,-47,-18,-145
-7,-14,-6,11,0,-10,8,-14,-21,-45,-17,-134
-7,-14,-6,10,0,-10,8,-13,-19,-43,-17,-122
-6,-14,-6,10,0,-10,8,-12,-17,-41,-16,-110
-6,-14,-6,10,0,-10,8,-11,-15,-40,-16,-98
-6,-14,-6,9,0,-10,8,-9,-13,-38,-15,-86
-5,-13,-6,9,0,-10,8,-8,-11,-35,-15,-73
-5,-13,-6,8,0,-10,8,-6,-9,-33,-14,-60
-4,-12,-6,8,1,-10,8,-5,-7,-31,-14,-49
-4,-12,-7,7,1,-9,8,-3,-5,-29,-14,-39
-3,-11,-7,7,2,-9,8,-2,-3,-27,-14,-29
-2,-10,-7,6,2,-8,7,-1,0,-25,-13,-21
-1,-9,-7,5,3,-8,7,0,2,-23,-12,-12
-1,-8,-7,4,3,-7,7,2,4,-22,-11,-4
0,-7,-6,4,3,-7,6,3,7,-20,-10,3
0,-7,-6,3,3,-7,6,4,9,-19,-9,11
