leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
2,2,1,-2,0,1,0,2,2,1,0,4
6,7,2,-6,2,4,0,5,6,3,0,11
9,9,1,-9,4,4,0,7,9,4,0,13
9,9,0,-9,4,4,0,8,10,5,0,12
7,7,1,-7,3,3,0,7,11,6,-1,10
5,6,1,-6,2,3,1,8,12,6,0,9
4,6,2,-5,1,4,1,8,12,6,0,9
5,8,2,-6,1,4,1,8,12,5,0,9
4,8,3,-6,0,5,0,8,11,4,-1,9
2,7,4,-5,-1,5,0,8,11,4,-1,8
2,7,5,-5,-1,6,1,8,11,4,-1,7
2,7,5,-5,-1,6,1,7,11,4,-1,5
2,5,3,-4,0,4,1,6,11,3,-1,2
1,4,2,-3,0,3,1,5,10,2,-2,0
1,3,1,-3,0,2,1,4,9,1,-2,-2
2,2,0,-2,1,1,1,3,8,0,-3,-2
4,2,-2,-3,3,0,1,3,8,0,-3,-2
5,3,-2,-4,3,0,1,3,8,-1,-3,-2
4,2,-1,-3,2,0,1,2,7,-1,-4,-3
1,0,-1,0,1,-1,0,1,6,-3,-6,-6
0,-1,-1,0,1,-1,0,0,5,-4,-7,-9
1,-2,-3,0,2,-2,0,0,5,-4,-7,-11
2,-2,-4,0,3,-2,1,0,6,-4,-7,-12
2,-1,-4,0,3,-2,2,0,6,-4,-7,-12
2,-1,-3,0,2,-2,3,1,6,-4,-7,-11
0,-3,-2,2,0,-3,3,1,6,-4,-7,-11
-3,-4,-1,4,-1,-3,3,0,5,-6,-9,-12
-3,-5,-2,4,-1,-4,2,-1,5,-7,-10,-14
-1,-4,-2,3,0,-3,2,-1,5,-7,-10,-16
-2,-4,-1,3,0,-3,2,-2,4,-8,-10,-18
-3,-5,-2,4,0,-4,2,-3,3,-9,-11,-20
-1,-5,-4,3,1,-5,2,-3,3,-9,-12,-21
2,-3,-5,0,3,-5,2,-3,4,-8,-12,-20
2,-2,-4,0,2,-4,2,-3,4,-9,-12,-20
0,-4,-3,2,1,-4,2,-3,3,-10,-12,-20
-1,-5,-4,3,0,-5,1,-4,3,-10,-13,-21
-2,-5,-3,4,0,-4,1,-4,2,-11,-13,-22
-4,-5,-1,4,-1,-3,2,-4,3,-10,-12,-23
-5,-6,-2,5,-1,-4,3,-3,3,-10,-11,-23
-3,-8,-4,5,0,-6,3,-4,3,-10,-11,-24
-2,-7,-5,4,1,-6,3,-4,3,-10,-12,-24
-2,-6,-4,4,1,-5,3,-4,4,-10,-11,-24
-1,-6,-5,4,1,-6,3,-4,4,-10,-11,-23
0,-5,-5,3,2,-6,3,-4,4,-11,-11,-24
0,-4,-5,3,2,-5,3,-4,4,-11,-11,-25
-3,-7,-5,5,1,-6,3,-4,4,-11,-11,-27
-4,-8,-5,6,0,-7,3,-4,4,-10,-11,-27
-3,-8,-5,5,1,-7,4,-3,4,-10,-11,-27
-1,-8,-7,4,2,-7,4,-3,4,-10,-12,-27
-1,-8,-7,5,2,-8,3,-3,4,-10,-12,-27
-3,-8,-4,6,0,-7,3,-3,4,-10,-12,-27
-6,-7,-1,7,-2,-5,4,-3,5,-10,-12,-26
-6,-6,-1,6,-2,-4,4,-2,5,-9,-12,-26
-4,-7,-3,5,0,-5,4,-2,6,-9,-12,-27
-3,-7,-4,5,0,-6,4,-2,6,-9,-12,-28
-4,-7,-2,6,-1,-5,4,-2,6,-9,-12,-28
-5,-7,-1,6,-2,-4,3,-2,7,-9,-12,-29
-4,-6,-2,5,-1,-4,3,-1,7,-9,-12,-29
-3,-6,-3,5,0,-5,4,-1,7,-8,-12,-28
-3,-6,-3,5,0,-5,4,-1,7,-8,-10,-28
-4,-6,-3,6,-1,-5,4,-1,7,-7,-9,-29
-4,-6,-3,6,-1,-5,4,-1,7,-7,-9,-30
-4,-7,-3,6,-1,-6,4,-1,7,-7,-8,-30
-4,-6,-2,6,-1,-5,4,0,7,-7,-7,-30
-4,-6,-1,6,-1,-4,4,0,8,-6,-6,-30
-5,-6,-1,6,-2,-4,4,0,8,-6,-6,-30
-5,-7,-1,7,-2,-4,4,-1,8,-6,-7,-31
-5,-7,-1,6,-1,-4,4,-1,8,-6,-7,-31
-4,-5,-1,5,-1,-4,4,0,8,-6,-7,-32
-1,-4,-3,2,1,-4,4,0,9,-6,-7,-32
2,-4,-7,1,4,-6,4,0,9,-6,-8,-33
3,-4,-8,1,5,-6,4,0,9,-6,-8,-33
0,-5,-6,3,3,-5,4,0,9,-6,-8,-33
-1,-6,-4,4,2,-5,4,0,9,-5,-8,-33
-1,-5,-4,4,1,-5,4,0,9,-5,-8,-33
-2,-5,-2,4,0,-4,3,0,9,-5,-8,-33
-2,-3,-1,3,-1,-3,3,0,9,-4,-7,-33
-2,-1,0,2,-2,-1,4,1,10,-3,-6,-32
-3,-1,1,2,-3,0,5,2,11,-2,-5,-32
-5,-2,1,4,-4,0,5,2,12,-2,-5,-32
-5,-3,1,4,-4,0,5,2,12,-1,-5,-32
-1,0,1,1,-1,0,5,2,12,-1,-5,-32
2,2,0,-2,1,1,6,3,13,0,-4,-32
2,3,1,-2,0,2,7,3,14,0,-3,-31
0,5,5,-3,-2,4,8,4,15,0,-2,-30
0,6,6,-3,-4,6,9,4,16,1,-1,-30
-1,5,5,-2,-3,5,10,6,17,2,0,-30
-1,3,4,-1,-3,4,11,6,18,2,0,-29
-2,3,4,0,-3,4,11,6,18,2,1,-29
-1,3,4,0,-2,4,11,6,18,2,0,-30
0,3,3,-1,-1,3,9,5,17,1,0,-30
1,4,3,-2,0,3,8,3,16,0,0,-31
1,4,3,-2,0,3,7,2,15,0,0,-32
1,3,2,-2,0,2,5,2,15,0,0,-32
2,4,1,-3,0,2,4,1,15,0,1,-31
4,6,1,-5,1,3,3,1,15,0,2,-31
4,6,1,-5,1,4,1,0,15,0,2,-30
4,6,1,-5,1,4,0,0,15,0,3,-29
4,6,2,-5,1,4,-2,-1,14,0,3,-29
4,6,3,-4,0,5,-3,-2,13,-1,3,-29
3,6,4,-4,0,5,-3,-3,12,-2,3,-29
