leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,0,0,0,1,0,-2,-2
-2,-2,0,2,-1,-1,1,-1,4,-1,-5,-5
-2,-3,0,3,-1,-2,2,-2,5,-1,-7,-7
-3,-3,0,3,-1,-2,2,-2,6,-1,-8,-8
-3,-3,0,4,-2,-1,2,-2,7,-1,-9,-9
-3,-3,0,3,-2,-1,2,-1,8,-1,-9,-9
-3,-3,0,3,-1,-1,3,-1,9,-1,-9,-9
-2,-3,0,3,-1,-1,3,-1,9,-1,-9,-9
-2,-3,0,3,0,-1,4,-1,9,-1,-9,-9
-2,-3,0,3,-1,-1,4,-1,8,-1,-9,-9
-3,-4,0,4,-2,-1,4,-1,8,-1,-9,-9
-4,-4,0,5,-2,-2,4,-2,7,-1,-9,-9
-5,-4,0,5,-3,-2,4,-2,7,-1,-9,-9
-5,-4,1,5,-3,-2,4,-2,7,-1,-9,-9
-4,-4,1,4,-2,-1,4,-1,7,-1,-10,-9
-4,-3,1,4,-2,-1,5,-1,8,-1,-10,-10
-5,-3,1,4,-3,-1,5,-1,8,-2,-10,-10
-5,-3,1,4,-3,-1,5,-1,8,-2,-11,-10
-4,-3,1,3,-3,-1,5,-1,8,-3,-11,-10
-4,-3,1,3,-2,0,5,-1,8,-3,-11,-10
-3,-2,1,3,-2,0,5,-1,8,-3,-11,-10
-4,-2,1,3,-2,0,5,-1,8,-3,-10,-9
-4,-2,2,3,-3,0,4,-2,8,-3,-10,-9
-4,-1,2,3,-3,0,4,-2,7,-4,-10,-9
-4,-1,2,2,-3,0,3,-2,6,-4,-11,-9
-4,-1,3,3,-3,0,3,-2,6,-5,-11,-10
-5,-1,3,3,-4,0,3,-2,7,-5,-11,-10
-5,-1,4,3,-4,1,3,-2,7,-5,-11,-10
-5,-1,4,3,-4,1,3,-2,7,-5,-11,-10
-5,-1,4,3,-4,1,3,-2,7,-5,-11,-10
-4,-1,3,3,-3,1,3,-2,7,-6,-12,-11
-4,-1,3,2,-3,0,3,-2,6,-6,-12,-11
-3,-1,3,2,-3,1,3,-2,7,-6,-12,-10
-3,0,4,2,-3,2,3,-2,7,-5,-11,-10
-3,0,4,1,-3,2,3,-2,8,-5,-10,-10
-3,0,3,1,-3,2,3,-2,8,-5,-10,-10
-3,0,3,2,-3,2,3,-2,8,-5,-10,-10
-4,-1,3,2,-4,1,3,-2,8,-5,-11,-10
-5,-1,3,3,-4,1,3,-1,8,-5,-11,-10
-5,-1,3,3,-4,1,3,-1,8,-5,-11,-10
-5,-1,4,2,-4,2,3,0,9,-5,-11,-9
-4,-1,4,2,-4,2,3,0,9,-5,-10,-9
-4,-1,3,2,-3,1,2,0,9,-5,-10,-9
-2,0,2,1,-2,1,2,0,9,-5,-10,-9
-1,0,2,0,-1,1,2,0,10,-5,-9,-9
-1,1,2,0,-1,2,2,0,10,-5,-9,-9
-1,0,1,0,-1,1,2,-1,9,-5,-9,-9
-1,0,1,0,-1,1,2,-1,8,-5,-9,-9
-2,0,2,1,-2,1,2,-1,8,-4,-9,-9
-3,0,3,1,-3,1,2,-1,9,-3,-8,-8
-4,0,4,2,-4,2,2,0,10,-2,-8,-7
-3,0,4,1,-4,2,2,0,11,-2,-7,-7
-3,1,5,1,-4,2,2,0,11,-1,-7,-7
-3,1,4,1,-4,2,2,0,11,-2,-7,-7
-2,0,3,0,-3,2,2,0,11,-2,-7,-7
-2,0,2,0,-2,1,1,0,10,-2,-7,-7
-1,1,2,0,-2,1,1,1,10,-2,-7,-7
-1,1,2,0,-1,1,1,1,10,-1,-6,-7
-1,1,2,0,-1,1,0,1,10,-1,-7,-7
-1,0,1,0,-1,0,0,0,10,-2,-7,-8
-2,0,2,0,-1,0,0,0,10,-2,-7,-7
-2,0,3,0,-2,1,0,1,11,-1,-7,-7
-2,1,3,0,-2,2,1,1,11,0,-6,-6
-1,2,3,-1,-1,2,1,1,10,0,-6,-6
-1,2,2,0,-1,2,1,0,10,0,-6,-6
-2,1,2,0,-2,2,1,0,10,0,-5,-6
-2,1,3,1,-2,2,1,1,10,0,-5,-6
-1,1,2,1,-2,2,1,1,11,0,-5,-6
0,1,1,0,0,1,1,1,11,0,-6,-6
2,1,0,-1,1,1,1,1,10,0,-6,-6
2,1,0,-1,1,0,0,1,10,-1,-6,-6
2,1,0,-1,1,0,0,1,9,-1,-6,-6
2,1,0,-1,1,1,0,1,9,-1,-6,-6
2,1,0,-2,1,1,0,1,9,-1,-6,-6
2,1,-1,-2,1,0,0,1,8,-1,-7,-7
1,0,-1,-1,1,0,0,0,8,-2,-7,-7
1,0,0,-1,1,0,0,0,9,-2,-7,-7
0,0,0,-1,0,1,0,0,9,-1,-6,-7
0,0,0,0,0,1,1,1,9,-1,-6,-7
0,0,1,0,0,1,1,1,9,0,-6,-6
0,0,1,0,0,2,1,1,10,0,-6,-6
0,1,1,0,0,2,1,1,10,0,-6,-6
0,1,0,0,0,1,0,1,9,-1,-6,-6
0,1,0,0,0,0,0,0,9,-1,-6,-6
0,0,0,0,0,0,0,0,8,-2,-7,-6
0,0,0,0,0,0,0,0,8,-2,-7,-6
0,0,0,0,1,0,0,0,7,-2,-7,-6
1,0,-1,0,1,0,0,0,7,-3,-7,-7
1,-1,-1,0,1,0,0,0,7,-3,-8,-7
0,-1,-1,0,1,0,0,-1,7,-3,-8,-8
0,-1,-1,0,0,-1,0,-1,7,-3,-8,-8
0,-1,-2,0,1,-1,0,-1,7,-3,-8,-8
1,0,-2,0,1,-1,0,-1,7,-3,-8,-8
1,0,-1,-1,1,-1,0,-1,7,-3,-8,-8
1,0,-1,-1,1,-1,0,0,7,-3,-7,-8
0,-1,-1,0,1,-1,0,0,7,-3,-7,-8
0,-1,-1,1,0,-1,0,0,7,-3,-7,-8
0,-2,-1,1,0,-1,0,0,7,-3,-7,-8
0,-2,-2,1,1,-1,0,0,7,-3,-7,-8
0,-1,-2,1,1,-1,0,0,7,-3,-7,-8
