leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,1,3,0,-2,2,0,0,-1,-2,-1,-3
-3,3,7,0,-5,5,0,-1,-3,-6,-2,-9
-4,5,9,0,-6,7,0,-2,-4,-8,-3,-13
-4,6,10,0,-6,7,0,-2,-5,-10,-3,-15
-3,6,9,0,-6,7,0,-2,-5,-10,-3,-16
-3,6,9,0,-6,7,0,-2,-6,-11,-3,-16
-4,6,9,0,-6,7,0,-2,-6,-11,-3,-16
-5,5,9,1,-7,7,0,-2,-6,-11,-3,-16
-6,4,9,1,-7,7,0,-3,-6,-12,-4,-16
-6,3,10,2,-8,7,0,-3,-6,-12,-4,-16
-7,3,10,2,-9,7,0,-3,-6,-12,-4,-16
-7,4,11,2,-9,8,1,-3,-6,-12,-3,-15
-7,4,12,2,-10,8,1,-3,-6,-12,-3,-15
-7,4,12,2,-10,8,1,-3,-6,-11,-3,-14
-7,5,12,2,-10,8,1,-2,-5,-11,-3,-14
-7,5,12,1,-9,8,1,-2,-5,-11,-3,-13
-6,5,11,1,-8,8,1,-2,-4,-11,-3,-13
-6,5,11,1,-8,8,1,-2,-4,-11,-3,-12
-6,5,10,1,-7,8,1,-2,-4,-11,-3,-11
-5,6,10,1,-7,8,1,-2,-4,-11,-3,-11
-5,6,10,1,-7,8,1,-2,-4,-11,-3,-10
-5,6,10,1,-7,8,1,-2,-4,-11,-3,-10
-5,5,11,1,-8,8,1,-2,-4,-11,-3,-9
-6,5,11,1,-8,8,1,-2,-4,-11,-3,-8
-6,5,11,1,-9,8,1,-2,-4,-11,-2,-8
-6,5,11,1,-9,8,1,-2,-4,-11,-2,-7
-6,5,11,1,-9,8,1,-2,-4,-10,-1,-6
-6,5,11,1,-9,8,0,-2,-4,-10,0,-5
-5,5,11,0,-8,8,0,-2,-4,-9,1,-3
-4,6,10,0,-7,8,0,-2,-4,-7,4,0
-3,8,11,-2,-7,9,-1,-2,-4,-4,8,3
-2,11,12,-4,-7,11,-2,-2,-3,0,13,8
-1,14,13,-6,-7,13,-3,-2,-1,4,18,14
0,17,14,-9,-7,15,-5,0,2,10,24,19
3,19,15,-11,-6,17,-6,4,9,16,31,25
7,22,14,-14,-3,18,-7,10,17,23,37,31
12,23,11,-17,1,17,-8,16,24,30,44,36
18,24,6,-20,6,14,-9,20,29,36,50,41
25,24,0,-24,13,12,-12,22,32,43,58,48
32,26,-6,-28,19,9,-14,23,34,52,68,56
39,28,-12,-33,26,8,-17,24,38,63,80,65
47,32,-17,-39,32,7,-19,26,43,75,92,75
55,36,-20,-45,38,7,-22,27,48,88,105,85
60,40,-21,-50,41,8,-24,25,49,98,115,93
63,42,-21,-52,42,10,-26,19,43,102,121,98
62,43,-19,-52,40,12,-28,9,28,97,119,97
58,43,-15,-50,36,13,-28,-5,7,83,109,90
51,40,-11,-45,31,14,-28,-21,-19,63,92,78
43,37,-7,-40,25,15,-27,-37,-45,39,73,65
35,34,-2,-34,19,16,-26,-53,-70,16,53,51
26,30,2,-28,12,16,-24,-68,-91,-4,35,38
17,25,7,-21,5,16,-22,-81,-108,-22,17,24
7,19,12,-13,-2,15,-20,-92,-120,-37,2,12
-2,14,16,-5,-9,15,-16,-100,-128,-47,-9,2
-11,9,20,1,-15,15,-13,-105,-131,-53,-17,-4
-18,5,22,7,-20,14,-10,-106,-132,-57,-22,-10
-24,1,23,12,-23,12,-7,-105,-130,-60,-26,-14
-28,-1,24,15,-25,11,-5,-102,-125,-61,-28,-16
-29,-3,24,17,-26,10,-4,-96,-118,-60,-29,-18
-29,-4,24,17,-26,9,-3,-88,-107,-58,-29,-18
-28,-4,23,17,-25,9,-2,-79,-95,-55,-27,-17
-26,-4,23,16,-24,9,-1,-69,-84,-50,-25,-15
-24,-3,21,15,-23,8,0,-61,-73,-46,-23,-14
-22,-3,19,14,-21,7,1,-53,-64,-43,-21,-13
-21,-2,17,13,-19,6,1,-45,-56,-39,-20,-12
-19,-2,15,12,-17,6,2,-39,-49,-35,-19,-11
-18,-2,14,11,-16,5,2,-33,-42,-32,-18,-10
-17,-2,13,10,-15,5,3,-28,-36,-30,-16,-9
-16,-1,13,9,-15,5,3,-23,-30,-27,-15,-9
-15,-1,14,9,-15,6,4,-18,-24,-25,-14,-8
-15,0,14,8,-15,6,4,-14,-20,-22,-12,-7
-14,0,14,8,-15,6,5,-11,-16,-19,-11,-6
-14,1,14,7,-14,7,5,-8,-14,-16,-9,-4
-13,2,14,6,-14,7,5,-6,-11,-14,-8,-3
-12,3,13,5,-13,8,5,-5,-9,-13,-7,-2
-11,3,13,4,-13,8,5,-4,-8,-12,-6,-1
-11,3,13,4,-12,7,5,-3,-6,-12,-6,-1
-10,3,12,4,-11,7,5,-2,-5,-11,-6,-1
-9,3,12,3,-10,7,5,-1,-4,-11,-6,-1
-8,3,11,3,-10,6,5,0,-3,-11,-6,-1
-8,2,11,3,-10,6,5,0,-3,-11,-6,-1
-8,2,10,3,-10,6,4,0,-3,-11,-6,-1
-8,2,10,3,-9,6,4,0,-3,-11,-6,-1
-8,2,9,3,-9,6,3,0,-3,-11,-6,0
-7,2,9,2,-8,6,3,0,-3,-11,-7,0
-7,2,9,2,-8,5,3,0,-2,-11,-7,0
-7,2,9,2,-8,5,3,0,-2,-11,-7,0
-7,2,8,2,-8,5,3,0,-1,-11,-7,0
-7,2,8,2,-8,5,3,1,-1,-11,-6,0
-7,2,8,2,-8,5,3,1,-1,-10,-6,0
-7,2,8,2,-8,5,4,1,-1,-10,-6,1
-7,2,8,3,-8,5,4,1,0,-9,-5,1
-7,2,8,3,-8,5,4,1,0,-9,-5,1
-8,1,8,4,-8,5,4,1,0,-9,-4,1
-9,1,8,4,-8,5,4,1,0,-9,-4,1
-8,1,8,4,-8,5,4,1,0,-8,-4,1
-8,1,8,4,-8,4,4,1,0,-8,-4,2
-7,1,8,4,-8,4,4,1,1,-8,-4,2
-7,1,8,3,-7,5,4,2,1,-8,-4,3
-7,2,8,3,-7,5,4,2,1,-7,-3,3
-7,2,8,3,-7,5,4,3,1,-7,-3,4
-6,2,7,3,-7,4,4,3,2,-7,-3,4
-6,2,7,3,-7,4,4,3,2,-7,-2,5
-6,1,7,3,-7,4,4,3,3,-7,-2,5
-6,1,7,3,-7,4,4,3,3,-7,-2,5
-6,2,7,3,-7,4,4,3,3,-6,-2,5
-5,2,6,2,-6,4,4,3,3,-6,-2,5
-4,2,6,2,-6,4,4,3,3,-6,-2,5
-4,2,6,2,-6,4,4,3,3,-6,-2,5
-4,2,6,1,-6,4,4,3,3,-6,-3,5
-4,2,6,1,-6,4,4,3,3,-6,-3,5
-4,2,6,1,-6,4,4,4,3,-6,-3,5
-4,2,7,1,-6,5,4,4,3,-5,-3,6
-5,3,7,1,-6,5,4,4,4,-5,-3,6
-5,3,8,1,-6,5,4,5,5,-4,-3,7
-4,3,7,1,-6,5,4,5,5,-4,-3,7
-4,3,6,1,-5,5,4,5,5,-4,-3,7
-4,3,6,1,-5,5,4,5,5,-4,-2,7
-4,3,6,1,-5,5,4,5,5,-3,-2,7
