leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,7,8,-3,-5,8,-1,-5,-6,-2,-3,-5
-3,18,22,-7,-13,20,-3,-12,-16,-7,-9,-14
-5,24,30,-9,-17,26,-4,-17,-22,-10,-12,-20
-7,26,34,-10,-20,30,-5,-20,-25,-12,-14,-24
-8,28,37,-10,-22,32,-5,-22,-28,-13,-15,-26
-9,29,38,-10,-23,34,-6,-23,-29,-14,-16,-27
-9,31,40,-11,-24,35,-6,-23,-30,-14,-17,-27
-9,32,40,-11,-24,36,-7,-23,-31,-14,-17,-27
-8,32,41,-12,-24,37,-7,-24,-31,-14,-16,-27
-8,32,41,-12,-24,36,-7,-24,-31,-14,-16,-27
-8,31,40,-11,-24,36,-7,-24,-31,-14,-16,-27
-8,30,40,-11,-24,35,-6,-24,-31,-14,-16,-26
-8,30,40,-10,-24,35,-6,-24,-31,-14,-16,-26
-8,30,40,-10,-24,35,-6,-24,-31,-14,-16,-26
-8,30,40,-11,-24,35,-6,-24,-31,-14,-16,-26
-8,31,40,-11,-24,35,-6,-24,-31,-14,-16,-26
-7,32,39,-12,-23,35,-6,-24,-31,-14,-16,-26
-7,32,39,-12,-23,35,-6,-24,-31,-14,-16,-26
-7,31,38,-12,-22,35,-5,-25,-31,-14,-16,-26
-7,30,38,-12,-22,34,-5,-25,-31,-15,-17,-26
-7,30,37,-12,-21,34,-5,-25,-31,-15,-17,-26
-7,29,36,-12,-21,33,-5,-26,-31,-15,-17,-27
-7,29,35,-12,-20,33,-6,-26,-31,-15,-17,-27
-6,29,35,-12,-20,33,-6,-26,-31,-15,-17,-27
-6,29,35,-12,-20,33,-6,-26,-31,-15,-17,-27
-5,29,34,-12,-19,32,-6,-26,-31,-15,-17,-27
-5,29,34,-12,-19,32,-6,-26,-31,-15,-17,-27
-5,28,34,-12,-19,31,-6,-26,-31,-16,-17,-27
-4,28,33,-12,-19,31,-6,-27,-31,-16,-17,-27
-4,28,33,-12,-18,31,-6,-27,-30,-16,-17,-27
-4,28,32,-12,-18,30,-6,-27,-30,-16,-17,-27
-4,28,32,-12,-18,30,-5,-27,-30,-15,-17,-27
-4,28,32,-12,-17,30,-5,-26,-30,-15,-17,-26
-3,28,32,-13,-17,30,-5,-26,-29,-14,-16,-26
-3,28,32,-13,-17,30,-5,-26,-29,-14,-16,-25
-3,28,32,-13,-17,30,-5,-26,-29,-14,-16,-25
-2,28,32,-13,-17,30,-4,-26,-28,-13,-15,-25
-2,29,32,-13,-17,30,-4,-25,-28,-13,-15,-25
-2,29,31,-13,-16,30,-4,-25,-28,-13,-15,-25
-2,29,31,-13,-16,30,-4,-25,-28,-13,-15,-25
-2,29,31,-13,-15,30,-4,-25,-27,-13,-15,-25
-1,29,30,-13,-15,30,-3,-25,-26,-12,-15,-25
-1,28,29,-13,-14,29,-3,-24,-26,-12,-15,-25
0,28,28,-14,-14,28,-3,-23,-25,-12,-15,-25
0,27,28,-14,-14,28,-3,-23,-25,-12,-15,-25
0,27,27,-13,-14,27,-4,-23,-26,-12,-16,-25
0,26,27,-13,-13,27,-5,-24,-26,-12,-16,-25
0,25,26,-13,-13,26,-6,-25,-27,-13,-17,-25
0,24,25,-12,-12,25,-6,-25,-28,-14,-18,-26
0,24,24,-12,-12,25,-7,-26,-29,-15,-18,-26
-1,23,24,-11,-13,24,-8,-27,-31,-16,-19,-26
